COMMAND: python3 /audit-output/evidence/rule_inventory.py
WORKDIR: /tmp/audit-work/27-flip-case
--- OUTPUT ---
id	location	kind	attributes	role_decision	entry_sha256	entry_preview
11	reference-semantics/semantics/bool.k:8	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	f6a9f817afd56c9168797a3f098cd08c12966f18447d1e0f9d1a05f16ae677c4	rule applyUn("not", V:Val) => notBool truthy(V)
12	reference-semantics/semantics/bool.k:10	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	27c7ab07384784839a8a863b3f9933be214b73575a7e3e811e125c3d99a0370a	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
13	reference-semantics/semantics/bool.k:11	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	64b2d68f0eaf9df7fa8d45276685b58272fe6d03ae9d8abe9f39184059290dad	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
14	reference-semantics/semantics/bool.k:16	context	-	UNUSED_OR_STRUCTURAL_DECLARATION	4bad2e2ff81c39e87091eef691d33bff23a6d7adf29b55aafe2a261e9e7aa33a	context BoolOp(_, (HOLE:Expr, _:Exprs))
15	reference-semantics/semantics/bool.k:17	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	dd652a87b5666794e2e19a88c80917f8819ce783aae50f826a5d468e4a188544	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
16	reference-semantics/semantics/bool.k:18	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	63d13dd54c57bbe36f393bfcc79902c743ac30f30643c4750d53c9a0aedd002d	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
17	reference-semantics/semantics/bool.k:19	requires	-	MODULE_STRUCTURE	c833e85c6376d44a4a5e0d8869985104dcef66a058ada6edf6862ecb130bc6f7	requires truthy(V)
18	reference-semantics/semantics/bool.k:20	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	e3bf4d37a86a1b298f60e4f1ae231a79cd60f0705b42c3f115f5c291d74752f5	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
19	reference-semantics/semantics/bool.k:21	requires	-	MODULE_STRUCTURE	06335cd982539f0d53b365a48851c1d19ef2ed2762293837fb3fb378fdd08218	requires notBool truthy(V)
20	reference-semantics/semantics/bool.k:22	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	311691d7b7318ca274095ac47690c91cc749854497292d49d2e50920302cfab8	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
21	reference-semantics/semantics/bool.k:23	requires	-	MODULE_STRUCTURE	c833e85c6376d44a4a5e0d8869985104dcef66a058ada6edf6862ecb130bc6f7	requires truthy(V)
22	reference-semantics/semantics/bool.k:24	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	bb2396d220b4db44d069015ee69f847e580c6f371c6589c64796a33c880e85b3	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
23	reference-semantics/semantics/bool.k:25	requires	-	MODULE_STRUCTURE	9fdce00d2cb889f5b8d5b21df4c2c11dc6c04e3149dc09ea9482c2fef854d32b	requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure
24	reference-semantics/semantics/bool.k:29	rule	priority	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	7680e70ab6b9e6d1b880974f170a610e304023b03253424c892fc9960c7488c7	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
25	reference-semantics/semantics/bool.k:31	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	0b9b6cb2dbcd3750da95b908d4902639fa157bfdeda4c1627073cd57aed40b1c	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
26	reference-semantics/semantics/bool.k:33	requires	priority	MODULE_STRUCTURE	091c227598ce640ac1901fdb447e127fa5b1a852a490ac860828ea1efa02f92c	requires truthy(V) [priority(40)]
27	reference-semantics/semantics/bool.k:35	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	1c122d513a3822c5f0f9543b3e903fbb117a3f9e6b77005e7aeeadb749a9e648	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
28	reference-semantics/semantics/bool.k:37	requires	priority	MODULE_STRUCTURE	1f97a18dec7d77efac7efda07f3f4c1c16c92a875c41985de57c7e3dd808c511	requires notBool truthy(V) [priority(40)]
29	reference-semantics/semantics/bool.k:39	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	a7754e2032f8b64b65228c46de115408d07af5387e54934e4403c820fce8af41	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
30	reference-semantics/semantics/bool.k:41	requires	priority	MODULE_STRUCTURE	091c227598ce640ac1901fdb447e127fa5b1a852a490ac860828ea1efa02f92c	requires truthy(V) [priority(40)]
31	reference-semantics/semantics/bool.k:43	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	54d2e08334eab2b69c756350988369f9cb134fe29478cc91442fba8da63d8064	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
32	reference-semantics/semantics/bool.k:45	requires	priority	MODULE_STRUCTURE	1f97a18dec7d77efac7efda07f3f4c1c16c92a875c41985de57c7e3dd808c511	requires notBool truthy(V) [priority(40)]
33	reference-semantics/semantics/bool.k:47	endmodule	-	MODULE_STRUCTURE	4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4	endmodule
34	reference-semantics/semantics/builtins.k:3	module	-	MODULE_STRUCTURE	714fcf7fc40ffcebec2a866bfc219f118a9bee4b47e2010874ca09a12c64884b	module MPY-BUILTINS
35	reference-semantics/semantics/builtins.k:4	imports	-	MODULE_STRUCTURE	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
36	reference-semantics/semantics/builtins.k:5	imports	-	MODULE_STRUCTURE	1c022ad4e0c945f696aa1f9d78eb4c3caf78ef9d9b46ae55d6fd081ff4264877	imports MPY-STR
37	reference-semantics/semantics/builtins.k:6	imports	-	MODULE_STRUCTURE	783147658ae89d8dfd5db1f7498e1994e2d82a87dc70c399891ee2e62d7aa7b6	imports MPY-SET
38	reference-semantics/semantics/builtins.k:7	imports	-	MODULE_STRUCTURE	8ad41781e06e91093b117ccd78f6f10180a840cf3b4adaa62547edd340b26acc	imports MPY-ITER
39	reference-semantics/semantics/builtins.k:8	imports	-	MODULE_STRUCTURE	548212ddc441d76983863c9d3376f95c8022ee76d1dcf98dbe9e839a912f1323	imports MPY-RANGE
40	reference-semantics/semantics/builtins.k:9	imports	-	MODULE_STRUCTURE	6a7df951c212c93cd44f9522a2128bbac2f97c6212765bb6d61d30326317e744	imports MPY-INT
41	reference-semantics/semantics/builtins.k:10	imports	-	MODULE_STRUCTURE	e2871949aa47468eec6e3e2ac9a1f22fcdc0975b85b958d9b0016fa5322c3f3e	imports MPY-METHODS // the builtins REGISTRY is core.k's builtinsScope (the -1 frame); names resolve by lookup // Call routing + argument evaluation live in call.k, which also routes the fold // builtins (sum/all/any/max/min) to the #_Acc folds below and everything else to // applyBuiltin. This module owns applyBuiltin + the fold implementations.
42	reference-semantics/semantics/builtins.k:17	syntax	function	UNUSED_OR_STRUCTURAL_DECLARATION	d7c23efdc4d37c44902a1baaa2dcddf2ece658aed5cbc4bbd6412e0015d8f55b	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
43	reference-semantics/semantics/builtins.k:20	syntax	function	UNUSED_OR_STRUCTURAL_DECLARATION	f6cf3d1713c13dac8d22e5399684f39be014bb52fc407729a141920e9ac6961a	syntax Int ::= seqLen(Val) [function]
44	reference-semantics/semantics/builtins.k:21	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	4c33466e09a76b7760813815674e6ffbb94166ddb7069d042ef42b3ce95e3265	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
45	reference-semantics/semantics/builtins.k:22	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	4304dc6e05317c681f8ef21c1fb2272f71963bf2f9fdb2c14cea8b1cec8bd24a	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
46	reference-semantics/semantics/builtins.k:23	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	60d5ac1453fb0c1bf4065daace76c008d52751c1dbe57971c61defd6d6f8e5b7	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
47	reference-semantics/semantics/builtins.k:24	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	daf5d65cb8f22bd96550362f53369e5733113727c5a72e12d4ae7ac30a7d98bf	rule seqLen(str(IS:IntSeq)) => isLen(IS)
48	reference-semantics/semantics/builtins.k:25	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	423d538bf2659955ae5cddc1b15b1054ff36573214a901869558e4292bd90db6	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
49	reference-semantics/semantics/builtins.k:26	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	96ff7b5d6842d3d84921d09065a102d30cef8965f02be8980b6c6e7bba0d9f48	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
50	reference-semantics/semantics/builtins.k:32	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	ca8be208f8fa6148663a0c537d339c0e95aa56e71badd3b8333662aa253c0a80	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
51	reference-semantics/semantics/builtins.k:33	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	d4c8072f0224b4363a94ae3ac318b3b18ad05c41f2b433fe526f8d020ae141b5	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
52	reference-semantics/semantics/builtins.k:34	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	3dd9d5c101b8e31cedceb121820ec2654e8e23f50e4dab6bbb49a412e89fd7fa	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
53	reference-semantics/semantics/builtins.k:35	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	d19a2af0b57612a4a42fa18792f97042a5ef7759c0c609eca004ae8dd1a4afb3	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
54	reference-semantics/semantics/builtins.k:36	syntax	function,total	UNUSED_OR_STRUCTURAL_DECLARATION	01aff6eecdd49ca279cb4378e0ba39cf9a5e1da377c6bda52586943e73543839	syntax ValSeq ::= charsOf(IntSeq) [function, total]
55	reference-semantics/semantics/builtins.k:37	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	18e5f857c9437096279ec2b4e4f3bf20712174c985f8be831a7e064273d4b28e	rule charsOf(.IntSeq) => .ValSeq
56	reference-semantics/semantics/builtins.k:38	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	1bc93a13a365a05ece63b293f4d2b122105adb223384d6bbd2a41a21936118f8	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
57	reference-semantics/semantics/builtins.k:41	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	3a64e28bd3ad2a27ef770e5a4cfd3780f3d929a4835263a3f9e0c07ad5f35313	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
58	reference-semantics/semantics/builtins.k:44	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	2461aa2aed3789246b208123da4a4f50069013a259f991819b82df4f966833b6	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
59	reference-semantics/semantics/builtins.k:47	syntax	-	UNUSED_OR_STRUCTURAL_DECLARATION	8faa5250ed2b829b2c57a81708a1e0b4c8fc5683bff408e6fae108fe3ec4e60f	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
60	reference-semantics/semantics/builtins.k:48	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	cd531bdb9afa464c73c67f8946bbe64957682a3d5dd078d0bf22a556ccc572e6	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
61	reference-semantics/semantics/builtins.k:49	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	74ff8e8be84218b889ef85b902de5efaea860b572c8a5da8306df05a1b3c4947	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
62	reference-semantics/semantics/builtins.k:50	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	100e3bb674e4f1ad390a04f80b5007049d7ee0342c520015b928bcf14d1d7173	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
63	reference-semantics/semantics/builtins.k:52	requires	-	MODULE_STRUCTURE	b4a3ade7627a093c4e09ff813af212b8ae3f0a3073933007edfb0f84d39c2b4c	requires isInt(V) orBool isBool(V)
64	reference-semantics/semantics/builtins.k:54	syntax	function	UNUSED_OR_STRUCTURAL_DECLARATION	0355f95a50a6608682b1c8b9e304799a37a3ed6f4f6f81f8cc0d968f5ff678a4	syntax Int ::= intOf(Val) [function]
65	reference-semantics/semantics/builtins.k:55	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	ec6a1865ddeceeb1356af42bd0644f42e721db83ff7aa5df01295cd1f3a2519e	rule intOf(I:Int) => I
66	reference-semantics/semantics/builtins.k:56	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	e91ba8bc0324b61732a057b06f981d2ef99aaf66c5385cde280ffca809b5828f	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
67	reference-semantics/semantics/builtins.k:59	syntax	-	UNUSED_OR_STRUCTURAL_DECLARATION	ed695fa0c4dbae8a1436b754495b020fb468e206c2b6448c21a61316bf0da571	syntax KItem ::= #allAcc(Iterable) | "#allCont"
68	reference-semantics/semantics/builtins.k:60	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	e7fc3b9b3a8439566a4974be9e36608e65f380fca9cc34bcc9c6b41e522e9c16	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
69	reference-semantics/semantics/builtins.k:61	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	b74e515d3e67d8a52e1d0a061bb0432a2bf1de1b43995cc280a0ee2003d49c36	rule <k> #iterDone ~> #allCont => true ... </k>
70	reference-semantics/semantics/builtins.k:62	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	636ee4d8b8b1476341bae00f5fd8f2e7f324bce5c1e634e355554c92204d1c1e	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
71	reference-semantics/semantics/builtins.k:63	requires	-	MODULE_STRUCTURE	c833e85c6376d44a4a5e0d8869985104dcef66a058ada6edf6862ecb130bc6f7	requires truthy(V)
72	reference-semantics/semantics/builtins.k:64	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	1692cfb51988a0b9a19354bb6bbb0864e01f679bb6486ca52359691e5c4e8077	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
73	reference-semantics/semantics/builtins.k:65	requires	-	MODULE_STRUCTURE	06335cd982539f0d53b365a48851c1d19ef2ed2762293837fb3fb378fdd08218	requires notBool truthy(V)
74	reference-semantics/semantics/builtins.k:67	syntax	-	UNUSED_OR_STRUCTURAL_DECLARATION	fbd45cd7894ab0316f890fc61b1b5354b41eabbba062394cbcbf820f53d00eb0	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
75	reference-semantics/semantics/builtins.k:68	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	ca3f3bc3212a4bde9db710ca67b9ff4f7372092a568008c9e263f36654c478be	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
76	reference-semantics/semantics/builtins.k:69	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	c0ee3d29de0f584789682596e1516d301ee7f3cd73ca05694f3f10b3a978063a	rule <k> #iterDone ~> #anyCont => false ... </k>
77	reference-semantics/semantics/builtins.k:70	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	6e6b5d9a2a11493a8ea23a5304a1d6c16c7912fa1409de377e0379f9118e0ff4	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
78	reference-semantics/semantics/builtins.k:71	requires	-	MODULE_STRUCTURE	c833e85c6376d44a4a5e0d8869985104dcef66a058ada6edf6862ecb130bc6f7	requires truthy(V)
79	reference-semantics/semantics/builtins.k:72	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	ac5f7ad1241785b4be934071ddf5024a30c0e48751d93773e75b6745ea15fe66	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
80	reference-semantics/semantics/builtins.k:73	requires	-	MODULE_STRUCTURE	57fe5bcdc81d9857b5eb3c1b2c73d4345247a24208238741da44188792d2df66	requires notBool truthy(V) // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
81	reference-semantics/semantics/builtins.k:76	syntax	-	UNUSED_OR_STRUCTURAL_DECLARATION	e3461106d962a1af387b25dc9d0efaf45f25429c84e747320080d55a256fe3c6	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
82	reference-semantics/semantics/builtins.k:77	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	59848da8989bf29361886195ec4d734aee2bb375e15be945b163e8bebe9dc86b	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
83	reference-semantics/semantics/builtins.k:78	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	cca58281075abfb743d74987d1e2da8c52ea7e6e3eb215e501499495b1ab24b4	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
84	reference-semantics/semantics/builtins.k:79	requires	-	MODULE_STRUCTURE	5f861f396400aad05a05979d521e5c48d6520e361e9b9b34a8d70d941d55e672	requires isInt(V)
85	reference-semantics/semantics/builtins.k:80	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	66b9fabf71fa1c3cb5935e7c758b7835d42c078229bef95a9d00258c2be25942	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
86	reference-semantics/semantics/builtins.k:81	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	45675f8137ef759c03793ddbc5f29ba0c26e9b63dbb20548eff076acbe7f1e57	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
87	reference-semantics/semantics/builtins.k:82	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	3feb0aa39fca537e73a10278d2de8bbf946b8594fe2f7c0071568a1f567ad6e9	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
88	reference-semantics/semantics/builtins.k:84	requires	-	MODULE_STRUCTURE	5f861f396400aad05a05979d521e5c48d6520e361e9b9b34a8d70d941d55e672	requires isInt(V)
89	reference-semantics/semantics/builtins.k:86	syntax	-	UNUSED_OR_STRUCTURAL_DECLARATION	612c7bdfd2d38320c9120a5ad0911e5880488eb2a92ab68e87ac7a0a9bdcc60d	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
90	reference-semantics/semantics/builtins.k:87	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	eb6389d2a176f8e9c2eb65f49175e5c400253651be9a571add590da6ce3ba770	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
91	reference-semantics/semantics/builtins.k:88	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	c681ec013119b880623200916e7e5221650ae5501e95b5040e51069bb047c086	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
92	reference-semantics/semantics/builtins.k:89	requires	-	MODULE_STRUCTURE	5f861f396400aad05a05979d521e5c48d6520e361e9b9b34a8d70d941d55e672	requires isInt(V)
93	reference-semantics/semantics/builtins.k:90	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	20c0d7b936a1ae717e1b498c544d3e56d529de8b54a671c87468ea52c0180f02	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
94	reference-semantics/semantics/builtins.k:91	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	3f472924a83dcd925a34d32704d5cb43591b3115643998243b00b590ffd0789e	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
95	reference-semantics/semantics/builtins.k:92	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	db1450fab09a6d475302223a9484f5eaa3db23ca4e1f4cec0762d79a378f5908	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
96	reference-semantics/semantics/builtins.k:94	requires	-	MODULE_STRUCTURE	89f13e42d258785c415fc973c16ffb7c3d7092ad0cacc22f24ca81fba9901978	requires isInt(V) // ==== variadic max / min (a Vals fold) ====================================
97	reference-semantics/semantics/builtins.k:97	syntax	function	UNUSED_OR_STRUCTURAL_DECLARATION	4282c4747876bd11b0e0b06b2e4a8b6d9a709d9fb7d61a124e4e6e221a9cf49a	syntax Int ::= maxVals(Int, Vals) [function]
98	reference-semantics/semantics/builtins.k:98	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	16f482b70cca4e393239fcfc21ef383ea47184220924e70160efcc4f10351c27	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
99	reference-semantics/semantics/builtins.k:99	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	fb21a7851f56f7d9ed3357c97a7904370b3d6ede28cf28b7d032ee8519c55d21	rule maxVals(M:Int, .Vals) => M
100	reference-semantics/semantics/builtins.k:100	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	f1bf63869c2f8c3b4f48e5d002007a959d31bd3f9c39589cedd372e8e8c2c1fd	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
101	reference-semantics/semantics/builtins.k:102	syntax	function	UNUSED_OR_STRUCTURAL_DECLARATION	8b1e9d6e3b83d5fbb06102823efcc1bd5eceebe50248a0519155605df3d8928e	syntax Int ::= minVals(Int, Vals) [function]
102	reference-semantics/semantics/builtins.k:103	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	92b52ecacf4f7bcc94c1774bbf2f8c46491933333083bff18d1fba94099a53f7	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
103	reference-semantics/semantics/builtins.k:104	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	4daf802c8ea1f71caaa5a73ccf57bd5032b7603812eeefe0498b96e1a0c92e34	rule minVals(M:Int, .Vals) => M
104	reference-semantics/semantics/builtins.k:105	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	c3b99a9b9cf37c7b30e97a132c1184be3fe79b6ffcd762a32dbe76e9e7a732ce	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
