id	file	line	kind	attributes	audit_class	assessment	text
42	reference-semantics/semantics/builtins.k	34	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
43	reference-semantics/semantics/builtins.k	35	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
44	reference-semantics/semantics/builtins.k	36	syntax	function,total	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax ValSeq ::= charsOf(IntSeq) [function, total]
45	reference-semantics/semantics/builtins.k	37	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule charsOf(.IntSeq)                => .ValSeq
46	reference-semantics/semantics/builtins.k	38	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
47	reference-semantics/semantics/builtins.k	41	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
48	reference-semantics/semantics/builtins.k	44	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
49	reference-semantics/semantics/builtins.k	47	syntax		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
50	reference-semantics/semantics/builtins.k	48	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
51	reference-semantics/semantics/builtins.k	49	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
52	reference-semantics/semantics/builtins.k	50	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
53	reference-semantics/semantics/builtins.k	54	syntax	function	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax Int ::= intOf(Val) [function]
54	reference-semantics/semantics/builtins.k	55	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule intOf(I:Int)  => I
55	reference-semantics/semantics/builtins.k	56	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
56	reference-semantics/semantics/builtins.k	59	syntax		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
57	reference-semantics/semantics/builtins.k	60	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
58	reference-semantics/semantics/builtins.k	61	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterDone ~> #allCont => true ... </k>
59	reference-semantics/semantics/builtins.k	62	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
60	reference-semantics/semantics/builtins.k	64	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
61	reference-semantics/semantics/builtins.k	67	syntax		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
62	reference-semantics/semantics/builtins.k	68	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
63	reference-semantics/semantics/builtins.k	69	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterDone ~> #anyCont => false ... </k>
64	reference-semantics/semantics/builtins.k	70	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
65	reference-semantics/semantics/builtins.k	72	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
66	reference-semantics/semantics/builtins.k	76	syntax		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
67	reference-semantics/semantics/builtins.k	77	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
68	reference-semantics/semantics/builtins.k	78	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
69	reference-semantics/semantics/builtins.k	80	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
70	reference-semantics/semantics/builtins.k	81	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
71	reference-semantics/semantics/builtins.k	82	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
72	reference-semantics/semantics/builtins.k	86	syntax		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
73	reference-semantics/semantics/builtins.k	87	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
74	reference-semantics/semantics/builtins.k	88	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
75	reference-semantics/semantics/builtins.k	90	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
76	reference-semantics/semantics/builtins.k	91	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
77	reference-semantics/semantics/builtins.k	92	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
78	reference-semantics/semantics/builtins.k	97	syntax	function	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax Int ::= maxVals(Int, Vals) [function]
79	reference-semantics/semantics/builtins.k	98	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
80	reference-semantics/semantics/builtins.k	99	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule maxVals(M:Int, .Vals)           => M
81	reference-semantics/semantics/builtins.k	100	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
82	reference-semantics/semantics/builtins.k	102	syntax	function	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax Int ::= minVals(Int, Vals) [function]
83	reference-semantics/semantics/builtins.k	103	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
84	reference-semantics/semantics/builtins.k	104	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule minVals(M:Int, .Vals)           => M
85	reference-semantics/semantics/builtins.k	105	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
86	reference-semantics/semantics/builtins.k	108	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
87	reference-semantics/semantics/builtins.k	111	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
88	reference-semantics/semantics/builtins.k	114	syntax	function,total	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax IntSeq ::= binCodes(Int) [function, total]
89	reference-semantics/semantics/builtins.k	115	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule binCodes(0) => iCons(48, .IntSeq)
90	reference-semantics/semantics/builtins.k	116	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
91	reference-semantics/semantics/builtins.k	117	syntax	function,total	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
92	reference-semantics/semantics/builtins.k	118	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule binAcc(0, ACC:IntSeq) => ACC
93	reference-semantics/semantics/builtins.k	119	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
94	reference-semantics/semantics/builtins.k	124	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
95	reference-semantics/semantics/builtins.k	126	syntax	function,total	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
96	reference-semantics/semantics/builtins.k	127	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule enumVS(.ValSeq, _:Int) => .ValSeq
97	reference-semantics/semantics/builtins.k	128	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
98	reference-semantics/semantics/builtins.k	132	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
99	reference-semantics/semantics/builtins.k	134	syntax	function,total	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
100	reference-semantics/semantics/builtins.k	135	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule mapStrVS(.ValSeq) => .ValSeq
101	reference-semantics/semantics/builtins.k	136	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
102	reference-semantics/semantics/builtins.k	137	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
103	reference-semantics/semantics/builtins.k	140	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""int"", I:Int, .Vals) => I"
104	reference-semantics/semantics/builtins.k	143	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
105	reference-semantics/semantics/builtins.k	144	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128"
106	reference-semantics/semantics/builtins.k	148	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
107	reference-semantics/semantics/builtins.k	149	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
108	reference-semantics/semantics/builtins.k	152	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57"
109	reference-semantics/semantics/builtins.k	156	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
110	reference-semantics/semantics/builtins.k	158	syntax	function,total	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
111	reference-semantics/semantics/builtins.k	159	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
112	reference-semantics/semantics/builtins.k	160	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
113	reference-semantics/semantics/builtins.k	163	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
114	reference-semantics/semantics/builtins.k	164	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)"
115	reference-semantics/semantics/builtins.k	167	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
116	reference-semantics/semantics/builtins.k	169	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
117	reference-semantics/semantics/builtins.k	170	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
118	reference-semantics/semantics/builtins.k	171	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
119	reference-semantics/semantics/builtins.k	173	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
120	reference-semantics/semantics/builtins.k	174	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
121	reference-semantics/semantics/builtins.k	177	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""range"", I:Int, .Vals)               => rangeObj(0, I, 1)"
122	reference-semantics/semantics/builtins.k	178	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""range"", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)"
123	reference-semantics/semantics/builtins.k	179	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0"
124	reference-semantics/semantics/builtins.k	187	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
125	reference-semantics/semantics/builtins.k	188	syntax	function	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax Int ::= evalArith(IntSeq) [function]
126	reference-semantics/semantics/builtins.k	189	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
127	reference-semantics/semantics/builtins.k	192	syntax		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
128	reference-semantics/semantics/builtins.k	194	syntax	function,total	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax Bool ::= evDigit(Int) [function, total]
129	reference-semantics/semantics/builtins.k	195	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
130	reference-semantics/semantics/builtins.k	196	syntax	function,total	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax Bool ::= evHead42(IntSeq) [function, total]
131	reference-semantics/semantics/builtins.k	197	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule evHead42(iCons(42, _:IntSeq)) => true
132	reference-semantics/semantics/builtins.k	198	rule	owise	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule evHead42(_:IntSeq)            => false [owise]
133	reference-semantics/semantics/builtins.k	199	syntax	function,total	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	syntax Bool ::= evHead47(IntSeq) [function, total]
134	reference-semantics/semantics/builtins.k	200	rule		fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule evHead47(iCons(47, _:IntSeq)) => true
135	reference-semantics/semantics/builtins.k	201	rule	owise	fixed-supplied/reached-or-import	fixed-supplied-selected/no-false-witness-identified	rule evHead47(_:IntSeq)            => false [owise]
