id	file	line	module	kind	class	attributes	total	functional	text
17	reference-semantics/semantics/bool.k	43	MPY-BOOL	rule	priority_rule	priority(40)	no	no	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
18	reference-semantics/semantics/builtins.k	17	MPY-BUILTINS	syntax	function_declaration	function	no	yes	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
19	reference-semantics/semantics/builtins.k	20	MPY-BUILTINS	syntax	function_declaration	function	no	yes	syntax Int ::= seqLen(Val) [function]
20	reference-semantics/semantics/builtins.k	21	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
21	reference-semantics/semantics/builtins.k	22	MPY-BUILTINS	rule	ordinary_rule		no	no	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
22	reference-semantics/semantics/builtins.k	23	MPY-BUILTINS	rule	ordinary_rule		no	no	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
23	reference-semantics/semantics/builtins.k	24	MPY-BUILTINS	rule	ordinary_rule		no	no	rule seqLen(str(IS:IntSeq)) => isLen(IS)
24	reference-semantics/semantics/builtins.k	25	MPY-BUILTINS	rule	ordinary_rule		no	no	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
25	reference-semantics/semantics/builtins.k	26	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the ""copy a sequence"" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)"
26	reference-semantics/semantics/builtins.k	32	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
27	reference-semantics/semantics/builtins.k	33	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
28	reference-semantics/semantics/builtins.k	34	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
29	reference-semantics/semantics/builtins.k	35	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
30	reference-semantics/semantics/builtins.k	36	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax ValSeq ::= charsOf(IntSeq) [function, total]
31	reference-semantics/semantics/builtins.k	37	MPY-BUILTINS	rule	ordinary_rule		no	no	rule charsOf(.IntSeq) => .ValSeq
32	reference-semantics/semantics/builtins.k	38	MPY-BUILTINS	rule	ordinary_rule		no	no	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
33	reference-semantics/semantics/builtins.k	41	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================"
34	reference-semantics/semantics/builtins.k	44	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool =="
35	reference-semantics/semantics/builtins.k	47	MPY-BUILTINS	syntax	syntax_declaration		no	no	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
36	reference-semantics/semantics/builtins.k	48	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
37	reference-semantics/semantics/builtins.k	49	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
38	reference-semantics/semantics/builtins.k	50	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
39	reference-semantics/semantics/builtins.k	54	MPY-BUILTINS	syntax	function_declaration	function	no	yes	syntax Int ::= intOf(Val) [function]
40	reference-semantics/semantics/builtins.k	55	MPY-BUILTINS	rule	ordinary_rule		no	no	rule intOf(I:Int) => I
41	reference-semantics/semantics/builtins.k	56	MPY-BUILTINS	rule	ordinary_rule		no	no	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
42	reference-semantics/semantics/builtins.k	59	MPY-BUILTINS	syntax	syntax_declaration		no	no	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
43	reference-semantics/semantics/builtins.k	60	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
44	reference-semantics/semantics/builtins.k	61	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterDone ~> #allCont => true ... </k>
45	reference-semantics/semantics/builtins.k	62	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
46	reference-semantics/semantics/builtins.k	64	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
47	reference-semantics/semantics/builtins.k	67	MPY-BUILTINS	syntax	syntax_declaration		no	no	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
48	reference-semantics/semantics/builtins.k	68	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
49	reference-semantics/semantics/builtins.k	69	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterDone ~> #anyCont => false ... </k>
50	reference-semantics/semantics/builtins.k	70	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
51	reference-semantics/semantics/builtins.k	72	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V) // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
52	reference-semantics/semantics/builtins.k	76	MPY-BUILTINS	syntax	syntax_declaration		no	no	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
53	reference-semantics/semantics/builtins.k	77	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
54	reference-semantics/semantics/builtins.k	78	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
55	reference-semantics/semantics/builtins.k	80	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
56	reference-semantics/semantics/builtins.k	81	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
57	reference-semantics/semantics/builtins.k	82	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
58	reference-semantics/semantics/builtins.k	86	MPY-BUILTINS	syntax	syntax_declaration		no	no	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
59	reference-semantics/semantics/builtins.k	87	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
60	reference-semantics/semantics/builtins.k	88	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
61	reference-semantics/semantics/builtins.k	90	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
62	reference-semantics/semantics/builtins.k	91	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
63	reference-semantics/semantics/builtins.k	92	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V) // ==== variadic max / min (a Vals fold) ====================================
64	reference-semantics/semantics/builtins.k	97	MPY-BUILTINS	syntax	function_declaration	function	no	yes	syntax Int ::= maxVals(Int, Vals) [function]
65	reference-semantics/semantics/builtins.k	98	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
66	reference-semantics/semantics/builtins.k	99	MPY-BUILTINS	rule	ordinary_rule		no	no	rule maxVals(M:Int, .Vals) => M
67	reference-semantics/semantics/builtins.k	100	MPY-BUILTINS	rule	ordinary_rule		no	no	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
68	reference-semantics/semantics/builtins.k	102	MPY-BUILTINS	syntax	function_declaration	function	no	yes	syntax Int ::= minVals(Int, Vals) [function]
69	reference-semantics/semantics/builtins.k	103	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
70	reference-semantics/semantics/builtins.k	104	MPY-BUILTINS	rule	ordinary_rule		no	no	rule minVals(M:Int, .Vals) => M
71	reference-semantics/semantics/builtins.k	105	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — ""0b"" + binary digit codes (promoted from 103's defined fold) =="
72	reference-semantics/semantics/builtins.k	108	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits"
73	reference-semantics/semantics/builtins.k	111	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
74	reference-semantics/semantics/builtins.k	114	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax IntSeq ::= binCodes(Int) [function, total]
75	reference-semantics/semantics/builtins.k	115	MPY-BUILTINS	rule	ordinary_rule		no	no	rule binCodes(0) => iCons(48, .IntSeq)
76	reference-semantics/semantics/builtins.k	116	MPY-BUILTINS	rule	ordinary_rule		no	no	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
77	reference-semantics/semantics/builtins.k	117	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
78	reference-semantics/semantics/builtins.k	118	MPY-BUILTINS	rule	ordinary_rule		no	no	rule binAcc(0, ACC:IntSeq) => ACC
79	reference-semantics/semantics/builtins.k	119	MPY-BUILTINS	rule	ordinary_rule		no	no	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0 // ==== enumerate(xs) — pairs (i, v); materialized eagerly over a list =========
80	reference-semantics/semantics/builtins.k	124	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
81	reference-semantics/semantics/builtins.k	126	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
82	reference-semantics/semantics/builtins.k	127	MPY-BUILTINS	rule	ordinary_rule		no	no	rule enumVS(.ValSeq, _:Int) => .ValSeq
83	reference-semantics/semantics/builtins.k	128	MPY-BUILTINS	rule	ordinary_rule		no	no	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============
84	reference-semantics/semantics/builtins.k	132	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
85	reference-semantics/semantics/builtins.k	134	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
86	reference-semantics/semantics/builtins.k	135	MPY-BUILTINS	rule	ordinary_rule		no	no	rule mapStrVS(.ValSeq) => .ValSeq
87	reference-semantics/semantics/builtins.k	136	MPY-BUILTINS	rule	ordinary_rule		no	no	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
88	reference-semantics/semantics/builtins.k	137	MPY-BUILTINS	rule	ordinary_rule		no	no	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================
89	reference-semantics/semantics/builtins.k	140	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""int"", I:Int, .Vals) => I // ==== ord / chr ==========================================================="
90	reference-semantics/semantics/builtins.k	143	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
91	reference-semantics/semantics/builtins.k	144	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128 // ==== str(int) / str(str) ================================================="
92	reference-semantics/semantics/builtins.k	148	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""str"", I:Int, .Vals) => str(strToCodes(Int2String(I)))"
93	reference-semantics/semantics/builtins.k	149	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS) // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value ====="
94	reference-semantics/semantics/builtins.k	152	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57 // ==== int(str) — a multi-digit non-negative numeral (Horner fold; the single-char rule covers len 1)"
95	reference-semantics/semantics/builtins.k	156	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
96	reference-semantics/semantics/builtins.k	158	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
97	reference-semantics/semantics/builtins.k	159	MPY-BUILTINS	rule	ordinary_rule		no	no	rule intDigAcc(.IntSeq, ACC:Int) => ACC
98	reference-semantics/semantics/builtins.k	160	MPY-BUILTINS	rule	ordinary_rule		no	no	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48)) // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
99	reference-semantics/semantics/builtins.k	163	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
100	reference-semantics/semantics/builtins.k	164	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B) // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)"
101	reference-semantics/semantics/builtins.k	167	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
102	reference-semantics/semantics/builtins.k	169	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
103	reference-semantics/semantics/builtins.k	170	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
104	reference-semantics/semantics/builtins.k	171	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
105	reference-semantics/semantics/builtins.k	173	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
106	reference-semantics/semantics/builtins.k	174	MPY-BUILTINS	rule	ordinary_rule		no	no	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k> // ==== range(stop) / range(start, stop) / range(start, stop, step) =========
107	reference-semantics/semantics/builtins.k	177	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""range"", I:Int, .Vals) => rangeObj(0, I, 1)"
108	reference-semantics/semantics/builtins.k	178	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""range"", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)"
109	reference-semantics/semantics/builtins.k	179	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0 // ==== eval(str) — arithmetic expressions (ints, + - * // **, spaces) ======== // Python precedence: ** right-assoc, then * //, then + -. Promoted from 160's // trusted pass evaluator, now DEFINED in the reference and driven by a // code-level tokenizer. Reduces on concrete strings (krun); a symbolic // argument leaves the call unevaluated for problem-level folds."
110	reference-semantics/semantics/builtins.k	187	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
111	reference-semantics/semantics/builtins.k	188	MPY-BUILTINS	syntax	function_declaration	function	no	yes	syntax Int ::= evalArith(IntSeq) [function]
112	reference-semantics/semantics/builtins.k	189	MPY-BUILTINS	rule	ordinary_rule		no	no	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
113	reference-semantics/semantics/builtins.k	192	MPY-BUILTINS	syntax	syntax_declaration		no	no	"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
114	reference-semantics/semantics/builtins.k	194	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax Bool ::= evDigit(Int) [function, total]
115	reference-semantics/semantics/builtins.k	195	MPY-BUILTINS	rule	ordinary_rule		no	no	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
116	reference-semantics/semantics/builtins.k	196	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax Bool ::= evHead42(IntSeq) [function, total]
117	reference-semantics/semantics/builtins.k	197	MPY-BUILTINS	rule	ordinary_rule		no	no	rule evHead42(iCons(42, _:IntSeq)) => true
118	reference-semantics/semantics/builtins.k	198	MPY-BUILTINS	rule	ordinary_rule	owise	no	no	rule evHead42(_:IntSeq) => false [owise]
119	reference-semantics/semantics/builtins.k	199	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax Bool ::= evHead47(IntSeq) [function, total]
120	reference-semantics/semantics/builtins.k	200	MPY-BUILTINS	rule	ordinary_rule		no	no	rule evHead47(iCons(47, _:IntSeq)) => true
121	reference-semantics/semantics/builtins.k	201	MPY-BUILTINS	rule	ordinary_rule	owise	no	no	rule evHead47(_:IntSeq) => false [owise]
122	reference-semantics/semantics/builtins.k	203	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax OpSeq ::= tokOps(IntSeq) [function, total]
123	reference-semantics/semantics/builtins.k	204	MPY-BUILTINS	rule	ordinary_rule		no	no	rule tokOps(.IntSeq) => .OpSeq
124	reference-semantics/semantics/builtins.k	205	MPY-BUILTINS	rule	ordinary_rule		no	no	rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
125	reference-semantics/semantics/builtins.k	206	MPY-BUILTINS	rule	ordinary_rule		no	no	rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
126	reference-semantics/semantics/builtins.k	207	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons(""**"", tokOps(R))"
127	reference-semantics/semantics/builtins.k	208	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule tokOps(iCons(42, R:IntSeq)) => oCons(""*"", tokOps(R)) requires notBool evHead42(R)"
128	reference-semantics/semantics/builtins.k	209	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons(""//"", tokOps(R))"
129	reference-semantics/semantics/builtins.k	210	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule tokOps(iCons(47, R:IntSeq)) => oCons(""/"", tokOps(R)) requires notBool evHead47(R)"
130	reference-semantics/semantics/builtins.k	211	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule tokOps(iCons(43, R:IntSeq)) => oCons(""+"", tokOps(R))"
131	reference-semantics/semantics/builtins.k	212	MPY-BUILTINS	rule	ordinary_rule		no	no	"rule tokOps(iCons(45, R:IntSeq)) => oCons(""-"", tokOps(R))"
132	reference-semantics/semantics/builtins.k	214	MPY-BUILTINS	syntax	function_declaration	function, total,function, total	yes	yes	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
133	reference-semantics/semantics/builtins.k	216	MPY-BUILTINS	rule	ordinary_rule		no	no	rule tokNds(.IntSeq) => .IntSeq
134	reference-semantics/semantics/builtins.k	217	MPY-BUILTINS	rule	ordinary_rule		no	no	rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)
135	reference-semantics/semantics/builtins.k	218	MPY-BUILTINS	rule	ordinary_rule		no	no	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
136	reference-semantics/semantics/builtins.k	219	MPY-BUILTINS	rule	ordinary_rule		no	no	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32
137	reference-semantics/semantics/builtins.k	221	MPY-BUILTINS	rule	ordinary_rule		no	no	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)
138	reference-semantics/semantics/builtins.k	223	MPY-BUILTINS	rule	ordinary_rule	owise	no	no	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
139	reference-semantics/semantics/builtins.k	225	MPY-BUILTINS	syntax	syntax_declaration		no	no	syntax EvPair ::= evp(OpSeq, IntSeq)
140	reference-semantics/semantics/builtins.k	226	MPY-BUILTINS	syntax	function_declaration	function, total	yes	yes	syntax Int ::= firstNdE(EvPair) [function, total]
