id	scope	file	line	module	kind	classification	attributes	assessment	text
reference-semantics/semantics/bool.k:29	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	29	MPY-BOOL	rule	operational-rule+priority	priority	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k:31	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	31	MPY-BOOL	rule	operational-rule+priority	priority	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k:35	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	35	MPY-BOOL	rule	operational-rule+priority	priority	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k:39	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	39	MPY-BOOL	rule	operational-rule+priority	priority	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k:43	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	43	MPY-BOOL	rule	operational-rule+priority	priority	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
reference-semantics/semantics/builtins.k:17	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	17	MPY-BUILTINS	syntax	equational-symbol-declaration	function	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k:20	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	20	MPY-BUILTINS	syntax	equational-symbol-declaration	function	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k:21	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	21	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
reference-semantics/semantics/builtins.k:22	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	22	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k:23	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	23	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k:24	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	24	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule seqLen(str(IS:IntSeq)) => isLen(IS)
reference-semantics/semantics/builtins.k:25	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	25	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
reference-semantics/semantics/builtins.k:26	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	26	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
reference-semantics/semantics/builtins.k:32	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	32	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k:33	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	33	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k:34	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	34	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
reference-semantics/semantics/builtins.k:35	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	35	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
reference-semantics/semantics/builtins.k:36	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	36	MPY-BUILTINS	syntax	equational-symbol-declaration	function,total	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k:37	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	37	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule charsOf(.IntSeq) => .ValSeq
reference-semantics/semantics/builtins.k:38	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	38	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k:41	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	41	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
reference-semantics/semantics/builtins.k:44	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	44	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
reference-semantics/semantics/builtins.k:47	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	47	MPY-BUILTINS	syntax	constructor/control-syntax		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k:48	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	48	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k:49	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	49	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k:50	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	50	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k:54	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	54	MPY-BUILTINS	syntax	equational-symbol-declaration	function	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k:55	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	55	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule intOf(I:Int) => I
reference-semantics/semantics/builtins.k:56	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	56	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k:59	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	59	MPY-BUILTINS	syntax	constructor/control-syntax		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
reference-semantics/semantics/builtins.k:60	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	60	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k:61	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	61	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k:62	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	62	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k:64	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	64	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k:67	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	67	MPY-BUILTINS	syntax	constructor/control-syntax		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
reference-semantics/semantics/builtins.k:68	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	68	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k:69	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	69	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k:70	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	70	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k:72	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	72	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k:76	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	76	MPY-BUILTINS	syntax	constructor/control-syntax		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
reference-semantics/semantics/builtins.k:77	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	77	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k:78	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	78	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k:80	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	80	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k:81	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	81	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k:82	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	82	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k:86	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	86	MPY-BUILTINS	syntax	constructor/control-syntax		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
reference-semantics/semantics/builtins.k:87	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	87	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k:88	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	88	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k:90	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	90	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k:91	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	91	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k:92	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	92	MPY-BUILTINS	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k:97	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	97	MPY-BUILTINS	syntax	equational-symbol-declaration	function	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k:98	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	98	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
reference-semantics/semantics/builtins.k:99	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	99	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule maxVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k:100	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	100	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k:102	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	102	MPY-BUILTINS	syntax	equational-symbol-declaration	function	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k:103	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	103	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
reference-semantics/semantics/builtins.k:104	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	104	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule minVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k:105	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	105	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k:108	launcher-trusted-supplied-semantics	reference-semantics/semantics/builtins.k	108	MPY-BUILTINS	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
