Script started on 2026-07-26 16:23:43-05:00 [<not executed on terminal>]
source_file_count=26
entry_count=950
kind_counts={'rule': 707, 'context': 5, 'syntax': 234, 'configuration': 1, 'claim': 3}
attribute_entry_counts={'function': 148, 'functional': 0, 'total': 108, 'symbol': 25, 'no-evaluators': 22, 'priority': 29, 'simplification': 1, 'concrete': 32, 'owise': 26, 'macro': 7, 'macro-rec': 1}

ID	LOCATION	KIND	ATTRIBUTES	DECLARATION_OR_RULE
K0015	reference-semantics/semantics/bool.k:35	rule	-	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
K0016	reference-semantics/semantics/bool.k:39	rule	-	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
K0017	reference-semantics/semantics/bool.k:43	rule	-	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
K0018	reference-semantics/semantics/builtins.k:17	syntax	function	syntax Val ::= applyBuiltin(String, Vals) [function]
K0019	reference-semantics/semantics/builtins.k:20	syntax	function	syntax Int ::= seqLen(Val) [function]
K0020	reference-semantics/semantics/builtins.k:21	rule	-	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
K0021	reference-semantics/semantics/builtins.k:22	rule	-	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
K0022	reference-semantics/semantics/builtins.k:23	rule	-	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
K0023	reference-semantics/semantics/builtins.k:24	rule	-	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
K0024	reference-semantics/semantics/builtins.k:25	rule	-	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
K0025	reference-semantics/semantics/builtins.k:26	rule	-	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K0026	reference-semantics/semantics/builtins.k:32	rule	-	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
K0027	reference-semantics/semantics/builtins.k:33	rule	-	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0028	reference-semantics/semantics/builtins.k:34	rule	-	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
K0029	reference-semantics/semantics/builtins.k:35	rule	-	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
K0030	reference-semantics/semantics/builtins.k:36	syntax	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0031	reference-semantics/semantics/builtins.k:37	rule	-	rule charsOf(.IntSeq)                => .ValSeq
K0032	reference-semantics/semantics/builtins.k:38	rule	-	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K0033	reference-semantics/semantics/builtins.k:41	rule	-	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
K0034	reference-semantics/semantics/builtins.k:44	rule	-	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
K0035	reference-semantics/semantics/builtins.k:47	syntax	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0036	reference-semantics/semantics/builtins.k:48	rule	-	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0037	reference-semantics/semantics/builtins.k:49	rule	-	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0038	reference-semantics/semantics/builtins.k:50	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
K0039	reference-semantics/semantics/builtins.k:54	syntax	function	syntax Int ::= intOf(Val) [function]
K0040	reference-semantics/semantics/builtins.k:55	rule	-	rule intOf(I:Int)  => I
K0041	reference-semantics/semantics/builtins.k:56	rule	-	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K0042	reference-semantics/semantics/builtins.k:59	syntax	-	syntax KItem ::= #allAcc(Iterable) | "#allCont"
K0043	reference-semantics/semantics/builtins.k:60	rule	-	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0044	reference-semantics/semantics/builtins.k:61	rule	-	rule <k> #iterDone ~> #allCont => true ... </k>
K0045	reference-semantics/semantics/builtins.k:62	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
K0046	reference-semantics/semantics/builtins.k:64	rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
K0047	reference-semantics/semantics/builtins.k:67	syntax	-	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
K0048	reference-semantics/semantics/builtins.k:68	rule	-	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0049	reference-semantics/semantics/builtins.k:69	rule	-	rule <k> #iterDone ~> #anyCont => false ... </k>
K0050	reference-semantics/semantics/builtins.k:70	rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
K0051	reference-semantics/semantics/builtins.k:72	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
K0052	reference-semantics/semantics/builtins.k:76	syntax	-	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
K0053	reference-semantics/semantics/builtins.k:77	rule	-	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0054	reference-semantics/semantics/builtins.k:78	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
K0055	reference-semantics/semantics/builtins.k:80	rule	-	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0056	reference-semantics/semantics/builtins.k:81	rule	-	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K0057	reference-semantics/semantics/builtins.k:82	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
K0058	reference-semantics/semantics/builtins.k:86	syntax	-	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
K0059	reference-semantics/semantics/builtins.k:87	rule	-	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K0060	reference-semantics/semantics/builtins.k:88	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
K0061	reference-semantics/semantics/builtins.k:90	rule	-	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K0062	reference-semantics/semantics/builtins.k:91	rule	-	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K0063	reference-semantics/semantics/builtins.k:92	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
K0064	reference-semantics/semantics/builtins.k:97	syntax	function	syntax Int ::= maxVals(Int, Vals) [function]
K0065	reference-semantics/semantics/builtins.k:98	rule	-	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
K0066	reference-semantics/semantics/builtins.k:99	rule	-	rule maxVals(M:Int, .Vals)           => M
K0067	reference-semantics/semantics/builtins.k:100	rule	-	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K0068	reference-semantics/semantics/builtins.k:102	syntax	function	syntax Int ::= minVals(Int, Vals) [function]
K0069	reference-semantics/semantics/builtins.k:103	rule	-	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
K0070	reference-semantics/semantics/builtins.k:104	rule	-	rule minVals(M:Int, .Vals)           => M
K0071	reference-semantics/semantics/builtins.k:105	rule	-	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
K0072	reference-semantics/semantics/builtins.k:108	rule	-	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
K0073	reference-semantics/semantics/builtins.k:111	rule	-	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
K0074	reference-semantics/semantics/builtins.k:114	syntax	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
K0075	reference-semantics/semantics/builtins.k:115	rule	-	rule binCodes(0) => iCons(48, .IntSeq)
K0076	reference-semantics/semantics/builtins.k:116	rule	-	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K0077	reference-semantics/semantics/builtins.k:117	syntax	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K0078	reference-semantics/semantics/builtins.k:118	rule	-	rule binAcc(0, ACC:IntSeq) => ACC
K0079	reference-semantics/semantics/builtins.k:119	rule	-	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
K0080	reference-semantics/semantics/builtins.k:124	rule	-	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
K0081	reference-semantics/semantics/builtins.k:126	syntax	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K0082	reference-semantics/semantics/builtins.k:127	rule	-	rule enumVS(.ValSeq, _:Int) => .ValSeq
K0083	reference-semantics/semantics/builtins.k:128	rule	-	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
K0084	reference-semantics/semantics/builtins.k:132	rule	-	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
K0085	reference-semantics/semantics/builtins.k:134	syntax	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K0086	reference-semantics/semantics/builtins.k:135	rule	-	rule mapStrVS(.ValSeq) => .ValSeq
K0087	reference-semantics/semantics/builtins.k:136	rule	-	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K0088	reference-semantics/semantics/builtins.k:137	rule	-	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
K0089	reference-semantics/semantics/builtins.k:140	rule	-	rule applyBuiltin("int", I:Int, .Vals) => I
K0090	reference-semantics/semantics/builtins.k:143	rule	-	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
K0091	reference-semantics/semantics/builtins.k:144	rule	-	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
K0092	reference-semantics/semantics/builtins.k:148	rule	-	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
K0093	reference-semantics/semantics/builtins.k:149	rule	-	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
K0094	reference-semantics/semantics/builtins.k:152	rule	-	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
K0095	reference-semantics/semantics/builtins.k:156	rule	-	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
K0096	reference-semantics/semantics/builtins.k:158	syntax	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
K0097	reference-semantics/semantics/builtins.k:159	rule	-	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
K0098	reference-semantics/semantics/builtins.k:160	rule	-	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
K0099	reference-semantics/semantics/builtins.k:163	rule	-	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
K0100	reference-semantics/semantics/builtins.k:164	rule	-	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
K0101	reference-semantics/semantics/builtins.k:167	rule	-	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
K0102	reference-semantics/semantics/builtins.k:169	rule	-	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
K0103	reference-semantics/semantics/builtins.k:170	rule	-	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
K0104	reference-semantics/semantics/builtins.k:171	rule	-	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
K0105	reference-semantics/semantics/builtins.k:173	rule	-	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
K0106	reference-semantics/semantics/builtins.k:174	rule	-	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
K0107	reference-semantics/semantics/builtins.k:177	rule	-	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
K0108	reference-semantics/semantics/builtins.k:178	rule	-	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
K0109	reference-semantics/semantics/builtins.k:179	rule	-	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
K0110	reference-semantics/semantics/builtins.k:187	rule	-	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
K0111	reference-semantics/semantics/builtins.k:188	syntax	function	syntax Int ::= evalArith(IntSeq) [function]
K0112	reference-semantics/semantics/builtins.k:189	rule	-	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
K0113	reference-semantics/semantics/builtins.k:192	syntax	-	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
K0114	reference-semantics/semantics/builtins.k:194	syntax	function,total	syntax Bool ::= evDigit(Int) [function, total]
K0115	reference-semantics/semantics/builtins.k:195	rule	-	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
K0116	reference-semantics/semantics/builtins.k:196	syntax	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
K0117	reference-semantics/semantics/builtins.k:197	rule	-	rule evHead42(iCons(42, _:IntSeq)) => true
K0118	reference-semantics/semantics/builtins.k:198	rule	owise	rule evHead42(_:IntSeq)            => false [owise]
K0119	reference-semantics/semantics/builtins.k:199	syntax	function,total	syntax Bool ::= evHead47(IntSeq) [function, total]
K0120	reference-semantics/semantics/builtins.k:200	rule	-	rule evHead47(iCons(47, _:IntSeq)) => true
K0121	reference-semantics/semantics/builtins.k:201	rule	owise	rule evHead47(_:IntSeq)            => false [owise]
K0122	reference-semantics/semantics/builtins.k:203	syntax	function,total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
K0123	reference-semantics/semantics/builtins.k:204	rule	-	rule tokOps(.IntSeq)                 => .OpSeq
K0124	reference-semantics/semantics/builtins.k:205	rule	-	rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
K0125	reference-semantics/semantics/builtins.k:206	rule	-	rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
K0126	reference-semantics/semantics/builtins.k:207	rule	-	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
K0127	reference-semantics/semantics/builtins.k:208	rule	-	rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
K0128	reference-semantics/semantics/builtins.k:209	rule	-	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
K0129	reference-semantics/semantics/builtins.k:210	rule	-	rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)
K0130	reference-semantics/semantics/builtins.k:211	rule	-	rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))
K0131	reference-semantics/semantics/builtins.k:212	rule	-	rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))
K0132	reference-semantics/semantics/builtins.k:214	syntax	function,total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
K0133	reference-semantics/semantics/builtins.k:216	rule	-	rule tokNds(.IntSeq)                => .IntSeq
K0134	reference-semantics/semantics/builtins.k:217	rule	-	rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)
K0135	reference-semantics/semantics/builtins.k:218	rule	-	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
K0136	reference-semantics/semantics/builtins.k:219	rule	-	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R)
K0137	reference-semantics/semantics/builtins.k:221	rule	-	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R)
K0138	reference-semantics/semantics/builtins.k:223	rule	owise	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
K0139	reference-semantics/semantics/builtins.k:225	syntax	-	syntax EvPair ::= evp(OpSeq, IntSeq)
K0140	reference-semantics/semantics/builtins.k:226	syntax	function,total	syntax Int ::= firstNdE(EvPair) [function, total]
K0141	reference-semantics/semantics/builtins.k:227	rule	-	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
K0142	reference-semantics/semantics/builtins.k:228	rule	owise	rule firstNdE(_:EvPair) => 0 [owise]
K0143	reference-semantics/semantics/builtins.k:230	syntax	function,total	syntax Int ::= applyOpE(String, Int, Int) [function, total]
K0144	reference-semantics/semantics/builtins.k:231	rule	-	rule applyOpE("+",  A:Int, B:Int) => A +Int B
K0145	reference-semantics/semantics/builtins.k:232	rule	-	rule applyOpE("-",  A:Int, B:Int) => A -Int B
K0146	reference-semantics/semantics/builtins.k:233	rule	-	rule applyOpE("*",  A:Int, B:Int) => A *Int B
K0147	reference-semantics/semantics/builtins.k:234	rule	-	rule applyOpE("//", A:Int, B:Int) => A divInt B
K0148	reference-semantics/semantics/builtins.k:235	rule	-	rule applyOpE("**", A:Int, B:Int) => A ^Int B
K0149	reference-semantics/semantics/builtins.k:236	rule	owise	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
K0150	reference-semantics/semantics/builtins.k:238	syntax	function,total	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
K0151	reference-semantics/semantics/builtins.k:239	rule	-	rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
K0152	reference-semantics/semantics/builtins.k:240	rule	-	rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))
K0153	reference-semantics/semantics/builtins.k:241	rule	-	rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS))
K0154	reference-semantics/semantics/builtins.k:243	rule	owise	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
K0155	reference-semantics/semantics/builtins.k:244	syntax	function,total	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
K0156	reference-semantics/semantics/builtins.k:245	rule	-	rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
K0157	reference-semantics/semantics/builtins.k:246	rule	-	rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
K0158	reference-semantics/semantics/builtins.k:247	syntax	function,total	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
K0159	reference-semantics/semantics/builtins.k:248	rule	-	rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
K0160	reference-semantics/semantics/builtins.k:250	syntax	function,total	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
K0161	reference-semantics/semantics/builtins.k:251	rule	-	rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)
K0162	reference-semantics/semantics/builtins.k:252	rule	-	rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
K0163	reference-semantics/semantics/builtins.k:253	rule	-	rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)
K0164	reference-semantics/semantics/builtins.k:254	rule	-	rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
K0165	reference-semantics/semantics/builtins.k:255	syntax	function,total	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
K0166	reference-semantics/semantics/builtins.k:256	rule	-	rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
K0167	reference-semantics/semantics/builtins.k:257	rule	-	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, applyOpE(O, CUR, N), OPS, NDS, OO, ON)
K0168	reference-semantics/semantics/builtins.k:260	rule	-	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, N, OPS, NDS, appendOpE(OO, O), appendIE(ON, CUR))
K0169	reference-semantics/semantics/builtins.k:263	rule	owise	rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR)) [owise]
K0170	reference-semantics/semantics/builtins.k:265	syntax	function,total	syntax Bool ::= inLevelE(String, String) [function, total]
K0171	reference-semantics/semantics/builtins.k:266	rule	-	rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"
K0172	reference-semantics/semantics/builtins.k:267	rule	-	rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"
K0173	reference-semantics/semantics/builtins.k:268	rule	owise	rule inLevelE(_:String, _:String) => false [owise]
K0174	reference-semantics/semantics/builtins.k:269	syntax	function,total	syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
K0175	reference-semantics/semantics/builtins.k:270	rule	-	rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)
K0176	reference-semantics/semantics/builtins.k:271	rule	-	rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))
K0177	reference-semantics/semantics/builtins.k:272	syntax	function,total	syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
K0178	reference-semantics/semantics/builtins.k:273	rule	-	rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)
K0179	reference-semantics/semantics/builtins.k:274	rule	-	rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))
K0180	reference-semantics/semantics/builtins.k:279	syntax	-	syntax KItem ::= "#md5"
K0181	reference-semantics/semantics/builtins.k:280	rule	priority	rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k> [priority(40)]
K0182	reference-semantics/semantics/builtins.k:282	rule	-	rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>
K0183	reference-semantics/semantics/builtins.k:283	syntax	-	syntax Val ::= md5Obj(IntSeq)
K0184	reference-semantics/semantics/builtins.k:284	rule	-	rule applyMethod(md5Obj(CS:IntSeq), "hexdigest", .Vals) => str(md5hexCodes(CS))
K0185	reference-semantics/semantics/builtins.k:285	syntax	function,total,symbol,no-evaluators	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]
K0186	reference-semantics/semantics/builtins.k:291	rule	-	rule applyBuiltin("isinstance", V:Val, typeV("int"), .Vals) => isIntV(V)
K0187	reference-semantics/semantics/builtins.k:292	rule	-	rule applyBuiltin("isinstance", V:Val, typeV("str"), .Vals) => isStrV(V)
K0188	reference-semantics/semantics/builtins.k:293	syntax	function	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
K0189	reference-semantics/semantics/builtins.k:294	rule	-	rule isIntV(_:Int)         => true
K0190	reference-semantics/semantics/builtins.k:295	rule	owise	rule isIntV(_:Val)         => false [owise]
