id	file	line	kind	attributes	target_scope	disposition	source
I0022	reference-semantics/semantics/builtins.k	23	rule		TARGET_MATERIAL	ACCEPT_FIXED_RULE_TARGET_MATERIAL	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
I0023	reference-semantics/semantics/builtins.k	24	rule		TARGET_MATERIAL	ACCEPT_FIXED_RULE_TARGET_MATERIAL	rule seqLen(str(IS:IntSeq)) => isLen(IS)
I0024	reference-semantics/semantics/builtins.k	25	rule		TARGET_MATERIAL	ACCEPT_FIXED_RULE_TARGET_MATERIAL	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
I0025	reference-semantics/semantics/builtins.k	26	rule		TARGET_MATERIAL	ACCEPT_FIXED_RULE_TARGET_MATERIAL	"rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the ""copy a sequence"" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)"
I0026	reference-semantics/semantics/builtins.k	32	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
I0027	reference-semantics/semantics/builtins.k	33	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
I0028	reference-semantics/semantics/builtins.k	34	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
I0029	reference-semantics/semantics/builtins.k	35	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
I0030	reference-semantics/semantics/builtins.k	36	syntax	function,total	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax ValSeq ::= charsOf(IntSeq) [function, total]
I0031	reference-semantics/semantics/builtins.k	37	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule charsOf(.IntSeq) => .ValSeq
I0032	reference-semantics/semantics/builtins.k	38	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
I0033	reference-semantics/semantics/builtins.k	41	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================"
I0034	reference-semantics/semantics/builtins.k	44	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool =="
I0035	reference-semantics/semantics/builtins.k	47	syntax		TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
I0036	reference-semantics/semantics/builtins.k	48	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
I0037	reference-semantics/semantics/builtins.k	49	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
I0038	reference-semantics/semantics/builtins.k	50	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
I0039	reference-semantics/semantics/builtins.k	54	syntax	function	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax Int ::= intOf(Val) [function]
I0040	reference-semantics/semantics/builtins.k	55	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule intOf(I:Int) => I
I0041	reference-semantics/semantics/builtins.k	56	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
I0042	reference-semantics/semantics/builtins.k	59	syntax		TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
I0043	reference-semantics/semantics/builtins.k	60	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
I0044	reference-semantics/semantics/builtins.k	61	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterDone ~> #allCont => true ... </k>
I0045	reference-semantics/semantics/builtins.k	62	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
I0046	reference-semantics/semantics/builtins.k	64	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
I0047	reference-semantics/semantics/builtins.k	67	syntax		TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
I0048	reference-semantics/semantics/builtins.k	68	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
I0049	reference-semantics/semantics/builtins.k	69	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterDone ~> #anyCont => false ... </k>
I0050	reference-semantics/semantics/builtins.k	70	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
I0051	reference-semantics/semantics/builtins.k	72	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V) // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
I0052	reference-semantics/semantics/builtins.k	76	syntax		TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
I0053	reference-semantics/semantics/builtins.k	77	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
I0054	reference-semantics/semantics/builtins.k	78	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
I0055	reference-semantics/semantics/builtins.k	80	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
I0056	reference-semantics/semantics/builtins.k	81	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
I0057	reference-semantics/semantics/builtins.k	82	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
I0058	reference-semantics/semantics/builtins.k	86	syntax		TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
I0059	reference-semantics/semantics/builtins.k	87	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
I0060	reference-semantics/semantics/builtins.k	88	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
I0061	reference-semantics/semantics/builtins.k	90	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
I0062	reference-semantics/semantics/builtins.k	91	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
I0063	reference-semantics/semantics/builtins.k	92	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V) // ==== variadic max / min (a Vals fold) ====================================
I0064	reference-semantics/semantics/builtins.k	97	syntax	function	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax Int ::= maxVals(Int, Vals) [function]
I0065	reference-semantics/semantics/builtins.k	98	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
I0066	reference-semantics/semantics/builtins.k	99	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule maxVals(M:Int, .Vals) => M
I0067	reference-semantics/semantics/builtins.k	100	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
I0068	reference-semantics/semantics/builtins.k	102	syntax	function	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax Int ::= minVals(Int, Vals) [function]
I0069	reference-semantics/semantics/builtins.k	103	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
I0070	reference-semantics/semantics/builtins.k	104	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule minVals(M:Int, .Vals) => M
I0071	reference-semantics/semantics/builtins.k	105	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — ""0b"" + binary digit codes (promoted from 103's defined fold) =="
I0072	reference-semantics/semantics/builtins.k	108	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits"
I0073	reference-semantics/semantics/builtins.k	111	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
I0074	reference-semantics/semantics/builtins.k	114	syntax	function,total	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax IntSeq ::= binCodes(Int) [function, total]
I0075	reference-semantics/semantics/builtins.k	115	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule binCodes(0) => iCons(48, .IntSeq)
I0076	reference-semantics/semantics/builtins.k	116	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
I0077	reference-semantics/semantics/builtins.k	117	syntax	function,total	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
I0078	reference-semantics/semantics/builtins.k	118	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule binAcc(0, ACC:IntSeq) => ACC
I0079	reference-semantics/semantics/builtins.k	119	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0 // ==== enumerate(xs) — pairs (i, v); materialized eagerly over a list =========
I0080	reference-semantics/semantics/builtins.k	124	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
I0081	reference-semantics/semantics/builtins.k	126	syntax	function,total	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
I0082	reference-semantics/semantics/builtins.k	127	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule enumVS(.ValSeq, _:Int) => .ValSeq
I0083	reference-semantics/semantics/builtins.k	128	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============
I0084	reference-semantics/semantics/builtins.k	132	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
I0085	reference-semantics/semantics/builtins.k	134	syntax	function,total	TARGET_UNUSED	ACCEPT_FIXED_NONEXHAUSTIVE_TARGET_UNUSED	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
I0086	reference-semantics/semantics/builtins.k	135	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule mapStrVS(.ValSeq) => .ValSeq
I0087	reference-semantics/semantics/builtins.k	136	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
I0088	reference-semantics/semantics/builtins.k	137	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================
I0089	reference-semantics/semantics/builtins.k	140	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""int"", I:Int, .Vals) => I // ==== ord / chr ==========================================================="
I0090	reference-semantics/semantics/builtins.k	143	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
I0091	reference-semantics/semantics/builtins.k	144	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128 // ==== str(int) / str(str) ================================================="
I0092	reference-semantics/semantics/builtins.k	148	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""str"", I:Int, .Vals) => str(strToCodes(Int2String(I)))"
I0093	reference-semantics/semantics/builtins.k	149	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS) // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value ====="
I0094	reference-semantics/semantics/builtins.k	152	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57 // ==== int(str) — a multi-digit non-negative numeral (Horner fold; the single-char rule covers len 1)"
I0095	reference-semantics/semantics/builtins.k	156	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
I0096	reference-semantics/semantics/builtins.k	158	syntax	function,total	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
I0097	reference-semantics/semantics/builtins.k	159	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule intDigAcc(.IntSeq, ACC:Int) => ACC
I0098	reference-semantics/semantics/builtins.k	160	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48)) // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
I0099	reference-semantics/semantics/builtins.k	163	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
I0100	reference-semantics/semantics/builtins.k	164	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B) // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)"
I0101	reference-semantics/semantics/builtins.k	167	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
I0102	reference-semantics/semantics/builtins.k	169	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
I0103	reference-semantics/semantics/builtins.k	170	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
I0104	reference-semantics/semantics/builtins.k	171	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
I0105	reference-semantics/semantics/builtins.k	173	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
I0106	reference-semantics/semantics/builtins.k	174	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k> // ==== range(stop) / range(start, stop) / range(start, stop, step) =========
I0107	reference-semantics/semantics/builtins.k	177	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""range"", I:Int, .Vals) => rangeObj(0, I, 1)"
I0108	reference-semantics/semantics/builtins.k	178	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""range"", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)"
I0109	reference-semantics/semantics/builtins.k	179	rule	concrete	TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0 // ==== eval(str) — arithmetic expressions (ints, + - * // **, spaces) ======== // Python precedence: ** right-assoc, then * //, then + -. Promoted from 160's // trusted pass evaluator, now DEFINED in the reference and driven by a // code-level tokenizer. Reduces on concrete strings (krun); a symbolic // argument leaves the call unevaluated for problem-level folds."
I0110	reference-semantics/semantics/builtins.k	187	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
I0111	reference-semantics/semantics/builtins.k	188	syntax	function	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax Int ::= evalArith(IntSeq) [function]
I0112	reference-semantics/semantics/builtins.k	189	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
I0113	reference-semantics/semantics/builtins.k	192	syntax		TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
I0114	reference-semantics/semantics/builtins.k	194	syntax	function,total	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax Bool ::= evDigit(Int) [function, total]
I0115	reference-semantics/semantics/builtins.k	195	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
I0116	reference-semantics/semantics/builtins.k	196	syntax	function,total	TARGET_UNUSED	ACCEPT_FIXED_DECLARATION	syntax Bool ::= evHead42(IntSeq) [function, total]
I0117	reference-semantics/semantics/builtins.k	197	rule		TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule evHead42(iCons(42, _:IntSeq)) => true
I0118	reference-semantics/semantics/builtins.k	198	rule	owise	TARGET_UNUSED	ACCEPT_FIXED_RULE_TARGET_UNUSED	rule evHead42(_:IntSeq) => false [owise]
