file	kind	start_line	end_line	disposition	reason	source
reference-semantics/semantics/bool.k	context	16	16	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k	rule	17	17	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	rule	18	19	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"
reference-semantics/semantics/bool.k	rule	20	21	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"
reference-semantics/semantics/bool.k	rule	22	23	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k>"
reference-semantics/semantics/bool.k	rule	24	28	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"
reference-semantics/semantics/bool.k	rule	29	30	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>
reference-semantics/semantics/bool.k	rule	31	34	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"
reference-semantics/semantics/bool.k	rule	35	38	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>"
reference-semantics/semantics/bool.k	rule	39	42	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>"
reference-semantics/semantics/bool.k	rule	43	46	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"
reference-semantics/semantics/bool.k	endmodule	47	47	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	endmodule
reference-semantics/semantics/builtins.k	module	3	3	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	module MPY-BUILTINS
reference-semantics/semantics/builtins.k	imports	4	4	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	imports MPY-CORE
reference-semantics/semantics/builtins.k	imports	5	5	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	imports MPY-STR
reference-semantics/semantics/builtins.k	imports	6	6	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	imports MPY-SET
reference-semantics/semantics/builtins.k	imports	7	7	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	imports MPY-ITER
reference-semantics/semantics/builtins.k	imports	8	8	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	imports MPY-RANGE
reference-semantics/semantics/builtins.k	imports	9	9	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	imports MPY-INT
reference-semantics/semantics/builtins.k	imports	10	16	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	imports MPY-METHODS
reference-semantics/semantics/builtins.k	syntax	17	19	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k	syntax	20	20	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k	rule	21	21	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
reference-semantics/semantics/builtins.k	rule	22	22	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
reference-semantics/semantics/builtins.k	rule	23	23	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
reference-semantics/semantics/builtins.k	rule	24	24	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
reference-semantics/semantics/builtins.k	rule	25	25	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
reference-semantics/semantics/builtins.k	rule	26	31	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
reference-semantics/semantics/builtins.k	rule	32	32	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k	rule	33	33	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k	rule	34	34	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
reference-semantics/semantics/builtins.k	rule	35	35	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
reference-semantics/semantics/builtins.k	syntax	36	36	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	rule	37	37	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule charsOf(.IntSeq)                => .ValSeq
reference-semantics/semantics/builtins.k	rule	38	40	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k	rule	41	43	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
reference-semantics/semantics/builtins.k	rule	44	46	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
reference-semantics/semantics/builtins.k	syntax	47	47	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k	rule	48	48	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	rule	49	49	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	rule	50	53	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)
reference-semantics/semantics/builtins.k	syntax	54	54	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	rule	55	55	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule intOf(I:Int)  => I
reference-semantics/semantics/builtins.k	rule	56	58	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k	syntax	59	59	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
reference-semantics/semantics/builtins.k	rule	60	60	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	rule	61	61	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	rule	62	63	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
reference-semantics/semantics/builtins.k	rule	64	66	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
reference-semantics/semantics/builtins.k	syntax	67	67	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
reference-semantics/semantics/builtins.k	rule	68	68	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	rule	69	69	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	rule	70	71	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
reference-semantics/semantics/builtins.k	rule	72	75	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
reference-semantics/semantics/builtins.k	syntax	76	76	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
reference-semantics/semantics/builtins.k	rule	77	77	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	rule	78	79	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
reference-semantics/semantics/builtins.k	rule	80	80	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	rule	81	81	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	rule	82	85	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)
reference-semantics/semantics/builtins.k	syntax	86	86	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
reference-semantics/semantics/builtins.k	rule	87	87	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	rule	88	89	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
reference-semantics/semantics/builtins.k	rule	90	90	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	rule	91	91	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	rule	92	96	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)
reference-semantics/semantics/builtins.k	syntax	97	97	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	rule	98	98	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
reference-semantics/semantics/builtins.k	rule	99	99	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule maxVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	rule	100	101	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	syntax	102	102	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	rule	103	103	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
reference-semantics/semantics/builtins.k	rule	104	104	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule minVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	rule	105	107	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k	rule	108	110	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))"
reference-semantics/semantics/builtins.k	rule	111	113	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule applyBuiltin(""bin"", N:Int, .Vals)"
reference-semantics/semantics/builtins.k	syntax	114	114	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k	rule	115	115	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	rule	116	116	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	syntax	117	117	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	rule	118	118	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	rule	119	123	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule binAcc(N:Int, ACC:IntSeq)
reference-semantics/semantics/builtins.k	rule	124	125	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals))"
reference-semantics/semantics/builtins.k	syntax	126	126	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	rule	127	127	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	rule	128	131	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule enumVS(vCons(V:Val, R:ValSeq), I:Int)
reference-semantics/semantics/builtins.k	rule	132	133	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals))"
reference-semantics/semantics/builtins.k	syntax	134	134	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
reference-semantics/semantics/builtins.k	rule	135	135	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	rule	136	136	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	rule	137	139	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
