file	line	module	kind	attributes	statement
reference-semantics/semantics/builtins.k	37	MPY-BUILTINS	rule		rule charsOf(.IntSeq)                => .ValSeq
reference-semantics/semantics/builtins.k	38	MPY-BUILTINS	rule		rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k	41	MPY-BUILTINS	rule		"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
reference-semantics/semantics/builtins.k	44	MPY-BUILTINS	rule		"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
reference-semantics/semantics/builtins.k	47	MPY-BUILTINS	syntax		syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k	48	MPY-BUILTINS	rule		rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	49	MPY-BUILTINS	rule		rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	50	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k	54	MPY-BUILTINS	syntax	function	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	55	MPY-BUILTINS	rule		rule intOf(I:Int)  => I
reference-semantics/semantics/builtins.k	56	MPY-BUILTINS	rule		rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k	59	MPY-BUILTINS	syntax		"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
reference-semantics/semantics/builtins.k	60	MPY-BUILTINS	rule		rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	61	MPY-BUILTINS	rule		rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	62	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	64	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	67	MPY-BUILTINS	syntax		"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
reference-semantics/semantics/builtins.k	68	MPY-BUILTINS	rule		rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	69	MPY-BUILTINS	rule		rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	70	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	72	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	76	MPY-BUILTINS	syntax		"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
reference-semantics/semantics/builtins.k	77	MPY-BUILTINS	rule		rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	78	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	80	MPY-BUILTINS	rule		rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	81	MPY-BUILTINS	rule		rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	82	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	86	MPY-BUILTINS	syntax		"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
reference-semantics/semantics/builtins.k	87	MPY-BUILTINS	rule		rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	88	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	90	MPY-BUILTINS	rule		rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	91	MPY-BUILTINS	rule		rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	92	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	97	MPY-BUILTINS	syntax	function	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	98	MPY-BUILTINS	rule		"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
reference-semantics/semantics/builtins.k	99	MPY-BUILTINS	rule		rule maxVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	100	MPY-BUILTINS	rule		rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	102	MPY-BUILTINS	syntax	function	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	103	MPY-BUILTINS	rule		"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
reference-semantics/semantics/builtins.k	104	MPY-BUILTINS	rule		rule minVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	105	MPY-BUILTINS	rule		rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k	108	MPY-BUILTINS	rule		"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
reference-semantics/semantics/builtins.k	111	MPY-BUILTINS	rule		"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
reference-semantics/semantics/builtins.k	114	MPY-BUILTINS	syntax	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k	115	MPY-BUILTINS	rule		rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	116	MPY-BUILTINS	rule		rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	117	MPY-BUILTINS	syntax	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	118	MPY-BUILTINS	rule		rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	119	MPY-BUILTINS	rule		rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
reference-semantics/semantics/builtins.k	124	MPY-BUILTINS	rule		"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
reference-semantics/semantics/builtins.k	126	MPY-BUILTINS	syntax	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	127	MPY-BUILTINS	rule		rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	128	MPY-BUILTINS	rule		rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
reference-semantics/semantics/builtins.k	132	MPY-BUILTINS	rule		"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
reference-semantics/semantics/builtins.k	134	MPY-BUILTINS	syntax	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
reference-semantics/semantics/builtins.k	135	MPY-BUILTINS	rule		rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	136	MPY-BUILTINS	rule		rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	137	MPY-BUILTINS	rule		rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
reference-semantics/semantics/builtins.k	140	MPY-BUILTINS	rule		"rule applyBuiltin(""int"", I:Int, .Vals) => I"
reference-semantics/semantics/builtins.k	143	MPY-BUILTINS	rule		"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
reference-semantics/semantics/builtins.k	144	MPY-BUILTINS	rule		"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128"
reference-semantics/semantics/builtins.k	148	MPY-BUILTINS	rule		"rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
reference-semantics/semantics/builtins.k	149	MPY-BUILTINS	rule		"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
reference-semantics/semantics/builtins.k	152	MPY-BUILTINS	rule		"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57"
reference-semantics/semantics/builtins.k	156	MPY-BUILTINS	rule		"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
reference-semantics/semantics/builtins.k	158	MPY-BUILTINS	syntax	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	159	MPY-BUILTINS	rule		rule intDigAcc(.IntSeq, ACC:Int)             => ACC
reference-semantics/semantics/builtins.k	160	MPY-BUILTINS	rule		rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
reference-semantics/semantics/builtins.k	163	MPY-BUILTINS	rule		"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
reference-semantics/semantics/builtins.k	164	MPY-BUILTINS	rule		"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)"
reference-semantics/semantics/builtins.k	167	MPY-BUILTINS	rule		rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	169	MPY-BUILTINS	rule		rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
reference-semantics/semantics/builtins.k	170	MPY-BUILTINS	rule		rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	171	MPY-BUILTINS	rule		rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	173	MPY-BUILTINS	rule		rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
reference-semantics/semantics/builtins.k	174	MPY-BUILTINS	rule		rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	177	MPY-BUILTINS	rule		"rule applyBuiltin(""range"", I:Int, .Vals)               => rangeObj(0, I, 1)"
reference-semantics/semantics/builtins.k	178	MPY-BUILTINS	rule		"rule applyBuiltin(""range"", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)"
reference-semantics/semantics/builtins.k	179	MPY-BUILTINS	rule		"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0"
reference-semantics/semantics/builtins.k	187	MPY-BUILTINS	rule		"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
reference-semantics/semantics/builtins.k	188	MPY-BUILTINS	syntax	function	syntax Int ::= evalArith(IntSeq) [function]
reference-semantics/semantics/builtins.k	189	MPY-BUILTINS	rule		rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
reference-semantics/semantics/builtins.k	192	MPY-BUILTINS	syntax		"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
reference-semantics/semantics/builtins.k	194	MPY-BUILTINS	syntax	function,total	syntax Bool ::= evDigit(Int) [function, total]
reference-semantics/semantics/builtins.k	195	MPY-BUILTINS	rule		rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
reference-semantics/semantics/builtins.k	196	MPY-BUILTINS	syntax	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	197	MPY-BUILTINS	rule		rule evHead42(iCons(42, _:IntSeq)) => true
reference-semantics/semantics/builtins.k	198	MPY-BUILTINS	rule	owise	rule evHead42(_:IntSeq)            => false [owise]
reference-semantics/semantics/builtins.k	199	MPY-BUILTINS	syntax	function,total	syntax Bool ::= evHead47(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	200	MPY-BUILTINS	rule		rule evHead47(iCons(47, _:IntSeq)) => true
reference-semantics/semantics/builtins.k	201	MPY-BUILTINS	rule	owise	rule evHead47(_:IntSeq)            => false [owise]
reference-semantics/semantics/builtins.k	203	MPY-BUILTINS	syntax	function,total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	204	MPY-BUILTINS	rule		rule tokOps(.IntSeq)                 => .OpSeq
reference-semantics/semantics/builtins.k	205	MPY-BUILTINS	rule		rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
reference-semantics/semantics/builtins.k	206	MPY-BUILTINS	rule		rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
reference-semantics/semantics/builtins.k	207	MPY-BUILTINS	rule		"rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons(""**"", tokOps(R))"
reference-semantics/semantics/builtins.k	208	MPY-BUILTINS	rule		"rule tokOps(iCons(42, R:IntSeq))     => oCons(""*"", tokOps(R)) requires notBool evHead42(R)"
reference-semantics/semantics/builtins.k	209	MPY-BUILTINS	rule		"rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("""
reference-semantics/semantics/builtins.k	210	MPY-BUILTINS	rule		"rule tokOps(iCons(47, R:IntSeq))     => oCons(""/"", tokOps(R)) requires notBool evHead47(R)"
reference-semantics/semantics/builtins.k	211	MPY-BUILTINS	rule		"rule tokOps(iCons(43, R:IntSeq))     => oCons(""+"", tokOps(R))"
reference-semantics/semantics/builtins.k	212	MPY-BUILTINS	rule		"rule tokOps(iCons(45, R:IntSeq))     => oCons(""-"", tokOps(R))"
reference-semantics/semantics/builtins.k	214	MPY-BUILTINS	syntax	function,total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	216	MPY-BUILTINS	rule		rule tokNds(.IntSeq)                => .IntSeq
reference-semantics/semantics/builtins.k	217	MPY-BUILTINS	rule		rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)
reference-semantics/semantics/builtins.k	218	MPY-BUILTINS	rule		rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
reference-semantics/semantics/builtins.k	219	MPY-BUILTINS	rule		rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32
reference-semantics/semantics/builtins.k	221	MPY-BUILTINS	rule		rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)
reference-semantics/semantics/builtins.k	223	MPY-BUILTINS	rule	owise	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
reference-semantics/semantics/builtins.k	225	MPY-BUILTINS	syntax		syntax EvPair ::= evp(OpSeq, IntSeq)
reference-semantics/semantics/builtins.k	226	MPY-BUILTINS	syntax	function,total	syntax Int ::= firstNdE(EvPair) [function, total]
reference-semantics/semantics/builtins.k	227	MPY-BUILTINS	rule		rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
reference-semantics/semantics/builtins.k	228	MPY-BUILTINS	rule	owise	rule firstNdE(_:EvPair) => 0 [owise]
reference-semantics/semantics/builtins.k	230	MPY-BUILTINS	syntax	function,total	syntax Int ::= applyOpE(String, Int, Int) [function, total]
reference-semantics/semantics/builtins.k	231	MPY-BUILTINS	rule		"rule applyOpE(""+"",  A:Int, B:Int) => A +Int B"
reference-semantics/semantics/builtins.k	232	MPY-BUILTINS	rule		"rule applyOpE(""-"",  A:Int, B:Int) => A -Int B"
reference-semantics/semantics/builtins.k	233	MPY-BUILTINS	rule		"rule applyOpE(""*"",  A:Int, B:Int) => A *Int B"
reference-semantics/semantics/builtins.k	234	MPY-BUILTINS	rule		"rule applyOpE("""
reference-semantics/semantics/builtins.k	235	MPY-BUILTINS	rule		"rule applyOpE(""**"", A:Int, B:Int) => A ^Int B"
reference-semantics/semantics/builtins.k	236	MPY-BUILTINS	rule	owise	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
reference-semantics/semantics/builtins.k	238	MPY-BUILTINS	syntax	function,total	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	239	MPY-BUILTINS	rule		rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
reference-semantics/semantics/builtins.k	240	MPY-BUILTINS	rule		"rule passPowE(oCons(""**"", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))"
reference-semantics/semantics/builtins.k	241	MPY-BUILTINS	rule		"rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS)) requires O =/=String ""**"""
reference-semantics/semantics/builtins.k	243	MPY-BUILTINS	rule	owise	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
reference-semantics/semantics/builtins.k	244	MPY-BUILTINS	syntax	function,total	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
reference-semantics/semantics/builtins.k	245	MPY-BUILTINS	rule		rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
reference-semantics/semantics/builtins.k	246	MPY-BUILTINS	rule		rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
reference-semantics/semantics/builtins.k	247	MPY-BUILTINS	syntax	function,total	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
reference-semantics/semantics/builtins.k	248	MPY-BUILTINS	rule		rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
reference-semantics/semantics/builtins.k	250	MPY-BUILTINS	syntax	function,total	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
reference-semantics/semantics/builtins.k	251	MPY-BUILTINS	rule		"rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE(""mul"", N0, OPS, NDS, .OpSeq, .IntSeq)"
reference-semantics/semantics/builtins.k	252	MPY-BUILTINS	rule		rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
reference-semantics/semantics/builtins.k	253	MPY-BUILTINS	rule		"rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE(""add"", N0, OPS, NDS, .OpSeq, .IntSeq)"
reference-semantics/semantics/builtins.k	254	MPY-BUILTINS	rule		rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
reference-semantics/semantics/builtins.k	255	MPY-BUILTINS	syntax	function,total	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	256	MPY-BUILTINS	rule		rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
reference-semantics/semantics/builtins.k	257	MPY-BUILTINS	rule		rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, applyOpE(O, CUR, N), OPS, NDS, OO, ON) requires inLevelE(L, O)
