id	file	start_line	end_line	kind	classification	attributes	assessment	text
14	semantic.k	60	61	ordinary semantic rule	fixed operational semantics	F <- function(PARAMS, BODY)	Installs the exact function parameters/body in the functions map.	rule <k> FuncDef(F, PARAMS, BODY) => .K ...</k>\n       <functions> FUNS => FUNS[F <- function(PARAMS, BODY)] </functions>
15	semantic.k	63	65	ordinary semantic rule	fixed operational semantics		Looks up the selected binding, installs its exact body, and binds the sole argument in an empty environment.	rule <k> #invoke(F, V) => BODY ~> #endCall ...</k>\n       <functions>... F |-> function(Params(P:String), BODY) ...</functions>\n       <env> .Map => P |-> V </env>
16	semantic.k	67	67	ordinary semantic rule	fixed operational semantics		Evaluates a return expression before the return marker.	rule <k> Return(E) => E ~> #return ...</k>
17	semantic.k	69	70	ordinary semantic rule	fixed operational semantics		Reads the exact name binding from env.	rule <k> Name(N) => V ...</k>\n       <env>... N |-> V ...</env>
18	semantic.k	72	72	ordinary semantic rule	fixed operational semantics		Literal-string evaluation; unused by the submitted body.	rule <k> Str(S) => strVal(S) ...</k>
19	semantic.k	74	74	ordinary semantic rule	fixed operational semantics		Evaluates the attribute receiver before attribute selection.	rule <k> Attribute(E, NAME) => E ~> #attribute(NAME) ...</k>
20	semantic.k	75	76	ordinary semantic rule	fixed operational semantics		Constructs a bound method preserving both requested name and receiver.	rule <k> strVal(S) ~> #attribute(NAME)\n        => boundStringMethod(NAME, S) ...</k>
21	semantic.k	78	78	ordinary semantic rule	fixed operational semantics		Evaluates the zero-argument callee before the call marker.	rule <k> Call(F, .Exprs) => F ~> #callNoArgs ...</k>
22	semantic.k	79	80	function equation	definitional summary		Models the external str.swapcase primitive by pySwapCase on the preserved receiver.	"rule <k> boundStringMethod(""swapcase"", S) ~> #callNoArgs\n        => strVal(pySwapCase(S)) ...</k>"
23	semantic.k	82	83	ordinary semantic rule	fixed operational semantics		Returns only in the exact #return ~> #endCall context and clears the callee environment.	rule <k> V:Value ~> #return ~> #endCall => V ...</k>\n       <env> _ => .Map </env>
24	semantic.k	88	88	function declaration	equational symbol	function	Recursive result function; equations descend on nonempty Haskell-backend byte strings.	syntax String ::= pySwapCase(String) [function]
25	semantic.k	89	89	function declaration	equational symbol	function, total	Total byte-width helper; guarded equations plus owise cover all K strings, with valid UTF-8 widths used by the program.	syntax Int ::= utf8CharLen(String) [function, total]
26	semantic.k	91	91	function equation	definitional summary		"Correct recursive base pySwapCase("""")=""""."	"rule pySwapCase("""") => """""
27	semantic.k	92	96	function equation	definitional summary		Consumes one Haskell-backend UTF-8 character-width segment and recurses on a strictly shorter valid input.	"rule pySwapCase(S) =>\n         pySwapChar(substrString(S, 0, utf8CharLen(S)))\n         +String pySwapCase(\n           substrString(S, utf8CharLen(S), lengthString(S)))\n    requires S =/=String """""
28	semantic.k	101	102	function equation	definitional summary		Correct one-byte ASCII leading-width branch.	rule utf8CharLen(S) => 1\n    requires ordChar(substrString(S, 0, 1)) <Int 128
29	semantic.k	103	105	function equation	definitional summary		Correct two-byte leading-width interval; includes invalid C0/C1 only outside the Python-string encoding domain.	rule utf8CharLen(S) => 2\n    requires 192 <=Int ordChar(substrString(S, 0, 1))\n     andBool ordChar(substrString(S, 0, 1)) <Int 224
30	semantic.k	106	108	function equation	definitional summary		Correct three-byte leading-width interval.	rule utf8CharLen(S) => 3\n    requires 224 <=Int ordChar(substrString(S, 0, 1))\n     andBool ordChar(substrString(S, 0, 1)) <Int 240
31	semantic.k	109	111	function equation	definitional summary		Correct four-byte leading-width interval; includes invalid F5-F7 only outside the Python-string encoding domain.	rule utf8CharLen(S) => 4\n    requires 240 <=Int ordChar(substrString(S, 0, 1))\n     andBool ordChar(substrString(S, 0, 1)) <Int 248
32	semantic.k	112	112	owise function equation	definitional summary	owise	Owise width 1 covers continuation/invalid leading bytes and the independently-called empty case.	rule utf8CharLen(_) => 1 [owise]
33	unicode-case.k	6	6	function declaration	equational symbol	function, total	Total scalar mapping; 2,816 exact equations plus one owise fallback give complete, nonoverlapping coverage.	syntax String ::= pySwapChar(String) [function, total]
34	unicode-case.k	7	7	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""A"") => ""a"""
35	unicode-case.k	8	8	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""B"") => ""b"""
36	unicode-case.k	9	9	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""C"") => ""c"""
37	unicode-case.k	10	10	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""D"") => ""d"""
38	unicode-case.k	11	11	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""E"") => ""e"""
39	unicode-case.k	12	12	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""F"") => ""f"""
40	unicode-case.k	13	13	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""G"") => ""g"""
41	unicode-case.k	14	14	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""H"") => ""h"""
42	unicode-case.k	15	15	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""I"") => ""i"""
43	unicode-case.k	16	16	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""J"") => ""j"""
44	unicode-case.k	17	17	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""K"") => ""k"""
45	unicode-case.k	18	18	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""L"") => ""l"""
46	unicode-case.k	19	19	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""M"") => ""m"""
47	unicode-case.k	20	20	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""N"") => ""n"""
48	unicode-case.k	21	21	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""O"") => ""o"""
49	unicode-case.k	22	22	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""P"") => ""p"""
50	unicode-case.k	23	23	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""Q"") => ""q"""
51	unicode-case.k	24	24	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""R"") => ""r"""
52	unicode-case.k	25	25	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""S"") => ""s"""
53	unicode-case.k	26	26	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""T"") => ""t"""
54	unicode-case.k	27	27	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""U"") => ""u"""
55	unicode-case.k	28	28	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""V"") => ""v"""
56	unicode-case.k	29	29	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""W"") => ""w"""
57	unicode-case.k	30	30	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""X"") => ""x"""
58	unicode-case.k	31	31	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""Y"") => ""y"""
59	unicode-case.k	32	32	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""Z"") => ""z"""
60	unicode-case.k	33	33	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""a"") => ""A"""
61	unicode-case.k	34	34	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""b"") => ""B"""
62	unicode-case.k	35	35	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""c"") => ""C"""
63	unicode-case.k	36	36	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""d"") => ""D"""
64	unicode-case.k	37	37	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""e"") => ""E"""
65	unicode-case.k	38	38	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""f"") => ""F"""
66	unicode-case.k	39	39	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""g"") => ""G"""
67	unicode-case.k	40	40	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""h"") => ""H"""
68	unicode-case.k	41	41	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""i"") => ""I"""
69	unicode-case.k	42	42	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""j"") => ""J"""
70	unicode-case.k	43	43	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""k"") => ""K"""
71	unicode-case.k	44	44	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""l"") => ""L"""
72	unicode-case.k	45	45	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""m"") => ""M"""
73	unicode-case.k	46	46	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""n"") => ""N"""
74	unicode-case.k	47	47	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""o"") => ""O"""
75	unicode-case.k	48	48	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""p"") => ""P"""
76	unicode-case.k	49	49	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""q"") => ""Q"""
77	unicode-case.k	50	50	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""r"") => ""R"""
78	unicode-case.k	51	51	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""s"") => ""S"""
79	unicode-case.k	52	52	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""t"") => ""T"""
80	unicode-case.k	53	53	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""u"") => ""U"""
81	unicode-case.k	54	54	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""v"") => ""V"""
82	unicode-case.k	55	55	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""w"") => ""W"""
83	unicode-case.k	56	56	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""x"") => ""X"""
84	unicode-case.k	57	57	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""y"") => ""Y"""
85	unicode-case.k	58	58	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""z"") => ""Z"""
86	unicode-case.k	59	59	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc2\xb5"") => ""\xce\x9c"""
87	unicode-case.k	60	60	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x80"") => ""\xc3\xa0"""
88	unicode-case.k	61	61	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x81"") => ""\xc3\xa1"""
89	unicode-case.k	62	62	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x82"") => ""\xc3\xa2"""
90	unicode-case.k	63	63	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x83"") => ""\xc3\xa3"""
91	unicode-case.k	64	64	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x84"") => ""\xc3\xa4"""
92	unicode-case.k	65	65	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x85"") => ""\xc3\xa5"""
93	unicode-case.k	66	66	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x86"") => ""\xc3\xa6"""
94	unicode-case.k	67	67	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x87"") => ""\xc3\xa7"""
95	unicode-case.k	68	68	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x88"") => ""\xc3\xa8"""
96	unicode-case.k	69	69	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x89"") => ""\xc3\xa9"""
97	unicode-case.k	70	70	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x8a"") => ""\xc3\xaa"""
98	unicode-case.k	71	71	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x8b"") => ""\xc3\xab"""
99	unicode-case.k	72	72	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x8c"") => ""\xc3\xac"""
100	unicode-case.k	73	73	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x8d"") => ""\xc3\xad"""
101	unicode-case.k	74	74	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x8e"") => ""\xc3\xae"""
102	unicode-case.k	75	75	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x8f"") => ""\xc3\xaf"""
103	unicode-case.k	76	76	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x90"") => ""\xc3\xb0"""
104	unicode-case.k	77	77	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x91"") => ""\xc3\xb1"""
105	unicode-case.k	78	78	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x92"") => ""\xc3\xb2"""
106	unicode-case.k	79	79	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x93"") => ""\xc3\xb3"""
107	unicode-case.k	80	80	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x94"") => ""\xc3\xb4"""
108	unicode-case.k	81	81	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x95"") => ""\xc3\xb5"""
109	unicode-case.k	82	82	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x96"") => ""\xc3\xb6"""
110	unicode-case.k	83	83	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x98"") => ""\xc3\xb8"""
111	unicode-case.k	84	84	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x99"") => ""\xc3\xb9"""
112	unicode-case.k	85	85	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x9a"") => ""\xc3\xba"""
113	unicode-case.k	86	86	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x9b"") => ""\xc3\xbb"""
114	unicode-case.k	87	87	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x9c"") => ""\xc3\xbc"""
115	unicode-case.k	88	88	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x9d"") => ""\xc3\xbd"""
116	unicode-case.k	89	89	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x9e"") => ""\xc3\xbe"""
117	unicode-case.k	90	90	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\x9f"") => ""SS"""
118	unicode-case.k	91	91	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xa0"") => ""\xc3\x80"""
119	unicode-case.k	92	92	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xa1"") => ""\xc3\x81"""
120	unicode-case.k	93	93	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xa2"") => ""\xc3\x82"""
121	unicode-case.k	94	94	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xa3"") => ""\xc3\x83"""
122	unicode-case.k	95	95	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xa4"") => ""\xc3\x84"""
123	unicode-case.k	96	96	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xa5"") => ""\xc3\x85"""
124	unicode-case.k	97	97	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xa6"") => ""\xc3\x86"""
125	unicode-case.k	98	98	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xa7"") => ""\xc3\x87"""
126	unicode-case.k	99	99	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xa8"") => ""\xc3\x88"""
127	unicode-case.k	100	100	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xa9"") => ""\xc3\x89"""
128	unicode-case.k	101	101	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xaa"") => ""\xc3\x8a"""
129	unicode-case.k	102	102	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xab"") => ""\xc3\x8b"""
130	unicode-case.k	103	103	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xac"") => ""\xc3\x8c"""
131	unicode-case.k	104	104	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xad"") => ""\xc3\x8d"""
132	unicode-case.k	105	105	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xae"") => ""\xc3\x8e"""
133	unicode-case.k	106	106	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xaf"") => ""\xc3\x8f"""
134	unicode-case.k	107	107	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xb0"") => ""\xc3\x90"""
135	unicode-case.k	108	108	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xb1"") => ""\xc3\x91"""
136	unicode-case.k	109	109	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xb2"") => ""\xc3\x92"""
137	unicode-case.k	110	110	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xb3"") => ""\xc3\x93"""
138	unicode-case.k	111	111	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xb4"") => ""\xc3\x94"""
139	unicode-case.k	112	112	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xb5"") => ""\xc3\x95"""
140	unicode-case.k	113	113	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xb6"") => ""\xc3\x96"""
141	unicode-case.k	114	114	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xb8"") => ""\xc3\x98"""
142	unicode-case.k	115	115	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xb9"") => ""\xc3\x99"""
143	unicode-case.k	116	116	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xba"") => ""\xc3\x9a"""
144	unicode-case.k	117	117	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xbb"") => ""\xc3\x9b"""
145	unicode-case.k	118	118	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc3\xbc"") => ""\xc3\x9c"""
