id	file	line	end_line	module	kind	tags	text	disposition	rationale
K0011	reference-semantics/semantics/bool.k	22	23	MPY-BOOL	rule	ordinary	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0012	reference-semantics/semantics/bool.k	24	28	MPY-BOOL	rule	ordinary	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0013	reference-semantics/semantics/bool.k	29	30	MPY-BOOL	rule	priority,ordinary	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0014	reference-semantics/semantics/bool.k	31	34	MPY-BOOL	rule	priority,ordinary	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0015	reference-semantics/semantics/bool.k	35	38	MPY-BOOL	rule	priority,ordinary	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0016	reference-semantics/semantics/bool.k	39	42	MPY-BOOL	rule	priority,ordinary	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0017	reference-semantics/semantics/bool.k	43	46	MPY-BOOL	rule	priority,ordinary	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0018	reference-semantics/semantics/builtins.k	17	19	MPY-BUILTINS	syntax	function	syntax Val ::= applyBuiltin(String, Vals) [function]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0019	reference-semantics/semantics/builtins.k	20	20	MPY-BUILTINS	syntax	function	syntax Int ::= seqLen(Val) [function]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0020	reference-semantics/semantics/builtins.k	21	21	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0021	reference-semantics/semantics/builtins.k	22	22	MPY-BUILTINS	rule	ordinary	rule seqLen(list(VS:ValSeq)) => vsLen(VS)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0022	reference-semantics/semantics/builtins.k	23	23	MPY-BUILTINS	rule	ordinary	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0023	reference-semantics/semantics/builtins.k	24	24	MPY-BUILTINS	rule	ordinary	rule seqLen(str(IS:IntSeq)) => isLen(IS)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0024	reference-semantics/semantics/builtins.k	25	25	MPY-BUILTINS	rule	ordinary	rule seqLen(setV(DS:IntSeq)) => isLen(DS)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0025	reference-semantics/semantics/builtins.k	26	31	MPY-BUILTINS	rule	ordinary	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0026	reference-semantics/semantics/builtins.k	32	32	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0027	reference-semantics/semantics/builtins.k	33	33	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0028	reference-semantics/semantics/builtins.k	34	34	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0029	reference-semantics/semantics/builtins.k	35	35	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0030	reference-semantics/semantics/builtins.k	36	36	MPY-BUILTINS	syntax	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0031	reference-semantics/semantics/builtins.k	37	37	MPY-BUILTINS	rule	ordinary	rule charsOf(.IntSeq) => .ValSeq	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0032	reference-semantics/semantics/builtins.k	38	40	MPY-BUILTINS	rule	ordinary	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0033	reference-semantics/semantics/builtins.k	41	43	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0034	reference-semantics/semantics/builtins.k	44	46	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0035	reference-semantics/semantics/builtins.k	47	47	MPY-BUILTINS	syntax		syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0036	reference-semantics/semantics/builtins.k	48	48	MPY-BUILTINS	rule	ordinary	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0037	reference-semantics/semantics/builtins.k	49	49	MPY-BUILTINS	rule	ordinary	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0038	reference-semantics/semantics/builtins.k	50	53	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0039	reference-semantics/semantics/builtins.k	54	54	MPY-BUILTINS	syntax	function	syntax Int ::= intOf(Val) [function]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0040	reference-semantics/semantics/builtins.k	55	55	MPY-BUILTINS	rule	ordinary	rule intOf(I:Int) => I	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0041	reference-semantics/semantics/builtins.k	56	58	MPY-BUILTINS	rule	ordinary	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0042	reference-semantics/semantics/builtins.k	59	59	MPY-BUILTINS	syntax		"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0043	reference-semantics/semantics/builtins.k	60	60	MPY-BUILTINS	rule	ordinary	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0044	reference-semantics/semantics/builtins.k	61	61	MPY-BUILTINS	rule	ordinary	rule <k> #iterDone ~> #allCont => true ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0045	reference-semantics/semantics/builtins.k	62	63	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0046	reference-semantics/semantics/builtins.k	64	66	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0047	reference-semantics/semantics/builtins.k	67	67	MPY-BUILTINS	syntax		"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0048	reference-semantics/semantics/builtins.k	68	68	MPY-BUILTINS	rule	ordinary	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0049	reference-semantics/semantics/builtins.k	69	69	MPY-BUILTINS	rule	ordinary	rule <k> #iterDone ~> #anyCont => false ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0050	reference-semantics/semantics/builtins.k	70	71	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0051	reference-semantics/semantics/builtins.k	72	75	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0052	reference-semantics/semantics/builtins.k	76	76	MPY-BUILTINS	syntax		"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0053	reference-semantics/semantics/builtins.k	77	77	MPY-BUILTINS	rule	ordinary	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0054	reference-semantics/semantics/builtins.k	78	79	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0055	reference-semantics/semantics/builtins.k	80	80	MPY-BUILTINS	rule	ordinary	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0056	reference-semantics/semantics/builtins.k	81	81	MPY-BUILTINS	rule	ordinary	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0057	reference-semantics/semantics/builtins.k	82	85	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0058	reference-semantics/semantics/builtins.k	86	86	MPY-BUILTINS	syntax		"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0059	reference-semantics/semantics/builtins.k	87	87	MPY-BUILTINS	rule	ordinary	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0060	reference-semantics/semantics/builtins.k	88	89	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0061	reference-semantics/semantics/builtins.k	90	90	MPY-BUILTINS	rule	ordinary	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0062	reference-semantics/semantics/builtins.k	91	91	MPY-BUILTINS	rule	ordinary	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0063	reference-semantics/semantics/builtins.k	92	96	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0064	reference-semantics/semantics/builtins.k	97	97	MPY-BUILTINS	syntax	function	syntax Int ::= maxVals(Int, Vals) [function]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0065	reference-semantics/semantics/builtins.k	98	98	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0066	reference-semantics/semantics/builtins.k	99	99	MPY-BUILTINS	rule	ordinary	rule maxVals(M:Int, .Vals) => M	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0067	reference-semantics/semantics/builtins.k	100	101	MPY-BUILTINS	rule	ordinary	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0068	reference-semantics/semantics/builtins.k	102	102	MPY-BUILTINS	syntax	function	syntax Int ::= minVals(Int, Vals) [function]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0069	reference-semantics/semantics/builtins.k	103	103	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0070	reference-semantics/semantics/builtins.k	104	104	MPY-BUILTINS	rule	ordinary	rule minVals(M:Int, .Vals) => M	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0071	reference-semantics/semantics/builtins.k	105	107	MPY-BUILTINS	rule	ordinary	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0072	reference-semantics/semantics/builtins.k	108	110	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0073	reference-semantics/semantics/builtins.k	111	113	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0074	reference-semantics/semantics/builtins.k	114	114	MPY-BUILTINS	syntax	function,total	syntax IntSeq ::= binCodes(Int) [function, total]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0075	reference-semantics/semantics/builtins.k	115	115	MPY-BUILTINS	rule	ordinary	rule binCodes(0) => iCons(48, .IntSeq)	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0076	reference-semantics/semantics/builtins.k	116	116	MPY-BUILTINS	rule	ordinary	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0077	reference-semantics/semantics/builtins.k	117	117	MPY-BUILTINS	syntax	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0078	reference-semantics/semantics/builtins.k	118	118	MPY-BUILTINS	rule	ordinary	rule binAcc(0, ACC:IntSeq) => ACC	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0079	reference-semantics/semantics/builtins.k	119	123	MPY-BUILTINS	rule	ordinary	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0080	reference-semantics/semantics/builtins.k	124	125	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0081	reference-semantics/semantics/builtins.k	126	126	MPY-BUILTINS	syntax	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0082	reference-semantics/semantics/builtins.k	127	127	MPY-BUILTINS	rule	ordinary	rule enumVS(.ValSeq, _:Int) => .ValSeq	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0083	reference-semantics/semantics/builtins.k	128	131	MPY-BUILTINS	rule	ordinary	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0084	reference-semantics/semantics/builtins.k	132	133	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0085	reference-semantics/semantics/builtins.k	134	134	MPY-BUILTINS	syntax	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
K0086	reference-semantics/semantics/builtins.k	135	135	MPY-BUILTINS	rule	ordinary	rule mapStrVS(.ValSeq) => .ValSeq	ACCEPTED_SUPPLIED_FIXED_SEMANTICS	Exact trusted supplied-semantics sentence, accepted as the selected fixed language model; used-path rules are mapped separately.
