id	file	line	end_line	module	kind	tags	text
K0023	reference-semantics/semantics/builtins.k	24	24	MPY-BUILTINS	rule	ordinary	rule seqLen(str(IS:IntSeq)) => isLen(IS)
K0024	reference-semantics/semantics/builtins.k	25	25	MPY-BUILTINS	rule	ordinary	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
K0025	reference-semantics/semantics/builtins.k	26	31	MPY-BUILTINS	rule	ordinary	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K0026	reference-semantics/semantics/builtins.k	32	32	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
K0027	reference-semantics/semantics/builtins.k	33	33	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
K0028	reference-semantics/semantics/builtins.k	34	34	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
K0029	reference-semantics/semantics/builtins.k	35	35	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
K0030	reference-semantics/semantics/builtins.k	36	36	MPY-BUILTINS	syntax	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0031	reference-semantics/semantics/builtins.k	37	37	MPY-BUILTINS	rule	ordinary	rule charsOf(.IntSeq) => .ValSeq
K0032	reference-semantics/semantics/builtins.k	38	40	MPY-BUILTINS	rule	ordinary	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K0033	reference-semantics/semantics/builtins.k	41	43	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
K0034	reference-semantics/semantics/builtins.k	44	46	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
K0035	reference-semantics/semantics/builtins.k	47	47	MPY-BUILTINS	syntax		syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0036	reference-semantics/semantics/builtins.k	48	48	MPY-BUILTINS	rule	ordinary	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0037	reference-semantics/semantics/builtins.k	49	49	MPY-BUILTINS	rule	ordinary	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0038	reference-semantics/semantics/builtins.k	50	53	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K0039	reference-semantics/semantics/builtins.k	54	54	MPY-BUILTINS	syntax	function	syntax Int ::= intOf(Val) [function]
K0040	reference-semantics/semantics/builtins.k	55	55	MPY-BUILTINS	rule	ordinary	rule intOf(I:Int) => I
K0041	reference-semantics/semantics/builtins.k	56	58	MPY-BUILTINS	rule	ordinary	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K0042	reference-semantics/semantics/builtins.k	59	59	MPY-BUILTINS	syntax		"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
K0043	reference-semantics/semantics/builtins.k	60	60	MPY-BUILTINS	rule	ordinary	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0044	reference-semantics/semantics/builtins.k	61	61	MPY-BUILTINS	rule	ordinary	rule <k> #iterDone ~> #allCont => true ... </k>
K0045	reference-semantics/semantics/builtins.k	62	63	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K0046	reference-semantics/semantics/builtins.k	64	66	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K0047	reference-semantics/semantics/builtins.k	67	67	MPY-BUILTINS	syntax		"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
K0048	reference-semantics/semantics/builtins.k	68	68	MPY-BUILTINS	rule	ordinary	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0049	reference-semantics/semantics/builtins.k	69	69	MPY-BUILTINS	rule	ordinary	rule <k> #iterDone ~> #anyCont => false ... </k>
K0050	reference-semantics/semantics/builtins.k	70	71	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
K0051	reference-semantics/semantics/builtins.k	72	75	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
K0052	reference-semantics/semantics/builtins.k	76	76	MPY-BUILTINS	syntax		"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
K0053	reference-semantics/semantics/builtins.k	77	77	MPY-BUILTINS	rule	ordinary	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0054	reference-semantics/semantics/builtins.k	78	79	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0055	reference-semantics/semantics/builtins.k	80	80	MPY-BUILTINS	rule	ordinary	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0056	reference-semantics/semantics/builtins.k	81	81	MPY-BUILTINS	rule	ordinary	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K0057	reference-semantics/semantics/builtins.k	82	85	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0058	reference-semantics/semantics/builtins.k	86	86	MPY-BUILTINS	syntax		"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
K0059	reference-semantics/semantics/builtins.k	87	87	MPY-BUILTINS	rule	ordinary	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K0060	reference-semantics/semantics/builtins.k	88	89	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0061	reference-semantics/semantics/builtins.k	90	90	MPY-BUILTINS	rule	ordinary	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K0062	reference-semantics/semantics/builtins.k	91	91	MPY-BUILTINS	rule	ordinary	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K0063	reference-semantics/semantics/builtins.k	92	96	MPY-BUILTINS	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0064	reference-semantics/semantics/builtins.k	97	97	MPY-BUILTINS	syntax	function	syntax Int ::= maxVals(Int, Vals) [function]
K0065	reference-semantics/semantics/builtins.k	98	98	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
K0066	reference-semantics/semantics/builtins.k	99	99	MPY-BUILTINS	rule	ordinary	rule maxVals(M:Int, .Vals) => M
K0067	reference-semantics/semantics/builtins.k	100	101	MPY-BUILTINS	rule	ordinary	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K0068	reference-semantics/semantics/builtins.k	102	102	MPY-BUILTINS	syntax	function	syntax Int ::= minVals(Int, Vals) [function]
K0069	reference-semantics/semantics/builtins.k	103	103	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
K0070	reference-semantics/semantics/builtins.k	104	104	MPY-BUILTINS	rule	ordinary	rule minVals(M:Int, .Vals) => M
K0071	reference-semantics/semantics/builtins.k	105	107	MPY-BUILTINS	rule	ordinary	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
K0072	reference-semantics/semantics/builtins.k	108	110	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
K0073	reference-semantics/semantics/builtins.k	111	113	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
K0074	reference-semantics/semantics/builtins.k	114	114	MPY-BUILTINS	syntax	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
K0075	reference-semantics/semantics/builtins.k	115	115	MPY-BUILTINS	rule	ordinary	rule binCodes(0) => iCons(48, .IntSeq)
K0076	reference-semantics/semantics/builtins.k	116	116	MPY-BUILTINS	rule	ordinary	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K0077	reference-semantics/semantics/builtins.k	117	117	MPY-BUILTINS	syntax	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K0078	reference-semantics/semantics/builtins.k	118	118	MPY-BUILTINS	rule	ordinary	rule binAcc(0, ACC:IntSeq) => ACC
K0079	reference-semantics/semantics/builtins.k	119	123	MPY-BUILTINS	rule	ordinary	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
K0080	reference-semantics/semantics/builtins.k	124	125	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
K0081	reference-semantics/semantics/builtins.k	126	126	MPY-BUILTINS	syntax	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K0082	reference-semantics/semantics/builtins.k	127	127	MPY-BUILTINS	rule	ordinary	rule enumVS(.ValSeq, _:Int) => .ValSeq
K0083	reference-semantics/semantics/builtins.k	128	131	MPY-BUILTINS	rule	ordinary	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
K0084	reference-semantics/semantics/builtins.k	132	133	MPY-BUILTINS	rule	ordinary	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
K0085	reference-semantics/semantics/builtins.k	134	134	MPY-BUILTINS	syntax	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K0086	reference-semantics/semantics/builtins.k	135	135	MPY-BUILTINS	rule	ordinary	rule mapStrVS(.ValSeq) => .ValSeq
K0087	reference-semantics/semantics/builtins.k	136	136	MPY-BUILTINS	rule	ordinary	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K0088	reference-semantics/semantics/builtins.k	137	139	MPY-BUILTINS	rule	ordinary	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
K0089	reference-semantics/semantics/builtins.k	140	142	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""int"", I:Int, .Vals) => I"
K0090	reference-semantics/semantics/builtins.k	143	143	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
K0091	reference-semantics/semantics/builtins.k	144	147	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128"
K0092	reference-semantics/semantics/builtins.k	148	148	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""str"", I:Int, .Vals) => str(strToCodes(Int2String(I)))"
K0093	reference-semantics/semantics/builtins.k	149	151	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
K0094	reference-semantics/semantics/builtins.k	152	155	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57"
K0095	reference-semantics/semantics/builtins.k	156	157	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
K0096	reference-semantics/semantics/builtins.k	158	158	MPY-BUILTINS	syntax	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
K0097	reference-semantics/semantics/builtins.k	159	159	MPY-BUILTINS	rule	ordinary	rule intDigAcc(.IntSeq, ACC:Int) => ACC
K0098	reference-semantics/semantics/builtins.k	160	162	MPY-BUILTINS	rule	ordinary	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
K0099	reference-semantics/semantics/builtins.k	163	163	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
K0100	reference-semantics/semantics/builtins.k	164	166	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)"
K0101	reference-semantics/semantics/builtins.k	167	168	MPY-BUILTINS	rule	ordinary	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
K0102	reference-semantics/semantics/builtins.k	169	169	MPY-BUILTINS	rule	ordinary	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
K0103	reference-semantics/semantics/builtins.k	170	170	MPY-BUILTINS	rule	ordinary	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
K0104	reference-semantics/semantics/builtins.k	171	172	MPY-BUILTINS	rule	ordinary	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
K0105	reference-semantics/semantics/builtins.k	173	173	MPY-BUILTINS	rule	ordinary	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
K0106	reference-semantics/semantics/builtins.k	174	176	MPY-BUILTINS	rule	ordinary	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
K0107	reference-semantics/semantics/builtins.k	177	177	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""range"", I:Int, .Vals) => rangeObj(0, I, 1)"
K0108	reference-semantics/semantics/builtins.k	178	178	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""range"", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)"
K0109	reference-semantics/semantics/builtins.k	179	186	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0"
K0110	reference-semantics/semantics/builtins.k	187	187	MPY-BUILTINS	rule	ordinary	"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
K0111	reference-semantics/semantics/builtins.k	188	188	MPY-BUILTINS	syntax	function	syntax Int ::= evalArith(IntSeq) [function]
K0112	reference-semantics/semantics/builtins.k	189	191	MPY-BUILTINS	rule	ordinary	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
K0113	reference-semantics/semantics/builtins.k	192	193	MPY-BUILTINS	syntax		"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
K0114	reference-semantics/semantics/builtins.k	194	194	MPY-BUILTINS	syntax	function,total	syntax Bool ::= evDigit(Int) [function, total]
K0115	reference-semantics/semantics/builtins.k	195	195	MPY-BUILTINS	rule	ordinary	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
K0116	reference-semantics/semantics/builtins.k	196	196	MPY-BUILTINS	syntax	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
K0117	reference-semantics/semantics/builtins.k	197	197	MPY-BUILTINS	rule	ordinary	rule evHead42(iCons(42, _:IntSeq)) => true
K0118	reference-semantics/semantics/builtins.k	198	198	MPY-BUILTINS	rule	owise	rule evHead42(_:IntSeq) => false [owise]
K0119	reference-semantics/semantics/builtins.k	199	199	MPY-BUILTINS	syntax	function,total	syntax Bool ::= evHead47(IntSeq) [function, total]
K0120	reference-semantics/semantics/builtins.k	200	200	MPY-BUILTINS	rule	ordinary	rule evHead47(iCons(47, _:IntSeq)) => true
K0121	reference-semantics/semantics/builtins.k	201	202	MPY-BUILTINS	rule	owise	rule evHead47(_:IntSeq) => false [owise]
K0122	reference-semantics/semantics/builtins.k	203	203	MPY-BUILTINS	syntax	function,total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
K0123	reference-semantics/semantics/builtins.k	204	204	MPY-BUILTINS	rule	ordinary	rule tokOps(.IntSeq) => .OpSeq
K0124	reference-semantics/semantics/builtins.k	205	205	MPY-BUILTINS	rule	ordinary	rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
K0125	reference-semantics/semantics/builtins.k	206	206	MPY-BUILTINS	rule	ordinary	rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
K0126	reference-semantics/semantics/builtins.k	207	207	MPY-BUILTINS	rule	ordinary	"rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons(""**"", tokOps(R))"
K0127	reference-semantics/semantics/builtins.k	208	208	MPY-BUILTINS	rule	ordinary	"rule tokOps(iCons(42, R:IntSeq)) => oCons(""*"", tokOps(R)) requires notBool evHead42(R)"
K0128	reference-semantics/semantics/builtins.k	209	209	MPY-BUILTINS	rule	ordinary	"rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("""
K0129	reference-semantics/semantics/builtins.k	210	210	MPY-BUILTINS	rule	ordinary	"rule tokOps(iCons(47, R:IntSeq)) => oCons(""/"", tokOps(R)) requires notBool evHead47(R)"
K0130	reference-semantics/semantics/builtins.k	211	211	MPY-BUILTINS	rule	ordinary	"rule tokOps(iCons(43, R:IntSeq)) => oCons(""+"", tokOps(R))"
K0131	reference-semantics/semantics/builtins.k	212	213	MPY-BUILTINS	rule	ordinary	"rule tokOps(iCons(45, R:IntSeq)) => oCons(""-"", tokOps(R))"
K0132	reference-semantics/semantics/builtins.k	214	215	MPY-BUILTINS	syntax	function,total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
K0133	reference-semantics/semantics/builtins.k	216	216	MPY-BUILTINS	rule	ordinary	rule tokNds(.IntSeq) => .IntSeq
K0134	reference-semantics/semantics/builtins.k	217	217	MPY-BUILTINS	rule	ordinary	rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)
K0135	reference-semantics/semantics/builtins.k	218	218	MPY-BUILTINS	rule	ordinary	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
K0136	reference-semantics/semantics/builtins.k	219	220	MPY-BUILTINS	rule	ordinary	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32
K0137	reference-semantics/semantics/builtins.k	221	222	MPY-BUILTINS	rule	ordinary	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)
K0138	reference-semantics/semantics/builtins.k	223	224	MPY-BUILTINS	rule	owise	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
K0139	reference-semantics/semantics/builtins.k	225	225	MPY-BUILTINS	syntax		syntax EvPair ::= evp(OpSeq, IntSeq)
K0140	reference-semantics/semantics/builtins.k	226	226	MPY-BUILTINS	syntax	function,total	syntax Int ::= firstNdE(EvPair) [function, total]
K0141	reference-semantics/semantics/builtins.k	227	227	MPY-BUILTINS	rule	ordinary	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
K0142	reference-semantics/semantics/builtins.k	228	229	MPY-BUILTINS	rule	owise	rule firstNdE(_:EvPair) => 0 [owise]
K0143	reference-semantics/semantics/builtins.k	230	230	MPY-BUILTINS	syntax	function,total	syntax Int ::= applyOpE(String, Int, Int) [function, total]
K0144	reference-semantics/semantics/builtins.k	231	231	MPY-BUILTINS	rule	ordinary	"rule applyOpE(""+"", A:Int, B:Int) => A +Int B"
K0145	reference-semantics/semantics/builtins.k	232	232	MPY-BUILTINS	rule	ordinary	"rule applyOpE(""-"", A:Int, B:Int) => A -Int B"
K0146	reference-semantics/semantics/builtins.k	233	233	MPY-BUILTINS	rule	ordinary	"rule applyOpE(""*"", A:Int, B:Int) => A *Int B"
K0147	reference-semantics/semantics/builtins.k	234	234	MPY-BUILTINS	rule	ordinary	"rule applyOpE("""
K0148	reference-semantics/semantics/builtins.k	235	235	MPY-BUILTINS	rule	ordinary	"rule applyOpE(""**"", A:Int, B:Int) => A ^Int B"
K0149	reference-semantics/semantics/builtins.k	236	237	MPY-BUILTINS	rule	owise	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
K0150	reference-semantics/semantics/builtins.k	238	238	MPY-BUILTINS	syntax	function,total	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
K0151	reference-semantics/semantics/builtins.k	239	239	MPY-BUILTINS	rule	ordinary	rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
K0152	reference-semantics/semantics/builtins.k	240	240	MPY-BUILTINS	rule	ordinary	"rule passPowE(oCons(""**"", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))"
K0153	reference-semantics/semantics/builtins.k	241	242	MPY-BUILTINS	rule	ordinary	"rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS)) requires O =/=String ""**"""
K0154	reference-semantics/semantics/builtins.k	243	243	MPY-BUILTINS	rule	owise	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
K0155	reference-semantics/semantics/builtins.k	244	244	MPY-BUILTINS	syntax	function,total	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
K0156	reference-semantics/semantics/builtins.k	245	245	MPY-BUILTINS	rule	ordinary	rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
K0157	reference-semantics/semantics/builtins.k	246	246	MPY-BUILTINS	rule	ordinary	rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
K0158	reference-semantics/semantics/builtins.k	247	247	MPY-BUILTINS	syntax	function,total	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
