id	file	start_line	end_line	kind	attributes	review_class	decision	text
reference-semantics/semantics/builtins.k:9:imports:7	reference-semantics/semantics/builtins.k	9	9	imports		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	imports MPY-INT
reference-semantics/semantics/builtins.k:10:imports:8	reference-semantics/semantics/builtins.k	10	10	imports		FIXED_SCAFFOLD	NO TARGET IMPACT: assembly/module/import scaffolding	imports MPY-METHODS
reference-semantics/semantics/builtins.k:17:syntax:9	reference-semantics/semantics/builtins.k	17	17	syntax	function	OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k:20:syntax:10	reference-semantics/semantics/builtins.k	20	20	syntax	function	OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k:21:rule:11	reference-semantics/semantics/builtins.k	21	21	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
reference-semantics/semantics/builtins.k:22:rule:12	reference-semantics/semantics/builtins.k	22	22	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k:23:rule:13	reference-semantics/semantics/builtins.k	23	23	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k:24:rule:14	reference-semantics/semantics/builtins.k	24	24	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule seqLen(str(IS:IntSeq)) => isLen(IS)
reference-semantics/semantics/builtins.k:25:rule:15	reference-semantics/semantics/builtins.k	25	25	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
reference-semantics/semantics/builtins.k:26:rule:16	reference-semantics/semantics/builtins.k	26	26	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
reference-semantics/semantics/builtins.k:32:rule:17	reference-semantics/semantics/builtins.k	32	32	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k:33:rule:18	reference-semantics/semantics/builtins.k	33	33	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k:34:rule:19	reference-semantics/semantics/builtins.k	34	34	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
reference-semantics/semantics/builtins.k:35:rule:20	reference-semantics/semantics/builtins.k	35	35	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
reference-semantics/semantics/builtins.k:36:syntax:21	reference-semantics/semantics/builtins.k	36	36	syntax	function,total	OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k:37:rule:22	reference-semantics/semantics/builtins.k	37	37	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule charsOf(.IntSeq) => .ValSeq
reference-semantics/semantics/builtins.k:38:rule:23	reference-semantics/semantics/builtins.k	38	38	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k:41:rule:24	reference-semantics/semantics/builtins.k	41	41	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
reference-semantics/semantics/builtins.k:44:rule:25	reference-semantics/semantics/builtins.k	44	44	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
reference-semantics/semantics/builtins.k:47:syntax:26	reference-semantics/semantics/builtins.k	47	47	syntax		OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k:48:rule:27	reference-semantics/semantics/builtins.k	48	48	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k:49:rule:28	reference-semantics/semantics/builtins.k	49	49	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k:50:rule:29	reference-semantics/semantics/builtins.k	50	52	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k:54:syntax:30	reference-semantics/semantics/builtins.k	54	54	syntax	function	OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k:55:rule:31	reference-semantics/semantics/builtins.k	55	55	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule intOf(I:Int) => I
reference-semantics/semantics/builtins.k:56:rule:32	reference-semantics/semantics/builtins.k	56	56	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k:59:syntax:33	reference-semantics/semantics/builtins.k	59	59	syntax		OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
reference-semantics/semantics/builtins.k:60:rule:34	reference-semantics/semantics/builtins.k	60	60	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k:61:rule:35	reference-semantics/semantics/builtins.k	61	61	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k:62:rule:36	reference-semantics/semantics/builtins.k	62	63	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k:64:rule:37	reference-semantics/semantics/builtins.k	64	65	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k:67:syntax:38	reference-semantics/semantics/builtins.k	67	67	syntax		OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
reference-semantics/semantics/builtins.k:68:rule:39	reference-semantics/semantics/builtins.k	68	68	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k:69:rule:40	reference-semantics/semantics/builtins.k	69	69	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k:70:rule:41	reference-semantics/semantics/builtins.k	70	71	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k:72:rule:42	reference-semantics/semantics/builtins.k	72	73	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k:76:syntax:43	reference-semantics/semantics/builtins.k	76	76	syntax		OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
reference-semantics/semantics/builtins.k:77:rule:44	reference-semantics/semantics/builtins.k	77	77	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k:78:rule:45	reference-semantics/semantics/builtins.k	78	79	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k:80:rule:46	reference-semantics/semantics/builtins.k	80	80	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k:81:rule:47	reference-semantics/semantics/builtins.k	81	81	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k:82:rule:48	reference-semantics/semantics/builtins.k	82	84	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k:86:syntax:49	reference-semantics/semantics/builtins.k	86	86	syntax		OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
reference-semantics/semantics/builtins.k:87:rule:50	reference-semantics/semantics/builtins.k	87	87	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k:88:rule:51	reference-semantics/semantics/builtins.k	88	89	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k:90:rule:52	reference-semantics/semantics/builtins.k	90	90	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k:91:rule:53	reference-semantics/semantics/builtins.k	91	91	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k:92:rule:54	reference-semantics/semantics/builtins.k	92	94	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k:97:syntax:55	reference-semantics/semantics/builtins.k	97	97	syntax	function	OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k:98:rule:56	reference-semantics/semantics/builtins.k	98	98	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
reference-semantics/semantics/builtins.k:99:rule:57	reference-semantics/semantics/builtins.k	99	99	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule maxVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k:100:rule:58	reference-semantics/semantics/builtins.k	100	100	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k:102:syntax:59	reference-semantics/semantics/builtins.k	102	102	syntax	function	OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k:103:rule:60	reference-semantics/semantics/builtins.k	103	103	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
reference-semantics/semantics/builtins.k:104:rule:61	reference-semantics/semantics/builtins.k	104	104	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule minVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k:105:rule:62	reference-semantics/semantics/builtins.k	105	105	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k:108:rule:63	reference-semantics/semantics/builtins.k	108	109	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
reference-semantics/semantics/builtins.k:111:rule:64	reference-semantics/semantics/builtins.k	111	113	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
reference-semantics/semantics/builtins.k:114:syntax:65	reference-semantics/semantics/builtins.k	114	114	syntax	function,total	OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k:115:rule:66	reference-semantics/semantics/builtins.k	115	115	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k:116:rule:67	reference-semantics/semantics/builtins.k	116	116	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k:117:syntax:68	reference-semantics/semantics/builtins.k	117	117	syntax	function,total	OUT_OF_TARGET_SLICE_DECLARATION	NO TARGET IMPACT: fixed-semantics declaration not exercised by the pinned program	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k:118:rule:69	reference-semantics/semantics/builtins.k	118	118	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k:119:rule:70	reference-semantics/semantics/builtins.k	119	121	rule		OUT_OF_TARGET_SLICE_FIXED_RULE	NO TARGET IMPACT: cannot match the pinned program's reachable constructors/control states; no false witness asserted	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
