file	start_line	end_line	classification	statement	use_scope	assessment	rationale
reference-semantics/semantics/bool.k	22	23	rule,ordinary	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	24	28	rule,ordinary	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	29	30	rule,priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	31	34	rule,priority	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	35	38	rule,priority	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	39	42	rule,priority	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	43	46	rule,priority	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	17	19	syntax,function	syntax Val ::= applyBuiltin(String, Vals) [function]	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	20	20	syntax,function	syntax Int ::= seqLen(Val) [function]	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	21	21	rule,ordinary	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	22	22	rule,ordinary	rule seqLen(list(VS:ValSeq)) => vsLen(VS)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	23	23	rule,ordinary	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	24	24	rule,ordinary	rule seqLen(str(IS:IntSeq)) => isLen(IS)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	25	25	rule,ordinary	rule seqLen(setV(DS:IntSeq)) => isLen(DS)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	26	31	rule,ordinary	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	32	32	rule,ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	33	33	rule,ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	34	34	rule,ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	35	35	rule,ordinary	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	36	36	syntax,function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	37	37	rule,ordinary	rule charsOf(.IntSeq) => .ValSeq	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	38	40	rule,ordinary	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	41	43	rule,ordinary	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	44	46	rule,ordinary	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	47	47	syntax	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	48	48	rule,ordinary	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	49	49	rule,ordinary	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	50	53	rule,ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	54	54	syntax,function	syntax Int ::= intOf(Val) [function]	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	55	55	rule,ordinary	rule intOf(I:Int) => I	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	56	58	rule,ordinary	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	59	59	syntax	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	60	60	rule,ordinary	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	61	61	rule,ordinary	rule <k> #iterDone ~> #allCont => true ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	62	63	rule,ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	64	66	rule,ordinary	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	67	67	syntax	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	68	68	rule,ordinary	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	69	69	rule,ordinary	rule <k> #iterDone ~> #anyCont => false ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	70	71	rule,ordinary	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	72	75	rule,ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	76	76	syntax	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	77	77	rule,ordinary	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	78	79	rule,ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	80	80	rule,ordinary	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	81	81	rule,ordinary	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	82	85	rule,ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	86	86	syntax	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	87	87	rule,ordinary	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	88	89	rule,ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	90	90	rule,ordinary	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	91	91	rule,ordinary	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	92	96	rule,ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	97	97	syntax,function	syntax Int ::= maxVals(Int, Vals) [function]	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	98	98	rule,ordinary	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	99	99	rule,ordinary	rule maxVals(M:Int, .Vals) => M	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	100	101	rule,ordinary	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	102	102	syntax,function	syntax Int ::= minVals(Int, Vals) [function]	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	103	103	rule,ordinary	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	104	104	rule,ordinary	rule minVals(M:Int, .Vals) => M	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	105	107	rule,ordinary	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	108	110	rule,ordinary	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	111	113	rule,ordinary	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	114	114	syntax,function,total	syntax IntSeq ::= binCodes(Int) [function, total]	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	115	115	rule,ordinary	rule binCodes(0) => iCons(48, .IntSeq)	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	116	116	rule,ordinary	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	117	117	syntax,function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	118	118	rule,ordinary	rule binAcc(0, ACC:IntSeq) => ACC	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	119	123	rule,ordinary	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	124	125	rule,ordinary	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/builtins.k	126	126	syntax,function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]	selected-baseline; constructs from this file are on the program path	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
