source	lines	kind	attributes	text	disposition
/reference/reference-semantics/semantics/bool.k:43	43-46	rule	priority	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:17	17-19	syntax	function	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:20	20-20	syntax	function	syntax Int ::= seqLen(Val) [function]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:21	21-21	rule	ordinary	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:22	22-22	rule	ordinary	rule seqLen(list(VS:ValSeq)) => vsLen(VS)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:23	23-23	rule	ordinary	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:24	24-24	rule	ordinary	rule seqLen(str(IS:IntSeq)) => isLen(IS)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:25	25-25	rule	ordinary	rule seqLen(setV(DS:IntSeq)) => isLen(DS)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:26	26-31	rule	ordinary	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:32	32-32	rule	ordinary	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:33	33-33	rule	ordinary	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:34	34-34	rule	ordinary	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:35	35-35	rule	ordinary	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:36	36-36	syntax	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:37	37-37	rule	ordinary	rule charsOf(.IntSeq) => .ValSeq	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:38	38-40	rule	ordinary	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:41	41-43	rule	ordinary	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:44	44-46	rule	ordinary	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:47	47-47	syntax	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:48	48-48	rule	ordinary	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:49	49-49	rule	ordinary	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:50	50-53	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:54	54-54	syntax	function	syntax Int ::= intOf(Val) [function]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:55	55-55	rule	ordinary	rule intOf(I:Int) => I	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:56	56-58	rule	ordinary	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:59	59-59	syntax	-	syntax KItem ::= #allAcc(Iterable) | "#allCont"	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:60	60-60	rule	ordinary	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:61	61-61	rule	ordinary	rule <k> #iterDone ~> #allCont => true ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:62	62-63	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:64	64-66	rule	ordinary	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:67	67-67	syntax	-	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:68	68-68	rule	ordinary	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:69	69-69	rule	ordinary	rule <k> #iterDone ~> #anyCont => false ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:70	70-71	rule	ordinary	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:72	72-75	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V) // ==== max / min over an iterable (#iterNext folds; first element seeds) ====	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:76	76-76	syntax	-	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:77	77-77	rule	ordinary	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:78	78-79	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:80	80-80	rule	ordinary	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:81	81-81	rule	ordinary	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:82	82-85	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:86	86-86	syntax	-	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:87	87-87	rule	ordinary	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:88	88-89	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:90	90-90	rule	ordinary	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:91	91-91	rule	ordinary	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:92	92-96	rule	ordinary	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V) // ==== variadic max / min (a Vals fold) ====================================	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:97	97-97	syntax	function	syntax Int ::= maxVals(Int, Vals) [function]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:98	98-98	rule	ordinary	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:99	99-99	rule	ordinary	rule maxVals(M:Int, .Vals) => M	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:100	100-101	rule	ordinary	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:102	102-102	syntax	function	syntax Int ::= minVals(Int, Vals) [function]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:103	103-103	rule	ordinary	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:104	104-104	rule	ordinary	rule minVals(M:Int, .Vals) => M	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:105	105-107	rule	ordinary	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:108	108-110	rule	ordinary	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:111	111-113	rule	ordinary	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:114	114-114	syntax	function,total	syntax IntSeq ::= binCodes(Int) [function, total]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:115	115-115	rule	ordinary	rule binCodes(0) => iCons(48, .IntSeq)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:116	116-116	rule	ordinary	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:117	117-117	syntax	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:118	118-118	rule	ordinary	rule binAcc(0, ACC:IntSeq) => ACC	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:119	119-123	rule	ordinary	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0 // ==== enumerate(xs) — pairs (i, v); materialized eagerly over a list =========	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:124	124-125	rule	ordinary	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:126	126-126	syntax	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:127	127-127	rule	ordinary	rule enumVS(.ValSeq, _:Int) => .ValSeq	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:128	128-131	rule	ordinary	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:132	132-133	rule	ordinary	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:134	134-134	syntax	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:135	135-135	rule	ordinary	rule mapStrVS(.ValSeq) => .ValSeq	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:136	136-136	rule	ordinary	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:137	137-139	rule	ordinary	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:140	140-142	rule	ordinary	rule applyBuiltin("int", I:Int, .Vals) => I // ==== ord / chr ===========================================================	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:143	143-143	rule	ordinary	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:144	144-147	rule	ordinary	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128 // ==== str(int) / str(str) =================================================	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:148	148-148	rule	ordinary	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:149	149-151	rule	ordinary	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS) // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value =====	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:152	152-155	rule	ordinary	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57 // ==== int(str) — a multi-digit non-negative numeral (Horner fold; the single-char rule covers len 1)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:156	156-157	rule	ordinary	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:158	158-158	syntax	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:159	159-159	rule	ordinary	rule intDigAcc(.IntSeq, ACC:Int) => ACC	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:160	160-162	rule	ordinary	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48)) // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:163	163-163	rule	ordinary	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:164	164-166	rule	ordinary	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B) // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:167	167-168	rule	ordinary	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:169	169-169	rule	ordinary	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:170	170-170	rule	ordinary	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:171	171-172	rule	ordinary	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:173	173-173	rule	ordinary	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:174	174-176	rule	ordinary	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k> // ==== range(stop) / range(start, stop) / range(start, stop, step) =========	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:177	177-177	rule	ordinary	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
/reference/reference-semantics/semantics/builtins.k:178	178-178	rule	ordinary	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)	TRUSTED-FIXED-UNREACHABLE-MODULE: selected supplied semantics and inert for this program
