56:55	reference-semantics/semantics/assert.k	13	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
280:279	reference-semantics/semantics/call.k	56	rule:priority	used-path	USED_PATH_STRUCTURALLY_OR_MATHEMATICALLY_VALID_IN_MODEL	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals) => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) [priority(40)] // non-mutating methods READ their heap-object arguments too (join's list); // mutators keep refs (append of a list into a list-of-lists stays aliased)
281:280	reference-semantics/semantics/call.k	63	rule:priority	used-path	USED_PATH_STRUCTURALLY_OR_MATHEMATICALLY_VALID_IN_MODEL	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) andBool notBool isRefV(OBJ) [priority(40)]
311:310	reference-semantics/semantics/concrete.k	28	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]"
312:311	reference-semantics/semantics/concrete.k	31	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), kwV(""reverse"", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]"
334:333	reference-semantics/semantics/controls.k	12	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]"
336:335	reference-semantics/semantics/controls.k	27	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)] // ==== import trivia: `from math import floor, ceil` binds the supported // names as builtins in the current scope; every other import is a no-op
366:365	reference-semantics/semantics/controls.k	95	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
367:366	reference-semantics/semantics/controls.k	98	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
368:367	reference-semantics/semantics/controls.k	101	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] // For derefs its iterable ONCE at loop start (iteration is over the snapshot; // mutating the iterated list inside its own loop is outside the subset)
369:368	reference-semantics/semantics/controls.k	106	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
399:398	reference-semantics/semantics/core.k	85	rule:priority	used-path	USED_PATH_STRUCTURALLY_OR_MATHEMATICALLY_VALID_IN_MODEL	"rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires ""$cells"" in_keys(M) [priority(40)] // write through a cell (Assign / #bindP / #bindTgt dispatch here on // cell-bound names) // a keyword argument cools to a TAGGED value (consumed by kw-aware builtins)"
424:423	reference-semantics/semantics/core.k	145	rule:priority	used-path	USED_PATH_STRUCTURALLY_OR_MATHEMATICALLY_VALID_IN_MODEL	"rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires X in_keys(M) andBool ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool {M[X]}:>Val ==K cellRef(H) [priority(40)]"
487:486	reference-semantics/semantics/dict.k	58	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> #applyK(toCall(boundMethodV(dictV(KS:ValSeq, _:ValSeq), ""keys"")), .Vals) => #alloc(list(KS)) ... </k> [priority(40)] // ==== dict subscript READ: d[k] (assoc lookup; KeyError is out of subset) =="
490:489	reference-semantics/semantics/dict.k	65	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> Subscript(dictV(KS:ValSeq, VS:ValSeq), K:Val) => applyIndexD(dictV(KS, VS), K) ... </k> [priority(45)] // ==== dict subscript-assign: d[k] = v (insert/update in place) ============= // Only for a LOCAL dict variable X (the current scope holds it). Reuses dPutK/dPutV.
515:514	reference-semantics/semantics/float.k	21	rule:ordinary	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> Float(F:Float) => F ... </k> // Int / float true division. OPAQUE for kprove (no-evaluators); concrete for krun.
516:515	reference-semantics/semantics/float.k	24	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= intFloatDiv(Int, Float) [function, total, symbol(intFloatDiv), no-evaluators]
519:518	reference-semantics/semantics/float.k	30	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= divII(Int, Int) [function, total, symbol(divII), no-evaluators]
522:521	reference-semantics/semantics/float.k	37	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= floatMod(Float, Float) [function, total, symbol(floatMod), no-evaluators]
526:525	reference-semantics/semantics/float.k	44	rule:ordinary	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule applyCmp(""!="", F1:Float, F2:Float) => notBool (F1 ==Float F2) // float `<` and abs — OPAQUE for kprove ([no-evaluators], so a SYMBOLIC float compare stays an // uninterpreted Bool a proof case-splits on — a SINGLE compare per branch, not a nonlinear cascade), // [concrete] for krun. Additive, sort-disjoint from the Int rules. (has_close_elements: the pairwise // `abs(a-b) < t` proximity test.)"
527:526	reference-semantics/semantics/float.k	50	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Bool ::= floatLt(Float, Float) [function, total, symbol(floatLt), no-evaluators]
530:529	reference-semantics/semantics/float.k	54	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= absF(Float) [function, total, symbol(absF), no-evaluators]
535:534	reference-semantics/semantics/float.k	66	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> Call(Attribute(Name(""math""), ""ceil""), (E:Expr, .Exprs)) => E ~> #mathCeil ... </k> [priority(40)]"
538:537	reference-semantics/semantics/float.k	71	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> Call(Attribute(Name(""math""), ""floor""), (E:Expr, .Exprs)) => E ~> #mathFloor ... </k> [priority(40)]"
546:545	reference-semantics/semantics/float.k	83	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> Call(Attribute(Name(""math""), ""pow""), (E1:Expr, E2:Expr, .Exprs)) => E1 ~> #mathPow1(E2) ... </k> [priority(40)]"
555:554	reference-semantics/semantics/float.k	99	rule:ordinary	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule applyUn(""-"", F:Float) => 0.0 -Float F // ---- float - / / / + (OPAQUE for kprove [no-evaluators], concrete for krun) — for float-list // element maps (x - lo) / (hi - lo). Mirror intFloatDiv: additive, sort-disjoint from the Int rules."
556:555	reference-semantics/semantics/float.k	103	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= subF(Float, Float) [function, total, symbol(subF), no-evaluators]
559:558	reference-semantics/semantics/float.k	107	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= divF(Float, Float) [function, total, symbol(divF), no-evaluators]
562:561	reference-semantics/semantics/float.k	111	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= addF(Float, Float) [function, total, symbol(addF), no-evaluators]
565:564	reference-semantics/semantics/float.k	115	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= mulF(Float, Float) [function, total, symbol(mulF), no-evaluators]
568:567	reference-semantics/semantics/float.k	119	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= powF(Float, Float) [function, total, symbol(powF), no-evaluators]
571:570	reference-semantics/semantics/float.k	125	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Bool ::= gtF(Float, Float) [function, total, symbol(gtF), no-evaluators]
584:583	reference-semantics/semantics/float.k	142	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Bool ::= eqF(Float, Float) [function, total, symbol(eqF), no-evaluators]
596:595	reference-semantics/semantics/float.k	160	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= decStrToF(IntSeq) [function, total, symbol(decStrToF), no-evaluators]
621:620	reference-semantics/semantics/float.k	190	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= divFloatIntV(Float, Int) [function, total, symbol(divFloatIntV), no-evaluators]
624:623	reference-semantics/semantics/float.k	195	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= intToF(Int) [function, total, symbol(intToF), no-evaluators]
636:635	reference-semantics/semantics/float.k	209	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Int ::= truncF(Float) [function, total, symbol(truncF), no-evaluators]
641:640	reference-semantics/semantics/float.k	217	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Int ::= roundF(Float) [function, total, symbol(roundF), no-evaluators]
643:642	reference-semantics/semantics/float.k	223	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= roundFN(Float, Int) [function, total, symbol(roundFN), no-evaluators]
647:646	reference-semantics/semantics/float.k	230	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax Float ::= sqrtF(Float) [function, total, symbol(sqrtF), no-evaluators]
650:649	reference-semantics/semantics/float.k	233	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> Call(Attribute(Name(""math""), ""sqrt""), (E:Expr, .Exprs)) => E ~> #mathSqrt ... </k> [priority(40)]"
687:686	reference-semantics/semantics/functions.k	68	rule:priority	used-path	USED_PATH_STRUCTURALLY_OR_MATHEMATICALLY_VALID_IN_MODEL	"rule <k> #bindP((P:String, PS:ParamNames), (V:Val, VS:Vals)) => #cellW({M[P]}:>Val, V) ~> #bindP(PS, VS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires ""$cells"" in_keys(M) andBool pnMember(P, cellsOf({M[""$cells""]}:>Val)) andBool P in_keys(M) andBool isCellRef({M[P]}:>Val) [priority(40)] // ==== return / pop the frame (the returned expr evaluates by strictness) =="
728:727	reference-semantics/semantics/list.k	24	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> BinOp(""+"", list(A:ValSeq), list(B:ValSeq)) => #alloc(list(valSeqConcat(A, B))) ... </k> [priority(45)]"
743:742	reference-semantics/semantics/list.k	53	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> #applyK(toCall(boundMethodV(ref(H:Int), ""append"")), (V:Val, .Vals)) => noneV ... </k> <heap> ... H |-> list(VS:ValSeq => valSeqConcat(VS, vCons(V, .ValSeq))) ... </heap> [priority(40)] // ==== `x in list` — a <k>-cell fold over #iterNext ========================"
796:795	reference-semantics/semantics/methods.k	72	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> #applyK(toCall(boundMethodV(str(CS:IntSeq), ""split"")), .Vals) => #alloc(list(splitWS(CS, .IntSeq, .ValSeq))) ... </k> [priority(40)]"
806:805	reference-semantics/semantics/methods.k	89	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> #applyK(toCall(boundMethodV(str(CS:IntSeq), ""split"")), (kwV(""sep"", str(S:IntSeq)), .Vals)) => #applyK(toCall(boundMethodV(str(CS), ""split"")), (str(S), .Vals)) ... </k> [priority(39)] // str.split(sep) — single-char separator, KEEPING empty parts (Python's sep-split; len == #sep + 1)."
807:806	reference-semantics/semantics/methods.k	94	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> #applyK(toCall(boundMethodV(str(CS:IntSeq), ""split"")), (str(iCons(SEP:Int, .IntSeq)), .Vals)) => #alloc(list(splitSep(CS, SEP, .IntSeq))) ... </k> [priority(40)]"
839:838	reference-semantics/semantics/methods.k	143	rule:owise	used-path	SOURCE_MISMATCH_UNICODE_WITNESSES_STAGE4	rule lowerC(C:Int) => C         [owise]
871:870	reference-semantics/semantics/operators.k	25	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> BinOp(OP:String, ref(H:Int), R:Expr) => BinOp(OP, V, R) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
872:871	reference-semantics/semantics/operators.k	28	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> BinOp(OP:String, L:Val, ref(H:Int)) => BinOp(OP, L, V) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(L) [priority(40)] // the left operand of `in`/`not in` is an ELEMENT (compares by ==K) — never deref'd
873:872	reference-semantics/semantics/operators.k	34	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> Compare(ref(H:Int), CmpOp(OP:String, R:Expr)) => Compare(V, CmpOp(OP, R)) ... </k> <heap> ... H |-> V:Val ... </heap> requires OP =/=String ""in"" andBool OP =/=String ""not in"" [priority(40)]"
874:873	reference-semantics/semantics/operators.k	38	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> Compare(L:Val, CmpOp(OP:String, ref(H:Int))) => Compare(L, CmpOp(OP, V)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(L) orBool OP ==String ""in"" orBool OP ==String ""not in"" [priority(40)]"
875:874	reference-semantics/semantics/operators.k	44	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> UnaryOp(OP:String, ref(H:Int)) => UnaryOp(OP, V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
912:911	reference-semantics/semantics/sort.k	12	imports	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	imports MPY-SUBSCRIPT // sortVS(VS): the ascending sort of the Val list VS. Opaque for symbolic VS (no-evaluators); // concrete insertion sort for krun. // Concrete sort matches Int-sorted elements directly (an int Val IS an Int); projectIntTotal // (lemmas-only) is not available in the semantics. Int and str lists.
913:912	reference-semantics/semantics/sort.k	18	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax ValSeq ::= sortVS(ValSeq) [function, total, symbol(sortVS), no-evaluators]
926:925	reference-semantics/semantics/sort.k	40	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> #applyK(toCall(boundMethodV(ref(H:Int), ""sort"")), .Vals) => noneV ... </k> <heap> ... H |-> list(VS:ValSeq => sortVS(VS)) ... </heap> [priority(40)] // ==== keyed / reversed sorted() (WP2) ===================================== // sortKeyVS(VS, KV): the stable ascending sort of VS by the key value KV // (a closure/builtin/type — anything callable). OPAQUE here; the concrete // leg (MPY-CONCRETE, llvm only) computes keys by REAL calls and stable- // inserts, at priority(40) over these."
927:926	reference-semantics/semantics/sort.k	49	syntax:function,total,no-evaluators	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	syntax ValSeq ::= sortKeyVS(ValSeq, Val) [function, total, symbol(sortKeyVS), no-evaluators]
944:943	reference-semantics/semantics/str.k	13	syntax:function	fixed-semantics-unused-path	ASCII_LITERAL_MODEL_BOUNDARY	syntax IntSeq ::= strToCodes(String) [function]
945:944	reference-semantics/semantics/str.k	14	rule:ordinary	fixed-semantics-unused-path	ASCII_LITERAL_MODEL_BOUNDARY	rule <k> Str(S:String) => str(strToCodes(S)) ... </k>
946:945	reference-semantics/semantics/str.k	15	rule:ordinary	fixed-semantics-unused-path	ASCII_LITERAL_MODEL_BOUNDARY	"rule strToCodes("""") => .IntSeq"
947:946	reference-semantics/semantics/str.k	16	rule:ordinary	fixed-semantics-unused-path	ASCII_LITERAL_MODEL_BOUNDARY	"rule strToCodes(S:String) => iCons(ordChar(substrString(S, 0, 1)), strToCodes(substrString(S, 1, lengthString(S)))) requires S =/=String """" andBool ordChar(substrString(S, 0, 1)) <Int 128 // ==== operators: + / == / != / in ========================================="
989:988	reference-semantics/semantics/subscript.k	31	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> Subscript(ref(H:Int), IX:Index) => Subscript(V, IX) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
1003:1002	reference-semantics/semantics/subscript.k	58	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> ST:OptInt ~> #slStep(list(VS:ValSeq), LO:OptInt, HI:OptInt) => #alloc(doSlice(list(VS), LO, HI, ST)) ... </k> [priority(45)]
1078:1077	reference-semantics/semantics/tuple.k	35	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	"rule <k> #bindTgt(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]"
1081:1080	reference-semantics/semantics/tuple.k	44	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> #bindTgt(TupleExpr(TS:Exprs), ref(H:Int)) => #bindTgt(TupleExpr(TS), V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] // ==== unpacking: a, b = <tuple|list> (RHS evaluated by strictness) ========
1085:1084	reference-semantics/semantics/tuple.k	52	rule:priority	fixed-semantics-unused-path	NO_TASK_FALSE_WITNESS	rule <k> Assign(TupleExpr(TS:Exprs), ref(H:Int)) => Assign(TupleExpr(TS), V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
1089:1088	verification.k	1	requires	candidate-local	NO_LOCAL_EXTENSION	"requires ""reference-semantics/semantics.k"""
1090:1089	verification.k	3	module	candidate-local	NO_LOCAL_EXTENSION	module VERIFICATION
1091:1090	verification.k	4	imports	candidate-local	NO_LOCAL_EXTENSION	imports MPY
1092:1091	verification.k	5	endmodule	candidate-local	NO_LOCAL_EXTENSION	endmodule
1093:1092	spec.k	1	requires	candidate-local	NO_TASK_FALSE_WITNESS	"requires ""verification.k"""
1094:1093	spec.k	3	module	candidate-local	NO_TASK_FALSE_WITNESS	module SPEC
1095:1094	spec.k	4	imports	candidate-local	NO_TASK_FALSE_WITNESS	imports VERIFICATION
1096:1095	spec.k	6	claim	candidate-local	ENTRY_CLAIM_AUDITED_STAGES_3_4_6	"claim [count-distinct-characters]: <k> Call(Name(""count_distinct_characters""), str(CS:IntSeq)) => isLen(dedupCodes(mapLower(CS))) </k> <env> 0 </env> <scopes> 0 |-> scope( ""count_distinct_characters"" |-> closureVal( (""string"", .ParamNames), Return( Call( Name(""len""), Call( Name(""set""), Call(Attribute(Name(""string""), ""lower""), .Exprs) ) ) ) .Stmts, 0 ), parent(-1) ) -1 |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> <exit-code> 0 </exit-code>"
1097:1096	spec.k	40	endmodule	candidate-local	NO_TASK_FALSE_WITNESS	endmodule
