id	file	start_line	end_line	kind	source_class	tags	relevance	audit_decision	statement_one_line
19	reference-semantics/semantics/builtins.k	20	20	syntax	SUPPLIED_BASELINE	function	UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax Int ::= seqLen(Val) [function]
20	reference-semantics/semantics/builtins.k	21	21	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
21	reference-semantics/semantics/builtins.k	22	22	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
22	reference-semantics/semantics/builtins.k	23	23	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
23	reference-semantics/semantics/builtins.k	24	24	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule seqLen(str(IS:IntSeq)) => isLen(IS)
24	reference-semantics/semantics/builtins.k	25	25	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
25	reference-semantics/semantics/builtins.k	26	26	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
26	reference-semantics/semantics/builtins.k	32	32	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
27	reference-semantics/semantics/builtins.k	33	33	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
28	reference-semantics/semantics/builtins.k	34	34	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
29	reference-semantics/semantics/builtins.k	35	35	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
30	reference-semantics/semantics/builtins.k	36	36	syntax	SUPPLIED_BASELINE	function,total	UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax ValSeq ::= charsOf(IntSeq) [function, total]
31	reference-semantics/semantics/builtins.k	37	37	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule charsOf(.IntSeq) => .ValSeq
32	reference-semantics/semantics/builtins.k	38	38	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
33	reference-semantics/semantics/builtins.k	41	41	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
34	reference-semantics/semantics/builtins.k	44	44	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
35	reference-semantics/semantics/builtins.k	47	47	syntax	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
36	reference-semantics/semantics/builtins.k	48	48	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
37	reference-semantics/semantics/builtins.k	49	49	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
38	reference-semantics/semantics/builtins.k	50	52	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
39	reference-semantics/semantics/builtins.k	54	54	syntax	SUPPLIED_BASELINE	function	UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax Int ::= intOf(Val) [function]
40	reference-semantics/semantics/builtins.k	55	55	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule intOf(I:Int) => I
41	reference-semantics/semantics/builtins.k	56	56	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
42	reference-semantics/semantics/builtins.k	59	59	syntax	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax KItem ::= #allAcc(Iterable) | "#allCont"
43	reference-semantics/semantics/builtins.k	60	60	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
44	reference-semantics/semantics/builtins.k	61	61	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterDone ~> #allCont => true ... </k>
45	reference-semantics/semantics/builtins.k	62	63	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
46	reference-semantics/semantics/builtins.k	64	65	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
47	reference-semantics/semantics/builtins.k	67	67	syntax	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
48	reference-semantics/semantics/builtins.k	68	68	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
49	reference-semantics/semantics/builtins.k	69	69	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterDone ~> #anyCont => false ... </k>
50	reference-semantics/semantics/builtins.k	70	71	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
51	reference-semantics/semantics/builtins.k	72	73	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
52	reference-semantics/semantics/builtins.k	76	76	syntax	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
53	reference-semantics/semantics/builtins.k	77	77	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
54	reference-semantics/semantics/builtins.k	78	79	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
55	reference-semantics/semantics/builtins.k	80	80	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
56	reference-semantics/semantics/builtins.k	81	81	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
57	reference-semantics/semantics/builtins.k	82	84	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
58	reference-semantics/semantics/builtins.k	86	86	syntax	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
59	reference-semantics/semantics/builtins.k	87	87	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
60	reference-semantics/semantics/builtins.k	88	89	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
61	reference-semantics/semantics/builtins.k	90	90	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
62	reference-semantics/semantics/builtins.k	91	91	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
63	reference-semantics/semantics/builtins.k	92	94	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
64	reference-semantics/semantics/builtins.k	97	97	syntax	SUPPLIED_BASELINE	function	UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax Int ::= maxVals(Int, Vals) [function]
65	reference-semantics/semantics/builtins.k	98	98	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
66	reference-semantics/semantics/builtins.k	99	99	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule maxVals(M:Int, .Vals) => M
67	reference-semantics/semantics/builtins.k	100	100	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
68	reference-semantics/semantics/builtins.k	102	102	syntax	SUPPLIED_BASELINE	function	UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax Int ::= minVals(Int, Vals) [function]
69	reference-semantics/semantics/builtins.k	103	103	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
70	reference-semantics/semantics/builtins.k	104	104	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule minVals(M:Int, .Vals) => M
71	reference-semantics/semantics/builtins.k	105	105	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
72	reference-semantics/semantics/builtins.k	108	109	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
73	reference-semantics/semantics/builtins.k	111	113	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
74	reference-semantics/semantics/builtins.k	114	114	syntax	SUPPLIED_BASELINE	function,total	UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax IntSeq ::= binCodes(Int) [function, total]
75	reference-semantics/semantics/builtins.k	115	115	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule binCodes(0) => iCons(48, .IntSeq)
76	reference-semantics/semantics/builtins.k	116	116	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
77	reference-semantics/semantics/builtins.k	117	117	syntax	SUPPLIED_BASELINE	function,total	UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
78	reference-semantics/semantics/builtins.k	118	118	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule binAcc(0, ACC:IntSeq) => ACC
79	reference-semantics/semantics/builtins.k	119	121	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
80	reference-semantics/semantics/builtins.k	124	125	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
81	reference-semantics/semantics/builtins.k	126	126	syntax	SUPPLIED_BASELINE	function,total	UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
82	reference-semantics/semantics/builtins.k	127	127	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule enumVS(.ValSeq, _:Int) => .ValSeq
83	reference-semantics/semantics/builtins.k	128	129	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
84	reference-semantics/semantics/builtins.k	132	133	rule	SUPPLIED_BASELINE		UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
85	reference-semantics/semantics/builtins.k	134	134	syntax	SUPPLIED_BASELINE	function,total	UNUSED_BY_SUBMITTED_PROGRAM	ACCEPTED_AT_SELECTED_SEMANTICS_LEVEL: candidate entry is byte-identical to trusted supplied baseline	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
