file	line	kind	classification	attributes	text	disposition	review_rationale
reference-semantics/semantics.k	52	requires	requires		"requires ""semantics/call.k"""	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	53	requires	requires		"requires ""semantics/sort.k"""	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	54	requires	requires		"requires ""semantics/assert.k"""	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	55	requires	requires		"requires ""semantics/dict.k"""	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	56	requires	requires	concrete	"requires ""semantics/concrete.k"""	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	58	module	module		module MPY	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	59	imports	imports		imports MPY-CORE	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	60	imports	imports		imports MPY-ITER	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	61	imports	imports		imports MPY-RANGE	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	62	imports	imports		imports MPY-OPERATORS	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	63	imports	imports		imports MPY-INT	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	64	imports	imports		imports MPY-BOOL	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	65	imports	imports		imports MPY-FLOAT	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	66	imports	imports		imports MPY-STR	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	67	imports	imports		imports MPY-SET	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	68	imports	imports		imports MPY-LIST	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	69	imports	imports		imports MPY-TUPLE	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	70	imports	imports		imports MPY-SUBSCRIPT	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	71	imports	imports		imports MPY-COMPREHENSION	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	72	imports	imports		imports MPY-METHODS	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	73	imports	imports		imports MPY-CONTROLS	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	74	imports	imports		imports MPY-FUNCTIONS	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	75	imports	imports		imports MPY-BUILTINS	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	76	imports	imports		imports MPY-CALL	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	77	imports	imports		imports MPY-SORT	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	78	imports	imports		imports MPY-ASSERT	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	79	imports	imports		imports MPY-DICT	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	80	endmodule	endmodule		endmodule	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	87	module	module		module MPY-KRUN	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	88	imports	imports		imports MPY	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	89	imports	imports		imports MPY-CONCRETE	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics.k	90	endmodule	endmodule		endmodule	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/assert.k	3	module	module		module MPY-ASSERT	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/assert.k	4	imports	imports		imports MPY-CORE	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/assert.k	6	rule	ordinary-rule		rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/assert.k	8	rule	ordinary-rule		rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/assert.k	13	rule	priority-semantic-rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/assert.k	16	endmodule	endmodule		endmodule	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	5	module	module		module MPY-BOOL	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	6	imports	imports		imports MPY-CORE	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	8	rule	ordinary-rule		"rule applyUn(""not"", V:Val) => notBool truthy(V)"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	10	rule	ordinary-rule		"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	11	rule	ordinary-rule		"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	16	context	context		context BoolOp(_, (HOLE:Expr, _:Exprs))	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	17	rule	ordinary-rule		rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	18	rule	ordinary-rule		"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	20	rule	ordinary-rule		"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	22	rule	ordinary-rule		"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	24	rule	ordinary-rule		"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	29	rule	priority-semantic-rule	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	31	rule	priority-semantic-rule	priority	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	35	rule	priority-semantic-rule	priority	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	39	rule	priority-semantic-rule	priority	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	43	rule	priority-semantic-rule	priority	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/bool.k	47	endmodule	endmodule		endmodule	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	3	module	module		module MPY-BUILTINS	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	4	imports	imports		imports MPY-CORE	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	5	imports	imports		imports MPY-STR	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	6	imports	imports		imports MPY-SET	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	7	imports	imports		imports MPY-ITER	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	8	imports	imports		imports MPY-RANGE	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	9	imports	imports		imports MPY-INT	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	10	imports	imports		imports MPY-METHODS	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	17	syntax	syntax-declaration	function	syntax Val ::= applyBuiltin(String, Vals) [function]	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	20	syntax	syntax-declaration	function	syntax Int ::= seqLen(Val) [function]	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	21	rule	ordinary-rule		"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	22	rule	ordinary-rule		rule seqLen(list(VS:ValSeq))                  => vsLen(VS)	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	23	rule	ordinary-rule		rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	24	rule	ordinary-rule		rule seqLen(str(IS:IntSeq))                   => isLen(IS)	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	25	rule	ordinary-rule		rule seqLen(setV(DS:IntSeq))                  => isLen(DS)	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	26	rule	ordinary-rule		rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	32	rule	ordinary-rule		"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	33	rule	ordinary-rule		"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	34	rule	ordinary-rule		"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	35	rule	ordinary-rule		"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	36	syntax	syntax-declaration	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	37	rule	ordinary-rule		rule charsOf(.IntSeq)                => .ValSeq	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	38	rule	ordinary-rule		rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	41	rule	ordinary-rule		"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	44	rule	ordinary-rule		"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	47	syntax	syntax-declaration		syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	48	rule	ordinary-rule		rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	49	rule	ordinary-rule		rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	50	rule	ordinary-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	54	syntax	syntax-declaration	function	syntax Int ::= intOf(Val) [function]	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	55	rule	ordinary-rule		rule intOf(I:Int)  => I	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
reference-semantics/semantics/builtins.k	56	rule	ordinary-rule		rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	ACCEPTED-FIXED	Reviewed as part of the immutable supplied definition. It is coherent on its declared subset or unreachable from this program; no proof-local false conclusion witness was found beyond the separately marked string-model limitations.
