entry_kind	source	line	attributes	disposition	declaration
rule	reference-semantics/semantics/builtins.k	90	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
rule	reference-semantics/semantics/builtins.k	91	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
rule	reference-semantics/semantics/builtins.k	92	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)
syntax	reference-semantics/semantics/builtins.k	97	function	SUPPLIED_USED_PATH_REVIEWED	syntax Int ::= maxVals(Int, Vals) [function]
rule	reference-semantics/semantics/builtins.k	98	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
rule	reference-semantics/semantics/builtins.k	99	-	SUPPLIED_USED_PATH_REVIEWED	rule maxVals(M:Int, .Vals) => M
rule	reference-semantics/semantics/builtins.k	100	-	SUPPLIED_USED_PATH_REVIEWED	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
syntax	reference-semantics/semantics/builtins.k	102	function	SUPPLIED_USED_PATH_REVIEWED	syntax Int ::= minVals(Int, Vals) [function]
rule	reference-semantics/semantics/builtins.k	103	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
rule	reference-semantics/semantics/builtins.k	104	-	SUPPLIED_USED_PATH_REVIEWED	rule minVals(M:Int, .Vals) => M
rule	reference-semantics/semantics/builtins.k	105	-	SUPPLIED_USED_PATH_REVIEWED	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
rule	reference-semantics/semantics/builtins.k	108	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
rule	reference-semantics/semantics/builtins.k	111	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("bin", N:Int, .Vals)
syntax	reference-semantics/semantics/builtins.k	114	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax IntSeq ::= binCodes(Int) [function, total]
rule	reference-semantics/semantics/builtins.k	115	-	SUPPLIED_USED_PATH_REVIEWED	rule binCodes(0) => iCons(48, .IntSeq)
rule	reference-semantics/semantics/builtins.k	116	-	SUPPLIED_USED_PATH_REVIEWED	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
syntax	reference-semantics/semantics/builtins.k	117	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
rule	reference-semantics/semantics/builtins.k	118	-	SUPPLIED_USED_PATH_REVIEWED	rule binAcc(0, ACC:IntSeq) => ACC
rule	reference-semantics/semantics/builtins.k	119	-	SUPPLIED_USED_PATH_REVIEWED	rule binAcc(N:Int, ACC:IntSeq)
rule	reference-semantics/semantics/builtins.k	124	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals))
syntax	reference-semantics/semantics/builtins.k	126	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
rule	reference-semantics/semantics/builtins.k	127	-	SUPPLIED_USED_PATH_REVIEWED	rule enumVS(.ValSeq, _:Int) => .ValSeq
rule	reference-semantics/semantics/builtins.k	128	-	SUPPLIED_USED_PATH_REVIEWED	rule enumVS(vCons(V:Val, R:ValSeq), I:Int)
rule	reference-semantics/semantics/builtins.k	132	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals))
syntax	reference-semantics/semantics/builtins.k	134	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
rule	reference-semantics/semantics/builtins.k	135	-	SUPPLIED_USED_PATH_REVIEWED	rule mapStrVS(.ValSeq) => .ValSeq
rule	reference-semantics/semantics/builtins.k	136	-	SUPPLIED_USED_PATH_REVIEWED	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
rule	reference-semantics/semantics/builtins.k	137	-	SUPPLIED_USED_PATH_REVIEWED	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
rule	reference-semantics/semantics/builtins.k	140	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("int", I:Int, .Vals) => I
rule	reference-semantics/semantics/builtins.k	143	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
rule	reference-semantics/semantics/builtins.k	144	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
rule	reference-semantics/semantics/builtins.k	148	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
rule	reference-semantics/semantics/builtins.k	149	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
rule	reference-semantics/semantics/builtins.k	152	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
rule	reference-semantics/semantics/builtins.k	156	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
syntax	reference-semantics/semantics/builtins.k	158	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
rule	reference-semantics/semantics/builtins.k	159	-	SUPPLIED_USED_PATH_REVIEWED	rule intDigAcc(.IntSeq, ACC:Int) => ACC
rule	reference-semantics/semantics/builtins.k	160	-	SUPPLIED_USED_PATH_REVIEWED	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
rule	reference-semantics/semantics/builtins.k	163	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
rule	reference-semantics/semantics/builtins.k	164	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)
rule	reference-semantics/semantics/builtins.k	167	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq)))
rule	reference-semantics/semantics/builtins.k	169	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
rule	reference-semantics/semantics/builtins.k	170	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
rule	reference-semantics/semantics/builtins.k	171	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq)))
rule	reference-semantics/semantics/builtins.k	173	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
rule	reference-semantics/semantics/builtins.k	174	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
rule	reference-semantics/semantics/builtins.k	177	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
rule	reference-semantics/semantics/builtins.k	178	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
rule	reference-semantics/semantics/builtins.k	179	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
rule	reference-semantics/semantics/builtins.k	187	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
syntax	reference-semantics/semantics/builtins.k	188	function	SUPPLIED_USED_PATH_REVIEWED	syntax Int ::= evalArith(IntSeq) [function]
rule	reference-semantics/semantics/builtins.k	189	-	SUPPLIED_USED_PATH_REVIEWED	rule evalArith(CS:IntSeq)
syntax	reference-semantics/semantics/builtins.k	192	-	SUPPLIED_USED_PATH_REVIEWED	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
syntax	reference-semantics/semantics/builtins.k	194	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Bool ::= evDigit(Int) [function, total]
rule	reference-semantics/semantics/builtins.k	195	-	SUPPLIED_USED_PATH_REVIEWED	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
syntax	reference-semantics/semantics/builtins.k	196	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Bool ::= evHead42(IntSeq) [function, total]
rule	reference-semantics/semantics/builtins.k	197	-	SUPPLIED_USED_PATH_REVIEWED	rule evHead42(iCons(42, _:IntSeq)) => true
rule	reference-semantics/semantics/builtins.k	198	owise	SUPPLIED_USED_PATH_REVIEWED	rule evHead42(_:IntSeq) => false [owise]
syntax	reference-semantics/semantics/builtins.k	199	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Bool ::= evHead47(IntSeq) [function, total]
rule	reference-semantics/semantics/builtins.k	200	-	SUPPLIED_USED_PATH_REVIEWED	rule evHead47(iCons(47, _:IntSeq)) => true
rule	reference-semantics/semantics/builtins.k	201	owise	SUPPLIED_USED_PATH_REVIEWED	rule evHead47(_:IntSeq) => false [owise]
syntax	reference-semantics/semantics/builtins.k	203	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax OpSeq ::= tokOps(IntSeq) [function, total]
rule	reference-semantics/semantics/builtins.k	204	-	SUPPLIED_USED_PATH_REVIEWED	rule tokOps(.IntSeq) => .OpSeq
rule	reference-semantics/semantics/builtins.k	205	-	SUPPLIED_USED_PATH_REVIEWED	rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
rule	reference-semantics/semantics/builtins.k	206	-	SUPPLIED_USED_PATH_REVIEWED	rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
rule	reference-semantics/semantics/builtins.k	207	-	SUPPLIED_USED_PATH_REVIEWED	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
rule	reference-semantics/semantics/builtins.k	208	-	SUPPLIED_USED_PATH_REVIEWED	rule tokOps(iCons(42, R:IntSeq)) => oCons("*", tokOps(R)) requires notBool evHead42(R)
rule	reference-semantics/semantics/builtins.k	209	-	SUPPLIED_USED_PATH_REVIEWED	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
rule	reference-semantics/semantics/builtins.k	210	-	SUPPLIED_USED_PATH_REVIEWED	rule tokOps(iCons(47, R:IntSeq)) => oCons("/", tokOps(R)) requires notBool evHead47(R)
rule	reference-semantics/semantics/builtins.k	211	-	SUPPLIED_USED_PATH_REVIEWED	rule tokOps(iCons(43, R:IntSeq)) => oCons("+", tokOps(R))
rule	reference-semantics/semantics/builtins.k	212	-	SUPPLIED_USED_PATH_REVIEWED	rule tokOps(iCons(45, R:IntSeq)) => oCons("-", tokOps(R))
syntax	reference-semantics/semantics/builtins.k	214	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax IntSeq ::= tokNds(IntSeq) [function, total]
rule	reference-semantics/semantics/builtins.k	216	-	SUPPLIED_USED_PATH_REVIEWED	rule tokNds(.IntSeq) => .IntSeq
rule	reference-semantics/semantics/builtins.k	217	-	SUPPLIED_USED_PATH_REVIEWED	rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)
rule	reference-semantics/semantics/builtins.k	218	-	SUPPLIED_USED_PATH_REVIEWED	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
rule	reference-semantics/semantics/builtins.k	219	-	SUPPLIED_USED_PATH_REVIEWED	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R)
rule	reference-semantics/semantics/builtins.k	221	-	SUPPLIED_USED_PATH_REVIEWED	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R)
rule	reference-semantics/semantics/builtins.k	223	owise	SUPPLIED_USED_PATH_REVIEWED	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
syntax	reference-semantics/semantics/builtins.k	225	-	SUPPLIED_USED_PATH_REVIEWED	syntax EvPair ::= evp(OpSeq, IntSeq)
syntax	reference-semantics/semantics/builtins.k	226	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Int ::= firstNdE(EvPair) [function, total]
rule	reference-semantics/semantics/builtins.k	227	-	SUPPLIED_USED_PATH_REVIEWED	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
rule	reference-semantics/semantics/builtins.k	228	owise	SUPPLIED_USED_PATH_REVIEWED	rule firstNdE(_:EvPair) => 0 [owise]
syntax	reference-semantics/semantics/builtins.k	230	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Int ::= applyOpE(String, Int, Int) [function, total]
rule	reference-semantics/semantics/builtins.k	231	-	SUPPLIED_USED_PATH_REVIEWED	rule applyOpE("+", A:Int, B:Int) => A +Int B
rule	reference-semantics/semantics/builtins.k	232	-	SUPPLIED_USED_PATH_REVIEWED	rule applyOpE("-", A:Int, B:Int) => A -Int B
rule	reference-semantics/semantics/builtins.k	233	-	SUPPLIED_USED_PATH_REVIEWED	rule applyOpE("*", A:Int, B:Int) => A *Int B
rule	reference-semantics/semantics/builtins.k	234	-	SUPPLIED_USED_PATH_REVIEWED	rule applyOpE("//", A:Int, B:Int) => A divInt B
rule	reference-semantics/semantics/builtins.k	235	-	SUPPLIED_USED_PATH_REVIEWED	rule applyOpE("**", A:Int, B:Int) => A ^Int B
rule	reference-semantics/semantics/builtins.k	236	owise	SUPPLIED_USED_PATH_REVIEWED	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
syntax	reference-semantics/semantics/builtins.k	238	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
rule	reference-semantics/semantics/builtins.k	239	-	SUPPLIED_USED_PATH_REVIEWED	rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
rule	reference-semantics/semantics/builtins.k	240	-	SUPPLIED_USED_PATH_REVIEWED	rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))
rule	reference-semantics/semantics/builtins.k	241	-	SUPPLIED_USED_PATH_REVIEWED	rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS))
rule	reference-semantics/semantics/builtins.k	243	owise	SUPPLIED_USED_PATH_REVIEWED	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
syntax	reference-semantics/semantics/builtins.k	244	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
rule	reference-semantics/semantics/builtins.k	245	-	SUPPLIED_USED_PATH_REVIEWED	rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
rule	reference-semantics/semantics/builtins.k	246	-	SUPPLIED_USED_PATH_REVIEWED	rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
syntax	reference-semantics/semantics/builtins.k	247	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
rule	reference-semantics/semantics/builtins.k	248	-	SUPPLIED_USED_PATH_REVIEWED	rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
syntax	reference-semantics/semantics/builtins.k	250	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
rule	reference-semantics/semantics/builtins.k	251	-	SUPPLIED_USED_PATH_REVIEWED	rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)
rule	reference-semantics/semantics/builtins.k	252	-	SUPPLIED_USED_PATH_REVIEWED	rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
rule	reference-semantics/semantics/builtins.k	253	-	SUPPLIED_USED_PATH_REVIEWED	rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)
rule	reference-semantics/semantics/builtins.k	254	-	SUPPLIED_USED_PATH_REVIEWED	rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
