index	source_rule_id	lines	classification	independent basis
23	rule-90eb7f013a9e927996889600de0ac06a1c48fe1f32ff329772fa38b5022a8a28	122-124	DOMAIN_LEMMA	Definedness characterization for the pre-existing Int projection; no prior rule-free proof.
24	rule-621b8a32f9f2565b395727e275cf826a343441f0706f4de9a43e9cc371c54a35	126	DEFINITION	Sorted Bool base equation for projectBoolTotal.
25	rule-4906aa4a693fd57dec2e847d806442243769c98457f1af072082f43c2160400a	127-130	DEFINITION	Guarded projectBoolTotal equation through the existing K Bool projection.
26	rule-3905ebe2499ea5ede82420688c2f2bdadaaf27ab8b44aef52876a9281ba13c4e	131-134	DOMAIN_LEMMA	Reverse symbolic Bool-projection equality; not a definition of the pre-existing projection and not separately proved before use.
27	rule-223d04d630bd21ce9624149f41397f24c0af78120813951d1f3ef073273e8a83	135-137	DOMAIN_LEMMA	Definedness characterization for the pre-existing Bool projection; no prior rule-free proof.
28	rule-64da4543da040ecadafcb80fe5586bccd61f336d51e2d69f8be37eff9757ed31	139	DEFINITION	Sorted Float base equation for projectFloatTotal.
29	rule-21926f30458bdbc942cadfe77a2eec5094bd3ab7c432ddd5766b3c783d81fa4e	140-142	DEFINITION	Guarded projectFloatTotal equation through the existing K Float projection.
30	rule-aea328b93abee3d0539e019d0745462924337ff6c0e980f560da1a6fa1c0b72e	143-145	DOMAIN_LEMMA	Reverse symbolic Float-projection equality; not a definition of the pre-existing projection and not separately proved before use.
31	rule-725c0275ed9c194a24cc6686a7d8ac0e05163edac4687c027a68f98431430868	146-148	DOMAIN_LEMMA	Definedness characterization for the pre-existing Float projection; no prior rule-free proof.
32	rule-a0e116690579a038c18ab996ecb949fb9a9aaa7e8b1ea852e080495da97aa938	150-153	DEFINITION	Exclusive-Int equation defining intLikeTotal.
33	rule-cedd10071309ad23f0a9c25420b6c135c415ccaa18e27cbe573ac3d577eb492e	154-158	DEFINITION	Exclusive-Bool equation defining intLikeTotal.
34	rule-82314b210da1b2e71ed9cacdc03ed14b6f144d73a7db17b8f0b5688eb4d30e92	161-163	DOMAIN_LEMMA	Relates the supplied intOf to the proof-local totalizer over the integral guard; no prior exact rule-free proof.
35	rule-811615bc3ab0bde7acce657ae23e178b13d0a6bbd79e61987b2404e1818ba705	167-188	DEFINITION	Named macro/proof term for the exact translated source closure body.
36	rule-2c28a35276cc6a362988e024fe349cea1d30d7ecae33a6f4e36274e57eff1425	254-256	PROVED_DERIVED_LEMMA	SUM-CONNECTION.reverse-slice proves the identical transition with arbitrary suffix under SUMMARY-DEFINITION, whose closure excludes VERIFICATION; live isolated rerun returned #Top before target use.
37	rule-d13390ee12bb568d6ae90c95e9b2775c482f3676255a20bcfb3ab2ec0c868edf	260-263	PROVED_DERIVED_LEMMA	SUM-CONNECTION.sum-fold proves the identical transition on the broader allIntegral domain under SUMMARY-DEFINITION, so the later narrower allIntegral-and-no-float rule is a direct specialization; live isolated rerun returned #Top.
38	rule-8baf5b1816cf4d527c6421dfb6aa4fa022d589cd1ac2f991393fc77ef9ede209	267-273	PROVED_DERIVED_LEMMA	FLOAT-SUM-CONNECTION.float-sum-fold proves the identical transition on the broader allNumeric-and-hasFloat domain in a closure excluding VERIFICATION, after the separately proved float-rest transition; the later narrower rule is a direct specialization and the isolated rerun returned #Top.
