COMMAND: python3 /audit-output/evidence/ground_witnesses.py
CLAIM=triangle-area-int K_INPUTS=('3:Int', '4:Int', '5:Int') PY_INPUTS=(3, 4, 5) FORMAL_GROUND=6.0 CANDIDATE=6.0 CANONICAL=6.0 AGREES=True
CLAIM=triangle-area-float-bool-float K_INPUTS=('3.0:Float', 'true:Bool', '5.0:Float') PY_INPUTS=(3.0, True, 5.0) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-float-bool-bool K_INPUTS=('3.0:Float', 'true:Bool', 'true:Bool') PY_INPUTS=(3.0, True, True) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-bool-int-int K_INPUTS=('true:Bool', '4:Int', '5:Int') PY_INPUTS=(True, 4, 5) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-bool-int-float K_INPUTS=('true:Bool', '4:Int', '5.0:Float') PY_INPUTS=(True, 4, 5.0) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-bool-int-bool K_INPUTS=('true:Bool', '4:Int', 'true:Bool') PY_INPUTS=(True, 4, True) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-bool-float-int K_INPUTS=('true:Bool', '4.0:Float', '5:Int') PY_INPUTS=(True, 4.0, 5) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-bool-float-float K_INPUTS=('true:Bool', '4.0:Float', '5.0:Float') PY_INPUTS=(True, 4.0, 5.0) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-bool-float-bool K_INPUTS=('true:Bool', '4.0:Float', 'true:Bool') PY_INPUTS=(True, 4.0, True) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-bool-bool-int K_INPUTS=('true:Bool', 'true:Bool', '5:Int') PY_INPUTS=(True, True, 5) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-bool-bool-float K_INPUTS=('true:Bool', 'true:Bool', '5.0:Float') PY_INPUTS=(True, True, 5.0) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-bool-bool-bool K_INPUTS=('true:Bool', 'true:Bool', 'true:Bool') PY_INPUTS=(True, True, True) FORMAL_GROUND=0.43 CANDIDATE=0.43 CANONICAL=0.43 AGREES=True
TOTAL_WITNESSES=27
WITNESS_FAILURES=0
EXIT_STATUS=0
