files=30
entries=1148
kind_counts={'claim': 5, 'configuration': 1, 'context': 5, 'endmodule': 33, 'imports': 95, 'module': 33, 'requires': 29, 'rule': 714, 'syntax': 233}
disposition_counts={'DEFINITIONAL_EQUATION_REVIEWED_SOUND_ON_GUARDED_DOMAIN': 16, 'DERIVED_SORT_LEMMA_REVIEWED_SOUND': 1, 'FIXED_DECLARATION_UNUSED_BY_SUBMITTED_PROGRAM': 170, 'FIXED_DECLARATION_USED_AND_REVIEWED': 58, 'FIXED_EVALUATION_CONTEXT_REVIEWED_ON_INTENDED_PATH': 4, 'FIXED_RULE_REVIEWED_SOUND_ON_INTENDED_INT_LIST_PATH': 99, 'NO_INTENDED_PATH_MATCH;UNREACHED_CONTEXT': 1, 'NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED': 596, 'OPERATIONAL_BRIDGE_SEPARATE_CONNECTION_PROVED': 2, 'POSITIVE_REACHABILITY_CLAIM_REVIEWED': 5, 'PROOF_LOCAL_DECLARATION_REVIEWED': 6, 'PROOF_MODULE_WIRING_REVIEWED': 31, 'SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED': 159}
opaque_or_no_evaluators=22
total_declarations=113
functional_declarations=0
simplification_rules=1
priority_entries=47

ID	FILE	LINE	KIND	ATTRIBUTES	DISPOSITION	BLOCK_SHA256	NORMALIZED_SOURCE
I0011	semantics.k	44	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	a95bd351b20c771469491020adb0ced7ccb5e0d0925e1a2a2afec379202c449d	requires "semantics/list.k"
I0012	semantics.k	45	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	4a702fffa1e16b4e2b9fe67d153dfac3c7e911bfa63b671a3bf13dcb280561fe	requires "semantics/tuple.k"
I0013	semantics.k	46	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	f795613d9cb17629ce078e63a8a9c678058dd096cbc71b8d317b8f6dd90a9d92	requires "semantics/subscript.k"
I0014	semantics.k	47	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	927b4eb4e3dce857ba8c6b0c9efa4dcea0bb75262d64b9d8c7acea80340f11d3	requires "semantics/comprehension.k"
I0015	semantics.k	48	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	3708c0fc4fe99cb67a5e6687f95ab01b6b5c12ce14e46e42eab67de05e8a5d10	requires "semantics/methods.k"
I0016	semantics.k	49	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	498f2b091406cd4a46c7abb4ef9bd80af213323fa3c73451330610c725364577	requires "semantics/controls.k"
I0017	semantics.k	50	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	bf13fda77786233dc0dc9153ae8cbafc7f9314e3888571436ecbcf652ed84416	requires "semantics/functions.k"
I0018	semantics.k	51	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	9dc1130a72c535f9390df5fdbf23b65d5eb8642149d9228616e15de0b282c1b6	requires "semantics/builtins.k"
I0019	semantics.k	52	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	666c60af66b9a9a5e57ee0f3fc2f6b80fa7c40c65237af98051a82e0ae1568e3	requires "semantics/call.k"
I0020	semantics.k	53	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	9879ce98eb6621931b97c6d9e8a5fb58ff797bc17ca199f746974bae0dcfbbbf	requires "semantics/sort.k"
I0021	semantics.k	54	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	d0eef04114b1f5a8e340ed83c998f08e618cdd739a8137db71723d6eafb0d8e3	requires "semantics/assert.k"
I0022	semantics.k	55	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	dff85649217fc5c356552912f0333bbf2a1eb50bc7d60382df3ce84a5585d73d	requires "semantics/dict.k"
I0023	semantics.k	56	requires	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	f5f94e239ba7397d1ac63fc775155ba549bf099b6f8a4a6036ab6fb3bdecfcb4	requires "semantics/concrete.k"
I0024	semantics.k	58	module	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	340f552bdab12916ad400c9c2beec5903f96decc9f651bec2c79ee27125aa80e	module MPY
I0025	semantics.k	59	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	3f50aa9686f46b12bc0245cf0bb26236f25ed1b1ee14f4a29688bf26f127c3f8	imports MPY-CORE
I0026	semantics.k	60	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	36245a6e2a01a1599117c25f3221a01e1fc71670ec4374de9943a3af463cad9f	imports MPY-ITER
I0027	semantics.k	61	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	8e482540addd3d556ce7f3467b427237ceb94f58164f59291963614783547e73	imports MPY-RANGE
I0028	semantics.k	62	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	e95d12c38e22a0e539f00a62c2efacd00339db6057c36b62dd39679a08050704	imports MPY-OPERATORS
I0029	semantics.k	63	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	dccbd2000f94bfe221b942bfba5850bbe80e88c3d8b75740ba27c715ff798c65	imports MPY-INT
I0030	semantics.k	64	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	606e2225a8b414df224769f70fc85de94be0a8417aa1a5e5bf579c234ea6bbfc	imports MPY-BOOL
I0031	semantics.k	65	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	17e77306f75cd9bcdde3334fd9c25b03f18d812041915bc1471bd36571271439	imports MPY-FLOAT
I0032	semantics.k	66	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	399a4d0d6ab2e6cd1aa14cd5380417f3442b6af5978a87e2023e99b802b83dbf	imports MPY-STR
I0033	semantics.k	67	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	1b540d123f80233fd45599e653e196296b5f6084881819b27cafc7a44bcdf220	imports MPY-SET
I0034	semantics.k	68	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	39908357039a3a99946b85a4e33dd1a08ae14325b9a66390de11999b83eb73f2	imports MPY-LIST
I0035	semantics.k	69	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	caccdc35620a8e8a9452bffaa2ece57d464af7180ff4b2013a4caff66e9b2550	imports MPY-TUPLE
I0036	semantics.k	70	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	bb797023251a7d08b35850992453d5ea0180d2ad12fda97f1f040d37f98bcd49	imports MPY-SUBSCRIPT
I0037	semantics.k	71	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	b108cba3ec5405e0b4762d7e0ffe275a577b0a429ae58ba167f9dc36cb131b0a	imports MPY-COMPREHENSION
I0038	semantics.k	72	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	14630d96675d76454efd189e8d71d0b4c90851d2755c1560e51b09dd6b01f486	imports MPY-METHODS
I0039	semantics.k	73	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	24ffa847e481c49f9af8af6a794dffe219ee123297d29e499f90d97d7caddc92	imports MPY-CONTROLS
I0040	semantics.k	74	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	c1128d02d4f48acf1f8048d38445481072f407b56bcc7ab80cf647f327c2543b	imports MPY-FUNCTIONS
I0041	semantics.k	75	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	500c56793acb47c875a9cf559a70a7182c3a39fe451e63e14e78cf64718850dd	imports MPY-BUILTINS
I0042	semantics.k	76	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	6884818ad4446c62fca4772283b39997f7a962deac974b444d86bea74fd952ff	imports MPY-CALL
I0043	semantics.k	77	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	f157459e63d66f379b0e2ab7da094c2e92d3f0f5e545310516969651b59a6550	imports MPY-SORT
I0044	semantics.k	78	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	8cb589949f46e41cccf190331d770ba08622b902044136be6a5cd2983b1883bd	imports MPY-ASSERT
I0045	semantics.k	79	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	d07fc7b5c41a3b4ed29b736fae6626daf1c690e2ef1d3a1fa640ad567f6d015e	imports MPY-DICT
I0046	semantics.k	80	endmodule	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	57538aead9bd67a350be02b572414da939ed7433ca33366bb623a305b21cbbbb	endmodule
I0047	semantics.k	87	module	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	3c507e22c3e1c073f40583d7461bc43221d4c807fb1114f39c77aace50585bc9	module MPY-KRUN
I0048	semantics.k	88	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	6b753fe15b6086e8ef71085e5948d0730c8257d058086d66d4de33748b291a2e	imports MPY
I0049	semantics.k	89	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	4e7d473745dac0ecc7a43c2863c7af371a77c18df49c85894ef4eb09c3a29917	imports MPY-CONCRETE
I0050	semantics.k	90	endmodule	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4	endmodule
I0051	semantics/assert.k	3	module	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	c9be78fdc587dd075a47c08e505694a8890633ae600b52f886a4ff33046c24b6	module MPY-ASSERT
I0052	semantics/assert.k	4	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	3f50aa9686f46b12bc0245cf0bb26236f25ed1b1ee14f4a29688bf26f127c3f8	imports MPY-CORE
I0053	semantics/assert.k	6	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	46ba8624b23bf183d99353eab0c339c7261e3934373bc10c8d6eb0966fb6e4c2	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
I0054	semantics/assert.k	8	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	02af58c82c4e0fde67d9f12072d76f2988fe7ee14a6095de5e3458d305cc53d4	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
I0055	semantics/assert.k	13	rule	priority(40)	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	394326569ed8c1799184b4ed5f7f854898024e4cb1235144ef0f39f8b96a1cd9	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
I0056	semantics/assert.k	16	endmodule	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4	endmodule
I0057	semantics/bool.k	5	module	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	d0f4ccd7f134c7e028e54d830d022d5ca267e8266c1692006db410b48d14f7c1	module MPY-BOOL
I0058	semantics/bool.k	6	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	3f50aa9686f46b12bc0245cf0bb26236f25ed1b1ee14f4a29688bf26f127c3f8	imports MPY-CORE
I0059	semantics/bool.k	8	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	274ff35fd151cd732d15a1272707ece9a30a3e8a434efd8affb128403bd37106	rule applyUn("not", V:Val) => notBool truthy(V)
I0060	semantics/bool.k	10	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	f9d84a06392e2fadf7137e9e4c111657d995f025f4f1d6b5dac05fb58a21972b	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
I0061	semantics/bool.k	11	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	c8592bf4bacdb1c29456b167f2149343198dbac43b1798a74c46bb823ab4dd27	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
I0062	semantics/bool.k	16	context	-	NO_INTENDED_PATH_MATCH;UNREACHED_CONTEXT	de6eec95e5ddf9dc9af3d2a9f94c4df9e2c9b73bffe0bf7404ddda338b0ca05b	context BoolOp(_, (HOLE:Expr, _:Exprs))
I0063	semantics/bool.k	17	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	2efcf80be1c3fd95a749162752e9c54fdf8cd5c6b64cfe1aeed528cffe1f38d2	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
I0064	semantics/bool.k	18	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	ddf6d5245d01784cd74f00f7e54a736a76166193d7ed17e3b6f4f10ffdeac882	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
I0065	semantics/bool.k	20	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	eeeb303f787ca6da784fed38bb09560b7dc239cce893b9b6771056808ef4e9ee	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
I0066	semantics/bool.k	22	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	4c6d5a8013b0629662156459eb61a0b118fbfb7fb9d3eea2414b0767ebdf83e6	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
I0067	semantics/bool.k	24	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	f77fd0f1d8edb22d9c3bce8560b7ddc3de881f7e6855da3ea5afc4fd7f37b533	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
I0068	semantics/bool.k	29	rule	priority(40)	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	98cefcc060a8592c83623b7a530dcc2ef6b33351e32000cfaf470c112c20ece7	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
I0069	semantics/bool.k	31	rule	priority(40)	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	08bd3af9d84256bc9fae3edf7bd3e526de3e30093a2dd8493c7e5753fbac12ea	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
I0070	semantics/bool.k	35	rule	priority(40)	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	90ade243f35f7850587ea33d7df3e8fa2b369debf292fd42ef2a6dd2ba51d45c	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
I0071	semantics/bool.k	39	rule	priority(40)	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	f032128a3dd6c1d1f5cb9217e580c096ce7598e0cd8dccb583813dec97826e9f	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
I0072	semantics/bool.k	43	rule	priority(40)	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	6eb9e989936bb67bd56fdfd75edce0ccc63c826ba4ea710347e01214ee978e6d	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
I0073	semantics/bool.k	47	endmodule	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4	endmodule
I0074	semantics/builtins.k	3	module	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	714fcf7fc40ffcebec2a866bfc219f118a9bee4b47e2010874ca09a12c64884b	module MPY-BUILTINS
I0075	semantics/builtins.k	4	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	3f50aa9686f46b12bc0245cf0bb26236f25ed1b1ee14f4a29688bf26f127c3f8	imports MPY-CORE
I0076	semantics/builtins.k	5	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	399a4d0d6ab2e6cd1aa14cd5380417f3442b6af5978a87e2023e99b802b83dbf	imports MPY-STR
I0077	semantics/builtins.k	6	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	1b540d123f80233fd45599e653e196296b5f6084881819b27cafc7a44bcdf220	imports MPY-SET
I0078	semantics/builtins.k	7	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	36245a6e2a01a1599117c25f3221a01e1fc71670ec4374de9943a3af463cad9f	imports MPY-ITER
I0079	semantics/builtins.k	8	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	8e482540addd3d556ce7f3467b427237ceb94f58164f59291963614783547e73	imports MPY-RANGE
I0080	semantics/builtins.k	9	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	dccbd2000f94bfe221b942bfba5850bbe80e88c3d8b75740ba27c715ff798c65	imports MPY-INT
I0081	semantics/builtins.k	10	imports	-	SOURCE_ASSEMBLY_OR_MODULE_WIRING_REVIEWED	d162ed61f9859f9aac7c95acf97504fc9841e71e364c13894f8b6f9b5301895c	imports MPY-METHODS
I0082	semantics/builtins.k	17	syntax	function	FIXED_DECLARATION_UNUSED_BY_SUBMITTED_PROGRAM	612167c460720b3360445a5d89fd2c15442fdb67160d2630ee578c08c6a07423	syntax Val ::= applyBuiltin(String, Vals) [function]
I0083	semantics/builtins.k	20	syntax	function	FIXED_DECLARATION_UNUSED_BY_SUBMITTED_PROGRAM	1b82b6f2643fb55127f03658644a8a23881e02af83a59507666ea76f532b1763	syntax Int ::= seqLen(Val) [function]
I0084	semantics/builtins.k	21	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	435ff27019656108a22a48bb4a6b379a06ff353b380293a4aa1535ea2e23edf0	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
I0085	semantics/builtins.k	22	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	98e430fdd950a2759f8ad33448df439d879d4154e2e33b7188616ebcf383a77e	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
I0086	semantics/builtins.k	23	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	2a8eb099e13e3f2029c0df3fe4e68c51811a9d5c19fc87025e46f90164958630	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
I0087	semantics/builtins.k	24	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	db386182d466eebb95f6cf9407399b7178abb276be49eb292a7722c844d8a511	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
I0088	semantics/builtins.k	25	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	c597ed65e8ff595399d1919312a3dd5ae28e92d3e5eae4d0c734266c1491da71	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
I0089	semantics/builtins.k	26	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	8b6eaafc491afb8b2c71c13d3957a5dbf68ee45e1b70dc362f4362b512e9db2f	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
I0090	semantics/builtins.k	32	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	9aad60322b1d223c816a082c6dd7aaa0031520ffa7c887ceff7d189b2bf4290e	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
I0091	semantics/builtins.k	33	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	ac7736d6cb72610b0ce4260422ee667eb14af7a7f1272fdb0b409a0c7f8bf35c	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
I0092	semantics/builtins.k	34	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	d60c4b0f5ed3ffef310dd1be9f0aa427a18e2e73fff79f95896f151a76f1095b	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
I0093	semantics/builtins.k	35	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	a689979f9d6af9d0a10eec7acb5fe710478a29f5ef28faf0c4facac8d915e45c	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
I0094	semantics/builtins.k	36	syntax	function,total	FIXED_DECLARATION_UNUSED_BY_SUBMITTED_PROGRAM	d5cf987a32554927c5a38c7b9aa5929b1b5a4a7661b965507187c2e6671e3b58	syntax ValSeq ::= charsOf(IntSeq) [function, total]
I0095	semantics/builtins.k	37	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	5ba1845bc20c80babc7b2a7e3c03b9637c4924988151dc548f317e856f0e7f64	rule charsOf(.IntSeq)                => .ValSeq
I0096	semantics/builtins.k	38	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	0b124f922064d5e67d957b6302e52d0a42b0583c5b3aa4251109178ab5e121fb	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
I0097	semantics/builtins.k	41	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	fa9dd2a0ca32b899adf24c35c153dbe9193ef9fc22bce64c2d206cea0a4bdd19	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
I0098	semantics/builtins.k	44	rule	-	NO_INTENDED_PATH_MATCH;UNREACHED_FIXED_RULE_NOT_GLOBALLY_BLESSED	ce6be82fff23f6cb290c1b14d557f29783f9367d619fbb6f7e4707939b358473	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
I0099	semantics/builtins.k	47	syntax	-	FIXED_DECLARATION_UNUSED_BY_SUBMITTED_PROGRAM	cc05186fc333804cdf1b3c79d5e9dd79478e1a3dfb999fa9f99882c3be983a52	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
