COMMAND: ./evidence/differential_test.py /tmp/audit-work/92-any-int/reference/canonical.py /tmp/audit-work/92-any-int/candidate/solution.py
WORKDIR: /audit-output
--- OUTPUT ---
oracle=/reference/canonical.py:any_int
subject=/tmp/audit-work/92-any-int/candidate/solution.py:any_int
named_cases=27
NAMED example-first-equality: args=(5, 2, 7) canonical=('return', True) generated=('return', True)
NAMED example-no-equality: args=(3, 2, 2) canonical=('return', False) generated=('return', False)
NAMED example-negative: args=(3, -2, 1) canonical=('return', True) generated=('return', True)
NAMED example-noninteger: args=(3.6, -2.2, 2) canonical=('return', False) generated=('return', False)
NAMED first-equality-only: args=(2, 3, 5) canonical=('return', True) generated=('return', True)
NAMED second-equality-only: args=(2, 5, 3) canonical=('return', True) generated=('return', True)
NAMED third-equality-only: args=(5, 2, 3) canonical=('return', True) generated=('return', True)
NAMED all-equalities-zero: args=(0, 0, 0) canonical=('return', True) generated=('return', True)
NAMED negative-first-equality: args=(-5, 2, -3) canonical=('return', True) generated=('return', True)
NAMED large-unbounded-int: args=(10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, -10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0) canonical=('return', True) generated=('return', True)
NAMED float-position-1: args=(1.0, 2, 3) canonical=('return', False) generated=('return', False)
NAMED float-position-2: args=(1, 2.0, 3) canonical=('return', False) generated=('return', False)
NAMED float-position-3: args=(1, 2, 3.0) canonical=('return', False) generated=('return', False)
NAMED nan: args=(nan, 0, 0) canonical=('return', False) generated=('return', False)
NAMED positive-infinity: args=(inf, 1, 2) canonical=('return', False) generated=('return', False)
NAMED bool-position-1: args=(True, 1, 2) canonical=('return', True) generated=('return', False)
NAMED bool-position-2: args=(1, True, 2) canonical=('return', True) generated=('return', False)
NAMED bool-position-3: args=(1, 2, True) canonical=('return', True) generated=('return', False)
NAMED all-bool: args=(True, False, True) canonical=('return', True) generated=('return', False)
NAMED int-subclass-position-1: args=(1, 1, 2) canonical=('return', True) generated=('return', False)
NAMED int-subclass-position-2: args=(1, 1, 2) canonical=('return', True) generated=('return', False)
NAMED int-subclass-position-3: args=(1, 2, 1) canonical=('return', True) generated=('return', False)
NAMED decimal: args=(Decimal('1'), 2, 3) canonical=('return', False) generated=('return', False)
NAMED fraction: args=(Fraction(1, 1), 2, 3) canonical=('return', False) generated=('return', False)
NAMED complex: args=((1+0j), 2, 3) canonical=('return', False) generated=('return', False)
NAMED string-invalid: args=('1', 2, 3) canonical=('return', False) generated=('return', False)
NAMED none-invalid: args=(None, 2, 3) canonical=('return', False) generated=('return', False)
generated_unique_cases=5472
total_unique_cases=5485
mismatch_count=176
MISMATCH 1: class=bool-position-1 args=(True, 1, 2) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 68: class=generated args=(True, -2, -1) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 69: class=generated args=(True, -1, -2) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 70: class=generated args=(True, -1, 0) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 71: class=generated args=(True, -1, 2) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 72: class=generated args=(True, -1, False) types=('bool', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 73: class=generated args=(True, 0, -1) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 74: class=generated args=(True, 0, 1) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 75: class=generated args=(True, 0, True) types=('bool', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 76: class=generated args=(True, 1, 0) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 77: class=generated args=(True, 1, False) types=('bool', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 78: class=generated args=(True, 2, -1) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 79: class=generated args=(True, 2, 1) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 80: class=generated args=(True, 2, True) types=('bool', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 81: class=generated args=(True, False, -1) types=('bool', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 82: class=generated args=(True, False, 1) types=('bool', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 83: class=generated args=(True, True, 0) types=('bool', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 84: class=generated args=(True, True, 2) types=('bool', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 85: class=generated args=(True, True, False) types=('bool', 'bool', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 86: class=generated args=(-1, -1, 0) types=('IntSubclass', 'IntSubclass', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 87: class=generated args=(-1, -1, 0) types=('IntSubclass', 'IntSubclass', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 88: class=generated args=(-1, 0, -1) types=('IntSubclass', 'IntSubclass', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 89: class=generated args=(-1, 0, 1) types=('IntSubclass', 'IntSubclass', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 90: class=generated args=(-1, 0, -1) types=('IntSubclass', 'IntSubclass', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 91: class=generated args=(-1, 0, 1) types=('IntSubclass', 'IntSubclass', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 92: class=generated args=(-1, 1, 0) types=('IntSubclass', 'IntSubclass', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 93: class=generated args=(-1, 1, 0) types=('IntSubclass', 'IntSubclass', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 94: class=generated args=(-1, -1, 0) types=('IntSubclass', 'int', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 95: class=generated args=(-1, -1, 0) types=('IntSubclass', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 96: class=generated args=(-1, 0, -1) types=('IntSubclass', 'int', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 97: class=generated args=(-1, 0, 1) types=('IntSubclass', 'int', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 98: class=generated args=(-1, 0, -1) types=('IntSubclass', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 99: class=generated args=(-1, 0, 1) types=('IntSubclass', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 100: class=generated args=(-1, 1, 0) types=('IntSubclass', 'int', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 101: class=generated args=(-1, 1, 0) types=('IntSubclass', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 102: class=generated args=(0, -1, -1) types=('IntSubclass', 'IntSubclass', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 103: class=generated args=(0, -1, 1) types=('IntSubclass', 'IntSubclass', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 104: class=generated args=(0, -1, -1) types=('IntSubclass', 'IntSubclass', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 105: class=generated args=(0, -1, 1) types=('IntSubclass', 'IntSubclass', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 106: class=generated args=(0, 0, 0) types=('IntSubclass', 'IntSubclass', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 107: class=generated args=(0, 0, 0) types=('IntSubclass', 'IntSubclass', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 108: class=generated args=(0, 1, -1) types=('IntSubclass', 'IntSubclass', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 109: class=generated args=(0, 1, 1) types=('IntSubclass', 'IntSubclass', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 110: class=generated args=(0, 1, -1) types=('IntSubclass', 'IntSubclass', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 111: class=generated args=(0, 1, 1) types=('IntSubclass', 'IntSubclass', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 112: class=generated args=(0, -1, -1) types=('IntSubclass', 'int', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 113: class=generated args=(0, -1, 1) types=('IntSubclass', 'int', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 114: class=generated args=(0, -1, -1) types=('IntSubclass', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 115: class=generated args=(0, -1, 1) types=('IntSubclass', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 116: class=generated args=(0, 0, 0) types=('IntSubclass', 'int', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 117: class=generated args=(0, 0, 0) types=('IntSubclass', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 118: class=generated args=(0, 1, -1) types=('IntSubclass', 'int', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 119: class=generated args=(0, 1, 1) types=('IntSubclass', 'int', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 120: class=generated args=(0, 1, -1) types=('IntSubclass', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCHES_OMITTED=56
--- END OUTPUT ---
EXIT_STATUS: 0
