id	source	module	line_start	line_end	keyword	category	attributes	relevance	decision	normalized_sha256	normalized_sentence
K-0023	semantics.k	MPY-KRUN	89	89	imports	imports		assembly	module assembly only	ed62b27710dfe37a3cb8fc6a56c6f1bce2c878a39d15675f250c57927c4a2018	imports MPY-CONCRETE
K-0024	semantics/assert.k	MPY-ASSERT	4	5	imports	imports		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
K-0025	semantics/assert.k	MPY-ASSERT	6	7	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	90fd8cb48806b565c7efda64556bc1f3741e4c215670728e20119ee4302ac5f5	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K-0026	semantics/assert.k	MPY-ASSERT	8	12	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	dfe24d6909cafaa624ffd02ce638b5285dda809ae92d1bf8f64b9ef11388019b	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K-0027	semantics/assert.k	MPY-ASSERT	13	15	rule	rule:priority	priority(40)	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	94ec1f9b321539df9f19af2581391cdb32c7dc4d56895d3d9732706d61c6e039	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K-0028	semantics/bool.k	MPY-BOOL	6	7	imports	imports		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
K-0029	semantics/bool.k	MPY-BOOL	8	9	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	f6a9f817afd56c9168797a3f098cd08c12966f18447d1e0f9d1a05f16ae677c4	rule applyUn("not", V:Val) => notBool truthy(V)
K-0030	semantics/bool.k	MPY-BOOL	10	10	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	27c7ab07384784839a8a863b3f9933be214b73575a7e3e811e125c3d99a0370a	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K-0031	semantics/bool.k	MPY-BOOL	11	15	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	f0788e13f0abae37612da8abb60d3691cbb09b5d03a086f76272e5f320394b16	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K-0032	semantics/bool.k	MPY-BOOL	16	16	context	context		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	4bad2e2ff81c39e87091eef691d33bff23a6d7adf29b55aafe2a261e9e7aa33a	context BoolOp(_, (HOLE:Expr, _:Exprs))
K-0033	semantics/bool.k	MPY-BOOL	17	17	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	dd652a87b5666794e2e19a88c80917f8819ce783aae50f826a5d468e4a188544	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K-0034	semantics/bool.k	MPY-BOOL	18	19	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	c903d941fb7314ce9a808ef44e64dbb8c65585c74cc3935c843f59b30f0db2cb	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
K-0035	semantics/bool.k	MPY-BOOL	20	21	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	609b42dde8cecff47044578c95dfa8dfa3b51a7bc1edc878294ab4d92055e5d3	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
K-0036	semantics/bool.k	MPY-BOOL	22	23	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	66ef890f68fe08fb9cafa68cd0f292cad9db3d564aa5d15542c90c9baecd8c27	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
K-0037	semantics/bool.k	MPY-BOOL	24	28	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	e45c8c057789286197d69af32767cdf68380f59b006ded43e79dd0f3a34d2fa3	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
K-0038	semantics/bool.k	MPY-BOOL	29	30	rule	rule:priority	priority(40)	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	570c438ed2f88db94f853171689a61a4a3efbf6632bd00359e59635b287cdd42	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K-0039	semantics/bool.k	MPY-BOOL	31	34	rule	rule:priority	priority(40)	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	b20811d55420feb532235075af2164c6b7e8f9483e24f63346f384cc07354bdb	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K-0040	semantics/bool.k	MPY-BOOL	35	38	rule	rule:priority	priority(40)	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	1da617ae289768882fb6780ddef9c967f8b30389f7e29694fbe4143e85146236	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K-0041	semantics/bool.k	MPY-BOOL	39	42	rule	rule:priority	priority(40)	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	2eb620e8bf34c458becc919febceee04cab4f37e1a1ed7956f119a8b1265009e	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K-0042	semantics/bool.k	MPY-BOOL	43	46	rule	rule:priority	priority(40)	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	86c2967b9fc68899e77c31f07a35e2359123a4ec12bb59c71db0aed88426d464	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K-0043	semantics/builtins.k	MPY-BUILTINS	4	4	imports	imports		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
K-0044	semantics/builtins.k	MPY-BUILTINS	5	5	imports	imports		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	1c022ad4e0c945f696aa1f9d78eb4c3caf78ef9d9b46ae55d6fd081ff4264877	imports MPY-STR
K-0045	semantics/builtins.k	MPY-BUILTINS	6	6	imports	imports		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	783147658ae89d8dfd5db1f7498e1994e2d82a87dc70c399891ee2e62d7aa7b6	imports MPY-SET
K-0046	semantics/builtins.k	MPY-BUILTINS	7	7	imports	imports		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	8ad41781e06e91093b117ccd78f6f10180a840cf3b4adaa62547edd340b26acc	imports MPY-ITER
K-0047	semantics/builtins.k	MPY-BUILTINS	8	8	imports	imports		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	548212ddc441d76983863c9d3376f95c8022ee76d1dcf98dbe9e839a912f1323	imports MPY-RANGE
K-0048	semantics/builtins.k	MPY-BUILTINS	9	9	imports	imports		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	6a7df951c212c93cd44f9522a2128bbac2f97c6212765bb6d61d30326317e744	imports MPY-INT
K-0049	semantics/builtins.k	MPY-BUILTINS	10	16	imports	imports		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	09fe9e0706aef859710b0c5447f1427e859a1a9e9660b612e310bb91d51ec923	imports MPY-METHODS
K-0050	semantics/builtins.k	MPY-BUILTINS	17	19	syntax	syntax:function	function	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	8eb9b94daf324cbcdff3d902ceb5c8dbcc3d289d7d5094d452546c2cee988dbf	syntax Val ::= applyBuiltin(String, Vals) [function]
K-0051	semantics/builtins.k	MPY-BUILTINS	20	20	syntax	syntax:function	function	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	f6cf3d1713c13dac8d22e5399684f39be014bb52fc407729a141920e9ac6961a	syntax Int ::= seqLen(Val) [function]
K-0052	semantics/builtins.k	MPY-BUILTINS	21	21	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	4c33466e09a76b7760813815674e6ffbb94166ddb7069d042ef42b3ce95e3265	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
K-0053	semantics/builtins.k	MPY-BUILTINS	22	22	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	0aaba3d3b63a12047950734de1d7f6d68d726a77712db94d2c7f79f9ee9d9546	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
K-0054	semantics/builtins.k	MPY-BUILTINS	23	23	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	f5cd3a9a635bc85b291d7c33464d791ed4d02eeec6bc95e77180d1ef1e153748	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
K-0055	semantics/builtins.k	MPY-BUILTINS	24	24	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	d643ec5ddd399eb71ffb1b400c91340247b2e06423439b55fc984555dfe96583	rule seqLen(str(IS:IntSeq)) => isLen(IS)
K-0056	semantics/builtins.k	MPY-BUILTINS	25	25	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	fe3adc7a7e150cfcc668226bda4a9a9ff6fc4b01786d0c6f9d7a62c2dfda0bc1	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
K-0057	semantics/builtins.k	MPY-BUILTINS	26	31	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	b762a4c2dc2a978a5b58cf17653c01ed5b351a867462311dab5fe0f48fffd44c	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K-0058	semantics/builtins.k	MPY-BUILTINS	32	32	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	200f6d489286304114b4e127922e5d267a6472b44933e2526b01f03abf54d849	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K-0059	semantics/builtins.k	MPY-BUILTINS	33	33	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	d4c8072f0224b4363a94ae3ac318b3b18ad05c41f2b433fe526f8d020ae141b5	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K-0060	semantics/builtins.k	MPY-BUILTINS	34	34	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	0b80f78f2b97822d5ac436de4244defd9d61c478add9ea00843e45329c8953de	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
K-0061	semantics/builtins.k	MPY-BUILTINS	35	35	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	8b7fa386647f39a38debea703feca31b12a6d50ea85d8dc708c95c98f1d29cf8	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
K-0062	semantics/builtins.k	MPY-BUILTINS	36	36	syntax	syntax:function+total	function, total	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	01aff6eecdd49ca279cb4378e0ba39cf9a5e1da377c6bda52586943e73543839	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K-0063	semantics/builtins.k	MPY-BUILTINS	37	37	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	b46c475391e590ad418923d8208c753f459b5f2ab076283ed1a0377e31df6588	rule charsOf(.IntSeq) => .ValSeq
K-0064	semantics/builtins.k	MPY-BUILTINS	38	40	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	a2c1d74e5b751f7bfb3585ac3dc7672108ca19a654a1bae5d8f2511b6574dce6	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K-0065	semantics/builtins.k	MPY-BUILTINS	41	43	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	9f9f03920225a3d36e948401883e4279fdf90907b29131aea12dec5c1ae84228	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
K-0066	semantics/builtins.k	MPY-BUILTINS	44	46	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	d43957f0423a89cd90b617e2424f1c0c53f903e8a496d7350c11f5dccb463b90	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
K-0067	semantics/builtins.k	MPY-BUILTINS	47	47	syntax	syntax		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	8faa5250ed2b829b2c57a81708a1e0b4c8fc5683bff408e6fae108fe3ec4e60f	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K-0068	semantics/builtins.k	MPY-BUILTINS	48	48	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	cd531bdb9afa464c73c67f8946bbe64957682a3d5dd078d0bf22a556ccc572e6	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K-0069	semantics/builtins.k	MPY-BUILTINS	49	49	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	74ff8e8be84218b889ef85b902de5efaea860b572c8a5da8306df05a1b3c4947	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K-0070	semantics/builtins.k	MPY-BUILTINS	50	53	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	1ea66d1c87c6d6c2367b5978e8c39eabd2c37f53f7517b4ff6a7dd95934f21a0	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K-0071	semantics/builtins.k	MPY-BUILTINS	54	54	syntax	syntax:function	function	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	0355f95a50a6608682b1c8b9e304799a37a3ed6f4f6f81f8cc0d968f5ff678a4	syntax Int ::= intOf(Val) [function]
K-0072	semantics/builtins.k	MPY-BUILTINS	55	55	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	619051750e3b8e9f67feace8a633ecf86a9daf0eac32615563f871a0069e9e1c	rule intOf(I:Int) => I
K-0073	semantics/builtins.k	MPY-BUILTINS	56	58	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	39b97d83aa9d3c94c8143b6537ebc15c6c0513d4fa61118dbea15c2129e10bd2	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K-0074	semantics/builtins.k	MPY-BUILTINS	59	59	syntax	syntax		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	ed695fa0c4dbae8a1436b754495b020fb468e206c2b6448c21a61316bf0da571	syntax KItem ::= #allAcc(Iterable) | "#allCont"
K-0075	semantics/builtins.k	MPY-BUILTINS	60	60	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	e7fc3b9b3a8439566a4974be9e36608e65f380fca9cc34bcc9c6b41e522e9c16	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K-0076	semantics/builtins.k	MPY-BUILTINS	61	61	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	b74e515d3e67d8a52e1d0a061bb0432a2bf1de1b43995cc280a0ee2003d49c36	rule <k> #iterDone ~> #allCont => true ... </k>
K-0077	semantics/builtins.k	MPY-BUILTINS	62	63	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	beb3eb90ee0ff2e9d13f424eb92b4dc8263fba7700c6690beba2d2aafb4299ad	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K-0078	semantics/builtins.k	MPY-BUILTINS	64	66	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	942b3c5ca9399a49d2fbd6ab4fa1a405dd4a7cf4516ff56af02970e4f30aa9a1	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K-0079	semantics/builtins.k	MPY-BUILTINS	67	67	syntax	syntax		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	fbd45cd7894ab0316f890fc61b1b5354b41eabbba062394cbcbf820f53d00eb0	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
K-0080	semantics/builtins.k	MPY-BUILTINS	68	68	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	ca3f3bc3212a4bde9db710ca67b9ff4f7372092a568008c9e263f36654c478be	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K-0081	semantics/builtins.k	MPY-BUILTINS	69	69	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	c0ee3d29de0f584789682596e1516d301ee7f3cd73ca05694f3f10b3a978063a	rule <k> #iterDone ~> #anyCont => false ... </k>
K-0082	semantics/builtins.k	MPY-BUILTINS	70	71	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	6d518d4a9ce768d209c77a938fe801e5d4cb6a5bf65b95ed6c13bd7ec71209b5	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
K-0083	semantics/builtins.k	MPY-BUILTINS	72	75	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	bad6f62e127821f6a2817452066c9e25d7e239ffd6aca6ee789c523fd7fab761	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
K-0084	semantics/builtins.k	MPY-BUILTINS	76	76	syntax	syntax		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	e3461106d962a1af387b25dc9d0efaf45f25429c84e747320080d55a256fe3c6	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
K-0085	semantics/builtins.k	MPY-BUILTINS	77	77	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	59848da8989bf29361886195ec4d734aee2bb375e15be945b163e8bebe9dc86b	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K-0086	semantics/builtins.k	MPY-BUILTINS	78	79	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	ea3939e11faecfbdaf2e2a14e81ed6135343d312f3de159e633f02b0fad02cd1	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
K-0087	semantics/builtins.k	MPY-BUILTINS	80	80	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	66b9fabf71fa1c3cb5935e7c758b7835d42c078229bef95a9d00258c2be25942	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K-0088	semantics/builtins.k	MPY-BUILTINS	81	81	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	45675f8137ef759c03793ddbc5f29ba0c26e9b63dbb20548eff076acbe7f1e57	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K-0089	semantics/builtins.k	MPY-BUILTINS	82	85	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	fee6fab3ed0c3bb5c60e6322b9837a3f13ea7f3cf846ea670e1197e10b84ddf1	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
K-0090	semantics/builtins.k	MPY-BUILTINS	86	86	syntax	syntax		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	612c7bdfd2d38320c9120a5ad0911e5880488eb2a92ab68e87ac7a0a9bdcc60d	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
K-0091	semantics/builtins.k	MPY-BUILTINS	87	87	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	eb6389d2a176f8e9c2eb65f49175e5c400253651be9a571add590da6ce3ba770	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K-0092	semantics/builtins.k	MPY-BUILTINS	88	89	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	626486127c454c5cc6f3c1fdbae17950f6a96239e28e9d72fdd6322a77112532	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
K-0093	semantics/builtins.k	MPY-BUILTINS	90	90	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	20c0d7b936a1ae717e1b498c544d3e56d529de8b54a671c87468ea52c0180f02	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K-0094	semantics/builtins.k	MPY-BUILTINS	91	91	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	3f472924a83dcd925a34d32704d5cb43591b3115643998243b00b590ffd0789e	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K-0095	semantics/builtins.k	MPY-BUILTINS	92	96	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	bc45b19ab65f68a5462d0a1d6a08ebdfe81fe39a215be0fc1f953d0fa64c0f59	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
K-0096	semantics/builtins.k	MPY-BUILTINS	97	97	syntax	syntax:function	function	unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	4282c4747876bd11b0e0b06b2e4a8b6d9a709d9fb7d61a124e4e6e221a9cf49a	syntax Int ::= maxVals(Int, Vals) [function]
K-0097	semantics/builtins.k	MPY-BUILTINS	98	98	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	16f482b70cca4e393239fcfc21ef383ea47184220924e70160efcc4f10351c27	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
K-0098	semantics/builtins.k	MPY-BUILTINS	99	99	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	d3dcf3e3dfc110b7a7e46a508da6b501013718660c4909102ecb99372daeeb5e	rule maxVals(M:Int, .Vals) => M
K-0099	semantics/builtins.k	MPY-BUILTINS	100	101	rule	rule:ordinary		unreachable	constructor/type/context cannot arise on submitted program; no theorem influence	f1bf63869c2f8c3b4f48e5d002007a959d31bd3f9c39589cedd372e8e8c2c1fd	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
