index	a	b	canonical	submitted	math_gcd
290	-62	-62	-62	62	62
291	-62	-61	-1	1	1
292	-62	-60	-2	2	2
293	-62	-59	-1	1	1
294	-62	-58	-2	2	2
295	-62	-57	-1	1	1
296	-62	-56	-2	2	2
297	-62	-55	-1	1	1
298	-62	-54	-2	2	2
299	-62	-53	-1	1	1
300	-62	-52	-2	2	2
301	-62	-51	-1	1	1
302	-62	-50	-2	2	2
303	-62	-49	-1	1	1
304	-62	-48	-2	2	2
305	-62	-47	-1	1	1
306	-62	-46	-2	2	2
307	-62	-45	-1	1	1
308	-62	-44	-2	2	2
309	-62	-43	-1	1	1
310	-62	-42	-2	2	2
311	-62	-41	-1	1	1
312	-62	-40	-2	2	2
313	-62	-39	-1	1	1
314	-62	-38	-2	2	2
315	-62	-37	-1	1	1
316	-62	-36	-2	2	2
317	-62	-35	-1	1	1
318	-62	-34	-2	2	2
319	-62	-33	-1	1	1
320	-62	-32	-2	2	2
321	-62	-31	-31	31	31
322	-62	-30	-2	2	2
323	-62	-29	-1	1	1
324	-62	-28	-2	2	2
325	-62	-27	-1	1	1
326	-62	-26	-2	2	2
327	-62	-25	-1	1	1
328	-62	-24	-2	2	2
329	-62	-23	-1	1	1
330	-62	-22	-2	2	2
331	-62	-21	-1	1	1
332	-62	-20	-2	2	2
333	-62	-19	-1	1	1
334	-62	-18	-2	2	2
335	-62	-17	-1	1	1
336	-62	-16	-2	2	2
337	-62	-15	-1	1	1
338	-62	-14	-2	2	2
339	-62	-13	-1	1	1
340	-62	-12	-2	2	2
341	-62	-11	-1	1	1
342	-62	-10	-2	2	2
343	-62	-9	-1	1	1
344	-62	-8	-2	2	2
345	-62	-7	-1	1	1
346	-62	-6	-2	2	2
347	-62	-5	-1	1	1
348	-62	-4	-2	2	2
349	-62	-3	-1	1	1
350	-62	-2	-2	2	2
351	-62	-1	-1	1	1
352	-62	0	-62	62	62
353	-62	1	1	1	1
354	-62	2	2	2	2
355	-62	3	1	1	1
356	-62	4	2	2	2
357	-62	5	1	1	1
358	-62	6	2	2	2
359	-62	7	1	1	1
360	-62	8	2	2	2
361	-62	9	1	1	1
362	-62	10	2	2	2
363	-62	11	1	1	1
364	-62	12	2	2	2
365	-62	13	1	1	1
366	-62	14	2	2	2
367	-62	15	1	1	1
368	-62	16	2	2	2
369	-62	17	1	1	1
370	-62	18	2	2	2
371	-62	19	1	1	1
372	-62	20	2	2	2
373	-62	21	1	1	1
374	-62	22	2	2	2
375	-62	23	1	1	1
376	-62	24	2	2	2
377	-62	25	1	1	1
378	-62	26	2	2	2
379	-62	27	1	1	1
380	-62	28	2	2	2
381	-62	29	1	1	1
382	-62	30	2	2	2
383	-62	31	31	31	31
384	-62	32	2	2	2
385	-62	33	1	1	1
386	-62	34	2	2	2
387	-62	35	1	1	1
388	-62	36	2	2	2
389	-62	37	1	1	1
390	-62	38	2	2	2
391	-62	39	1	1	1
392	-62	40	2	2	2
393	-62	41	1	1	1
394	-62	42	2	2	2
395	-62	43	1	1	1
396	-62	44	2	2	2
397	-62	45	1	1	1
398	-62	46	2	2	2
399	-62	47	1	1	1
400	-62	48	2	2	2
401	-62	49	1	1	1
402	-62	50	2	2	2
403	-62	51	1	1	1
404	-62	52	2	2	2
405	-62	53	1	1	1
406	-62	54	2	2	2
407	-62	55	1	1	1
408	-62	56	2	2	2
409	-62	57	1	1	1
410	-62	58	2	2	2
411	-62	59	1	1	1
412	-62	60	2	2	2
413	-62	61	1	1	1
414	-62	62	62	62	62
415	-62	63	1	1	1
416	-62	64	2	2	2
417	-61	-64	-1	1	1
418	-61	-63	-1	1	1
419	-61	-62	-1	1	1
420	-61	-61	-61	61	61
421	-61	-60	-1	1	1
422	-61	-59	-1	1	1
423	-61	-58	-1	1	1
424	-61	-57	-1	1	1
425	-61	-56	-1	1	1
426	-61	-55	-1	1	1
427	-61	-54	-1	1	1
428	-61	-53	-1	1	1
429	-61	-52	-1	1	1
430	-61	-51	-1	1	1
431	-61	-50	-1	1	1
432	-61	-49	-1	1	1
433	-61	-48	-1	1	1
434	-61	-47	-1	1	1
435	-61	-46	-1	1	1
436	-61	-45	-1	1	1
437	-61	-44	-1	1	1
438	-61	-43	-1	1	1
439	-61	-42	-1	1	1
440	-61	-41	-1	1	1
441	-61	-40	-1	1	1
442	-61	-39	-1	1	1
443	-61	-38	-1	1	1
444	-61	-37	-1	1	1
445	-61	-36	-1	1	1
446	-61	-35	-1	1	1
447	-61	-34	-1	1	1
448	-61	-33	-1	1	1
449	-61	-32	-1	1	1
450	-61	-31	-1	1	1
451	-61	-30	-1	1	1
452	-61	-29	-1	1	1
453	-61	-28	-1	1	1
454	-61	-27	-1	1	1
455	-61	-26	-1	1	1
456	-61	-25	-1	1	1
457	-61	-24	-1	1	1
458	-61	-23	-1	1	1
459	-61	-22	-1	1	1
460	-61	-21	-1	1	1
461	-61	-20	-1	1	1
462	-61	-19	-1	1	1
463	-61	-18	-1	1	1
464	-61	-17	-1	1	1
465	-61	-16	-1	1	1
466	-61	-15	-1	1	1
467	-61	-14	-1	1	1
468	-61	-13	-1	1	1
469	-61	-12	-1	1	1
470	-61	-11	-1	1	1
471	-61	-10	-1	1	1
472	-61	-9	-1	1	1
473	-61	-8	-1	1	1
474	-61	-7	-1	1	1
475	-61	-6	-1	1	1
476	-61	-5	-1	1	1
477	-61	-4	-1	1	1
478	-61	-3	-1	1	1
479	-61	-2	-1	1	1
480	-61	-1	-1	1	1
481	-61	0	-61	61	61
482	-61	1	1	1	1
483	-61	2	1	1	1
484	-61	3	1	1	1
485	-61	4	1	1	1
486	-61	5	1	1	1
487	-61	6	1	1	1
488	-61	7	1	1	1
489	-61	8	1	1	1
490	-61	9	1	1	1
491	-61	10	1	1	1
492	-61	11	1	1	1
493	-61	12	1	1	1
494	-61	13	1	1	1
495	-61	14	1	1	1
496	-61	15	1	1	1
497	-61	16	1	1	1
498	-61	17	1	1	1
499	-61	18	1	1	1
500	-61	19	1	1	1
501	-61	20	1	1	1
502	-61	21	1	1	1
503	-61	22	1	1	1
504	-61	23	1	1	1
505	-61	24	1	1	1
506	-61	25	1	1	1
507	-61	26	1	1	1
508	-61	27	1	1	1
509	-61	28	1	1	1
510	-61	29	1	1	1
511	-61	30	1	1	1
512	-61	31	1	1	1
513	-61	32	1	1	1
514	-61	33	1	1	1
515	-61	34	1	1	1
516	-61	35	1	1	1
517	-61	36	1	1	1
518	-61	37	1	1	1
519	-61	38	1	1	1
520	-61	39	1	1	1
521	-61	40	1	1	1
522	-61	41	1	1	1
523	-61	42	1	1	1
524	-61	43	1	1	1
525	-61	44	1	1	1
526	-61	45	1	1	1
527	-61	46	1	1	1
528	-61	47	1	1	1
529	-61	48	1	1	1
530	-61	49	1	1	1
531	-61	50	1	1	1
532	-61	51	1	1	1
533	-61	52	1	1	1
534	-61	53	1	1	1
535	-61	54	1	1	1
536	-61	55	1	1	1
537	-61	56	1	1	1
538	-61	57	1	1	1
539	-61	58	1	1	1
540	-61	59	1	1	1
541	-61	60	1	1	1
542	-61	61	61	61	61
543	-61	62	1	1	1
544	-61	63	1	1	1
545	-61	64	1	1	1
546	-60	-64	-4	4	4
547	-60	-63	-3	3	3
548	-60	-62	-2	2	2
549	-60	-61	-1	1	1
550	-60	-60	-60	60	60
551	-60	-59	-1	1	1
552	-60	-58	-2	2	2
553	-60	-57	-3	3	3
554	-60	-56	-4	4	4
555	-60	-55	-5	5	5
556	-60	-54	-6	6	6
557	-60	-53	-1	1	1
558	-60	-52	-4	4	4
559	-60	-51	-3	3	3
560	-60	-50	-10	10	10
561	-60	-49	-1	1	1
562	-60	-48	-12	12	12
563	-60	-47	-1	1	1
564	-60	-46	-2	2	2
565	-60	-45	-15	15	15
566	-60	-44	-4	4	4
567	-60	-43	-1	1	1
568	-60	-42	-6	6	6
569	-60	-41	-1	1	1
570	-60	-40	-20	20	20
571	-60	-39	-3	3	3
572	-60	-38	-2	2	2
573	-60	-37	-1	1	1
574	-60	-36	-12	12	12
575	-60	-35	-5	5	5
576	-60	-34	-2	2	2
577	-60	-33	-3	3	3
578	-60	-32	-4	4	4
579	-60	-31	-1	1	1
580	-60	-30	-30	30	30
581	-60	-29	-1	1	1
582	-60	-28	-4	4	4
583	-60	-27	-3	3	3
584	-60	-26	-2	2	2
585	-60	-25	-5	5	5
586	-60	-24	-12	12	12
587	-60	-23	-1	1	1
588	-60	-22	-2	2	2
589	-60	-21	-3	3	3
590	-60	-20	-20	20	20
591	-60	-19	-1	1	1
592	-60	-18	-6	6	6
593	-60	-17	-1	1	1
594	-60	-16	-4	4	4
595	-60	-15	-15	15	15
596	-60	-14	-2	2	2
597	-60	-13	-1	1	1
598	-60	-12	-12	12	12
599	-60	-11	-1	1	1
600	-60	-10	-10	10	10
601	-60	-9	-3	3	3
602	-60	-8	-4	4	4
603	-60	-7	-1	1	1
604	-60	-6	-6	6	6
605	-60	-5	-5	5	5
606	-60	-4	-4	4	4
607	-60	-3	-3	3	3
608	-60	-2	-2	2	2
609	-60	-1	-1	1	1
610	-60	0	-60	60	60
611	-60	1	1	1	1
612	-60	2	2	2	2
613	-60	3	3	3	3
614	-60	4	4	4	4
615	-60	5	5	5	5
616	-60	6	6	6	6
617	-60	7	1	1	1
618	-60	8	4	4	4
619	-60	9	3	3	3
620	-60	10	10	10	10
621	-60	11	1	1	1
622	-60	12	12	12	12
623	-60	13	1	1	1
624	-60	14	2	2	2
625	-60	15	15	15	15
626	-60	16	4	4	4
627	-60	17	1	1	1
628	-60	18	6	6	6
629	-60	19	1	1	1
630	-60	20	20	20	20
631	-60	21	3	3	3
632	-60	22	2	2	2
633	-60	23	1	1	1
634	-60	24	12	12	12
635	-60	25	5	5	5
636	-60	26	2	2	2
637	-60	27	3	3	3
638	-60	28	4	4	4
639	-60	29	1	1	1
640	-60	30	30	30	30
641	-60	31	1	1	1
642	-60	32	4	4	4
643	-60	33	3	3	3
644	-60	34	2	2	2
645	-60	35	5	5	5
646	-60	36	12	12	12
647	-60	37	1	1	1
648	-60	38	2	2	2
649	-60	39	3	3	3
650	-60	40	20	20	20
651	-60	41	1	1	1
652	-60	42	6	6	6
653	-60	43	1	1	1
654	-60	44	4	4	4
655	-60	45	15	15	15
656	-60	46	2	2	2
657	-60	47	1	1	1
658	-60	48	12	12	12
659	-60	49	1	1	1
660	-60	50	10	10	10
661	-60	51	3	3	3
662	-60	52	4	4	4
663	-60	53	1	1	1
664	-60	54	6	6	6
665	-60	55	5	5	5
666	-60	56	4	4	4
667	-60	57	3	3	3
668	-60	58	2	2	2
669	-60	59	1	1	1
670	-60	60	60	60	60
671	-60	61	1	1	1
672	-60	62	2	2	2
673	-60	63	3	3	3
674	-60	64	4	4	4
675	-59	-64	-1	1	1
676	-59	-63	-1	1	1
677	-59	-62	-1	1	1
678	-59	-61	-1	1	1
679	-59	-60	-1	1	1
680	-59	-59	-59	59	59
681	-59	-58	-1	1	1
682	-59	-57	-1	1	1
683	-59	-56	-1	1	1
684	-59	-55	-1	1	1
685	-59	-54	-1	1	1
686	-59	-53	-1	1	1
687	-59	-52	-1	1	1
688	-59	-51	-1	1	1
689	-59	-50	-1	1	1
690	-59	-49	-1	1	1
691	-59	-48	-1	1	1
692	-59	-47	-1	1	1
693	-59	-46	-1	1	1
694	-59	-45	-1	1	1
695	-59	-44	-1	1	1
696	-59	-43	-1	1	1
697	-59	-42	-1	1	1
698	-59	-41	-1	1	1
699	-59	-40	-1	1	1
700	-59	-39	-1	1	1
701	-59	-38	-1	1	1
702	-59	-37	-1	1	1
703	-59	-36	-1	1	1
704	-59	-35	-1	1	1
705	-59	-34	-1	1	1
706	-59	-33	-1	1	1
707	-59	-32	-1	1	1
708	-59	-31	-1	1	1
709	-59	-30	-1	1	1
710	-59	-29	-1	1	1
711	-59	-28	-1	1	1
712	-59	-27	-1	1	1
713	-59	-26	-1	1	1
714	-59	-25	-1	1	1
715	-59	-24	-1	1	1
716	-59	-23	-1	1	1
717	-59	-22	-1	1	1
718	-59	-21	-1	1	1
719	-59	-20	-1	1	1
720	-59	-19	-1	1	1
721	-59	-18	-1	1	1
722	-59	-17	-1	1	1
723	-59	-16	-1	1	1
724	-59	-15	-1	1	1
725	-59	-14	-1	1	1
726	-59	-13	-1	1	1
727	-59	-12	-1	1	1
728	-59	-11	-1	1	1
729	-59	-10	-1	1	1
730	-59	-9	-1	1	1
731	-59	-8	-1	1	1
732	-59	-7	-1	1	1
733	-59	-6	-1	1	1
734	-59	-5	-1	1	1
735	-59	-4	-1	1	1
736	-59	-3	-1	1	1
737	-59	-2	-1	1	1
738	-59	-1	-1	1	1
739	-59	0	-59	59	59
740	-59	1	1	1	1
741	-59	2	1	1	1
742	-59	3	1	1	1
743	-59	4	1	1	1
744	-59	5	1	1	1
745	-59	6	1	1	1
746	-59	7	1	1	1
747	-59	8	1	1	1
748	-59	9	1	1	1
749	-59	10	1	1	1
750	-59	11	1	1	1
751	-59	12	1	1	1
752	-59	13	1	1	1
753	-59	14	1	1	1
754	-59	15	1	1	1
755	-59	16	1	1	1
756	-59	17	1	1	1
757	-59	18	1	1	1
758	-59	19	1	1	1
759	-59	20	1	1	1
760	-59	21	1	1	1
761	-59	22	1	1	1
762	-59	23	1	1	1
763	-59	24	1	1	1
764	-59	25	1	1	1
765	-59	26	1	1	1
766	-59	27	1	1	1
767	-59	28	1	1	1
768	-59	29	1	1	1
769	-59	30	1	1	1
770	-59	31	1	1	1
771	-59	32	1	1	1
772	-59	33	1	1	1
773	-59	34	1	1	1
774	-59	35	1	1	1
775	-59	36	1	1	1
776	-59	37	1	1	1
777	-59	38	1	1	1
778	-59	39	1	1	1
779	-59	40	1	1	1
780	-59	41	1	1	1
781	-59	42	1	1	1
782	-59	43	1	1	1
783	-59	44	1	1	1
784	-59	45	1	1	1
785	-59	46	1	1	1
786	-59	47	1	1	1
787	-59	48	1	1	1
788	-59	49	1	1	1
789	-59	50	1	1	1
790	-59	51	1	1	1
791	-59	52	1	1	1
792	-59	53	1	1	1
793	-59	54	1	1	1
794	-59	55	1	1	1
795	-59	56	1	1	1
796	-59	57	1	1	1
797	-59	58	1	1	1
798	-59	59	59	59	59
799	-59	60	1	1	1
800	-59	61	1	1	1
801	-59	62	1	1	1
802	-59	63	1	1	1
803	-59	64	1	1	1
804	-58	-64	-2	2	2
805	-58	-63	-1	1	1
806	-58	-62	-2	2	2
807	-58	-61	-1	1	1
808	-58	-60	-2	2	2
809	-58	-59	-1	1	1
810	-58	-58	-58	58	58
811	-58	-57	-1	1	1
812	-58	-56	-2	2	2
813	-58	-55	-1	1	1
814	-58	-54	-2	2	2
815	-58	-53	-1	1	1
816	-58	-52	-2	2	2
817	-58	-51	-1	1	1
818	-58	-50	-2	2	2
819	-58	-49	-1	1	1
820	-58	-48	-2	2	2
821	-58	-47	-1	1	1
822	-58	-46	-2	2	2
823	-58	-45	-1	1	1
824	-58	-44	-2	2	2
825	-58	-43	-1	1	1
826	-58	-42	-2	2	2
827	-58	-41	-1	1	1
828	-58	-40	-2	2	2
829	-58	-39	-1	1	1
830	-58	-38	-2	2	2
831	-58	-37	-1	1	1
832	-58	-36	-2	2	2
833	-58	-35	-1	1	1
834	-58	-34	-2	2	2
835	-58	-33	-1	1	1
836	-58	-32	-2	2	2
837	-58	-31	-1	1	1
838	-58	-30	-2	2	2
839	-58	-29	-29	29	29
840	-58	-28	-2	2	2
841	-58	-27	-1	1	1
842	-58	-26	-2	2	2
843	-58	-25	-1	1	1
844	-58	-24	-2	2	2
845	-58	-23	-1	1	1
846	-58	-22	-2	2	2
847	-58	-21	-1	1	1
848	-58	-20	-2	2	2
849	-58	-19	-1	1	1
850	-58	-18	-2	2	2
851	-58	-17	-1	1	1
852	-58	-16	-2	2	2
853	-58	-15	-1	1	1
854	-58	-14	-2	2	2
855	-58	-13	-1	1	1
856	-58	-12	-2	2	2
857	-58	-11	-1	1	1
858	-58	-10	-2	2	2
859	-58	-9	-1	1	1
860	-58	-8	-2	2	2
861	-58	-7	-1	1	1
862	-58	-6	-2	2	2
863	-58	-5	-1	1	1
864	-58	-4	-2	2	2
865	-58	-3	-1	1	1
866	-58	-2	-2	2	2
867	-58	-1	-1	1	1
868	-58	0	-58	58	58
869	-58	1	1	1	1
870	-58	2	2	2	2
871	-58	3	1	1	1
872	-58	4	2	2	2
873	-58	5	1	1	1
874	-58	6	2	2	2
875	-58	7	1	1	1
876	-58	8	2	2	2
877	-58	9	1	1	1
878	-58	10	2	2	2
879	-58	11	1	1	1
880	-58	12	2	2	2
881	-58	13	1	1	1
882	-58	14	2	2	2
883	-58	15	1	1	1
884	-58	16	2	2	2
885	-58	17	1	1	1
886	-58	18	2	2	2
887	-58	19	1	1	1
888	-58	20	2	2	2
889	-58	21	1	1	1
890	-58	22	2	2	2
891	-58	23	1	1	1
892	-58	24	2	2	2
893	-58	25	1	1	1
894	-58	26	2	2	2
895	-58	27	1	1	1
896	-58	28	2	2	2
897	-58	29	29	29	29
898	-58	30	2	2	2
899	-58	31	1	1	1
900	-58	32	2	2	2
901	-58	33	1	1	1
902	-58	34	2	2	2
903	-58	35	1	1	1
904	-58	36	2	2	2
905	-58	37	1	1	1
906	-58	38	2	2	2
907	-58	39	1	1	1
908	-58	40	2	2	2
909	-58	41	1	1	1
910	-58	42	2	2	2
911	-58	43	1	1	1
912	-58	44	2	2	2
913	-58	45	1	1	1
914	-58	46	2	2	2
915	-58	47	1	1	1
916	-58	48	2	2	2
917	-58	49	1	1	1
918	-58	50	2	2	2
919	-58	51	1	1	1
920	-58	52	2	2	2
921	-58	53	1	1	1
922	-58	54	2	2	2
923	-58	55	1	1	1
924	-58	56	2	2	2
925	-58	57	1	1	1
926	-58	58	58	58	58
927	-58	59	1	1	1
928	-58	60	2	2	2
929	-58	61	1	1	1
930	-58	62	2	2	2
931	-58	63	1	1	1
932	-58	64	2	2	2
933	-57	-64	-1	1	1
934	-57	-63	-3	3	3
935	-57	-62	-1	1	1
936	-57	-61	-1	1	1
937	-57	-60	-3	3	3
938	-57	-59	-1	1	1
939	-57	-58	-1	1	1
940	-57	-57	-57	57	57
941	-57	-56	-1	1	1
942	-57	-55	-1	1	1
943	-57	-54	-3	3	3
944	-57	-53	-1	1	1
945	-57	-52	-1	1	1
946	-57	-51	-3	3	3
947	-57	-50	-1	1	1
948	-57	-49	-1	1	1
949	-57	-48	-3	3	3
950	-57	-47	-1	1	1
951	-57	-46	-1	1	1
952	-57	-45	-3	3	3
953	-57	-44	-1	1	1
954	-57	-43	-1	1	1
955	-57	-42	-3	3	3
956	-57	-41	-1	1	1
957	-57	-40	-1	1	1
958	-57	-39	-3	3	3
959	-57	-38	-19	19	19
960	-57	-37	-1	1	1
961	-57	-36	-3	3	3
962	-57	-35	-1	1	1
963	-57	-34	-1	1	1
964	-57	-33	-3	3	3
965	-57	-32	-1	1	1
966	-57	-31	-1	1	1
967	-57	-30	-3	3	3
968	-57	-29	-1	1	1
969	-57	-28	-1	1	1
970	-57	-27	-3	3	3
971	-57	-26	-1	1	1
972	-57	-25	-1	1	1
973	-57	-24	-3	3	3
974	-57	-23	-1	1	1
