index	a	b
330	-62	-22
331	-62	-21
332	-62	-20
333	-62	-19
334	-62	-18
335	-62	-17
336	-62	-16
337	-62	-15
338	-62	-14
339	-62	-13
340	-62	-12
341	-62	-11
342	-62	-10
343	-62	-9
344	-62	-8
345	-62	-7
346	-62	-6
347	-62	-5
348	-62	-4
349	-62	-3
350	-62	-2
351	-62	-1
352	-62	0
353	-62	1
354	-62	2
355	-62	3
356	-62	4
357	-62	5
358	-62	6
359	-62	7
360	-62	8
361	-62	9
362	-62	10
363	-62	11
364	-62	12
365	-62	13
366	-62	14
367	-62	15
368	-62	16
369	-62	17
370	-62	18
371	-62	19
372	-62	20
373	-62	21
374	-62	22
375	-62	23
376	-62	24
377	-62	25
378	-62	26
379	-62	27
380	-62	28
381	-62	29
382	-62	30
383	-62	31
384	-62	32
385	-62	33
386	-62	34
387	-62	35
388	-62	36
389	-62	37
390	-62	38
391	-62	39
392	-62	40
393	-62	41
394	-62	42
395	-62	43
396	-62	44
397	-62	45
398	-62	46
399	-62	47
400	-62	48
401	-62	49
402	-62	50
403	-62	51
404	-62	52
405	-62	53
406	-62	54
407	-62	55
408	-62	56
409	-62	57
410	-62	58
411	-62	59
412	-62	60
413	-62	61
414	-62	62
415	-62	63
416	-62	64
417	-61	-64
418	-61	-63
419	-61	-62
420	-61	-61
421	-61	-60
422	-61	-59
423	-61	-58
424	-61	-57
425	-61	-56
426	-61	-55
427	-61	-54
428	-61	-53
429	-61	-52
430	-61	-51
431	-61	-50
432	-61	-49
433	-61	-48
434	-61	-47
435	-61	-46
436	-61	-45
437	-61	-44
438	-61	-43
439	-61	-42
440	-61	-41
441	-61	-40
442	-61	-39
443	-61	-38
444	-61	-37
445	-61	-36
446	-61	-35
447	-61	-34
448	-61	-33
449	-61	-32
450	-61	-31
451	-61	-30
452	-61	-29
453	-61	-28
454	-61	-27
455	-61	-26
456	-61	-25
457	-61	-24
458	-61	-23
459	-61	-22
460	-61	-21
461	-61	-20
462	-61	-19
463	-61	-18
464	-61	-17
465	-61	-16
466	-61	-15
467	-61	-14
468	-61	-13
469	-61	-12
470	-61	-11
471	-61	-10
472	-61	-9
473	-61	-8
474	-61	-7
475	-61	-6
476	-61	-5
477	-61	-4
478	-61	-3
479	-61	-2
480	-61	-1
481	-61	0
482	-61	1
483	-61	2
484	-61	3
485	-61	4
486	-61	5
487	-61	6
488	-61	7
489	-61	8
490	-61	9
491	-61	10
492	-61	11
493	-61	12
494	-61	13
495	-61	14
496	-61	15
497	-61	16
498	-61	17
499	-61	18
500	-61	19
501	-61	20
502	-61	21
503	-61	22
504	-61	23
505	-61	24
506	-61	25
507	-61	26
508	-61	27
509	-61	28
510	-61	29
511	-61	30
512	-61	31
513	-61	32
514	-61	33
515	-61	34
516	-61	35
517	-61	36
518	-61	37
519	-61	38
520	-61	39
521	-61	40
522	-61	41
523	-61	42
524	-61	43
525	-61	44
526	-61	45
527	-61	46
528	-61	47
529	-61	48
530	-61	49
531	-61	50
532	-61	51
533	-61	52
534	-61	53
535	-61	54
536	-61	55
537	-61	56
538	-61	57
539	-61	58
540	-61	59
541	-61	60
542	-61	61
543	-61	62
544	-61	63
545	-61	64
546	-60	-64
547	-60	-63
548	-60	-62
549	-60	-61
550	-60	-60
551	-60	-59
552	-60	-58
553	-60	-57
554	-60	-56
555	-60	-55
556	-60	-54
557	-60	-53
558	-60	-52
559	-60	-51
560	-60	-50
561	-60	-49
562	-60	-48
563	-60	-47
564	-60	-46
565	-60	-45
566	-60	-44
567	-60	-43
568	-60	-42
569	-60	-41
570	-60	-40
571	-60	-39
572	-60	-38
573	-60	-37
574	-60	-36
575	-60	-35
576	-60	-34
577	-60	-33
578	-60	-32
579	-60	-31
580	-60	-30
581	-60	-29
582	-60	-28
583	-60	-27
584	-60	-26
585	-60	-25
586	-60	-24
587	-60	-23
588	-60	-22
589	-60	-21
590	-60	-20
591	-60	-19
592	-60	-18
593	-60	-17
594	-60	-16
595	-60	-15
596	-60	-14
597	-60	-13
598	-60	-12
599	-60	-11
600	-60	-10
601	-60	-9
602	-60	-8
603	-60	-7
604	-60	-6
605	-60	-5
606	-60	-4
607	-60	-3
608	-60	-2
609	-60	-1
610	-60	0
611	-60	1
612	-60	2
613	-60	3
614	-60	4
615	-60	5
616	-60	6
617	-60	7
618	-60	8
619	-60	9
620	-60	10
621	-60	11
622	-60	12
623	-60	13
624	-60	14
625	-60	15
626	-60	16
627	-60	17
628	-60	18
629	-60	19
630	-60	20
631	-60	21
632	-60	22
633	-60	23
634	-60	24
635	-60	25
636	-60	26
637	-60	27
638	-60	28
639	-60	29
640	-60	30
641	-60	31
642	-60	32
643	-60	33
644	-60	34
645	-60	35
646	-60	36
647	-60	37
648	-60	38
649	-60	39
650	-60	40
651	-60	41
652	-60	42
653	-60	43
654	-60	44
655	-60	45
656	-60	46
657	-60	47
658	-60	48
659	-60	49
660	-60	50
661	-60	51
662	-60	52
663	-60	53
664	-60	54
665	-60	55
666	-60	56
667	-60	57
668	-60	58
669	-60	59
670	-60	60
671	-60	61
672	-60	62
673	-60	63
674	-60	64
675	-59	-64
676	-59	-63
677	-59	-62
678	-59	-61
679	-59	-60
680	-59	-59
681	-59	-58
682	-59	-57
683	-59	-56
684	-59	-55
685	-59	-54
686	-59	-53
687	-59	-52
688	-59	-51
689	-59	-50
690	-59	-49
691	-59	-48
692	-59	-47
693	-59	-46
694	-59	-45
695	-59	-44
696	-59	-43
697	-59	-42
698	-59	-41
699	-59	-40
700	-59	-39
701	-59	-38
702	-59	-37
703	-59	-36
704	-59	-35
705	-59	-34
706	-59	-33
707	-59	-32
708	-59	-31
709	-59	-30
710	-59	-29
711	-59	-28
712	-59	-27
713	-59	-26
714	-59	-25
715	-59	-24
716	-59	-23
717	-59	-22
718	-59	-21
719	-59	-20
720	-59	-19
721	-59	-18
722	-59	-17
723	-59	-16
724	-59	-15
725	-59	-14
726	-59	-13
727	-59	-12
728	-59	-11
729	-59	-10
730	-59	-9
731	-59	-8
732	-59	-7
733	-59	-6
734	-59	-5
735	-59	-4
736	-59	-3
737	-59	-2
738	-59	-1
739	-59	0
740	-59	1
741	-59	2
742	-59	3
743	-59	4
744	-59	5
745	-59	6
746	-59	7
747	-59	8
748	-59	9
749	-59	10
750	-59	11
751	-59	12
752	-59	13
753	-59	14
754	-59	15
755	-59	16
756	-59	17
757	-59	18
758	-59	19
759	-59	20
760	-59	21
761	-59	22
762	-59	23
763	-59	24
764	-59	25
765	-59	26
766	-59	27
767	-59	28
768	-59	29
769	-59	30
770	-59	31
771	-59	32
772	-59	33
773	-59	34
774	-59	35
775	-59	36
776	-59	37
777	-59	38
778	-59	39
779	-59	40
780	-59	41
781	-59	42
782	-59	43
783	-59	44
784	-59	45
785	-59	46
786	-59	47
787	-59	48
788	-59	49
789	-59	50
790	-59	51
791	-59	52
792	-59	53
793	-59	54
794	-59	55
795	-59	56
796	-59	57
797	-59	58
798	-59	59
799	-59	60
800	-59	61
801	-59	62
802	-59	63
803	-59	64
804	-58	-64
805	-58	-63
806	-58	-62
807	-58	-61
808	-58	-60
809	-58	-59
810	-58	-58
811	-58	-57
812	-58	-56
813	-58	-55
814	-58	-54
815	-58	-53
816	-58	-52
817	-58	-51
818	-58	-50
819	-58	-49
820	-58	-48
821	-58	-47
822	-58	-46
823	-58	-45
824	-58	-44
825	-58	-43
826	-58	-42
827	-58	-41
828	-58	-40
829	-58	-39
830	-58	-38
831	-58	-37
832	-58	-36
833	-58	-35
834	-58	-34
835	-58	-33
836	-58	-32
837	-58	-31
838	-58	-30
839	-58	-29
840	-58	-28
841	-58	-27
842	-58	-26
843	-58	-25
844	-58	-24
845	-58	-23
846	-58	-22
847	-58	-21
848	-58	-20
849	-58	-19
850	-58	-18
851	-58	-17
852	-58	-16
853	-58	-15
854	-58	-14
855	-58	-13
856	-58	-12
857	-58	-11
858	-58	-10
859	-58	-9
860	-58	-8
861	-58	-7
862	-58	-6
863	-58	-5
864	-58	-4
865	-58	-3
866	-58	-2
867	-58	-1
868	-58	0
869	-58	1
870	-58	2
871	-58	3
872	-58	4
873	-58	5
874	-58	6
875	-58	7
876	-58	8
877	-58	9
878	-58	10
879	-58	11
880	-58	12
881	-58	13
882	-58	14
883	-58	15
884	-58	16
885	-58	17
886	-58	18
887	-58	19
888	-58	20
889	-58	21
890	-58	22
891	-58	23
892	-58	24
893	-58	25
894	-58	26
895	-58	27
896	-58	28
897	-58	29
898	-58	30
899	-58	31
900	-58	32
901	-58	33
902	-58	34
903	-58	35
904	-58	36
905	-58	37
906	-58	38
907	-58	39
908	-58	40
909	-58	41
910	-58	42
911	-58	43
912	-58	44
913	-58	45
914	-58	46
915	-58	47
916	-58	48
917	-58	49
918	-58	50
919	-58	51
920	-58	52
921	-58	53
922	-58	54
923	-58	55
924	-58	56
925	-58	57
926	-58	58
927	-58	59
928	-58	60
929	-58	61
930	-58	62
931	-58	63
932	-58	64
933	-57	-64
934	-57	-63
935	-57	-62
936	-57	-61
937	-57	-60
938	-57	-59
939	-57	-58
940	-57	-57
941	-57	-56
942	-57	-55
943	-57	-54
944	-57	-53
945	-57	-52
946	-57	-51
947	-57	-50
948	-57	-49
949	-57	-48
950	-57	-47
951	-57	-46
952	-57	-45
953	-57	-44
954	-57	-43
955	-57	-42
956	-57	-41
957	-57	-40
958	-57	-39
959	-57	-38
960	-57	-37
961	-57	-36
962	-57	-35
963	-57	-34
964	-57	-33
965	-57	-32
966	-57	-31
967	-57	-30
968	-57	-29
969	-57	-28
970	-57	-27
971	-57	-26
972	-57	-25
973	-57	-24
974	-57	-23
975	-57	-22
976	-57	-21
977	-57	-20
978	-57	-19
979	-57	-18
980	-57	-17
981	-57	-16
982	-57	-15
983	-57	-14
984	-57	-13
985	-57	-12
986	-57	-11
987	-57	-10
988	-57	-9
989	-57	-8
990	-57	-7
991	-57	-6
992	-57	-5
993	-57	-4
994	-57	-3
995	-57	-2
996	-57	-1
997	-57	0
998	-57	1
999	-57	2
1000	-57	3
1001	-57	4
1002	-57	5
1003	-57	6
1004	-57	7
1005	-57	8
1006	-57	9
1007	-57	10
1008	-57	11
1009	-57	12
1010	-57	13
1011	-57	14
1012	-57	15
1013	-57	16
1014	-57	17
1015	-57	18
1016	-57	19
1017	-57	20
1018	-57	21
1019	-57	22
1020	-57	23
1021	-57	24
1022	-57	25
1023	-57	26
1024	-57	27
1025	-57	28
1026	-57	29
1027	-57	30
1028	-57	31
1029	-57	32
1030	-57	33
1031	-57	34
1032	-57	35
1033	-57	36
1034	-57	37
1035	-57	38
1036	-57	39
1037	-57	40
1038	-57	41
1039	-57	42
1040	-57	43
1041	-57	44
1042	-57	45
1043	-57	46
1044	-57	47
1045	-57	48
1046	-57	49
1047	-57	50
1048	-57	51
1049	-57	52
1050	-57	53
1051	-57	54
1052	-57	55
1053	-57	56
1054	-57	57
1055	-57	58
1056	-57	59
1057	-57	60
1058	-57	61
1059	-57	62
1060	-57	63
1061	-57	64
1062	-56	-64
1063	-56	-63
1064	-56	-62
1065	-56	-61
1066	-56	-60
1067	-56	-59
1068	-56	-58
1069	-56	-57
1070	-56	-56
1071	-56	-55
1072	-56	-54
1073	-56	-53
1074	-56	-52
1075	-56	-51
1076	-56	-50
1077	-56	-49
1078	-56	-48
1079	-56	-47
1080	-56	-46
1081	-56	-45
1082	-56	-44
1083	-56	-43
1084	-56	-42
1085	-56	-41
1086	-56	-40
1087	-56	-39
1088	-56	-38
1089	-56	-37
1090	-56	-36
1091	-56	-35
1092	-56	-34
1093	-56	-33
1094	-56	-32
1095	-56	-31
1096	-56	-30
1097	-56	-29
1098	-56	-28
1099	-56	-27
1100	-56	-26
1101	-56	-25
1102	-56	-24
1103	-56	-23
1104	-56	-22
1105	-56	-21
1106	-56	-20
1107	-56	-19
1108	-56	-18
1109	-56	-17
1110	-56	-16
1111	-56	-15
1112	-56	-14
1113	-56	-13
1114	-56	-12
1115	-56	-11
1116	-56	-10
1117	-56	-9
1118	-56	-8
1119	-56	-7
1120	-56	-6
1121	-56	-5
1122	-56	-4
1123	-56	-3
1124	-56	-2
1125	-56	-1
1126	-56	0
1127	-56	1
1128	-56	2
1129	-56	3
1130	-56	4
1131	-56	5
1132	-56	6
1133	-56	7
1134	-56	8
1135	-56	9
1136	-56	10
1137	-56	11
1138	-56	12
1139	-56	13
1140	-56	14
1141	-56	15
1142	-56	16
1143	-56	17
1144	-56	18
1145	-56	19
1146	-56	20
1147	-56	21
1148	-56	22
1149	-56	23
1150	-56	24
1151	-56	25
1152	-56	26
1153	-56	27
1154	-56	28
1155	-56	29
1156	-56	30
1157	-56	31
1158	-56	32
1159	-56	33
1160	-56	34
1161	-56	35
1162	-56	36
1163	-56	37
1164	-56	38
1165	-56	39
1166	-56	40
1167	-56	41
1168	-56	42
1169	-56	43
1170	-56	44
1171	-56	45
1172	-56	46
1173	-56	47
1174	-56	48
1175	-56	49
1176	-56	50
1177	-56	51
1178	-56	52
1179	-56	53
1180	-56	54
1181	-56	55
1182	-56	56
1183	-56	57
1184	-56	58
1185	-56	59
1186	-56	60
1187	-56	61
1188	-56	62
1189	-56	63
1190	-56	64
1191	-55	-64
1192	-55	-63
1193	-55	-62
1194	-55	-61
1195	-55	-60
1196	-55	-59
1197	-55	-58
1198	-55	-57
1199	-55	-56
1200	-55	-55
1201	-55	-54
1202	-55	-53
1203	-55	-52
1204	-55	-51
1205	-55	-50
1206	-55	-49
1207	-55	-48
1208	-55	-47
1209	-55	-46
1210	-55	-45
1211	-55	-44
1212	-55	-43
1213	-55	-42
1214	-55	-41
1215	-55	-40
1216	-55	-39
1217	-55	-38
1218	-55	-37
1219	-55	-36
1220	-55	-35
1221	-55	-34
1222	-55	-33
1223	-55	-32
1224	-55	-31
1225	-55	-30
1226	-55	-29
1227	-55	-28
1228	-55	-27
1229	-55	-26
1230	-55	-25
1231	-55	-24
1232	-55	-23
1233	-55	-22
1234	-55	-21
1235	-55	-20
1236	-55	-19
1237	-55	-18
1238	-55	-17
1239	-55	-16
1240	-55	-15
1241	-55	-14
1242	-55	-13
1243	-55	-12
1244	-55	-11
1245	-55	-10
1246	-55	-9
1247	-55	-8
1248	-55	-7
1249	-55	-6
1250	-55	-5
1251	-55	-4
1252	-55	-3
1253	-55	-2
1254	-55	-1
1255	-55	0
1256	-55	1
1257	-55	2
1258	-55	3
1259	-55	4
1260	-55	5
1261	-55	6
1262	-55	7
1263	-55	8
1264	-55	9
1265	-55	10
1266	-55	11
1267	-55	12
1268	-55	13
1269	-55	14
1270	-55	15
1271	-55	16
1272	-55	17
1273	-55	18
1274	-55	19
1275	-55	20
1276	-55	21
1277	-55	22
1278	-55	23
1279	-55	24
1280	-55	25
1281	-55	26
1282	-55	27
1283	-55	28
1284	-55	29
1285	-55	30
1286	-55	31
1287	-55	32
1288	-55	33
1289	-55	34
1290	-55	35
1291	-55	36
1292	-55	37
1293	-55	38
1294	-55	39
1295	-55	40
1296	-55	41
1297	-55	42
1298	-55	43
1299	-55	44
1300	-55	45
1301	-55	46
1302	-55	47
1303	-55	48
1304	-55	49
1305	-55	50
1306	-55	51
1307	-55	52
1308	-55	53
1309	-55	54
1310	-55	55
1311	-55	56
1312	-55	57
1313	-55	58
1314	-55	59
1315	-55	60
1316	-55	61
1317	-55	62
1318	-55	63
1319	-55	64
1320	-54	-64
1321	-54	-63
1322	-54	-62
1323	-54	-61
1324	-54	-60
1325	-54	-59
1326	-54	-58
1327	-54	-57
1328	-54	-56
1329	-54	-55
1330	-54	-54
1331	-54	-53
1332	-54	-52
1333	-54	-51
1334	-54	-50
1335	-54	-49
1336	-54	-48
1337	-54	-47
1338	-54	-46
1339	-54	-45
1340	-54	-44
1341	-54	-43
1342	-54	-42
1343	-54	-41
1344	-54	-40
1345	-54	-39
1346	-54	-38
1347	-54	-37
1348	-54	-36
1349	-54	-35
1350	-54	-34
1351	-54	-33
1352	-54	-32
1353	-54	-31
1354	-54	-30
1355	-54	-29
1356	-54	-28
1357	-54	-27
1358	-54	-26
1359	-54	-25
1360	-54	-23
1361	-54	-22
1362	-54	-21
1363	-54	-20
1364	-54	-19
1365	-54	-18
1366	-54	-17
1367	-54	-16
1368	-54	-15
1369	-54	-14
1370	-54	-13
1371	-54	-12
1372	-54	-11
1373	-54	-10
1374	-54	-9
1375	-54	-8
1376	-54	-7
1377	-54	-6
1378	-54	-5
1379	-54	-4
1380	-54	-3
1381	-54	-2
1382	-54	-1
1383	-54	0
1384	-54	1
1385	-54	2
1386	-54	3
1387	-54	4
1388	-54	5
1389	-54	6
1390	-54	7
1391	-54	8
1392	-54	9
1393	-54	10
1394	-54	11
1395	-54	12
1396	-54	13
1397	-54	14
1398	-54	15
1399	-54	16
1400	-54	17
1401	-54	18
1402	-54	19
1403	-54	20
1404	-54	21
1405	-54	22
1406	-54	23
1407	-54	25
1408	-54	26
1409	-54	27
1410	-54	28
1411	-54	29
1412	-54	30
1413	-54	31
1414	-54	32
1415	-54	33
1416	-54	34
1417	-54	35
1418	-54	36
1419	-54	37
1420	-54	38
1421	-54	39
1422	-54	40
1423	-54	41
1424	-54	42
1425	-54	43
1426	-54	44
1427	-54	45
1428	-54	46
1429	-54	47
1430	-54	48
1431	-54	49
1432	-54	50
1433	-54	51
1434	-54	52
1435	-54	53
1436	-54	54
1437	-54	55
1438	-54	56
1439	-54	57
1440	-54	58
1441	-54	59
1442	-54	60
1443	-54	61
1444	-54	62
1445	-54	63
1446	-54	64
1447	-53	-64
1448	-53	-63
1449	-53	-62
1450	-53	-61
1451	-53	-60
1452	-53	-59
1453	-53	-58
1454	-53	-57
1455	-53	-56
1456	-53	-55
1457	-53	-54
1458	-53	-53
1459	-53	-52
1460	-53	-51
1461	-53	-50
1462	-53	-49
1463	-53	-48
1464	-53	-47
1465	-53	-46
1466	-53	-45
1467	-53	-44
1468	-53	-43
1469	-53	-42
1470	-53	-41
1471	-53	-40
1472	-53	-39
1473	-53	-38
1474	-53	-37
1475	-53	-36
1476	-53	-35
1477	-53	-34
1478	-53	-33
1479	-53	-32
1480	-53	-31
1481	-53	-30
1482	-53	-29
1483	-53	-28
1484	-53	-27
1485	-53	-26
1486	-53	-25
1487	-53	-24
1488	-53	-23
1489	-53	-22
1490	-53	-21
1491	-53	-20
1492	-53	-19
1493	-53	-18
1494	-53	-17
1495	-53	-16
1496	-53	-15
1497	-53	-14
1498	-53	-13
1499	-53	-12
1500	-53	-11
1501	-53	-10
1502	-53	-9
1503	-53	-8
1504	-53	-7
1505	-53	-6
1506	-53	-5
1507	-53	-4
1508	-53	-3
1509	-53	-2
1510	-53	-1
1511	-53	0
1512	-53	1
1513	-53	2
1514	-53	3
1515	-53	4
1516	-53	5
1517	-53	6
1518	-53	7
1519	-53	8
1520	-53	9
1521	-53	10
1522	-53	11
1523	-53	12
1524	-53	13
1525	-53	14
1526	-53	15
1527	-53	16
1528	-53	17
1529	-53	18
1530	-53	19
1531	-53	20
1532	-53	21
1533	-53	22
1534	-53	23
1535	-53	24
1536	-53	25
1537	-53	26
1538	-53	27
1539	-53	28
1540	-53	29
1541	-53	30
1542	-53	31
1543	-53	32
1544	-53	33
1545	-53	34
1546	-53	35
1547	-53	36
1548	-53	37
1549	-53	38
1550	-53	39
1551	-53	40
1552	-53	41
1553	-53	42
1554	-53	43
1555	-53	44
1556	-53	45
1557	-53	46
1558	-53	47
1559	-53	48
1560	-53	49
1561	-53	50
1562	-53	51
1563	-53	52
1564	-53	53
1565	-53	54
1566	-53	55
1567	-53	56
1568	-53	57
1569	-53	58
1570	-53	59
1571	-53	60
1572	-53	61
1573	-53	62
1574	-53	63
1575	-53	64
1576	-52	-64
1577	-52	-63
1578	-52	-62
1579	-52	-61
1580	-52	-60
1581	-52	-59
1582	-52	-58
1583	-52	-57
1584	-52	-56
1585	-52	-55
1586	-52	-54
1587	-52	-53
1588	-52	-52
1589	-52	-51
1590	-52	-50
1591	-52	-49
1592	-52	-48
1593	-52	-47
1594	-52	-46
1595	-52	-45
1596	-52	-44
1597	-52	-43
1598	-52	-42
1599	-52	-41
1600	-52	-40
1601	-52	-39
1602	-52	-38
1603	-52	-37
1604	-52	-36
1605	-52	-35
1606	-52	-34
1607	-52	-33
1608	-52	-32
1609	-52	-31
1610	-52	-30
1611	-52	-29
1612	-52	-28
1613	-52	-27
1614	-52	-26
1615	-52	-25
1616	-52	-24
1617	-52	-23
1618	-52	-22
1619	-52	-21
1620	-52	-20
1621	-52	-19
1622	-52	-18
1623	-52	-17
1624	-52	-16
1625	-52	-15
1626	-52	-14
1627	-52	-13
1628	-52	-12
1629	-52	-11
1630	-52	-10
1631	-52	-9
1632	-52	-8
1633	-52	-7
1634	-52	-6
1635	-52	-5
1636	-52	-4
1637	-52	-3
1638	-52	-2
1639	-52	-1
1640	-52	0
1641	-52	1
1642	-52	2
1643	-52	3
1644	-52	4
1645	-52	5
1646	-52	6
1647	-52	7
1648	-52	8
1649	-52	9
1650	-52	10
1651	-52	11
1652	-52	12
1653	-52	13
1654	-52	14
1655	-52	15
1656	-52	16
1657	-52	17
1658	-52	18
1659	-52	19
1660	-52	20
1661	-52	21
1662	-52	22
1663	-52	23
1664	-52	24
1665	-52	25
1666	-52	26
1667	-52	27
1668	-52	28
1669	-52	29
1670	-52	30
1671	-52	31
1672	-52	32
1673	-52	33
1674	-52	34
1675	-52	35
1676	-52	36
1677	-52	37
1678	-52	38
1679	-52	39
1680	-52	40
1681	-52	41
1682	-52	42
1683	-52	43
1684	-52	44
1685	-52	45
1686	-52	46
1687	-52	47
1688	-52	48
1689	-52	49
1690	-52	50
1691	-52	51
1692	-52	52
1693	-52	53
1694	-52	54
1695	-52	55
1696	-52	56
1697	-52	57
1698	-52	58
1699	-52	59
1700	-52	60
1701	-52	61
1702	-52	62
1703	-52	63
1704	-52	64
1705	-51	-64
1706	-51	-63
1707	-51	-62
1708	-51	-61
1709	-51	-60
1710	-51	-59
1711	-51	-58
1712	-51	-57
1713	-51	-56
1714	-51	-55
1715	-51	-54
1716	-51	-53
1717	-51	-52
1718	-51	-51
1719	-51	-50
1720	-51	-49
1721	-51	-48
1722	-51	-47
1723	-51	-46
1724	-51	-45
1725	-51	-44
1726	-51	-43
1727	-51	-42
1728	-51	-41
1729	-51	-40
1730	-51	-39
1731	-51	-38
1732	-51	-37
1733	-51	-36
1734	-51	-35
1735	-51	-34
1736	-51	-33
1737	-51	-32
1738	-51	-31
1739	-51	-30
1740	-51	-29
1741	-51	-28
1742	-51	-27
1743	-51	-26
1744	-51	-25
1745	-51	-24
1746	-51	-23
