symbol	file	line	attributes	lhs_definition_count	classification
dropIS	reference-semantics/semantics/methods.k	41	function, total	3	LOCALLY_EQUATED
enumVS	reference-semantics/semantics/builtins.k	126	function, total	2	LOCALLY_EQUATED
eqF	reference-semantics/semantics/float.k	142	function, total, symbol(eqF), no-evaluators	1	LOCALLY_EQUATED
evDigit	reference-semantics/semantics/builtins.k	194	function, total	1	LOCALLY_EQUATED
evHead42	reference-semantics/semantics/builtins.k	196	function, total	2	LOCALLY_EQUATED
evHead47	reference-semantics/semantics/builtins.k	199	function, total	2	LOCALLY_EQUATED
evalArith	reference-semantics/semantics/builtins.k	188	function	1	LOCALLY_EQUATED
firstNdE	reference-semantics/semantics/builtins.k	226	function, total	2	LOCALLY_EQUATED
floatLt	reference-semantics/semantics/float.k	50	function, total, symbol(floatLt), no-evaluators	1	LOCALLY_EQUATED
floatMod	reference-semantics/semantics/float.k	37	function, total, symbol(floatMod), no-evaluators	1	LOCALLY_EQUATED
floorFI	reference-semantics/semantics/float.k	73	function, total, symbol(floorFI)	2	LOCALLY_EQUATED
flushTok	reference-semantics/semantics/methods.k	82	function	2	LOCALLY_EQUATED
fracAcc	reference-semantics/semantics/float.k	173	function, total	2	LOCALLY_EQUATED
fracPart	reference-semantics/semantics/float.k	173	function, total	3	LOCALLY_EQUATED
fracScale	reference-semantics/semantics/float.k	179	function, total	3	LOCALLY_EQUATED
fscAcc	reference-semantics/semantics/float.k	179	function, total	2	LOCALLY_EQUATED
gtF	reference-semantics/semantics/float.k	125	function, total, symbol(gtF), no-evaluators	1	LOCALLY_EQUATED
hasLower	reference-semantics/semantics/methods.k	128	function, total	2	LOCALLY_EQUATED
hasRefVS	reference-semantics/semantics/list.k	33	function, total	2	LOCALLY_EQUATED
hasUpper	reference-semantics/semantics/methods.k	124	function, total	2	LOCALLY_EQUATED
headIS	reference-semantics/semantics/float.k	165	function	1	LOCALLY_EQUATED
idxOfVS	reference-semantics/semantics/tuple.k	24	function	2	LOCALLY_EQUATED
inLevelE	reference-semantics/semantics/builtins.k	265	function, total	3	LOCALLY_EQUATED
inRange	reference-semantics/semantics/range.k	9	function, total	1	LOCALLY_EQUATED
insPair	reference-semantics/semantics/concrete.k	42	function	3	LOCALLY_EQUATED
insVS	reference-semantics/semantics/sort.k	19	function	3	LOCALLY_EQUATED
insVSs	reference-semantics/semantics/sort.k	26	function	3	LOCALLY_EQUATED
intDigAcc	reference-semantics/semantics/builtins.k	158	function, total	2	LOCALLY_EQUATED
intFloatDiv	reference-semantics/semantics/float.k	24	function, total, symbol(intFloatDiv), no-evaluators	1	LOCALLY_EQUATED
intOf	reference-semantics/semantics/builtins.k	54	function	2	LOCALLY_EQUATED
intPart	reference-semantics/semantics/float.k	167	function, total	1	LOCALLY_EQUATED
intPartAcc	reference-semantics/semantics/float.k	167	function, total	3	LOCALLY_EQUATED
intSeqAt	reference-semantics/semantics/subscript.k	16	function	2	LOCALLY_EQUATED
intToF	reference-semantics/semantics/float.k	195	function, total, symbol(intToF), no-evaluators	1	LOCALLY_EQUATED
isAlphaC	reference-semantics/semantics/methods.k	118	function, total	1	LOCALLY_EQUATED
isCellRef	reference-semantics/semantics/core.k	76	function, total	2	LOCALLY_EQUATED
isDigitC	reference-semantics/semantics/methods.k	121	function, total	1	LOCALLY_EQUATED
isIntV	reference-semantics/semantics/builtins.k	293	function	2	LOCALLY_EQUATED
isKwV	reference-semantics/semantics/core.k	100	function, total	2	LOCALLY_EQUATED
isLen	reference-semantics/semantics/core.k	227	function, total	2	LOCALLY_EQUATED
isLowerC	reference-semantics/semantics/methods.k	115	function, total	1	LOCALLY_EQUATED
isMutMethod	reference-semantics/semantics/call.k	52	function, total	1	LOCALLY_EQUATED
isRefV	reference-semantics/semantics/core.k	68	function, total	2	LOCALLY_EQUATED
isStrV	reference-semantics/semantics/builtins.k	293	function	2	LOCALLY_EQUATED
isUpperC	reference-semantics/semantics/methods.k	112	function, total	1	LOCALLY_EQUATED
isWSC	reference-semantics/semantics/methods.k	85	function, total	1	LOCALLY_EQUATED
joinCodes	reference-semantics/semantics/methods.k	27	function, total	3	LOCALLY_EQUATED
kLt	reference-semantics/semantics/concrete.k	51	function	3	LOCALLY_EQUATED
lowerC	reference-semantics/semantics/methods.k	140	function, total	2	LOCALLY_EQUATED
mapLower	reference-semantics/semantics/methods.k	154	function, total	2	LOCALLY_EQUATED
mapStrVS	reference-semantics/semantics/builtins.k	134	function, total	3	LOCALLY_EQUATED
mapSwap	reference-semantics/semantics/methods.k	162	function, total	2	LOCALLY_EQUATED
mapUpper	reference-semantics/semantics/methods.k	158	function, total	2	LOCALLY_EQUATED
maxVals	reference-semantics/semantics/builtins.k	97	function	2	LOCALLY_EQUATED
md5hexCodes	reference-semantics/semantics/builtins.k	285	function, total, symbol(md5hexCodes), no-evaluators	0	NO_DIRECT_LOCAL_EQUATION_OPAQUE_OR_EXTENSIBLE
minVals	reference-semantics/semantics/builtins.k	102	function	2	LOCALLY_EQUATED
mulF	reference-semantics/semantics/float.k	115	function, total, symbol(mulF), no-evaluators	1	LOCALLY_EQUATED
normIdx	reference-semantics/semantics/subscript.k	21	function, total	2	LOCALLY_EQUATED
normIdxD	reference-semantics/semantics/dict.k	90	function, total	2	LOCALLY_EQUATED
passAddE	reference-semantics/semantics/builtins.k	250	function, total	2	LOCALLY_EQUATED
passLGoE	reference-semantics/semantics/builtins.k	255	function, total	4	LOCALLY_EQUATED
passMulE	reference-semantics/semantics/builtins.k	250	function, total	2	LOCALLY_EQUATED
passPowE	reference-semantics/semantics/builtins.k	238	function, total	4	LOCALLY_EQUATED
pnMember	reference-semantics/semantics/core.k	109	function, total	2	LOCALLY_EQUATED
powCarryE	reference-semantics/semantics/builtins.k	247	function, total	1	LOCALLY_EQUATED
powCombE	reference-semantics/semantics/builtins.k	244	function, total	2	LOCALLY_EQUATED
powF	reference-semantics/semantics/float.k	119	function, total, symbol(powF), no-evaluators	1	LOCALLY_EQUATED
pyMod	reference-semantics/semantics/int.k	19	function	1	LOCALLY_EQUATED
rangeLen	reference-semantics/semantics/range.k	12	function	3	LOCALLY_EQUATED
replaceC	reference-semantics/semantics/methods.k	106	function, total	3	LOCALLY_EQUATED
revIS	reference-semantics/semantics/methods.k	52	function, total	1	LOCALLY_EQUATED
revISAcc	reference-semantics/semantics/methods.k	52	function, total	2	LOCALLY_EQUATED
revVS	reference-semantics/semantics/sort.k	51	function, total	1	LOCALLY_EQUATED
revVSAcc	reference-semantics/semantics/sort.k	51	function, total	2	LOCALLY_EQUATED
roundF	reference-semantics/semantics/float.k	217	function, total, symbol(roundF), no-evaluators	1	LOCALLY_EQUATED
roundFN	reference-semantics/semantics/float.k	223	function, total, symbol(roundFN), no-evaluators	1	LOCALLY_EQUATED
sameSet	reference-semantics/semantics/set.k	35	function, total	1	LOCALLY_EQUATED
seqConcat	reference-semantics/semantics/str.k	20	function, total	2	LOCALLY_EQUATED
seqLen	reference-semantics/semantics/builtins.k	20	function	5	LOCALLY_EQUATED
setVSAt	reference-semantics/semantics/core.k	233	function, total	4	LOCALLY_EQUATED
slAdjust	reference-semantics/semantics/subscript.k	90	function, total	2	LOCALLY_EQUATED
slStart	reference-semantics/semantics/subscript.k	76	function	3	LOCALLY_EQUATED
slStep	reference-semantics/semantics/subscript.k	72	function, total	4	LOCALLY_EQUATED
slStop	reference-semantics/semantics/subscript.k	83	function	3	LOCALLY_EQUATED
snocCode	reference-semantics/semantics/set.k	25	function, total	2	LOCALLY_EQUATED
sortKeyVS	reference-semantics/semantics/sort.k	49	function, total, symbol(sortKeyVS), no-evaluators	0	NO_DIRECT_LOCAL_EQUATION_OPAQUE_OR_EXTENSIBLE
sortVS	reference-semantics/semantics/sort.k	18	function, total, symbol(sortVS), no-evaluators	3	LOCALLY_EQUATED
splitSep	reference-semantics/semantics/methods.k	97	function	3	LOCALLY_EQUATED
splitWS	reference-semantics/semantics/methods.k	75	function	3	LOCALLY_EQUATED
sqrtF	reference-semantics/semantics/float.k	230	function, total, symbol(sqrtF), no-evaluators	1	LOCALLY_EQUATED
startsWith	reference-semantics/semantics/methods.k	166	function, total	3	LOCALLY_EQUATED
strContains	reference-semantics/semantics/str.k	37	function, total	3	LOCALLY_EQUATED
strLt	reference-semantics/semantics/str.k	48	function, total	6	LOCALLY_EQUATED
strPrefix	reference-semantics/semantics/str.k	32	function, total	3	LOCALLY_EQUATED
strToCodes	reference-semantics/semantics/str.k	13	function	2	LOCALLY_EQUATED
subF	reference-semantics/semantics/float.k	103	function, total, symbol(subF), no-evaluators	1	LOCALLY_EQUATED
subsetCodes	reference-semantics/semantics/set.k	31	function, total	2	LOCALLY_EQUATED
swapC	reference-semantics/semantics/methods.k	149	function, total	3	LOCALLY_EQUATED
toF	reference-semantics/semantics/float.k	86	function, total, symbol(toF)	2	LOCALLY_EQUATED
tokNdAcc	reference-semantics/semantics/builtins.k	214	function, total	2	LOCALLY_EQUATED
tokNds	reference-semantics/semantics/builtins.k	214	function, total	4	LOCALLY_EQUATED
tokOps	reference-semantics/semantics/builtins.k	203	function, total	9	LOCALLY_EQUATED
totalChars	verification.k	17	function, total	2	LOCALLY_EQUATED
trimWS	reference-semantics/semantics/methods.k	48	function, total	3	LOCALLY_EQUATED
truncF	reference-semantics/semantics/float.k	209	function, total, symbol(truncF), no-evaluators	1	LOCALLY_EQUATED
truthy	reference-semantics/semantics/core.k	199	function	6	LOCALLY_EQUATED
unpairVS	reference-semantics/semantics/concrete.k	56	function, total	3	LOCALLY_EQUATED
upperC	reference-semantics/semantics/methods.k	145	function, total	2	LOCALLY_EQUATED
valSeqAt	reference-semantics/semantics/subscript.k	11	function, total	2	LOCALLY_EQUATED
valSeqConcat	reference-semantics/semantics/list.k	18	function, total	2	LOCALLY_EQUATED
vals2valSeq	reference-semantics/semantics/core.k	217	function, total	2	LOCALLY_EQUATED
vsLen	reference-semantics/semantics/core.k	223	function, total	2	LOCALLY_EQUATED
