id	scope	file	line	kind	attributes	target_relevance	assessment	statement
29	fixed-semantics	semantics/builtins.k	35	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
30	fixed-semantics	semantics/builtins.k	36	syntax	function,total	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	syntax ValSeq ::= charsOf(IntSeq) [function, total]
31	fixed-semantics	semantics/builtins.k	37	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule charsOf(.IntSeq) => .ValSeq
32	fixed-semantics	semantics/builtins.k	38	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
33	fixed-semantics	semantics/builtins.k	41	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
34	fixed-semantics	semantics/builtins.k	44	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
35	fixed-semantics	semantics/builtins.k	47	syntax	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
36	fixed-semantics	semantics/builtins.k	48	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
37	fixed-semantics	semantics/builtins.k	49	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
38	fixed-semantics	semantics/builtins.k	50	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
39	fixed-semantics	semantics/builtins.k	54	syntax	function	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax Int ::= intOf(Val) [function]
40	fixed-semantics	semantics/builtins.k	55	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule intOf(I:Int) => I
41	fixed-semantics	semantics/builtins.k	56	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
42	fixed-semantics	semantics/builtins.k	59	syntax	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
43	fixed-semantics	semantics/builtins.k	60	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
44	fixed-semantics	semantics/builtins.k	61	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterDone ~> #allCont => true ... </k>
45	fixed-semantics	semantics/builtins.k	62	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
46	fixed-semantics	semantics/builtins.k	64	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
47	fixed-semantics	semantics/builtins.k	67	syntax	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
48	fixed-semantics	semantics/builtins.k	68	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
49	fixed-semantics	semantics/builtins.k	69	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterDone ~> #anyCont => false ... </k>
50	fixed-semantics	semantics/builtins.k	70	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
51	fixed-semantics	semantics/builtins.k	72	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
52	fixed-semantics	semantics/builtins.k	76	syntax	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
53	fixed-semantics	semantics/builtins.k	77	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
54	fixed-semantics	semantics/builtins.k	78	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
55	fixed-semantics	semantics/builtins.k	80	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
56	fixed-semantics	semantics/builtins.k	81	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
57	fixed-semantics	semantics/builtins.k	82	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
58	fixed-semantics	semantics/builtins.k	86	syntax	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
59	fixed-semantics	semantics/builtins.k	87	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
60	fixed-semantics	semantics/builtins.k	88	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
61	fixed-semantics	semantics/builtins.k	90	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
62	fixed-semantics	semantics/builtins.k	91	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
63	fixed-semantics	semantics/builtins.k	92	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
64	fixed-semantics	semantics/builtins.k	97	syntax	function	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax Int ::= maxVals(Int, Vals) [function]
65	fixed-semantics	semantics/builtins.k	98	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
66	fixed-semantics	semantics/builtins.k	99	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule maxVals(M:Int, .Vals) => M
67	fixed-semantics	semantics/builtins.k	100	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
68	fixed-semantics	semantics/builtins.k	102	syntax	function	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax Int ::= minVals(Int, Vals) [function]
69	fixed-semantics	semantics/builtins.k	103	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
70	fixed-semantics	semantics/builtins.k	104	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule minVals(M:Int, .Vals) => M
71	fixed-semantics	semantics/builtins.k	105	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
72	fixed-semantics	semantics/builtins.k	108	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))"
73	fixed-semantics	semantics/builtins.k	111	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))"
74	fixed-semantics	semantics/builtins.k	114	syntax	function,total	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax IntSeq ::= binCodes(Int) [function, total]
75	fixed-semantics	semantics/builtins.k	115	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule binCodes(0) => iCons(48, .IntSeq)
76	fixed-semantics	semantics/builtins.k	116	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
77	fixed-semantics	semantics/builtins.k	117	syntax	function,total	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
78	fixed-semantics	semantics/builtins.k	118	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule binAcc(0, ACC:IntSeq) => ACC
79	fixed-semantics	semantics/builtins.k	119	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
80	fixed-semantics	semantics/builtins.k	124	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
81	fixed-semantics	semantics/builtins.k	126	syntax	function,total	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
82	fixed-semantics	semantics/builtins.k	127	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule enumVS(.ValSeq, _:Int) => .ValSeq
83	fixed-semantics	semantics/builtins.k	128	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
84	fixed-semantics	semantics/builtins.k	132	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
85	fixed-semantics	semantics/builtins.k	134	syntax	function,total	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
86	fixed-semantics	semantics/builtins.k	135	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule mapStrVS(.ValSeq) => .ValSeq
87	fixed-semantics	semantics/builtins.k	136	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
88	fixed-semantics	semantics/builtins.k	137	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
89	fixed-semantics	semantics/builtins.k	140	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""int"", I:Int, .Vals) => I"
90	fixed-semantics	semantics/builtins.k	143	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
91	fixed-semantics	semantics/builtins.k	144	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq))"
92	fixed-semantics	semantics/builtins.k	148	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""str"", I:Int, .Vals) => str(strToCodes(Int2String(I)))"
93	fixed-semantics	semantics/builtins.k	149	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
94	fixed-semantics	semantics/builtins.k	152	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48"
95	fixed-semantics	semantics/builtins.k	156	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)"
96	fixed-semantics	semantics/builtins.k	158	syntax	function,total	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
97	fixed-semantics	semantics/builtins.k	159	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule intDigAcc(.IntSeq, ACC:Int) => ACC
98	fixed-semantics	semantics/builtins.k	160	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
99	fixed-semantics	semantics/builtins.k	163	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
100	fixed-semantics	semantics/builtins.k	164	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)"
101	fixed-semantics	semantics/builtins.k	167	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
102	fixed-semantics	semantics/builtins.k	169	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
103	fixed-semantics	semantics/builtins.k	170	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
104	fixed-semantics	semantics/builtins.k	171	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
105	fixed-semantics	semantics/builtins.k	173	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
106	fixed-semantics	semantics/builtins.k	174	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
107	fixed-semantics	semantics/builtins.k	177	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""range"", I:Int, .Vals) => rangeObj(0, I, 1)"
108	fixed-semantics	semantics/builtins.k	178	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""range"", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)"
109	fixed-semantics	semantics/builtins.k	179	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)"
110	fixed-semantics	semantics/builtins.k	187	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
111	fixed-semantics	semantics/builtins.k	188	syntax	function	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax Int ::= evalArith(IntSeq) [function]
112	fixed-semantics	semantics/builtins.k	189	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
113	fixed-semantics	semantics/builtins.k	192	syntax	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
114	fixed-semantics	semantics/builtins.k	194	syntax	function,total	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	syntax Bool ::= evDigit(Int) [function, total]
115	fixed-semantics	semantics/builtins.k	195	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
116	fixed-semantics	semantics/builtins.k	196	syntax	function,total	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	syntax Bool ::= evHead42(IntSeq) [function, total]
117	fixed-semantics	semantics/builtins.k	197	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule evHead42(iCons(42, _:IntSeq)) => true
118	fixed-semantics	semantics/builtins.k	198	rule	owise	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule evHead42(_:IntSeq) => false [owise]
119	fixed-semantics	semantics/builtins.k	199	syntax	function,total	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	syntax Bool ::= evHead47(IntSeq) [function, total]
120	fixed-semantics	semantics/builtins.k	200	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule evHead47(iCons(47, _:IntSeq)) => true
121	fixed-semantics	semantics/builtins.k	201	rule	owise	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule evHead47(_:IntSeq) => false [owise]
122	fixed-semantics	semantics/builtins.k	203	syntax	function,total	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	syntax OpSeq ::= tokOps(IntSeq) [function, total]
123	fixed-semantics	semantics/builtins.k	204	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule tokOps(.IntSeq) => .OpSeq
124	fixed-semantics	semantics/builtins.k	205	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
125	fixed-semantics	semantics/builtins.k	206	rule	-	used-or-defining	SOUND_ON_TARGET_EXECUTION_PATH	rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
126	fixed-semantics	semantics/builtins.k	207	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons(""**"", tokOps(R))"
127	fixed-semantics	semantics/builtins.k	208	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule tokOps(iCons(42, R:IntSeq)) => oCons(""*"", tokOps(R)) requires notBool evHead42(R)"
128	fixed-semantics	semantics/builtins.k	209	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons(""//"", tokOps(R))"
129	fixed-semantics	semantics/builtins.k	210	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule tokOps(iCons(47, R:IntSeq)) => oCons(""/"", tokOps(R)) requires notBool evHead47(R)"
130	fixed-semantics	semantics/builtins.k	211	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule tokOps(iCons(43, R:IntSeq)) => oCons(""+"", tokOps(R))"
131	fixed-semantics	semantics/builtins.k	212	rule	-	not-used-by-solution	ACCEPTABLE_FIXED_RULE_NOT_USED_BY_TARGET	"rule tokOps(iCons(45, R:IntSeq)) => oCons(""-"", tokOps(R))"
