Script started on 2026-07-30 06:31:31-05:00 [<not executed on terminal>]
DISPOSITION_HEADER	path	line	kind	decision	reason	statement
DISPOSITION	reference-semantics/semantics/builtins.k	24	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule seqLen(str(IS:IntSeq)) => isLen(IS)
DISPOSITION	reference-semantics/semantics/builtins.k	25	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
DISPOSITION	reference-semantics/semantics/builtins.k	26	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
DISPOSITION	reference-semantics/semantics/builtins.k	32	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	33	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	34	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	35	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	36	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax ValSeq ::= charsOf(IntSeq) [function, total]
DISPOSITION	reference-semantics/semantics/builtins.k	37	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule charsOf(.IntSeq) => .ValSeq
DISPOSITION	reference-semantics/semantics/builtins.k	38	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
DISPOSITION	reference-semantics/semantics/builtins.k	41	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
DISPOSITION	reference-semantics/semantics/builtins.k	44	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
DISPOSITION	reference-semantics/semantics/builtins.k	47	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
DISPOSITION	reference-semantics/semantics/builtins.k	48	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	49	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	50	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
DISPOSITION	reference-semantics/semantics/builtins.k	54	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax Int ::= intOf(Val) [function]
DISPOSITION	reference-semantics/semantics/builtins.k	55	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule intOf(I:Int) => I
DISPOSITION	reference-semantics/semantics/builtins.k	56	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
DISPOSITION	reference-semantics/semantics/builtins.k	59	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax KItem ::= #allAcc(Iterable) | "#allCont"
DISPOSITION	reference-semantics/semantics/builtins.k	60	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	61	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterDone ~> #allCont => true ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	62	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
DISPOSITION	reference-semantics/semantics/builtins.k	64	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
DISPOSITION	reference-semantics/semantics/builtins.k	67	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
DISPOSITION	reference-semantics/semantics/builtins.k	68	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	69	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterDone ~> #anyCont => false ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	70	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
DISPOSITION	reference-semantics/semantics/builtins.k	72	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
DISPOSITION	reference-semantics/semantics/builtins.k	76	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
DISPOSITION	reference-semantics/semantics/builtins.k	77	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	78	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
DISPOSITION	reference-semantics/semantics/builtins.k	80	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	81	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	82	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
DISPOSITION	reference-semantics/semantics/builtins.k	86	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
DISPOSITION	reference-semantics/semantics/builtins.k	87	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	88	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
DISPOSITION	reference-semantics/semantics/builtins.k	90	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	91	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	92	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
DISPOSITION	reference-semantics/semantics/builtins.k	105	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax KItem ::= #maxAccV(Iterable, Val) | #maxContV(Val)
DISPOSITION	reference-semantics/semantics/builtins.k	106	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAccV(R, V) ... </k> requires isBool(V) orBool isStr(V)
DISPOSITION	reference-semantics/semantics/builtins.k	108	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #iterYield(V, R) ~> #maxContV(M) ... </k> requires isFloat(V) orBool isBool(V)
DISPOSITION	reference-semantics/semantics/builtins.k	111	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #maxAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #maxContV(M) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	112	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterDone ~> #maxContV(M:Val) => M ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	113	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, V) ... </k> requires applyCmp(">", V, M)
DISPOSITION	reference-semantics/semantics/builtins.k	115	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, M) ... </k> requires notBool applyCmp(">", V, M)
DISPOSITION	reference-semantics/semantics/builtins.k	118	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax KItem ::= #minAccV(Iterable, Val) | #minContV(Val)
DISPOSITION	reference-semantics/semantics/builtins.k	119	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAccV(R, V) ... </k> requires isBool(V) orBool isStr(V)
DISPOSITION	reference-semantics/semantics/builtins.k	121	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #iterYield(V, R) ~> #minContV(M) ... </k> requires isFloat(V) orBool isBool(V)
DISPOSITION	reference-semantics/semantics/builtins.k	124	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #minAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #minContV(M) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	125	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterDone ~> #minContV(M:Val) => M ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	126	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, V) ... </k> requires applyCmp("<", V, M)
DISPOSITION	reference-semantics/semantics/builtins.k	128	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, M) ... </k> requires notBool applyCmp("<", V, M)
DISPOSITION	reference-semantics/semantics/builtins.k	135	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax Val ::= maxVals(Val, Vals) [function]
DISPOSITION	reference-semantics/semantics/builtins.k	136	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
DISPOSITION	reference-semantics/semantics/builtins.k	137	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyBuiltin("max", V:Val, (V2:Val, REST:Vals)) => maxVals(V, (V2, REST)) requires isFloat(V) orBool isBool(V) orBool isStr(V)
DISPOSITION	reference-semantics/semantics/builtins.k	139	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule maxVals(M:Val, .Vals) => M
DISPOSITION	reference-semantics/semantics/builtins.k	140	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(V, R) requires applyCmp(">", V, M)
DISPOSITION	reference-semantics/semantics/builtins.k	141	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(M, R) requires notBool applyCmp(">", V, M)
DISPOSITION	reference-semantics/semantics/builtins.k	143	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax Val ::= minVals(Val, Vals) [function]
DISPOSITION	reference-semantics/semantics/builtins.k	144	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
DISPOSITION	reference-semantics/semantics/builtins.k	145	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyBuiltin("min", V:Val, (V2:Val, REST:Vals)) => minVals(V, (V2, REST)) requires isFloat(V) orBool isBool(V) orBool isStr(V)
DISPOSITION	reference-semantics/semantics/builtins.k	147	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule minVals(M:Val, .Vals) => M
DISPOSITION	reference-semantics/semantics/builtins.k	148	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule minVals(M:Val, (V:Val, R:Vals)) => minVals(V, R) requires applyCmp("<", V, M)
DISPOSITION	reference-semantics/semantics/builtins.k	149	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule minVals(M:Val, (V:Val, R:Vals)) => minVals(M, R) requires notBool applyCmp("<", V, M)
DISPOSITION	reference-semantics/semantics/builtins.k	152	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits
DISPOSITION	reference-semantics/semantics/builtins.k	155	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
DISPOSITION	reference-semantics/semantics/builtins.k	158	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax IntSeq ::= binCodes(Int) [function, total]
DISPOSITION	reference-semantics/semantics/builtins.k	159	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule binCodes(0) => iCons(48, .IntSeq)
DISPOSITION	reference-semantics/semantics/builtins.k	160	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
DISPOSITION	reference-semantics/semantics/builtins.k	161	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
DISPOSITION	reference-semantics/semantics/builtins.k	162	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule binAcc(0, ACC:IntSeq) => ACC
DISPOSITION	reference-semantics/semantics/builtins.k	163	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
DISPOSITION	reference-semantics/semantics/builtins.k	168	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	170	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
DISPOSITION	reference-semantics/semantics/builtins.k	171	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule enumVS(.ValSeq, _:Int) => .ValSeq
DISPOSITION	reference-semantics/semantics/builtins.k	172	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
DISPOSITION	reference-semantics/semantics/builtins.k	176	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
DISPOSITION	reference-semantics/semantics/builtins.k	178	syntax	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
DISPOSITION	reference-semantics/semantics/builtins.k	179	rule	ACCEPT_SUPPLIED_LOAD_BEARING	file is in the load-bearing cone; item reviewed for direct use or overlap	rule mapStrVS(.ValSeq) => .ValSeq
