Script started on 2026-07-30 06:22:11-05:00 [<not executed on terminal>]
INVENTORY_HEADER	path	line	kind	classification	attributes	statement
ITEM	reference-semantics/semantics/builtins.k	24	rule	ordinary		rule seqLen(str(IS:IntSeq)) => isLen(IS)
ITEM	reference-semantics/semantics/builtins.k	25	rule	ordinary		rule seqLen(setV(DS:IntSeq)) => isLen(DS)
ITEM	reference-semantics/semantics/builtins.k	26	rule	ordinary		rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
ITEM	reference-semantics/semantics/builtins.k	32	rule	ordinary		rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	33	rule	ordinary		rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	34	rule	ordinary		rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	35	rule	ordinary		rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
ITEM	reference-semantics/semantics/builtins.k	36	syntax	function+total	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	37	rule	ordinary		rule charsOf(.IntSeq) => .ValSeq
ITEM	reference-semantics/semantics/builtins.k	38	rule	ordinary		rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
ITEM	reference-semantics/semantics/builtins.k	41	rule	ordinary		rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
ITEM	reference-semantics/semantics/builtins.k	44	rule	ordinary		rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
ITEM	reference-semantics/semantics/builtins.k	47	syntax	data-syntax		syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
ITEM	reference-semantics/semantics/builtins.k	48	rule	ordinary		rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
ITEM	reference-semantics/semantics/builtins.k	49	rule	ordinary		rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
ITEM	reference-semantics/semantics/builtins.k	50	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	54	syntax	function	function	syntax Int ::= intOf(Val) [function]
ITEM	reference-semantics/semantics/builtins.k	55	rule	ordinary		rule intOf(I:Int) => I
ITEM	reference-semantics/semantics/builtins.k	56	rule	ordinary		rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
ITEM	reference-semantics/semantics/builtins.k	59	syntax	data-syntax		syntax KItem ::= #allAcc(Iterable) | "#allCont"
ITEM	reference-semantics/semantics/builtins.k	60	rule	ordinary		rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
ITEM	reference-semantics/semantics/builtins.k	61	rule	ordinary		rule <k> #iterDone ~> #allCont => true ... </k>
ITEM	reference-semantics/semantics/builtins.k	62	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
ITEM	reference-semantics/semantics/builtins.k	64	rule	ordinary		rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
ITEM	reference-semantics/semantics/builtins.k	67	syntax	data-syntax		syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
ITEM	reference-semantics/semantics/builtins.k	68	rule	ordinary		rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
ITEM	reference-semantics/semantics/builtins.k	69	rule	ordinary		rule <k> #iterDone ~> #anyCont => false ... </k>
ITEM	reference-semantics/semantics/builtins.k	70	rule	ordinary		rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
ITEM	reference-semantics/semantics/builtins.k	72	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
ITEM	reference-semantics/semantics/builtins.k	76	syntax	data-syntax		syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
ITEM	reference-semantics/semantics/builtins.k	77	rule	ordinary		rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
ITEM	reference-semantics/semantics/builtins.k	78	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
ITEM	reference-semantics/semantics/builtins.k	80	rule	ordinary		rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
ITEM	reference-semantics/semantics/builtins.k	81	rule	ordinary		rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
ITEM	reference-semantics/semantics/builtins.k	82	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	86	syntax	data-syntax		syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
ITEM	reference-semantics/semantics/builtins.k	87	rule	ordinary		rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
ITEM	reference-semantics/semantics/builtins.k	88	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
ITEM	reference-semantics/semantics/builtins.k	90	rule	ordinary		rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
ITEM	reference-semantics/semantics/builtins.k	91	rule	ordinary		rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
ITEM	reference-semantics/semantics/builtins.k	92	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	105	syntax	data-syntax		syntax KItem ::= #maxAccV(Iterable, Val) | #maxContV(Val)
ITEM	reference-semantics/semantics/builtins.k	106	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAccV(R, V) ... </k>
ITEM	reference-semantics/semantics/builtins.k	108	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #iterYield(V, R) ~> #maxContV(M) ... </k>
ITEM	reference-semantics/semantics/builtins.k	111	rule	ordinary		rule <k> #maxAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #maxContV(M) ... </k>
ITEM	reference-semantics/semantics/builtins.k	112	rule	ordinary		rule <k> #iterDone ~> #maxContV(M:Val) => M ... </k>
ITEM	reference-semantics/semantics/builtins.k	113	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, V) ... </k>
ITEM	reference-semantics/semantics/builtins.k	115	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, M) ... </k>
ITEM	reference-semantics/semantics/builtins.k	118	syntax	data-syntax		syntax KItem ::= #minAccV(Iterable, Val) | #minContV(Val)
ITEM	reference-semantics/semantics/builtins.k	119	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAccV(R, V) ... </k>
ITEM	reference-semantics/semantics/builtins.k	121	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #iterYield(V, R) ~> #minContV(M) ... </k>
ITEM	reference-semantics/semantics/builtins.k	124	rule	ordinary		rule <k> #minAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #minContV(M) ... </k>
ITEM	reference-semantics/semantics/builtins.k	125	rule	ordinary		rule <k> #iterDone ~> #minContV(M:Val) => M ... </k>
ITEM	reference-semantics/semantics/builtins.k	126	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, V) ... </k>
ITEM	reference-semantics/semantics/builtins.k	128	rule	ordinary		rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, M) ... </k>
ITEM	reference-semantics/semantics/builtins.k	135	syntax	function	function	syntax Val ::= maxVals(Val, Vals) [function]
ITEM	reference-semantics/semantics/builtins.k	136	rule	ordinary		rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
ITEM	reference-semantics/semantics/builtins.k	137	rule	ordinary		rule applyBuiltin("max", V:Val, (V2:Val, REST:Vals)) => maxVals(V, (V2, REST))
ITEM	reference-semantics/semantics/builtins.k	139	rule	ordinary		rule maxVals(M:Val, .Vals) => M
ITEM	reference-semantics/semantics/builtins.k	140	rule	ordinary		rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(V, R) requires applyCmp(">", V, M)
ITEM	reference-semantics/semantics/builtins.k	141	rule	ordinary		rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(M, R) requires notBool applyCmp(">", V, M)
ITEM	reference-semantics/semantics/builtins.k	143	syntax	function	function	syntax Val ::= minVals(Val, Vals) [function]
ITEM	reference-semantics/semantics/builtins.k	144	rule	ordinary		rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
ITEM	reference-semantics/semantics/builtins.k	145	rule	ordinary		rule applyBuiltin("min", V:Val, (V2:Val, REST:Vals)) => minVals(V, (V2, REST))
ITEM	reference-semantics/semantics/builtins.k	147	rule	ordinary		rule minVals(M:Val, .Vals) => M
ITEM	reference-semantics/semantics/builtins.k	148	rule	ordinary		rule minVals(M:Val, (V:Val, R:Vals)) => minVals(V, R) requires applyCmp("<", V, M)
ITEM	reference-semantics/semantics/builtins.k	149	rule	ordinary		rule minVals(M:Val, (V:Val, R:Vals)) => minVals(M, R) requires notBool applyCmp("<", V, M)
ITEM	reference-semantics/semantics/builtins.k	152	rule	ordinary		rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
ITEM	reference-semantics/semantics/builtins.k	155	rule	ordinary		rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
ITEM	reference-semantics/semantics/builtins.k	158	syntax	function+total	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	159	rule	ordinary		rule binCodes(0) => iCons(48, .IntSeq)
ITEM	reference-semantics/semantics/builtins.k	160	rule	ordinary		rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
ITEM	reference-semantics/semantics/builtins.k	161	syntax	function+total	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	162	rule	ordinary		rule binAcc(0, ACC:IntSeq) => ACC
ITEM	reference-semantics/semantics/builtins.k	163	rule	ordinary		rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
ITEM	reference-semantics/semantics/builtins.k	168	rule	ordinary		rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
ITEM	reference-semantics/semantics/builtins.k	170	syntax	function+total	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	171	rule	ordinary		rule enumVS(.ValSeq, _:Int) => .ValSeq
ITEM	reference-semantics/semantics/builtins.k	172	rule	ordinary		rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
ITEM	reference-semantics/semantics/builtins.k	176	rule	ordinary		rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
ITEM	reference-semantics/semantics/builtins.k	178	syntax	function+total	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	179	rule	ordinary		rule mapStrVS(.ValSeq) => .ValSeq
ITEM	reference-semantics/semantics/builtins.k	180	rule	ordinary		rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
ITEM	reference-semantics/semantics/builtins.k	181	rule	ordinary		rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
ITEM	reference-semantics/semantics/builtins.k	184	rule	ordinary		rule applyBuiltin("int", I:Int, .Vals) => I
ITEM	reference-semantics/semantics/builtins.k	187	rule	ordinary		rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
ITEM	reference-semantics/semantics/builtins.k	188	rule	ordinary		rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
ITEM	reference-semantics/semantics/builtins.k	192	rule	ordinary		rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
ITEM	reference-semantics/semantics/builtins.k	193	rule	ordinary		rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
ITEM	reference-semantics/semantics/builtins.k	196	rule	ordinary		rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
ITEM	reference-semantics/semantics/builtins.k	200	rule	ordinary		rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
ITEM	reference-semantics/semantics/builtins.k	202	syntax	function+total	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	203	rule	ordinary		rule intDigAcc(.IntSeq, ACC:Int) => ACC
ITEM	reference-semantics/semantics/builtins.k	204	rule	ordinary		rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
ITEM	reference-semantics/semantics/builtins.k	207	rule	ordinary		rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
ITEM	reference-semantics/semantics/builtins.k	208	rule	ordinary		rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)
ITEM	reference-semantics/semantics/builtins.k	211	rule	ordinary		rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	213	rule	ordinary		rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
ITEM	reference-semantics/semantics/builtins.k	214	rule	ordinary		rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
ITEM	reference-semantics/semantics/builtins.k	215	rule	ordinary		rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	217	rule	ordinary		rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
ITEM	reference-semantics/semantics/builtins.k	218	rule	ordinary		rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
ITEM	reference-semantics/semantics/builtins.k	221	rule	ordinary		rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
ITEM	reference-semantics/semantics/builtins.k	222	rule	ordinary		rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
ITEM	reference-semantics/semantics/builtins.k	223	rule	ordinary		rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
ITEM	reference-semantics/semantics/builtins.k	231	rule	ordinary		rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
ITEM	reference-semantics/semantics/builtins.k	232	syntax	function	function	syntax Int ::= evalArith(IntSeq) [function]
ITEM	reference-semantics/semantics/builtins.k	233	rule	ordinary		rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
ITEM	reference-semantics/semantics/builtins.k	236	syntax	data-syntax		syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
ITEM	reference-semantics/semantics/builtins.k	238	syntax	function+total	function,total	syntax Bool ::= evDigit(Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	239	rule	ordinary		rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
ITEM	reference-semantics/semantics/builtins.k	240	syntax	function+total	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	241	rule	ordinary		rule evHead42(iCons(42, _:IntSeq)) => true
ITEM	reference-semantics/semantics/builtins.k	242	rule	owise	owise	rule evHead42(_:IntSeq) => false [owise]
ITEM	reference-semantics/semantics/builtins.k	243	syntax	function+total	function,total	syntax Bool ::= evHead47(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	244	rule	ordinary		rule evHead47(iCons(47, _:IntSeq)) => true
ITEM	reference-semantics/semantics/builtins.k	245	rule	owise	owise	rule evHead47(_:IntSeq) => false [owise]
ITEM	reference-semantics/semantics/builtins.k	247	syntax	function+total	function,total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	248	rule	ordinary		rule tokOps(.IntSeq) => .OpSeq
ITEM	reference-semantics/semantics/builtins.k	249	rule	ordinary		rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
ITEM	reference-semantics/semantics/builtins.k	250	rule	ordinary		rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
ITEM	reference-semantics/semantics/builtins.k	251	rule	ordinary		rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
ITEM	reference-semantics/semantics/builtins.k	252	rule	ordinary		rule tokOps(iCons(42, R:IntSeq)) => oCons("*", tokOps(R)) requires notBool evHead42(R)
ITEM	reference-semantics/semantics/builtins.k	253	rule	ordinary		rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
ITEM	reference-semantics/semantics/builtins.k	254	rule	ordinary		rule tokOps(iCons(47, R:IntSeq)) => oCons("/", tokOps(R)) requires notBool evHead47(R)
ITEM	reference-semantics/semantics/builtins.k	255	rule	ordinary		rule tokOps(iCons(43, R:IntSeq)) => oCons("+", tokOps(R))
ITEM	reference-semantics/semantics/builtins.k	256	rule	ordinary		rule tokOps(iCons(45, R:IntSeq)) => oCons("-", tokOps(R))
ITEM	reference-semantics/semantics/builtins.k	258	syntax	function+total	function,total,function,total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	260	rule	ordinary		rule tokNds(.IntSeq) => .IntSeq
ITEM	reference-semantics/semantics/builtins.k	261	rule	ordinary		rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)
ITEM	reference-semantics/semantics/builtins.k	262	rule	ordinary		rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
ITEM	reference-semantics/semantics/builtins.k	263	rule	ordinary		rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R)
ITEM	reference-semantics/semantics/builtins.k	265	rule	ordinary		rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R)
ITEM	reference-semantics/semantics/builtins.k	267	rule	owise	owise	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
ITEM	reference-semantics/semantics/builtins.k	269	syntax	data-syntax		syntax EvPair ::= evp(OpSeq, IntSeq)
ITEM	reference-semantics/semantics/builtins.k	270	syntax	function+total	function,total	syntax Int ::= firstNdE(EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	271	rule	ordinary		rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
ITEM	reference-semantics/semantics/builtins.k	272	rule	owise	owise	rule firstNdE(_:EvPair) => 0 [owise]
ITEM	reference-semantics/semantics/builtins.k	274	syntax	function+total	function,total	syntax Int ::= applyOpE(String, Int, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	275	rule	ordinary		rule applyOpE("+", A:Int, B:Int) => A +Int B
ITEM	reference-semantics/semantics/builtins.k	276	rule	ordinary		rule applyOpE("-", A:Int, B:Int) => A -Int B
ITEM	reference-semantics/semantics/builtins.k	277	rule	ordinary		rule applyOpE("*", A:Int, B:Int) => A *Int B
ITEM	reference-semantics/semantics/builtins.k	278	rule	ordinary		rule applyOpE("//", A:Int, B:Int) => A divInt B
ITEM	reference-semantics/semantics/builtins.k	279	rule	ordinary		rule applyOpE("**", A:Int, B:Int) => A ^Int B
ITEM	reference-semantics/semantics/builtins.k	280	rule	owise	owise	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
ITEM	reference-semantics/semantics/builtins.k	282	syntax	function+total	function,total	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	283	rule	ordinary		rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
ITEM	reference-semantics/semantics/builtins.k	284	rule	ordinary		rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))
ITEM	reference-semantics/semantics/builtins.k	285	rule	ordinary		rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS))
ITEM	reference-semantics/semantics/builtins.k	287	rule	owise	owise	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
ITEM	reference-semantics/semantics/builtins.k	288	syntax	function+total	function,total	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	289	rule	ordinary		rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
ITEM	reference-semantics/semantics/builtins.k	290	rule	ordinary		rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
ITEM	reference-semantics/semantics/builtins.k	291	syntax	function+total	function,total	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	292	rule	ordinary		rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
ITEM	reference-semantics/semantics/builtins.k	294	syntax	function+total	function,total,function,total	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	295	rule	ordinary		rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)
ITEM	reference-semantics/semantics/builtins.k	296	rule	ordinary		rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
ITEM	reference-semantics/semantics/builtins.k	297	rule	ordinary		rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)
