id	file	line	kind	classification	attributes	statement_sha256	signature	decision
11	reference-semantics/semantics/bool.k	22	rule	FIXED_UNUSED	-	4c6d5a8013b0629662156459eb61a0b118fbfb7fb9d3eea2414b0767ebdf83e6	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
12	reference-semantics/semantics/bool.k	24	rule	FIXED_UNUSED	-	5ba323b5a471401b754611969bd1bd47b808c010195e94b4a30cebc6b004497d	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
13	reference-semantics/semantics/bool.k	29	rule	FIXED_UNUSED	priority	98cefcc060a8592c83623b7a530dcc2ef6b33351e32000cfaf470c112c20ece7	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
14	reference-semantics/semantics/bool.k	31	rule	FIXED_UNUSED	priority	08bd3af9d84256bc9fae3edf7bd3e526de3e30093a2dd8493c7e5753fbac12ea	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
15	reference-semantics/semantics/bool.k	35	rule	FIXED_UNUSED	priority	90ade243f35f7850587ea33d7df3e8fa2b369debf292fd42ef2a6dd2ba51d45c	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
16	reference-semantics/semantics/bool.k	39	rule	FIXED_UNUSED	priority	f032128a3dd6c1d1f5cb9217e580c096ce7598e0cd8dccb583813dec97826e9f	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
17	reference-semantics/semantics/bool.k	43	rule	FIXED_UNUSED	priority	6eb9e989936bb67bd56fdfd75edce0ccc63c826ba4ea710347e01214ee978e6d	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
18	reference-semantics/semantics/builtins.k	17	syntax	FIXED_UNUSED	function	aa55a2ca48e8248e1c5a91c74a28a1a004dd81b4bad180bb0e344ffae357bb6e	syntax Val ::= applyBuiltin(String, Vals) [function]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
19	reference-semantics/semantics/builtins.k	20	syntax	FIXED_UNUSED	function	1b82b6f2643fb55127f03658644a8a23881e02af83a59507666ea76f532b1763	syntax Int ::= seqLen(Val) [function]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
20	reference-semantics/semantics/builtins.k	21	rule	FIXED_UNUSED	-	435ff27019656108a22a48bb4a6b379a06ff353b380293a4aa1535ea2e23edf0	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
21	reference-semantics/semantics/builtins.k	22	rule	FIXED_UNUSED	-	98e430fdd950a2759f8ad33448df439d879d4154e2e33b7188616ebcf383a77e	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
22	reference-semantics/semantics/builtins.k	23	rule	FIXED_UNUSED	-	2a8eb099e13e3f2029c0df3fe4e68c51811a9d5c19fc87025e46f90164958630	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
23	reference-semantics/semantics/builtins.k	24	rule	FIXED_UNUSED	-	db386182d466eebb95f6cf9407399b7178abb276be49eb292a7722c844d8a511	rule seqLen(str(IS:IntSeq))                   => isLen(IS)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
24	reference-semantics/semantics/builtins.k	25	rule	FIXED_UNUSED	-	c597ed65e8ff595399d1919312a3dd5ae28e92d3e5eae4d0c734266c1491da71	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
25	reference-semantics/semantics/builtins.k	26	rule	FIXED_UNUSED	-	441d6449c7d3f89c39bcf80d54e80f1dfdcdeb4c149f66c5006d9d157b60a6f1	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
26	reference-semantics/semantics/builtins.k	32	rule	FIXED_UNUSED	-	9aad60322b1d223c816a082c6dd7aaa0031520ffa7c887ceff7d189b2bf4290e	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
27	reference-semantics/semantics/builtins.k	33	rule	FIXED_UNUSED	-	ac7736d6cb72610b0ce4260422ee667eb14af7a7f1272fdb0b409a0c7f8bf35c	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
28	reference-semantics/semantics/builtins.k	34	rule	FIXED_UNUSED	-	d60c4b0f5ed3ffef310dd1be9f0aa427a18e2e73fff79f95896f151a76f1095b	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
29	reference-semantics/semantics/builtins.k	35	rule	FIXED_UNUSED	-	a689979f9d6af9d0a10eec7acb5fe710478a29f5ef28faf0c4facac8d915e45c	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
30	reference-semantics/semantics/builtins.k	36	syntax	FIXED_UNUSED	function,total	d5cf987a32554927c5a38c7b9aa5929b1b5a4a7661b965507187c2e6671e3b58	syntax ValSeq ::= charsOf(IntSeq) [function, total]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
31	reference-semantics/semantics/builtins.k	37	rule	FIXED_UNUSED	-	5ba1845bc20c80babc7b2a7e3c03b9637c4924988151dc548f317e856f0e7f64	rule charsOf(.IntSeq)                => .ValSeq	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
32	reference-semantics/semantics/builtins.k	38	rule	FIXED_UNUSED	-	567eb768a66d1c2167369d74fef0d847b3684a32b63eae45e9c789d6833f141a	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
33	reference-semantics/semantics/builtins.k	41	rule	FIXED_UNUSED	-	87c52633d34e02aa3f1ed0a90b790c109c94744628366d7e02cf3132c7aa8117	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
34	reference-semantics/semantics/builtins.k	44	rule	FIXED_UNUSED	-	f377e151fe58ce4b98fc255493693c4cdffefb311024f7ae7fb4442b426cd7d1	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
35	reference-semantics/semantics/builtins.k	47	syntax	FIXED_UNUSED	-	cc05186fc333804cdf1b3c79d5e9dd79478e1a3dfb999fa9f99882c3be983a52	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
36	reference-semantics/semantics/builtins.k	48	rule	FIXED_UNUSED	-	c532bf1824ac3f703699dc7b6b22652cce69d7f9d8fab651a2730f2cd295dc3c	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
37	reference-semantics/semantics/builtins.k	49	rule	FIXED_UNUSED	-	a34da6d6f5479cb2d96d424234c517a578d26626ce75518e51d191dfa8ed0b3e	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
38	reference-semantics/semantics/builtins.k	50	rule	FIXED_UNUSED	-	5b0273dd28c246b7e69966c8bfa8857483afa05b399c914ab4127e7c7d3509cd	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
39	reference-semantics/semantics/builtins.k	54	syntax	FIXED_UNUSED	function	3330d50b7dee4bc9d3e3550216ad9c94050d26c6e6a96796e7460b78ab7b11a8	syntax Int ::= intOf(Val) [function]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
40	reference-semantics/semantics/builtins.k	55	rule	FIXED_UNUSED	-	a813c0687189fc8f83d56a683cf96e5b440246e14f12be11878486a801f06b5a	rule intOf(I:Int)  => I	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
41	reference-semantics/semantics/builtins.k	56	rule	FIXED_UNUSED	-	75527181cb16d9c4619a21ff615a57db28ed82be96aaebee3e088ed502209450	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
42	reference-semantics/semantics/builtins.k	59	syntax	FIXED_UNUSED	-	e5197df0d2d2e1c53be819507dc0b81a4e88779f25f3d0396f8a4539d60b098e	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
43	reference-semantics/semantics/builtins.k	60	rule	FIXED_UNUSED	-	969f76a6cdd97b2f1042729dd57438a4b5f5699455bdd1da13b55d4c73e24c18	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
44	reference-semantics/semantics/builtins.k	61	rule	FIXED_UNUSED	-	b87198ea120558bdd7e643d782de2ef5ccb496fd82875602225f5d6122a0d674	rule <k> #iterDone ~> #allCont => true ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
45	reference-semantics/semantics/builtins.k	62	rule	FIXED_UNUSED	-	255220dc3925ca6e2cc1adab7b9e0bab26919dbf0e19c1b41ea519918e61835d	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
46	reference-semantics/semantics/builtins.k	64	rule	FIXED_UNUSED	-	4ed3b01aeaa1a6a50b7e57525797fe6880a4eee511c4b6bc4d2e3e32cb2efce6	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
47	reference-semantics/semantics/builtins.k	67	syntax	FIXED_UNUSED	-	f2cf763d3b8e5a376d6e9dba16b866558c96251c080ffab1e41b0fbfabf52267	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
48	reference-semantics/semantics/builtins.k	68	rule	FIXED_UNUSED	-	e5008c2bfb91daad53926c1c149e44b55c974e4a5b25bb6b6427b4d964537054	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
49	reference-semantics/semantics/builtins.k	69	rule	FIXED_UNUSED	-	5d2e466abb2769880d969db2ebf9273e10f27c5259dcd8289339dc351945a843	rule <k> #iterDone ~> #anyCont => false ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
50	reference-semantics/semantics/builtins.k	70	rule	FIXED_UNUSED	-	bbf32d6e3a68bbc7f9be27a06805a4be7315f43bb337cf4dd387db03bcdefebf	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
51	reference-semantics/semantics/builtins.k	72	rule	FIXED_UNUSED	-	c3a6e8e1951ce3e9b70078e39c4fddfbffe7d9a2f6690fa192273c2e59729fed	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
52	reference-semantics/semantics/builtins.k	76	syntax	FIXED_UNUSED	-	41e16aee4c8a4af66b3e46497dda394e3935c2823461385cc5acd63d77b5c57f	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
53	reference-semantics/semantics/builtins.k	77	rule	FIXED_UNUSED	-	3ab0b276006397045970c2d458eb6a36356b5d68fc41c8a837771cc24f688606	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
54	reference-semantics/semantics/builtins.k	78	rule	FIXED_UNUSED	-	ed12ba4840b08831729bd51d53d128405d0a74344ff4c9895bd4e7b827d4e476	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
55	reference-semantics/semantics/builtins.k	80	rule	FIXED_UNUSED	-	4924f1ccdbe80b4d350a970323ca3e6f88c161f889fa8b50d5428a23da46da8c	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
56	reference-semantics/semantics/builtins.k	81	rule	FIXED_UNUSED	-	cc73f3272baab71618c80c9fc916b02964c544f926d81a87d1cda788bf3eb941	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
57	reference-semantics/semantics/builtins.k	82	rule	FIXED_UNUSED	-	d7ebbd5d55acbc0526612c3f05880a37c7fb12f7817ef1850ab9faaf9bf3ad47	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
58	reference-semantics/semantics/builtins.k	86	syntax	FIXED_UNUSED	-	c45d005523921898334589ada23af90adee811ef183c484eec7cf19a5b6bab62	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
59	reference-semantics/semantics/builtins.k	87	rule	FIXED_UNUSED	-	5d13a7b7e626015f51eb98917cf65b1d2975e8761596fb5d934206b0a052aca9	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
60	reference-semantics/semantics/builtins.k	88	rule	FIXED_UNUSED	-	90c849dc84ec8a4f7696b17d651adb3ced5083c695da590d4f52042454f951c6	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
61	reference-semantics/semantics/builtins.k	90	rule	FIXED_UNUSED	-	52739194efe4a673a8534f25df2063677595695c6655c8f7931b0449d3135c36	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
62	reference-semantics/semantics/builtins.k	91	rule	FIXED_UNUSED	-	1917bcb42dd6fbfae69e51e10d208dd85fb49ad35ed729da48feb22c3f8664bd	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
63	reference-semantics/semantics/builtins.k	92	rule	FIXED_UNUSED	-	7ff23bebf03977d48b00522cc9762f0322f57c6bdda36a70b61d06437403124e	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
64	reference-semantics/semantics/builtins.k	97	syntax	FIXED_UNUSED	function	eadae0c5f6e867d8f679143206676f28ee1b283e6546fb6c64c5fa14820e9ad8	syntax Int ::= maxVals(Int, Vals) [function]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
65	reference-semantics/semantics/builtins.k	98	rule	FIXED_UNUSED	-	c2058b9902f179875719e8eb7bd7132d97039afa659c87841fdd706539f23869	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
66	reference-semantics/semantics/builtins.k	99	rule	FIXED_UNUSED	-	351480ffaea4957629a3f482ce0a6c598f4a06381eed63998ca3a4630f5e2eb5	rule maxVals(M:Int, .Vals)           => M	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
67	reference-semantics/semantics/builtins.k	100	rule	FIXED_UNUSED	-	c25e8cec2ea6bb79ab3fe1b8cfa54e46236e1b39c1a6672791b6d0d57682f386	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
68	reference-semantics/semantics/builtins.k	102	syntax	FIXED_UNUSED	function	7fcf5ef4cda590aa6f4d7261b60269b2b4efa20f12b892978f1cea7a86243a64	syntax Int ::= minVals(Int, Vals) [function]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
69	reference-semantics/semantics/builtins.k	103	rule	FIXED_UNUSED	-	43600e28101adaa338e2ed99bab41f388ea3f4c54695fd1bd95f50f68c28ce79	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
70	reference-semantics/semantics/builtins.k	104	rule	FIXED_UNUSED	-	c96176c7a47e5021a8cfbad6eff16ff1cefa62ff64310cc638589f4750a2b276	rule minVals(M:Int, .Vals)           => M	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
71	reference-semantics/semantics/builtins.k	105	rule	FIXED_UNUSED	-	5ab0185ff0b6dcb9ff5aef4557de3497b550edae095eafaa8febfead4d914d63	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
72	reference-semantics/semantics/builtins.k	108	rule	FIXED_UNUSED	-	7e44fd669257d5cc60c53397ad73e6b51a7a323a6ce99619ddc183733de58492	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
73	reference-semantics/semantics/builtins.k	111	rule	FIXED_UNUSED	-	2161e89cba312f597a747bbf7832b5201b11cee9d358922959386ed706b08925	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
74	reference-semantics/semantics/builtins.k	114	syntax	FIXED_UNUSED	function,total	944061b97dda0effa2876c557a050d28cafca7b2d078584d46e987d80f54757a	syntax IntSeq ::= binCodes(Int) [function, total]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
75	reference-semantics/semantics/builtins.k	115	rule	FIXED_UNUSED	-	fe36cd4c447d93b79c5bfc65abae08c53db13bbf5acea67c9c4eee3190fde8f2	rule binCodes(0) => iCons(48, .IntSeq)	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
76	reference-semantics/semantics/builtins.k	116	rule	FIXED_UNUSED	-	695c9c0e1367e1ab063e12994cb2264c77df06218b1179bb234549262a87d460	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
77	reference-semantics/semantics/builtins.k	117	syntax	FIXED_UNUSED	function,total	54aea29f2cd3b5c5ba78a28efdb27ade7f5f91dfbd2217d5965530340523c086	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
78	reference-semantics/semantics/builtins.k	118	rule	FIXED_UNUSED	-	2f2e1baeaafac88296a71e7d13b62425d3beed24e5a507ab4308429629f0a37a	rule binAcc(0, ACC:IntSeq) => ACC	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
79	reference-semantics/semantics/builtins.k	119	rule	FIXED_UNUSED	-	0a6906b1bf981aff24d547750ce3cb380012d8ea8095cbc0c27e903ab10ec210	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
80	reference-semantics/semantics/builtins.k	124	rule	FIXED_UNUSED	-	4b1ebead56a3693fa4c2c9cfa5ebd175cc7463fbc76707b081b507c7f3f69c3a	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
81	reference-semantics/semantics/builtins.k	126	syntax	FIXED_UNUSED	function,total	ca1d97041fb99668922ddfb2b6c5d2b148a79013b6461dddfbc9406000efc8ca	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
82	reference-semantics/semantics/builtins.k	127	rule	FIXED_UNUSED	-	f31b006292f903eb4b6c9bba50f48e51f3d611957535c219506b006e3b56aaf4	rule enumVS(.ValSeq, _:Int) => .ValSeq	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
83	reference-semantics/semantics/builtins.k	128	rule	FIXED_UNUSED	-	c92bf1d71168048b7a799f0e562e8e65e82ac74cc47c9bdfe6479122663a7159	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
84	reference-semantics/semantics/builtins.k	132	rule	FIXED_UNUSED	-	d317ed75de9ba9d2800fc34cd88e4e26a90bd1d8ef40a8d8f1980669a92e9505	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
85	reference-semantics/semantics/builtins.k	134	syntax	FIXED_UNUSED	function,total	700e1a12f9f262bb02fb8bcec0683845b618699ecf9ceb4fb6a6399105c2fc49	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
86	reference-semantics/semantics/builtins.k	135	rule	FIXED_UNUSED	-	ac397a45648a5cc676d53cbb821f8714646dc5249401ed4366e38ce9f18e396e	rule mapStrVS(.ValSeq) => .ValSeq	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
87	reference-semantics/semantics/builtins.k	136	rule	FIXED_UNUSED	-	380151a002809645d5be2739524d22bdbf3c01a4914b59d09697b68704b490d3	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))	NO_TARGET_PATH: head/construct is absent from submitted execution and proof summaries
