file	line	kind	attributes	assessment	statement
semantics/builtins.k	50	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
semantics/builtins.k	54	syntax	function	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax Int ::= intOf(Val) [function]
semantics/builtins.k	55	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule intOf(I:Int)  => I
semantics/builtins.k	56	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
semantics/builtins.k	59	syntax	-	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax KItem ::= #allAcc(Iterable) | "#allCont"
semantics/builtins.k	60	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
semantics/builtins.k	61	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterDone ~> #allCont => true ... </k>
semantics/builtins.k	62	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
semantics/builtins.k	64	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
semantics/builtins.k	67	syntax	-	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
semantics/builtins.k	68	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
semantics/builtins.k	69	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterDone ~> #anyCont => false ... </k>
semantics/builtins.k	70	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
semantics/builtins.k	72	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
semantics/builtins.k	76	syntax	-	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
semantics/builtins.k	77	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
semantics/builtins.k	78	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
semantics/builtins.k	80	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
semantics/builtins.k	81	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
semantics/builtins.k	82	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
semantics/builtins.k	86	syntax	-	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
semantics/builtins.k	87	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
semantics/builtins.k	88	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
semantics/builtins.k	90	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
semantics/builtins.k	91	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
semantics/builtins.k	92	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
semantics/builtins.k	97	syntax	function	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax Int ::= maxVals(Int, Vals) [function]
semantics/builtins.k	98	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
semantics/builtins.k	99	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule maxVals(M:Int, .Vals)           => M
semantics/builtins.k	100	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
semantics/builtins.k	102	syntax	function	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax Int ::= minVals(Int, Vals) [function]
semantics/builtins.k	103	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
semantics/builtins.k	104	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule minVals(M:Int, .Vals)           => M
semantics/builtins.k	105	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
semantics/builtins.k	108	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
semantics/builtins.k	111	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
semantics/builtins.k	114	syntax	function,total	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax IntSeq ::= binCodes(Int) [function, total]
semantics/builtins.k	115	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule binCodes(0) => iCons(48, .IntSeq)
semantics/builtins.k	116	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
semantics/builtins.k	117	syntax	function,total	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
semantics/builtins.k	118	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule binAcc(0, ACC:IntSeq) => ACC
semantics/builtins.k	119	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
semantics/builtins.k	124	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
semantics/builtins.k	126	syntax	function,total	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
semantics/builtins.k	127	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule enumVS(.ValSeq, _:Int) => .ValSeq
semantics/builtins.k	128	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
semantics/builtins.k	132	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
semantics/builtins.k	134	syntax	function,total	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
semantics/builtins.k	135	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule mapStrVS(.ValSeq) => .ValSeq
semantics/builtins.k	136	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
semantics/builtins.k	137	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
semantics/builtins.k	140	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("int", I:Int, .Vals) => I
semantics/builtins.k	143	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
semantics/builtins.k	144	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
semantics/builtins.k	148	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
semantics/builtins.k	149	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
semantics/builtins.k	152	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
semantics/builtins.k	156	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
semantics/builtins.k	158	syntax	function,total	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
semantics/builtins.k	159	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
semantics/builtins.k	160	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
semantics/builtins.k	163	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
semantics/builtins.k	164	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
semantics/builtins.k	167	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
semantics/builtins.k	169	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
semantics/builtins.k	170	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
semantics/builtins.k	171	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
semantics/builtins.k	173	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
semantics/builtins.k	174	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
semantics/builtins.k	177	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
semantics/builtins.k	178	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
semantics/builtins.k	179	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0
semantics/builtins.k	187	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
semantics/builtins.k	188	syntax	function	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax Int ::= evalArith(IntSeq) [function]
semantics/builtins.k	189	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
semantics/builtins.k	192	syntax	-	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
semantics/builtins.k	194	syntax	function,total	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax Bool ::= evDigit(Int) [function, total]
semantics/builtins.k	195	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
semantics/builtins.k	196	syntax	function,total	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax Bool ::= evHead42(IntSeq) [function, total]
semantics/builtins.k	197	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule evHead42(iCons(42, _:IntSeq)) => true
semantics/builtins.k	198	rule	owise	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule evHead42(_:IntSeq)            => false [owise]
semantics/builtins.k	199	syntax	function,total	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax Bool ::= evHead47(IntSeq) [function, total]
semantics/builtins.k	200	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule evHead47(iCons(47, _:IntSeq)) => true
semantics/builtins.k	201	rule	owise	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule evHead47(_:IntSeq)            => false [owise]
semantics/builtins.k	203	syntax	function,total	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax OpSeq ::= tokOps(IntSeq) [function, total]
semantics/builtins.k	204	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokOps(.IntSeq)                 => .OpSeq
semantics/builtins.k	205	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
semantics/builtins.k	206	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
semantics/builtins.k	207	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
semantics/builtins.k	208	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
semantics/builtins.k	209	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
semantics/builtins.k	210	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)
semantics/builtins.k	211	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))
semantics/builtins.k	212	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))
semantics/builtins.k	214	syntax	function,total	FIXED_DECLARATION: inspected; no independent rewrite conclusion	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
semantics/builtins.k	216	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokNds(.IntSeq)                => .IntSeq
semantics/builtins.k	217	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)
semantics/builtins.k	218	rule	-	FIXED_RULE_OUT_OF_CONE: inspected; no false-conclusion witness claimed on the intended program domain	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
