source	line	kind	fib_relevance	review_disposition	first_line
reference-semantics/semantics/builtins.k	77	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	78	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	80	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	81	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	82	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	87	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	88	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	90	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	91	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	92	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V) // ==== variadic max / min (a Vals fold) ====================================
reference-semantics/semantics/builtins.k	98	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
reference-semantics/semantics/builtins.k	99	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule maxVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k	100	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	103	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
reference-semantics/semantics/builtins.k	104	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule minVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k	105	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
reference-semantics/semantics/builtins.k	108	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits
reference-semantics/semantics/builtins.k	111	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
reference-semantics/semantics/builtins.k	115	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	116	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	118	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	119	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0 // ==== enumerate(xs) — pairs (i, v); materialized eagerly over a list =========
reference-semantics/semantics/builtins.k	124	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
reference-semantics/semantics/builtins.k	127	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	128	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============
reference-semantics/semantics/builtins.k	132	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
reference-semantics/semantics/builtins.k	135	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	136	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	137	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================
reference-semantics/semantics/builtins.k	140	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("int", I:Int, .Vals) => I // ==== ord / chr ===========================================================
reference-semantics/semantics/builtins.k	143	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
reference-semantics/semantics/builtins.k	144	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128 // ==== str(int) / str(str) =================================================
reference-semantics/semantics/builtins.k	148	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
reference-semantics/semantics/builtins.k	149	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS) // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value =====
reference-semantics/semantics/builtins.k	152	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57 // ==== int(str) — a multi-digit non-negative numeral (Horner fold; the single-char rule covers len 1)
reference-semantics/semantics/builtins.k	156	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
reference-semantics/semantics/builtins.k	159	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule intDigAcc(.IntSeq, ACC:Int) => ACC
reference-semantics/semantics/builtins.k	160	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48)) // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
reference-semantics/semantics/builtins.k	163	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
reference-semantics/semantics/builtins.k	164	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B) // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)
reference-semantics/semantics/builtins.k	167	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	169	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	170	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	171	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	173	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	174	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k> // ==== range(stop) / range(start, stop) / range(start, stop, step) =========
reference-semantics/semantics/builtins.k	177	ordinary	UNREACHABLE_CONSTRUCTOR	reviewed: its LHS constructor, literal tag, sort, or guard/shape is not reachable on the submitted integer fib path; it cannot affect either claim	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
