id	location	module	kind	attributes	declaration
44	reference-semantics/semantics.k:78	MPY	imports		imports MPY-ASSERT
45	reference-semantics/semantics.k:79	MPY	imports		imports MPY-DICT
46	reference-semantics/semantics.k:80	MPY	endmodule		endmodule // The krun (llvm) main module: MPY plus the concrete-only legs (keyed sort's // real key calls, deep list equality). Verification builds import MPY and // never see MPY-CONCRETE. The llvm kompile MUST use --main-module MPY-KRUN — // with plain MPY the concrete legs are silently absent (this was live for a // while: sorted-key stuck and comprehension asserted wrong under krun).
47	reference-semantics/semantics.k:87	MPY-KRUN	module		module MPY-KRUN
48	reference-semantics/semantics.k:88	MPY-KRUN	imports		imports MPY
49	reference-semantics/semantics.k:89	MPY-KRUN	imports		imports MPY-CONCRETE
50	reference-semantics/semantics.k:90	MPY-KRUN	endmodule		endmodule
51	reference-semantics/semantics/assert.k:3	MPY-ASSERT	module		module MPY-ASSERT
52	reference-semantics/semantics/assert.k:4	MPY-ASSERT	imports		imports MPY-CORE
53	reference-semantics/semantics/assert.k:6	MPY-ASSERT	rule		rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
54	reference-semantics/semantics/assert.k:8	MPY-ASSERT	rule		rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
55	reference-semantics/semantics/assert.k:13	MPY-ASSERT	rule	priority(40)	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
56	reference-semantics/semantics/assert.k:16	MPY-ASSERT	endmodule		endmodule
57	reference-semantics/semantics/bool.k:5	MPY-BOOL	module		module MPY-BOOL
58	reference-semantics/semantics/bool.k:6	MPY-BOOL	imports		imports MPY-CORE
59	reference-semantics/semantics/bool.k:8	MPY-BOOL	rule		rule applyUn("not", V:Val) => notBool truthy(V)
60	reference-semantics/semantics/bool.k:10	MPY-BOOL	rule		rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
61	reference-semantics/semantics/bool.k:11	MPY-BOOL	rule		rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
62	reference-semantics/semantics/bool.k:16	MPY-BOOL	context		context BoolOp(_, (HOLE:Expr, _:Exprs))
63	reference-semantics/semantics/bool.k:17	MPY-BOOL	rule		rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
64	reference-semantics/semantics/bool.k:18	MPY-BOOL	rule		rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
65	reference-semantics/semantics/bool.k:20	MPY-BOOL	rule		rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
66	reference-semantics/semantics/bool.k:22	MPY-BOOL	rule		rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
67	reference-semantics/semantics/bool.k:24	MPY-BOOL	rule		rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure
68	reference-semantics/semantics/bool.k:29	MPY-BOOL	rule	priority(40)	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
69	reference-semantics/semantics/bool.k:31	MPY-BOOL	rule	priority(40)	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
70	reference-semantics/semantics/bool.k:35	MPY-BOOL	rule	priority(40)	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
71	reference-semantics/semantics/bool.k:39	MPY-BOOL	rule	priority(40)	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
72	reference-semantics/semantics/bool.k:43	MPY-BOOL	rule	priority(40)	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
73	reference-semantics/semantics/bool.k:47	MPY-BOOL	endmodule		endmodule
74	reference-semantics/semantics/builtins.k:3	MPY-BUILTINS	module		module MPY-BUILTINS
75	reference-semantics/semantics/builtins.k:4	MPY-BUILTINS	imports		imports MPY-CORE
76	reference-semantics/semantics/builtins.k:5	MPY-BUILTINS	imports		imports MPY-STR
77	reference-semantics/semantics/builtins.k:6	MPY-BUILTINS	imports		imports MPY-SET
78	reference-semantics/semantics/builtins.k:7	MPY-BUILTINS	imports		imports MPY-ITER
79	reference-semantics/semantics/builtins.k:8	MPY-BUILTINS	imports		imports MPY-RANGE
80	reference-semantics/semantics/builtins.k:9	MPY-BUILTINS	imports		imports MPY-INT
81	reference-semantics/semantics/builtins.k:10	MPY-BUILTINS	imports		imports MPY-METHODS // the builtins REGISTRY is core.k's builtinsScope (the -1 frame); names resolve by lookup // Call routing + argument evaluation live in call.k, which also routes the fold // builtins (sum/all/any/max/min) to the #_Acc folds below and everything else to // applyBuiltin. This module owns applyBuiltin + the fold implementations.
82	reference-semantics/semantics/builtins.k:17	MPY-BUILTINS	syntax	function	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
83	reference-semantics/semantics/builtins.k:20	MPY-BUILTINS	syntax	function	syntax Int ::= seqLen(Val) [function]
84	reference-semantics/semantics/builtins.k:21	MPY-BUILTINS	rule		rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
85	reference-semantics/semantics/builtins.k:22	MPY-BUILTINS	rule		rule seqLen(list(VS:ValSeq)) => vsLen(VS)
86	reference-semantics/semantics/builtins.k:23	MPY-BUILTINS	rule		rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
87	reference-semantics/semantics/builtins.k:24	MPY-BUILTINS	rule		rule seqLen(str(IS:IntSeq)) => isLen(IS)
88	reference-semantics/semantics/builtins.k:25	MPY-BUILTINS	rule		rule seqLen(setV(DS:IntSeq)) => isLen(DS)
89	reference-semantics/semantics/builtins.k:26	MPY-BUILTINS	rule		rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
90	reference-semantics/semantics/builtins.k:32	MPY-BUILTINS	rule		rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
91	reference-semantics/semantics/builtins.k:33	MPY-BUILTINS	rule		rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
92	reference-semantics/semantics/builtins.k:34	MPY-BUILTINS	rule		rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
93	reference-semantics/semantics/builtins.k:35	MPY-BUILTINS	rule		rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
94	reference-semantics/semantics/builtins.k:36	MPY-BUILTINS	syntax	function, total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
95	reference-semantics/semantics/builtins.k:37	MPY-BUILTINS	rule		rule charsOf(.IntSeq) => .ValSeq
96	reference-semantics/semantics/builtins.k:38	MPY-BUILTINS	rule		rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
97	reference-semantics/semantics/builtins.k:41	MPY-BUILTINS	rule		rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
98	reference-semantics/semantics/builtins.k:44	MPY-BUILTINS	rule		rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
99	reference-semantics/semantics/builtins.k:47	MPY-BUILTINS	syntax		syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
100	reference-semantics/semantics/builtins.k:48	MPY-BUILTINS	rule		rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
101	reference-semantics/semantics/builtins.k:49	MPY-BUILTINS	rule		rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
102	reference-semantics/semantics/builtins.k:50	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
103	reference-semantics/semantics/builtins.k:54	MPY-BUILTINS	syntax	function	syntax Int ::= intOf(Val) [function]
104	reference-semantics/semantics/builtins.k:55	MPY-BUILTINS	rule		rule intOf(I:Int) => I
105	reference-semantics/semantics/builtins.k:56	MPY-BUILTINS	rule		rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
106	reference-semantics/semantics/builtins.k:59	MPY-BUILTINS	syntax		syntax KItem ::= #allAcc(Iterable) | "#allCont"
107	reference-semantics/semantics/builtins.k:60	MPY-BUILTINS	rule		rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
108	reference-semantics/semantics/builtins.k:61	MPY-BUILTINS	rule		rule <k> #iterDone ~> #allCont => true ... </k>
109	reference-semantics/semantics/builtins.k:62	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
110	reference-semantics/semantics/builtins.k:64	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
111	reference-semantics/semantics/builtins.k:67	MPY-BUILTINS	syntax		syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
112	reference-semantics/semantics/builtins.k:68	MPY-BUILTINS	rule		rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
113	reference-semantics/semantics/builtins.k:69	MPY-BUILTINS	rule		rule <k> #iterDone ~> #anyCont => false ... </k>
114	reference-semantics/semantics/builtins.k:70	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
115	reference-semantics/semantics/builtins.k:72	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V) // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
116	reference-semantics/semantics/builtins.k:76	MPY-BUILTINS	syntax		syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
117	reference-semantics/semantics/builtins.k:77	MPY-BUILTINS	rule		rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
118	reference-semantics/semantics/builtins.k:78	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
119	reference-semantics/semantics/builtins.k:80	MPY-BUILTINS	rule		rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
120	reference-semantics/semantics/builtins.k:81	MPY-BUILTINS	rule		rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
121	reference-semantics/semantics/builtins.k:82	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
122	reference-semantics/semantics/builtins.k:86	MPY-BUILTINS	syntax		syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
123	reference-semantics/semantics/builtins.k:87	MPY-BUILTINS	rule		rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
124	reference-semantics/semantics/builtins.k:88	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
125	reference-semantics/semantics/builtins.k:90	MPY-BUILTINS	rule		rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
126	reference-semantics/semantics/builtins.k:91	MPY-BUILTINS	rule		rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
127	reference-semantics/semantics/builtins.k:92	MPY-BUILTINS	rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V) // ==== variadic max / min (a Vals fold) ====================================
128	reference-semantics/semantics/builtins.k:97	MPY-BUILTINS	syntax	function	syntax Int ::= maxVals(Int, Vals) [function]
129	reference-semantics/semantics/builtins.k:98	MPY-BUILTINS	rule		rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
130	reference-semantics/semantics/builtins.k:99	MPY-BUILTINS	rule		rule maxVals(M:Int, .Vals) => M
131	reference-semantics/semantics/builtins.k:100	MPY-BUILTINS	rule		rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
132	reference-semantics/semantics/builtins.k:102	MPY-BUILTINS	syntax	function	syntax Int ::= minVals(Int, Vals) [function]
133	reference-semantics/semantics/builtins.k:103	MPY-BUILTINS	rule		rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
134	reference-semantics/semantics/builtins.k:104	MPY-BUILTINS	rule		rule minVals(M:Int, .Vals) => M
135	reference-semantics/semantics/builtins.k:105	MPY-BUILTINS	rule		rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
136	reference-semantics/semantics/builtins.k:108	MPY-BUILTINS	rule		rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits
137	reference-semantics/semantics/builtins.k:111	MPY-BUILTINS	rule		rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
138	reference-semantics/semantics/builtins.k:114	MPY-BUILTINS	syntax	function, total	syntax IntSeq ::= binCodes(Int) [function, total]
139	reference-semantics/semantics/builtins.k:115	MPY-BUILTINS	rule		rule binCodes(0) => iCons(48, .IntSeq)
140	reference-semantics/semantics/builtins.k:116	MPY-BUILTINS	rule		rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
141	reference-semantics/semantics/builtins.k:117	MPY-BUILTINS	syntax	function, total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
142	reference-semantics/semantics/builtins.k:118	MPY-BUILTINS	rule		rule binAcc(0, ACC:IntSeq) => ACC
143	reference-semantics/semantics/builtins.k:119	MPY-BUILTINS	rule		rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0 // ==== enumerate(xs) — pairs (i, v); materialized eagerly over a list =========
144	reference-semantics/semantics/builtins.k:124	MPY-BUILTINS	rule		rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
145	reference-semantics/semantics/builtins.k:126	MPY-BUILTINS	syntax	function, total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
146	reference-semantics/semantics/builtins.k:127	MPY-BUILTINS	rule		rule enumVS(.ValSeq, _:Int) => .ValSeq
147	reference-semantics/semantics/builtins.k:128	MPY-BUILTINS	rule		rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============
148	reference-semantics/semantics/builtins.k:132	MPY-BUILTINS	rule		rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
149	reference-semantics/semantics/builtins.k:134	MPY-BUILTINS	syntax	function, total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
150	reference-semantics/semantics/builtins.k:135	MPY-BUILTINS	rule		rule mapStrVS(.ValSeq) => .ValSeq
151	reference-semantics/semantics/builtins.k:136	MPY-BUILTINS	rule		rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
152	reference-semantics/semantics/builtins.k:137	MPY-BUILTINS	rule		rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================
153	reference-semantics/semantics/builtins.k:140	MPY-BUILTINS	rule		rule applyBuiltin("int", I:Int, .Vals) => I // ==== ord / chr ===========================================================
154	reference-semantics/semantics/builtins.k:143	MPY-BUILTINS	rule		rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
155	reference-semantics/semantics/builtins.k:144	MPY-BUILTINS	rule		rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128 // ==== str(int) / str(str) =================================================
156	reference-semantics/semantics/builtins.k:148	MPY-BUILTINS	rule		rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
157	reference-semantics/semantics/builtins.k:149	MPY-BUILTINS	rule		rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS) // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value =====
158	reference-semantics/semantics/builtins.k:152	MPY-BUILTINS	rule		rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57 // ==== int(str) — a multi-digit non-negative numeral (Horner fold; the single-char rule covers len 1)
159	reference-semantics/semantics/builtins.k:156	MPY-BUILTINS	rule		rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
160	reference-semantics/semantics/builtins.k:158	MPY-BUILTINS	syntax	function, total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
161	reference-semantics/semantics/builtins.k:159	MPY-BUILTINS	rule		rule intDigAcc(.IntSeq, ACC:Int) => ACC
162	reference-semantics/semantics/builtins.k:160	MPY-BUILTINS	rule		rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48)) // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
163	reference-semantics/semantics/builtins.k:163	MPY-BUILTINS	rule		rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
164	reference-semantics/semantics/builtins.k:164	MPY-BUILTINS	rule		rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B) // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)
165	reference-semantics/semantics/builtins.k:167	MPY-BUILTINS	rule		rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
166	reference-semantics/semantics/builtins.k:169	MPY-BUILTINS	rule		rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
167	reference-semantics/semantics/builtins.k:170	MPY-BUILTINS	rule		rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
168	reference-semantics/semantics/builtins.k:171	MPY-BUILTINS	rule		rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
169	reference-semantics/semantics/builtins.k:173	MPY-BUILTINS	rule		rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
170	reference-semantics/semantics/builtins.k:174	MPY-BUILTINS	rule		rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k> // ==== range(stop) / range(start, stop) / range(start, stop, step) =========
171	reference-semantics/semantics/builtins.k:177	MPY-BUILTINS	rule		rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
172	reference-semantics/semantics/builtins.k:178	MPY-BUILTINS	rule		rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
173	reference-semantics/semantics/builtins.k:179	MPY-BUILTINS	rule		rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0 // ==== eval(str) — arithmetic expressions (ints, + - * // **, spaces) ======== // Python precedence: ** right-assoc, then * //, then + -. Promoted from 160's // trusted pass evaluator, now DEFINED in the reference and driven by a // code-level tokenizer. Reduces on concrete strings (krun); a symbolic // argument leaves the call unevaluated for problem-level folds.
174	reference-semantics/semantics/builtins.k:187	MPY-BUILTINS	rule		rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
175	reference-semantics/semantics/builtins.k:188	MPY-BUILTINS	syntax	function	syntax Int ::= evalArith(IntSeq) [function]
176	reference-semantics/semantics/builtins.k:189	MPY-BUILTINS	rule		rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
177	reference-semantics/semantics/builtins.k:192	MPY-BUILTINS	syntax		syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
178	reference-semantics/semantics/builtins.k:194	MPY-BUILTINS	syntax	function, total	syntax Bool ::= evDigit(Int) [function, total]
179	reference-semantics/semantics/builtins.k:195	MPY-BUILTINS	rule		rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
180	reference-semantics/semantics/builtins.k:196	MPY-BUILTINS	syntax	function, total	syntax Bool ::= evHead42(IntSeq) [function, total]
181	reference-semantics/semantics/builtins.k:197	MPY-BUILTINS	rule		rule evHead42(iCons(42, _:IntSeq)) => true
182	reference-semantics/semantics/builtins.k:198	MPY-BUILTINS	rule	owise	rule evHead42(_:IntSeq) => false [owise]
183	reference-semantics/semantics/builtins.k:199	MPY-BUILTINS	syntax	function, total	syntax Bool ::= evHead47(IntSeq) [function, total]
184	reference-semantics/semantics/builtins.k:200	MPY-BUILTINS	rule		rule evHead47(iCons(47, _:IntSeq)) => true
185	reference-semantics/semantics/builtins.k:201	MPY-BUILTINS	rule	owise	rule evHead47(_:IntSeq) => false [owise]
186	reference-semantics/semantics/builtins.k:203	MPY-BUILTINS	syntax	function, total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
187	reference-semantics/semantics/builtins.k:204	MPY-BUILTINS	rule		rule tokOps(.IntSeq) => .OpSeq
188	reference-semantics/semantics/builtins.k:205	MPY-BUILTINS	rule		rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
189	reference-semantics/semantics/builtins.k:206	MPY-BUILTINS	rule		rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
190	reference-semantics/semantics/builtins.k:207	MPY-BUILTINS	rule		rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
191	reference-semantics/semantics/builtins.k:208	MPY-BUILTINS	rule		rule tokOps(iCons(42, R:IntSeq)) => oCons("*", tokOps(R)) requires notBool evHead42(R)
192	reference-semantics/semantics/builtins.k:209	MPY-BUILTINS	rule		rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
193	reference-semantics/semantics/builtins.k:210	MPY-BUILTINS	rule		rule tokOps(iCons(47, R:IntSeq)) => oCons("/", tokOps(R)) requires notBool evHead47(R)
194	reference-semantics/semantics/builtins.k:211	MPY-BUILTINS	rule		rule tokOps(iCons(43, R:IntSeq)) => oCons("+", tokOps(R))
195	reference-semantics/semantics/builtins.k:212	MPY-BUILTINS	rule		rule tokOps(iCons(45, R:IntSeq)) => oCons("-", tokOps(R))
