COMMAND: /audit-output/evidence/inventory_focus.sh
WORKDIR: /audit-output
--- OUTPUT BEGIN ---
== Candidate-local entries ==
id	role	file	start_line	end_line	kind	attributes	candidate_usage	assessment	logical_declaration
K0185	trusted-supplied-semantics	reference-semantics/semantics/builtins.k	285	285	syntax	function,no-evaluators,symbol(md5hexCodes),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]
K0411	trusted-supplied-semantics	reference-semantics/semantics/float.k	24	24	syntax	function,no-evaluators,symbol(intFloatDiv),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= intFloatDiv(Int, Float) [function, total, symbol(intFloatDiv), no-evaluators]
K0414	trusted-supplied-semantics	reference-semantics/semantics/float.k	30	30	syntax	function,no-evaluators,symbol(divII),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= divII(Int, Int) [function, total, symbol(divII), no-evaluators]
K0417	trusted-supplied-semantics	reference-semantics/semantics/float.k	37	37	syntax	function,no-evaluators,symbol(floatMod),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= floatMod(Float, Float) [function, total, symbol(floatMod), no-evaluators]
K0422	trusted-supplied-semantics	reference-semantics/semantics/float.k	50	50	syntax	function,no-evaluators,symbol(floatLt),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Bool ::= floatLt(Float, Float) [function, total, symbol(floatLt), no-evaluators]
K0425	trusted-supplied-semantics	reference-semantics/semantics/float.k	54	54	syntax	function,no-evaluators,symbol(absF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= absF(Float) [function, total, symbol(absF), no-evaluators]
K0435	trusted-supplied-semantics	reference-semantics/semantics/float.k	73	73	syntax	function,symbol(floorFI),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Int ::= floorFI(Val) [function, total, symbol(floorFI)]
K0444	trusted-supplied-semantics	reference-semantics/semantics/float.k	86	86	syntax	function,symbol(toF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= toF(Val) [function, total, symbol(toF)]
K0447	trusted-supplied-semantics	reference-semantics/semantics/float.k	93	93	syntax	function,symbol(ceilF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Int ::= ceilF(Val) [function, total, symbol(ceilF)]
K0451	trusted-supplied-semantics	reference-semantics/semantics/float.k	103	103	syntax	function,no-evaluators,symbol(subF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= subF(Float, Float) [function, total, symbol(subF), no-evaluators]
K0454	trusted-supplied-semantics	reference-semantics/semantics/float.k	107	107	syntax	function,no-evaluators,symbol(divF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= divF(Float, Float) [function, total, symbol(divF), no-evaluators]
K0457	trusted-supplied-semantics	reference-semantics/semantics/float.k	111	111	syntax	function,no-evaluators,symbol(addF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= addF(Float, Float) [function, total, symbol(addF), no-evaluators]
K0460	trusted-supplied-semantics	reference-semantics/semantics/float.k	115	115	syntax	function,no-evaluators,symbol(mulF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= mulF(Float, Float) [function, total, symbol(mulF), no-evaluators]
K0463	trusted-supplied-semantics	reference-semantics/semantics/float.k	119	119	syntax	function,no-evaluators,symbol(powF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= powF(Float, Float) [function, total, symbol(powF), no-evaluators]
K0466	trusted-supplied-semantics	reference-semantics/semantics/float.k	125	125	syntax	function,no-evaluators,symbol(gtF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Bool ::= gtF(Float, Float) [function, total, symbol(gtF), no-evaluators]
K0479	trusted-supplied-semantics	reference-semantics/semantics/float.k	142	142	syntax	function,no-evaluators,symbol(eqF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Bool ::= eqF(Float, Float) [function, total, symbol(eqF), no-evaluators]
K0491	trusted-supplied-semantics	reference-semantics/semantics/float.k	160	160	syntax	function,no-evaluators,symbol(decStrToF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= decStrToF(IntSeq) [function, total, symbol(decStrToF), no-evaluators]
K0516	trusted-supplied-semantics	reference-semantics/semantics/float.k	190	190	syntax	function,no-evaluators,symbol(divFloatIntV),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= divFloatIntV(Float, Int) [function, total, symbol(divFloatIntV), no-evaluators]
K0519	trusted-supplied-semantics	reference-semantics/semantics/float.k	195	195	syntax	function,no-evaluators,symbol(intToF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= intToF(Int) [function, total, symbol(intToF), no-evaluators]
K0531	trusted-supplied-semantics	reference-semantics/semantics/float.k	209	209	syntax	function,no-evaluators,symbol(truncF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Int ::= truncF(Float) [function, total, symbol(truncF), no-evaluators]
K0536	trusted-supplied-semantics	reference-semantics/semantics/float.k	217	217	syntax	function,no-evaluators,symbol(roundF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Int ::= roundF(Float) [function, total, symbol(roundF), no-evaluators]
K0538	trusted-supplied-semantics	reference-semantics/semantics/float.k	223	223	syntax	function,no-evaluators,symbol(roundFN),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= roundFN(Float, Int) [function, total, symbol(roundFN), no-evaluators]
K0542	trusted-supplied-semantics	reference-semantics/semantics/float.k	230	230	syntax	function,no-evaluators,symbol(sqrtF),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax Float ::= sqrtF(Float) [function, total, symbol(sqrtF), no-evaluators]
K0773	trusted-supplied-semantics	reference-semantics/semantics/sort.k	18	18	syntax	function,no-evaluators,symbol(sortVS),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax ValSeq ::= sortVS(ValSeq) [function, total, symbol(sortVS), no-evaluators]
K0787	trusted-supplied-semantics	reference-semantics/semantics/sort.k	49	49	syntax	function,no-evaluators,symbol(sortKeyVS),total	unused	ACCEPTED_FIXED_BASELINE_OPAQUE_BOUNDARY	syntax ValSeq ::= sortKeyVS(ValSeq, Val) [function, total, symbol(sortKeyVS), no-evaluators]
== Simplification / functional entries ==
id	role	file	start_line	end_line	kind	attributes	candidate_usage	assessment	logical_declaration
== Priority entries ==
id	role	file	start_line	end_line	kind	attributes	candidate_usage	assessment	logical_declaration
K0003	trusted-supplied-semantics	reference-semantics/semantics/assert.k	13	16	rule	priority(40)	unused	ACCEPTED_FIXED_BASELINE	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule
K0013	trusted-supplied-semantics	reference-semantics/semantics/bool.k	29	30	rule	priority(40)	unused	ACCEPTED_FIXED_BASELINE	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0014	trusted-supplied-semantics	reference-semantics/semantics/bool.k	31	34	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
K0015	trusted-supplied-semantics	reference-semantics/semantics/bool.k	35	38	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
K0016	trusted-supplied-semantics	reference-semantics/semantics/bool.k	39	42	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
K0017	trusted-supplied-semantics	reference-semantics/semantics/bool.k	43	47	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)] endmodule"
K0181	trusted-supplied-semantics	reference-semantics/semantics/builtins.k	280	281	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> Call(Attribute(Name(""hashlib""), ""md5""), (E:Expr, .Exprs)) => E ~> #md5 ... </k> [priority(40)]"
K0205	trusted-supplied-semantics	reference-semantics/semantics/call.k	38	41	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0206	trusted-supplied-semantics	reference-semantics/semantics/call.k	42	46	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(A) [priority(40)]
K0207	trusted-supplied-semantics	reference-semantics/semantics/call.k	47	50	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(typeV(T)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0210	trusted-supplied-semantics	reference-semantics/semantics/call.k	56	60	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals) => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) [priority(40)]
K0211	trusted-supplied-semantics	reference-semantics/semantics/call.k	63	67	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) andBool notBool isRefV(OBJ) [priority(40)]
K0231	trusted-supplied-semantics	reference-semantics/semantics/concrete.k	28	30	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]"
K0232	trusted-supplied-semantics	reference-semantics/semantics/concrete.k	31	33	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), kwV(""reverse"", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]"
K0249	trusted-supplied-semantics	reference-semantics/semantics/controls.k	12	18	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]"
K0251	trusted-supplied-semantics	reference-semantics/semantics/controls.k	27	31	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]
K0281	trusted-supplied-semantics	reference-semantics/semantics/controls.k	95	97	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0282	trusted-supplied-semantics	reference-semantics/semantics/controls.k	98	100	rule	priority(40)	unused	ACCEPTED_FIXED_BASELINE	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0283	trusted-supplied-semantics	reference-semantics/semantics/controls.k	101	103	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0284	trusted-supplied-semantics	reference-semantics/semantics/controls.k	106	109	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule
K0305	trusted-supplied-semantics	reference-semantics/semantics/core.k	85	90	rule	priority(40)	unused	ACCEPTED_FIXED_BASELINE	"rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires ""$cells"" in_keys(M) [priority(40)]"
K0330	trusted-supplied-semantics	reference-semantics/semantics/core.k	145	151	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires X in_keys(M) andBool ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool {M[X]}:>Val ==K cellRef(H) [priority(40)]"
K0387	trusted-supplied-semantics	reference-semantics/semantics/dict.k	58	60	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #applyK(toCall(boundMethodV(dictV(KS:ValSeq, _:ValSeq), ""keys"")), .Vals) => #alloc(list(KS)) ... </k> [priority(40)]"
K0390	trusted-supplied-semantics	reference-semantics/semantics/dict.k	65	66	rule	priority(45)	unused	ACCEPTED_FIXED_BASELINE	rule <k> Subscript(dictV(KS:ValSeq, VS:ValSeq), K:Val) => applyIndexD(dictV(KS, VS), K) ... </k> [priority(45)]
K0430	trusted-supplied-semantics	reference-semantics/semantics/float.k	66	66	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> Call(Attribute(Name(""math""), ""ceil""), (E:Expr, .Exprs)) => E ~> #mathCeil ... </k> [priority(40)]"
K0433	trusted-supplied-semantics	reference-semantics/semantics/float.k	71	71	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> Call(Attribute(Name(""math""), ""floor""), (E:Expr, .Exprs)) => E ~> #mathFloor ... </k> [priority(40)]"
K0441	trusted-supplied-semantics	reference-semantics/semantics/float.k	83	83	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> Call(Attribute(Name(""math""), ""pow""), (E1:Expr, E2:Expr, .Exprs)) => E1 ~> #mathPow1(E2) ... </k> [priority(40)]"
K0545	trusted-supplied-semantics	reference-semantics/semantics/float.k	233	233	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> Call(Attribute(Name(""math""), ""sqrt""), (E:Expr, .Exprs)) => E ~> #mathSqrt ... </k> [priority(40)]"
K0579	trusted-supplied-semantics	reference-semantics/semantics/functions.k	68	75	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #bindP((P:String, PS:ParamNames), (V:Val, VS:Vals)) => #cellW({M[P]}:>Val, V) ~> #bindP(PS, VS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires ""$cells"" in_keys(M) andBool pnMember(P, cellsOf({M[""$cells""]}:>Val)) andBool P in_keys(M) andBool isCellRef({M[P]}:>Val) [priority(40)]"
K0609	trusted-supplied-semantics	reference-semantics/semantics/list.k	24	25	rule	priority(45)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> BinOp(""+"", list(A:ValSeq), list(B:ValSeq)) => #alloc(list(valSeqConcat(A, B))) ... </k> [priority(45)]"
K0624	trusted-supplied-semantics	reference-semantics/semantics/list.k	53	55	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #applyK(toCall(boundMethodV(ref(H:Int), ""append"")), (V:Val, .Vals)) => noneV ... </k> <heap> ... H |-> list(VS:ValSeq => valSeqConcat(VS, vCons(V, .ValSeq))) ... </heap> [priority(40)]"
K0671	trusted-supplied-semantics	reference-semantics/semantics/methods.k	72	74	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #applyK(toCall(boundMethodV(str(CS:IntSeq), ""split"")), .Vals) => #alloc(list(splitWS(CS, .IntSeq, .ValSeq))) ... </k> [priority(40)]"
K0681	trusted-supplied-semantics	reference-semantics/semantics/methods.k	89	91	rule	priority(39)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #applyK(toCall(boundMethodV(str(CS:IntSeq), ""split"")), (kwV(""sep"", str(S:IntSeq)), .Vals)) => #applyK(toCall(boundMethodV(str(CS), ""split"")), (str(S), .Vals)) ... </k> [priority(39)]"
K0682	trusted-supplied-semantics	reference-semantics/semantics/methods.k	94	96	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #applyK(toCall(boundMethodV(str(CS:IntSeq), ""split"")), (str(iCons(SEP:Int, .IntSeq)), .Vals)) => #alloc(list(splitSep(CS, SEP, .IntSeq))) ... </k> [priority(40)]"
K0742	trusted-supplied-semantics	reference-semantics/semantics/operators.k	25	27	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> BinOp(OP:String, ref(H:Int), R:Expr) => BinOp(OP, V, R) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0743	trusted-supplied-semantics	reference-semantics/semantics/operators.k	28	31	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> BinOp(OP:String, L:Val, ref(H:Int)) => BinOp(OP, L, V) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(L) [priority(40)]
K0744	trusted-supplied-semantics	reference-semantics/semantics/operators.k	34	37	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> Compare(ref(H:Int), CmpOp(OP:String, R:Expr)) => Compare(V, CmpOp(OP, R)) ... </k> <heap> ... H |-> V:Val ... </heap> requires OP =/=String ""in"" andBool OP =/=String ""not in"" [priority(40)]"
K0745	trusted-supplied-semantics	reference-semantics/semantics/operators.k	38	42	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> Compare(L:Val, CmpOp(OP:String, ref(H:Int))) => Compare(L, CmpOp(OP, V)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(L) orBool OP ==String ""in"" orBool OP ==String ""not in"" [priority(40)]"
K0746	trusted-supplied-semantics	reference-semantics/semantics/operators.k	44	47	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> UnaryOp(OP:String, ref(H:Int)) => UnaryOp(OP, V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule
K0786	trusted-supplied-semantics	reference-semantics/semantics/sort.k	40	42	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #applyK(toCall(boundMethodV(ref(H:Int), ""sort"")), .Vals) => noneV ... </k> <heap> ... H |-> list(VS:ValSeq => sortVS(VS)) ... </heap> [priority(40)]"
K0842	trusted-supplied-semantics	reference-semantics/semantics/subscript.k	31	33	rule	priority(40)	unused	ACCEPTED_FIXED_BASELINE	rule <k> Subscript(ref(H:Int), IX:Index) => Subscript(V, IX) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0856	trusted-supplied-semantics	reference-semantics/semantics/subscript.k	58	60	rule	priority(45)	unused	ACCEPTED_FIXED_BASELINE	rule <k> ST:OptInt ~> #slStep(list(VS:ValSeq), LO:OptInt, HI:OptInt) => #alloc(doSlice(list(VS), LO, HI, ST)) ... </k> [priority(45)]
K0919	trusted-supplied-semantics	reference-semantics/semantics/tuple.k	35	41	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	"rule <k> #bindTgt(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]"
K0922	trusted-supplied-semantics	reference-semantics/semantics/tuple.k	44	46	rule	priority(40)	unused	ACCEPTED_FIXED_BASELINE	rule <k> #bindTgt(TupleExpr(TS:Exprs), ref(H:Int)) => #bindTgt(TupleExpr(TS), V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0926	trusted-supplied-semantics	reference-semantics/semantics/tuple.k	52	54	rule	priority(40)	candidate-path	ACCEPTED_FIXED_BASELINE	rule <k> Assign(TupleExpr(TS:Exprs), ref(H:Int)) => Assign(TupleExpr(TS), V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
--- OUTPUT END ---
EXIT_STATUS: 0
