file	line	kind	attributes	disposition	reason	head
reference-semantics/semantics/builtins.k	41	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
reference-semantics/semantics/builtins.k	44	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
reference-semantics/semantics/builtins.k	48	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	49	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	50	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
reference-semantics/semantics/builtins.k	55	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule intOf(I:Int) => I
reference-semantics/semantics/builtins.k	56	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
reference-semantics/semantics/builtins.k	60	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	61	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	62	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
reference-semantics/semantics/builtins.k	64	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
reference-semantics/semantics/builtins.k	68	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	69	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	70	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
reference-semantics/semantics/builtins.k	72	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
reference-semantics/semantics/builtins.k	77	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	78	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
reference-semantics/semantics/builtins.k	80	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	81	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	82	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
reference-semantics/semantics/builtins.k	87	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	88	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
reference-semantics/semantics/builtins.k	90	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	91	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	92	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
reference-semantics/semantics/builtins.k	98	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
reference-semantics/semantics/builtins.k	99	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule maxVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k	100	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	103	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
reference-semantics/semantics/builtins.k	104	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule minVals(M:Int, .Vals) => M
reference-semantics/semantics/builtins.k	105	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
reference-semantics/semantics/builtins.k	108	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
reference-semantics/semantics/builtins.k	111	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
reference-semantics/semantics/builtins.k	115	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	116	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	118	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	119	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
reference-semantics/semantics/builtins.k	124	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
reference-semantics/semantics/builtins.k	127	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	128	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1)) // ==== map(str, xs) — eager (only the str case is in the subset) =============
reference-semantics/semantics/builtins.k	132	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
reference-semantics/semantics/builtins.k	135	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	136	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	137	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R)) // ==== int(x) identities (int(round(x)) composes through) ====================
reference-semantics/semantics/builtins.k	140	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("int", I:Int, .Vals) => I // ==== ord / chr ===========================================================
reference-semantics/semantics/builtins.k	143	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
reference-semantics/semantics/builtins.k	144	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
reference-semantics/semantics/builtins.k	148	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
reference-semantics/semantics/builtins.k	149	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS) // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value =====
reference-semantics/semantics/builtins.k	152	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
reference-semantics/semantics/builtins.k	156	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
reference-semantics/semantics/builtins.k	159	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule intDigAcc(.IntSeq, ACC:Int) => ACC
reference-semantics/semantics/builtins.k	160	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48)) // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
reference-semantics/semantics/builtins.k	163	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
reference-semantics/semantics/builtins.k	164	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B) // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)
reference-semantics/semantics/builtins.k	167	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	169	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	170	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	171	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	173	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	174	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k> // ==== range(stop) / range(start, stop) / range(start, stop, step) =========
reference-semantics/semantics/builtins.k	177	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
reference-semantics/semantics/builtins.k	178	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
reference-semantics/semantics/builtins.k	179	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
reference-semantics/semantics/builtins.k	187	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
reference-semantics/semantics/builtins.k	189	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
reference-semantics/semantics/builtins.k	195	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
reference-semantics/semantics/builtins.k	197	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule evHead42(iCons(42, _:IntSeq)) => true
reference-semantics/semantics/builtins.k	198	rule	owise	SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule evHead42(_:IntSeq) => false [owise]
reference-semantics/semantics/builtins.k	200	rule		SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule evHead47(iCons(47, _:IntSeq)) => true
reference-semantics/semantics/builtins.k	201	rule	owise	SUPPLIED_BASELINE_TARGET_PATH	byte-identical launcher-selected semantics; used-rule mapping and trust primitives reviewed in REVIEW.md; no candidate modification	rule evHead47(_:IntSeq) => false [owise]
