COMMAND: python3 /audit-output/evidence/stage5_inventory.py
path	line	kind	attributes	disposition	declaration_or_rule
semantics/bool.k	35	rule	priority	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
semantics/bool.k	39	rule	priority	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
semantics/bool.k	43	rule	priority	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
semantics/bool.k	47	endmodule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	endmodule
semantics/builtins.k	3	module	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	module MPY-BUILTINS
semantics/builtins.k	4	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-CORE
semantics/builtins.k	5	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-STR
semantics/builtins.k	6	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-SET
semantics/builtins.k	7	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-ITER
semantics/builtins.k	8	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-RANGE
semantics/builtins.k	9	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-INT
semantics/builtins.k	10	imports	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	imports MPY-METHODS  // the builtins REGISTRY is core.k's builtinsScope (the -1 frame); names resolve by lookup  // Call routing + argument evaluation live in call.k, which also routes the fold // builtins (sum/all/any/max/min) to the #_Acc folds below and everything else to // applyBuiltin. This module owns applyBuiltin + the fold implementations.
semantics/builtins.k	17	syntax	function	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax Val ::= applyBuiltin(String, Vals) [function]  // ==== len(obj) — O(1) per kind ============================================
semantics/builtins.k	20	syntax	function	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax Int ::= seqLen(Val) [function]
semantics/builtins.k	21	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
semantics/builtins.k	22	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
semantics/builtins.k	23	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
semantics/builtins.k	24	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
semantics/builtins.k	25	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
semantics/builtins.k	26	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)  // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
semantics/builtins.k	32	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
semantics/builtins.k	33	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
semantics/builtins.k	34	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
semantics/builtins.k	35	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
semantics/builtins.k	36	syntax	function,total	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax ValSeq ::= charsOf(IntSeq) [function, total]
semantics/builtins.k	37	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule charsOf(.IntSeq)                => .ValSeq
semantics/builtins.k	38	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))  // ==== set(str) — distinct character codes =================================
semantics/builtins.k	41	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))  // ==== abs(int) ============================================================
semantics/builtins.k	44	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)  // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
semantics/builtins.k	47	syntax	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
semantics/builtins.k	48	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
semantics/builtins.k	49	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
semantics/builtins.k	50	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
semantics/builtins.k	54	syntax	function	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax Int ::= intOf(Val) [function]
semantics/builtins.k	55	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule intOf(I:Int)  => I
semantics/builtins.k	56	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi  // ==== all / any (short-circuiting #iterNext folds) ========================
semantics/builtins.k	59	syntax	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax KItem ::= #allAcc(Iterable) | "#allCont"
semantics/builtins.k	60	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
semantics/builtins.k	61	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterDone ~> #allCont => true ... </k>
semantics/builtins.k	62	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
semantics/builtins.k	64	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
semantics/builtins.k	67	syntax	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
semantics/builtins.k	68	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
semantics/builtins.k	69	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterDone ~> #anyCont => false ... </k>
semantics/builtins.k	70	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
semantics/builtins.k	72	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)  // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
semantics/builtins.k	76	syntax	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
semantics/builtins.k	77	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
semantics/builtins.k	78	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
semantics/builtins.k	80	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
semantics/builtins.k	81	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
semantics/builtins.k	82	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
semantics/builtins.k	86	syntax	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
semantics/builtins.k	87	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
semantics/builtins.k	88	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
semantics/builtins.k	90	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
semantics/builtins.k	91	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
semantics/builtins.k	92	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)  // ==== variadic max / min (a Vals fold) ====================================
semantics/builtins.k	97	syntax	function	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax Int ::= maxVals(Int, Vals) [function]
semantics/builtins.k	98	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
semantics/builtins.k	99	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule maxVals(M:Int, .Vals)           => M
semantics/builtins.k	100	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
semantics/builtins.k	102	syntax	function	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax Int ::= minVals(Int, Vals) [function]
semantics/builtins.k	103	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
semantics/builtins.k	104	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule minVals(M:Int, .Vals)           => M
semantics/builtins.k	105	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)  // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
semantics/builtins.k	108	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits
semantics/builtins.k	111	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
semantics/builtins.k	114	syntax	function,total	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax IntSeq ::= binCodes(Int) [function, total]
semantics/builtins.k	115	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule binCodes(0) => iCons(48, .IntSeq)
semantics/builtins.k	116	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
semantics/builtins.k	117	syntax	function,total	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
semantics/builtins.k	118	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule binAcc(0, ACC:IntSeq) => ACC
semantics/builtins.k	119	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0  // ==== enumerate(xs) — pairs (i, v); materialized eagerly over a list =========
semantics/builtins.k	124	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
semantics/builtins.k	126	syntax	function,total	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
semantics/builtins.k	127	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule enumVS(.ValSeq, _:Int) => .ValSeq
semantics/builtins.k	128	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))  // ==== map(str, xs) — eager (only the str case is in the subset) =============
semantics/builtins.k	132	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
semantics/builtins.k	134	syntax	function,total	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
semantics/builtins.k	135	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule mapStrVS(.ValSeq) => .ValSeq
semantics/builtins.k	136	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
semantics/builtins.k	137	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))  // ==== int(x) identities (int(round(x)) composes through) ====================
semantics/builtins.k	140	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("int", I:Int, .Vals) => I  // ==== ord / chr ===========================================================
semantics/builtins.k	143	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
semantics/builtins.k	144	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128  // ==== str(int) / str(str) =================================================
semantics/builtins.k	148	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
semantics/builtins.k	149	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)  // ==== int(str) — a single digit char ('0'..'9', code 48..57) to its value =====
semantics/builtins.k	152	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57  // ==== int(str) — a multi-digit non-negative numeral (Horner fold; the single-char rule covers len 1)
semantics/builtins.k	156	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
semantics/builtins.k	158	syntax	function,total	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
semantics/builtins.k	159	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
semantics/builtins.k	160	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))  // ==== zip(a, b) — parallel iterable of pairs, truncating to the shorter =====
semantics/builtins.k	163	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
semantics/builtins.k	164	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)  // zip's iterator-protocol cases (zip is created here, so its #iterNext lives here)
semantics/builtins.k	167	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
semantics/builtins.k	169	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
semantics/builtins.k	170	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
semantics/builtins.k	171	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
semantics/builtins.k	173	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
semantics/builtins.k	174	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>  // ==== range(stop) / range(start, stop) / range(start, stop, step) =========
semantics/builtins.k	177	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
semantics/builtins.k	178	rule	-	FIXED_UNUSED_NO_SUBMITTED_PROGRAM_PATH	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
