id	file	lines	kind	source_class	semantic_class	attributes	declaration
K0078	reference-semantics/semantics/builtins.k	17-17	syntax	trusted-supplied	syntax	function	syntax Val ::= applyBuiltin(String, Vals) [function]
K0079	reference-semantics/semantics/builtins.k	20-20	syntax	trusted-supplied	syntax	function	syntax Int ::= seqLen(Val) [function]
K0080	reference-semantics/semantics/builtins.k	21-21	rule	trusted-supplied	equational-rule		rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
K0081	reference-semantics/semantics/builtins.k	22-22	rule	trusted-supplied	equational-rule		rule seqLen(list(VS:ValSeq)) => vsLen(VS)
K0082	reference-semantics/semantics/builtins.k	23-23	rule	trusted-supplied	equational-rule		rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
K0083	reference-semantics/semantics/builtins.k	24-24	rule	trusted-supplied	equational-rule		rule seqLen(str(IS:IntSeq)) => isLen(IS)
K0084	reference-semantics/semantics/builtins.k	25-25	rule	trusted-supplied	equational-rule		rule seqLen(setV(DS:IntSeq)) => isLen(DS)
K0085	reference-semantics/semantics/builtins.k	26-26	rule	trusted-supplied	equational-rule		rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K0086	reference-semantics/semantics/builtins.k	32-32	rule	trusted-supplied	operational-rule		rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0087	reference-semantics/semantics/builtins.k	33-33	rule	trusted-supplied	operational-rule		rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0088	reference-semantics/semantics/builtins.k	34-34	rule	trusted-supplied	operational-rule		rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
K0089	reference-semantics/semantics/builtins.k	35-35	rule	trusted-supplied	operational-rule		rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
K0090	reference-semantics/semantics/builtins.k	36-36	syntax	trusted-supplied	syntax	function, total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0091	reference-semantics/semantics/builtins.k	37-37	rule	trusted-supplied	equational-rule		rule charsOf(.IntSeq) => .ValSeq
K0092	reference-semantics/semantics/builtins.k	38-38	rule	trusted-supplied	equational-rule		rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K0093	reference-semantics/semantics/builtins.k	41-41	rule	trusted-supplied	equational-rule		rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
K0094	reference-semantics/semantics/builtins.k	44-44	rule	trusted-supplied	equational-rule		rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
K0095	reference-semantics/semantics/builtins.k	47-47	syntax	trusted-supplied	syntax		syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0096	reference-semantics/semantics/builtins.k	48-48	rule	trusted-supplied	operational-rule		rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0097	reference-semantics/semantics/builtins.k	49-49	rule	trusted-supplied	operational-rule		rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0098	reference-semantics/semantics/builtins.k	50-52	rule	trusted-supplied	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K0099	reference-semantics/semantics/builtins.k	54-54	syntax	trusted-supplied	syntax	function	syntax Int ::= intOf(Val) [function]
K0100	reference-semantics/semantics/builtins.k	55-55	rule	trusted-supplied	equational-rule		rule intOf(I:Int) => I
K0101	reference-semantics/semantics/builtins.k	56-56	rule	trusted-supplied	equational-rule		rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K0102	reference-semantics/semantics/builtins.k	59-59	syntax	trusted-supplied	syntax		syntax KItem ::= #allAcc(Iterable) | "#allCont"
K0103	reference-semantics/semantics/builtins.k	60-60	rule	trusted-supplied	operational-rule		rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0104	reference-semantics/semantics/builtins.k	61-61	rule	trusted-supplied	operational-rule		rule <k> #iterDone ~> #allCont => true ... </k>
K0105	reference-semantics/semantics/builtins.k	62-63	rule	trusted-supplied	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K0106	reference-semantics/semantics/builtins.k	64-65	rule	trusted-supplied	operational-rule		rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K0107	reference-semantics/semantics/builtins.k	67-67	syntax	trusted-supplied	syntax		syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
K0108	reference-semantics/semantics/builtins.k	68-68	rule	trusted-supplied	operational-rule		rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0109	reference-semantics/semantics/builtins.k	69-69	rule	trusted-supplied	operational-rule		rule <k> #iterDone ~> #anyCont => false ... </k>
K0110	reference-semantics/semantics/builtins.k	70-71	rule	trusted-supplied	operational-rule		rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
K0111	reference-semantics/semantics/builtins.k	72-73	rule	trusted-supplied	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
K0112	reference-semantics/semantics/builtins.k	76-76	syntax	trusted-supplied	syntax		syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
K0113	reference-semantics/semantics/builtins.k	77-77	rule	trusted-supplied	operational-rule		rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0114	reference-semantics/semantics/builtins.k	78-79	rule	trusted-supplied	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0115	reference-semantics/semantics/builtins.k	80-80	rule	trusted-supplied	operational-rule		rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0116	reference-semantics/semantics/builtins.k	81-81	rule	trusted-supplied	operational-rule		rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K0117	reference-semantics/semantics/builtins.k	82-84	rule	trusted-supplied	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0118	reference-semantics/semantics/builtins.k	86-86	syntax	trusted-supplied	syntax		syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
K0119	reference-semantics/semantics/builtins.k	87-87	rule	trusted-supplied	operational-rule		rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K0120	reference-semantics/semantics/builtins.k	88-89	rule	trusted-supplied	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0121	reference-semantics/semantics/builtins.k	90-90	rule	trusted-supplied	operational-rule		rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K0122	reference-semantics/semantics/builtins.k	91-91	rule	trusted-supplied	operational-rule		rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K0123	reference-semantics/semantics/builtins.k	92-94	rule	trusted-supplied	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0124	reference-semantics/semantics/builtins.k	97-97	syntax	trusted-supplied	syntax	function	syntax Int ::= maxVals(Int, Vals) [function]
K0125	reference-semantics/semantics/builtins.k	98-98	rule	trusted-supplied	equational-rule		rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
K0126	reference-semantics/semantics/builtins.k	99-99	rule	trusted-supplied	equational-rule		rule maxVals(M:Int, .Vals) => M
K0127	reference-semantics/semantics/builtins.k	100-100	rule	trusted-supplied	equational-rule		rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K0128	reference-semantics/semantics/builtins.k	102-102	syntax	trusted-supplied	syntax	function	syntax Int ::= minVals(Int, Vals) [function]
K0129	reference-semantics/semantics/builtins.k	103-103	rule	trusted-supplied	equational-rule		rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
K0130	reference-semantics/semantics/builtins.k	104-104	rule	trusted-supplied	equational-rule		rule minVals(M:Int, .Vals) => M
K0131	reference-semantics/semantics/builtins.k	105-105	rule	trusted-supplied	equational-rule		rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
K0132	reference-semantics/semantics/builtins.k	108-109	rule	trusted-supplied	equational-rule		rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
K0133	reference-semantics/semantics/builtins.k	111-113	rule	trusted-supplied	equational-rule		rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
K0134	reference-semantics/semantics/builtins.k	114-114	syntax	trusted-supplied	syntax	function, total	syntax IntSeq ::= binCodes(Int) [function, total]
K0135	reference-semantics/semantics/builtins.k	115-115	rule	trusted-supplied	equational-rule		rule binCodes(0) => iCons(48, .IntSeq)
K0136	reference-semantics/semantics/builtins.k	116-116	rule	trusted-supplied	equational-rule		rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K0137	reference-semantics/semantics/builtins.k	117-117	syntax	trusted-supplied	syntax	function, total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K0138	reference-semantics/semantics/builtins.k	118-118	rule	trusted-supplied	equational-rule		rule binAcc(0, ACC:IntSeq) => ACC
K0139	reference-semantics/semantics/builtins.k	119-121	rule	trusted-supplied	equational-rule		rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
K0140	reference-semantics/semantics/builtins.k	124-125	rule	trusted-supplied	operational-rule		rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
K0141	reference-semantics/semantics/builtins.k	126-126	syntax	trusted-supplied	syntax	function, total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K0142	reference-semantics/semantics/builtins.k	127-127	rule	trusted-supplied	equational-rule		rule enumVS(.ValSeq, _:Int) => .ValSeq
K0143	reference-semantics/semantics/builtins.k	128-129	rule	trusted-supplied	equational-rule		rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
K0144	reference-semantics/semantics/builtins.k	132-133	rule	trusted-supplied	operational-rule		rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
K0145	reference-semantics/semantics/builtins.k	134-134	syntax	trusted-supplied	syntax	function, total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K0146	reference-semantics/semantics/builtins.k	135-135	rule	trusted-supplied	equational-rule		rule mapStrVS(.ValSeq) => .ValSeq
K0147	reference-semantics/semantics/builtins.k	136-136	rule	trusted-supplied	equational-rule		rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K0148	reference-semantics/semantics/builtins.k	137-137	rule	trusted-supplied	equational-rule		rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
K0149	reference-semantics/semantics/builtins.k	140-140	rule	trusted-supplied	equational-rule		rule applyBuiltin("int", I:Int, .Vals) => I
K0150	reference-semantics/semantics/builtins.k	143-143	rule	trusted-supplied	equational-rule		rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
K0151	reference-semantics/semantics/builtins.k	144-145	rule	trusted-supplied	equational-rule		rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
K0152	reference-semantics/semantics/builtins.k	148-148	rule	trusted-supplied	equational-rule		rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
K0153	reference-semantics/semantics/builtins.k	149-149	rule	trusted-supplied	equational-rule		rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
K0154	reference-semantics/semantics/builtins.k	152-153	rule	trusted-supplied	equational-rule		rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
K0155	reference-semantics/semantics/builtins.k	156-157	rule	trusted-supplied	equational-rule		rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
K0156	reference-semantics/semantics/builtins.k	158-158	syntax	trusted-supplied	syntax	function, total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
K0157	reference-semantics/semantics/builtins.k	159-159	rule	trusted-supplied	equational-rule		rule intDigAcc(.IntSeq, ACC:Int) => ACC
K0158	reference-semantics/semantics/builtins.k	160-160	rule	trusted-supplied	equational-rule		rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
K0159	reference-semantics/semantics/builtins.k	163-163	rule	trusted-supplied	equational-rule		rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
K0160	reference-semantics/semantics/builtins.k	164-164	rule	trusted-supplied	equational-rule		rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)
K0161	reference-semantics/semantics/builtins.k	167-168	rule	trusted-supplied	operational-rule		rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
K0162	reference-semantics/semantics/builtins.k	169-169	rule	trusted-supplied	operational-rule		rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
K0163	reference-semantics/semantics/builtins.k	170-170	rule	trusted-supplied	operational-rule		rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
K0164	reference-semantics/semantics/builtins.k	171-172	rule	trusted-supplied	operational-rule		rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
K0165	reference-semantics/semantics/builtins.k	173-173	rule	trusted-supplied	operational-rule		rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
K0166	reference-semantics/semantics/builtins.k	174-174	rule	trusted-supplied	operational-rule		rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
K0167	reference-semantics/semantics/builtins.k	177-177	rule	trusted-supplied	equational-rule		rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
K0168	reference-semantics/semantics/builtins.k	178-178	rule	trusted-supplied	equational-rule		rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
K0169	reference-semantics/semantics/builtins.k	179-180	rule	trusted-supplied	equational-rule		rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0
K0170	reference-semantics/semantics/builtins.k	187-187	rule	trusted-supplied	equational-rule		rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
K0171	reference-semantics/semantics/builtins.k	188-188	syntax	trusted-supplied	syntax	function	syntax Int ::= evalArith(IntSeq) [function]
K0172	reference-semantics/semantics/builtins.k	189-190	rule	trusted-supplied	equational-rule		rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
K0173	reference-semantics/semantics/builtins.k	192-192	syntax	trusted-supplied	syntax		syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
K0174	reference-semantics/semantics/builtins.k	194-194	syntax	trusted-supplied	syntax	function, total	syntax Bool ::= evDigit(Int) [function, total]
K0175	reference-semantics/semantics/builtins.k	195-195	rule	trusted-supplied	equational-rule		rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
K0176	reference-semantics/semantics/builtins.k	196-196	syntax	trusted-supplied	syntax	function, total	syntax Bool ::= evHead42(IntSeq) [function, total]
K0177	reference-semantics/semantics/builtins.k	197-197	rule	trusted-supplied	equational-rule		rule evHead42(iCons(42, _:IntSeq)) => true
K0178	reference-semantics/semantics/builtins.k	198-198	rule	trusted-supplied	equational-rule	owise	rule evHead42(_:IntSeq) => false [owise]
K0179	reference-semantics/semantics/builtins.k	199-199	syntax	trusted-supplied	syntax	function, total	syntax Bool ::= evHead47(IntSeq) [function, total]
K0180	reference-semantics/semantics/builtins.k	200-200	rule	trusted-supplied	equational-rule		rule evHead47(iCons(47, _:IntSeq)) => true
K0181	reference-semantics/semantics/builtins.k	201-201	rule	trusted-supplied	equational-rule	owise	rule evHead47(_:IntSeq) => false [owise]
K0182	reference-semantics/semantics/builtins.k	203-203	syntax	trusted-supplied	syntax	function, total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
K0183	reference-semantics/semantics/builtins.k	204-204	rule	trusted-supplied	equational-rule		rule tokOps(.IntSeq) => .OpSeq
K0184	reference-semantics/semantics/builtins.k	205-205	rule	trusted-supplied	equational-rule		rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
K0185	reference-semantics/semantics/builtins.k	206-206	rule	trusted-supplied	equational-rule		rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
K0186	reference-semantics/semantics/builtins.k	207-207	rule	trusted-supplied	equational-rule		rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
K0187	reference-semantics/semantics/builtins.k	208-208	rule	trusted-supplied	equational-rule		rule tokOps(iCons(42, R:IntSeq)) => oCons("*", tokOps(R)) requires notBool evHead42(R)
