Script started on 2026-07-29 05:51:36-05:00 [<not executed on terminal>]
source_file_count=26
record_count=1109
kind_counts={'claim': 3, 'configuration': 1, 'context': 5, 'endmodule': 27, 'imports': 88, 'module': 27, 'requires': 25, 'rule': 702, 'syntax': 231}
decision_counts={'CLAIM_MANUAL_REVIEW': 7, 'FIXED_RELEVANT_REVIEWED': 300, 'FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE': 787, 'PROOF_LOCAL_MANUAL_REVIEW': 15}
attribute_counts={'concrete': 36, 'function': 148, 'macro': 6, 'no-evaluators': 22, 'owise': 26, 'priority': 45, 'seqstrict': 1, 'simplification': 1, 'strict': 2, 'symbol': 25, 'total': 109}
id	path:line	kind	attributes	decision	declaration
0054	reference-semantics/semantics/assert.k:8	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
0055	reference-semantics/semantics/assert.k:13	rule	priority	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
0056	reference-semantics/semantics/assert.k:16	endmodule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	endmodule
0057	reference-semantics/semantics/bool.k:5	module	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	module MPY-BOOL
0058	reference-semantics/semantics/bool.k:6	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-CORE
0059	reference-semantics/semantics/bool.k:8	rule	-	FIXED_RELEVANT_REVIEWED	rule applyUn("not", V:Val) => notBool truthy(V)
0060	reference-semantics/semantics/bool.k:10	rule	-	FIXED_RELEVANT_REVIEWED	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
0061	reference-semantics/semantics/bool.k:11	rule	-	FIXED_RELEVANT_REVIEWED	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
0062	reference-semantics/semantics/bool.k:16	context	-	FIXED_RELEVANT_REVIEWED	context BoolOp(_, (HOLE:Expr, _:Exprs))
0063	reference-semantics/semantics/bool.k:17	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
0064	reference-semantics/semantics/bool.k:18	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
0065	reference-semantics/semantics/bool.k:20	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
0066	reference-semantics/semantics/bool.k:22	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
0067	reference-semantics/semantics/bool.k:24	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
0068	reference-semantics/semantics/bool.k:29	rule	priority	FIXED_RELEVANT_REVIEWED	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
0069	reference-semantics/semantics/bool.k:31	rule	priority	FIXED_RELEVANT_REVIEWED	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
0070	reference-semantics/semantics/bool.k:35	rule	priority	FIXED_RELEVANT_REVIEWED	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
0071	reference-semantics/semantics/bool.k:39	rule	priority	FIXED_RELEVANT_REVIEWED	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
0072	reference-semantics/semantics/bool.k:43	rule	priority	FIXED_RELEVANT_REVIEWED	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
0073	reference-semantics/semantics/bool.k:47	endmodule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	endmodule
0074	reference-semantics/semantics/builtins.k:3	module	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	module MPY-BUILTINS
0075	reference-semantics/semantics/builtins.k:4	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-CORE
0076	reference-semantics/semantics/builtins.k:5	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-STR
0077	reference-semantics/semantics/builtins.k:6	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-SET
0078	reference-semantics/semantics/builtins.k:7	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-ITER
0079	reference-semantics/semantics/builtins.k:8	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-RANGE
0080	reference-semantics/semantics/builtins.k:9	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-INT
0081	reference-semantics/semantics/builtins.k:10	imports	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	imports MPY-METHODS
0082	reference-semantics/semantics/builtins.k:17	syntax	function	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax Val ::= applyBuiltin(String, Vals) [function]
0083	reference-semantics/semantics/builtins.k:20	syntax	function	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax Int ::= seqLen(Val) [function]
0084	reference-semantics/semantics/builtins.k:21	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
0085	reference-semantics/semantics/builtins.k:22	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
0086	reference-semantics/semantics/builtins.k:23	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
0087	reference-semantics/semantics/builtins.k:24	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
0088	reference-semantics/semantics/builtins.k:25	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
0089	reference-semantics/semantics/builtins.k:26	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
0090	reference-semantics/semantics/builtins.k:32	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
0091	reference-semantics/semantics/builtins.k:33	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
0092	reference-semantics/semantics/builtins.k:34	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
0093	reference-semantics/semantics/builtins.k:35	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
0094	reference-semantics/semantics/builtins.k:36	syntax	function,total	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax ValSeq ::= charsOf(IntSeq) [function, total]
0095	reference-semantics/semantics/builtins.k:37	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule charsOf(.IntSeq)                => .ValSeq
0096	reference-semantics/semantics/builtins.k:38	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
0097	reference-semantics/semantics/builtins.k:41	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
0098	reference-semantics/semantics/builtins.k:44	rule	-	FIXED_RELEVANT_REVIEWED	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
0099	reference-semantics/semantics/builtins.k:47	syntax	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
0100	reference-semantics/semantics/builtins.k:48	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
0101	reference-semantics/semantics/builtins.k:49	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
0102	reference-semantics/semantics/builtins.k:50	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
0103	reference-semantics/semantics/builtins.k:54	syntax	function	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax Int ::= intOf(Val) [function]
0104	reference-semantics/semantics/builtins.k:55	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule intOf(I:Int)  => I
0105	reference-semantics/semantics/builtins.k:56	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
0106	reference-semantics/semantics/builtins.k:59	syntax	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax KItem ::= #allAcc(Iterable) | "#allCont"
0107	reference-semantics/semantics/builtins.k:60	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
0108	reference-semantics/semantics/builtins.k:61	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterDone ~> #allCont => true ... </k>
0109	reference-semantics/semantics/builtins.k:62	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
0110	reference-semantics/semantics/builtins.k:64	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
0111	reference-semantics/semantics/builtins.k:67	syntax	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
0112	reference-semantics/semantics/builtins.k:68	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
0113	reference-semantics/semantics/builtins.k:69	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterDone ~> #anyCont => false ... </k>
0114	reference-semantics/semantics/builtins.k:70	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
0115	reference-semantics/semantics/builtins.k:72	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
0116	reference-semantics/semantics/builtins.k:76	syntax	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
0117	reference-semantics/semantics/builtins.k:77	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
0118	reference-semantics/semantics/builtins.k:78	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
0119	reference-semantics/semantics/builtins.k:80	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
0120	reference-semantics/semantics/builtins.k:81	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
0121	reference-semantics/semantics/builtins.k:82	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
0122	reference-semantics/semantics/builtins.k:86	syntax	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
0123	reference-semantics/semantics/builtins.k:87	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
0124	reference-semantics/semantics/builtins.k:88	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
0125	reference-semantics/semantics/builtins.k:90	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
0126	reference-semantics/semantics/builtins.k:91	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
0127	reference-semantics/semantics/builtins.k:92	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
0128	reference-semantics/semantics/builtins.k:97	syntax	function	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax Int ::= maxVals(Int, Vals) [function]
0129	reference-semantics/semantics/builtins.k:98	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
0130	reference-semantics/semantics/builtins.k:99	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule maxVals(M:Int, .Vals)           => M
0131	reference-semantics/semantics/builtins.k:100	rule	-	FIXED_RELEVANT_REVIEWED	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
0132	reference-semantics/semantics/builtins.k:102	syntax	function	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax Int ::= minVals(Int, Vals) [function]
0133	reference-semantics/semantics/builtins.k:103	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
0134	reference-semantics/semantics/builtins.k:104	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule minVals(M:Int, .Vals)           => M
0135	reference-semantics/semantics/builtins.k:105	rule	-	FIXED_RELEVANT_REVIEWED	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
0136	reference-semantics/semantics/builtins.k:108	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
0137	reference-semantics/semantics/builtins.k:111	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
0138	reference-semantics/semantics/builtins.k:114	syntax	function,total	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax IntSeq ::= binCodes(Int) [function, total]
0139	reference-semantics/semantics/builtins.k:115	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule binCodes(0) => iCons(48, .IntSeq)
0140	reference-semantics/semantics/builtins.k:116	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
0141	reference-semantics/semantics/builtins.k:117	syntax	function,total	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
0142	reference-semantics/semantics/builtins.k:118	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule binAcc(0, ACC:IntSeq) => ACC
0143	reference-semantics/semantics/builtins.k:119	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
0144	reference-semantics/semantics/builtins.k:124	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
0145	reference-semantics/semantics/builtins.k:126	syntax	function,total	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
0146	reference-semantics/semantics/builtins.k:127	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule enumVS(.ValSeq, _:Int) => .ValSeq
0147	reference-semantics/semantics/builtins.k:128	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
0148	reference-semantics/semantics/builtins.k:132	rule	-	FIXED_RELEVANT_REVIEWED	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
0149	reference-semantics/semantics/builtins.k:134	syntax	function,total	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
0150	reference-semantics/semantics/builtins.k:135	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule mapStrVS(.ValSeq) => .ValSeq
0151	reference-semantics/semantics/builtins.k:136	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
0152	reference-semantics/semantics/builtins.k:137	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
0153	reference-semantics/semantics/builtins.k:140	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule applyBuiltin("int", I:Int, .Vals) => I
0154	reference-semantics/semantics/builtins.k:143	rule	-	FIXED_UNUSED_OUTSIDE_DEPENDENCY_SLICE	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
