scope	file	line	kind	flags	sha256	statement
supplied	/reference/reference-semantics/semantics/bool.k	58	endmodule		4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4	endmodule
supplied	/reference/reference-semantics/semantics/builtins.k	3	module		714fcf7fc40ffcebec2a866bfc219f118a9bee4b47e2010874ca09a12c64884b	module MPY-BUILTINS
supplied	/reference/reference-semantics/semantics/builtins.k	4	imports		4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
supplied	/reference/reference-semantics/semantics/builtins.k	5	imports		1c022ad4e0c945f696aa1f9d78eb4c3caf78ef9d9b46ae55d6fd081ff4264877	imports MPY-STR
supplied	/reference/reference-semantics/semantics/builtins.k	6	imports		783147658ae89d8dfd5db1f7498e1994e2d82a87dc70c399891ee2e62d7aa7b6	imports MPY-SET
supplied	/reference/reference-semantics/semantics/builtins.k	7	imports		8ad41781e06e91093b117ccd78f6f10180a840cf3b4adaa62547edd340b26acc	imports MPY-ITER
supplied	/reference/reference-semantics/semantics/builtins.k	8	imports		548212ddc441d76983863c9d3376f95c8022ee76d1dcf98dbe9e839a912f1323	imports MPY-RANGE
supplied	/reference/reference-semantics/semantics/builtins.k	9	imports		6a7df951c212c93cd44f9522a2128bbac2f97c6212765bb6d61d30326317e744	imports MPY-INT
supplied	/reference/reference-semantics/semantics/builtins.k	10	imports		481e0c655538c59ac02d6b5e90bbda8fafe123ef32ea6cc0f4c654f9ca22e0df	imports MPY-METHODS // the builtins REGISTRY is core.k's builtinsScope (the -1 frame); names resolve by lookup // Call routing + argument evaluation live in call.k, which also routes the fold // builtins (sum/all/any/max/min) to the #_Acc folds below and everything else to // applyBuiltin. This module owns applyBuiltin + the fold implementations.
supplied	/reference/reference-semantics/semantics/builtins.k	17	syntax	function	73578867deee2dfcdb98120487124565c315d958566aba476748783911768d8e	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
supplied	/reference/reference-semantics/semantics/builtins.k	20	syntax	function	f6cf3d1713c13dac8d22e5399684f39be014bb52fc407729a141920e9ac6961a	syntax Int ::= seqLen(Val) [function]
supplied	/reference/reference-semantics/semantics/builtins.k	21	rule		4c33466e09a76b7760813815674e6ffbb94166ddb7069d042ef42b3ce95e3265	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
supplied	/reference/reference-semantics/semantics/builtins.k	22	rule		0aaba3d3b63a12047950734de1d7f6d68d726a77712db94d2c7f79f9ee9d9546	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
supplied	/reference/reference-semantics/semantics/builtins.k	23	rule		f5cd3a9a635bc85b291d7c33464d791ed4d02eeec6bc95e77180d1ef1e153748	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
supplied	/reference/reference-semantics/semantics/builtins.k	24	rule		d643ec5ddd399eb71ffb1b400c91340247b2e06423439b55fc984555dfe96583	rule seqLen(str(IS:IntSeq)) => isLen(IS)
supplied	/reference/reference-semantics/semantics/builtins.k	25	rule		fe3adc7a7e150cfcc668226bda4a9a9ff6fc4b01786d0c6f9d7a62c2dfda0bc1	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
supplied	/reference/reference-semantics/semantics/builtins.k	26	rule		66ce929da75b936769c8642e6a1881ab89952847146a3e59bdcd235431f19d90	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
supplied	/reference/reference-semantics/semantics/builtins.k	32	rule		200f6d489286304114b4e127922e5d267a6472b44933e2526b01f03abf54d849	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	33	rule		d4c8072f0224b4363a94ae3ac318b3b18ad05c41f2b433fe526f8d020ae141b5	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	34	rule		0b80f78f2b97822d5ac436de4244defd9d61c478add9ea00843e45329c8953de	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	35	rule		8b7fa386647f39a38debea703feca31b12a6d50ea85d8dc708c95c98f1d29cf8	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	36	syntax	function,total	01aff6eecdd49ca279cb4378e0ba39cf9a5e1da377c6bda52586943e73543839	syntax ValSeq ::= charsOf(IntSeq) [function, total]
supplied	/reference/reference-semantics/semantics/builtins.k	37	rule		b46c475391e590ad418923d8208c753f459b5f2ab076283ed1a0377e31df6588	rule charsOf(.IntSeq) => .ValSeq
supplied	/reference/reference-semantics/semantics/builtins.k	38	rule		5e4a1af2608ee0d41e92cb766af70cd79b78207ac88652a4c1eb65199edc07b6	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
supplied	/reference/reference-semantics/semantics/builtins.k	41	rule		4a4f32b7892007e61b26053d7bc7a349c1fe8aee355d0aaefc4852a3c9d99e8c	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
supplied	/reference/reference-semantics/semantics/builtins.k	44	rule		db3d75b51d53b74c515d9cd60792c23b42f3418ae874263c7925d801326b7695	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
supplied	/reference/reference-semantics/semantics/builtins.k	47	syntax		8faa5250ed2b829b2c57a81708a1e0b4c8fc5683bff408e6fae108fe3ec4e60f	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
supplied	/reference/reference-semantics/semantics/builtins.k	48	rule		cd531bdb9afa464c73c67f8946bbe64957682a3d5dd078d0bf22a556ccc572e6	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	49	rule		74ff8e8be84218b889ef85b902de5efaea860b572c8a5da8306df05a1b3c4947	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	50	rule		1ea66d1c87c6d6c2367b5978e8c39eabd2c37f53f7517b4ff6a7dd95934f21a0	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
supplied	/reference/reference-semantics/semantics/builtins.k	54	syntax	function	0355f95a50a6608682b1c8b9e304799a37a3ed6f4f6f81f8cc0d968f5ff678a4	syntax Int ::= intOf(Val) [function]
supplied	/reference/reference-semantics/semantics/builtins.k	55	rule		619051750e3b8e9f67feace8a633ecf86a9daf0eac32615563f871a0069e9e1c	rule intOf(I:Int) => I
supplied	/reference/reference-semantics/semantics/builtins.k	56	rule		4ab92a36ddc90a69c42fa4f200d975591e697d4b9245712fe827d75e4367ba4d	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
supplied	/reference/reference-semantics/semantics/builtins.k	59	syntax		ed695fa0c4dbae8a1436b754495b020fb468e206c2b6448c21a61316bf0da571	syntax KItem ::= #allAcc(Iterable) | "#allCont"
supplied	/reference/reference-semantics/semantics/builtins.k	60	rule		e7fc3b9b3a8439566a4974be9e36608e65f380fca9cc34bcc9c6b41e522e9c16	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	61	rule		b74e515d3e67d8a52e1d0a061bb0432a2bf1de1b43995cc280a0ee2003d49c36	rule <k> #iterDone ~> #allCont => true ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	62	rule		beb3eb90ee0ff2e9d13f424eb92b4dc8263fba7700c6690beba2d2aafb4299ad	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
supplied	/reference/reference-semantics/semantics/builtins.k	64	rule		942b3c5ca9399a49d2fbd6ab4fa1a405dd4a7cf4516ff56af02970e4f30aa9a1	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
supplied	/reference/reference-semantics/semantics/builtins.k	67	syntax		fbd45cd7894ab0316f890fc61b1b5354b41eabbba062394cbcbf820f53d00eb0	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
supplied	/reference/reference-semantics/semantics/builtins.k	68	rule		ca3f3bc3212a4bde9db710ca67b9ff4f7372092a568008c9e263f36654c478be	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	69	rule		c0ee3d29de0f584789682596e1516d301ee7f3cd73ca05694f3f10b3a978063a	rule <k> #iterDone ~> #anyCont => false ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	70	rule		6d518d4a9ce768d209c77a938fe801e5d4cb6a5bf65b95ed6c13bd7ec71209b5	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
supplied	/reference/reference-semantics/semantics/builtins.k	72	rule		164008b49bd9b7dc3661592aeaabd5fcfef9f1e2581b0ef1e18a4f471adf13e8	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V) // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
supplied	/reference/reference-semantics/semantics/builtins.k	76	syntax		e3461106d962a1af387b25dc9d0efaf45f25429c84e747320080d55a256fe3c6	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
supplied	/reference/reference-semantics/semantics/builtins.k	77	rule		59848da8989bf29361886195ec4d734aee2bb375e15be945b163e8bebe9dc86b	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	78	rule		ea3939e11faecfbdaf2e2a14e81ed6135343d312f3de159e633f02b0fad02cd1	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
supplied	/reference/reference-semantics/semantics/builtins.k	80	rule		66b9fabf71fa1c3cb5935e7c758b7835d42c078229bef95a9d00258c2be25942	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	81	rule		45675f8137ef759c03793ddbc5f29ba0c26e9b63dbb20548eff076acbe7f1e57	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	82	rule		fee6fab3ed0c3bb5c60e6322b9837a3f13ea7f3cf846ea670e1197e10b84ddf1	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
supplied	/reference/reference-semantics/semantics/builtins.k	86	syntax		612c7bdfd2d38320c9120a5ad0911e5880488eb2a92ab68e87ac7a0a9bdcc60d	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
supplied	/reference/reference-semantics/semantics/builtins.k	87	rule		eb6389d2a176f8e9c2eb65f49175e5c400253651be9a571add590da6ce3ba770	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	88	rule		626486127c454c5cc6f3c1fdbae17950f6a96239e28e9d72fdd6322a77112532	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
supplied	/reference/reference-semantics/semantics/builtins.k	90	rule		20c0d7b936a1ae717e1b498c544d3e56d529de8b54a671c87468ea52c0180f02	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	91	rule		3f472924a83dcd925a34d32704d5cb43591b3115643998243b00b590ffd0789e	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	92	rule		099ec482fb123a4bf38cccfcb44eaef4893bf2401df54fa987a71a1066fd7a64	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V) // ---- general Val branch of the max/min folds (v3) ------------------------ // The Int fold above and the Float fold (float.k) cover homogeneous lists; the // remaining CPython-orderable seeds (Bool, str) and every cross-sort step land // here. Ordering reuses the semantics' OWN applyCmp dispatch (int.k; float.k's // exact ltIF/ltFI bridges; bool.k's bool->int promotion; str.k's strLt), so // mixed comparisons stay bit-exact with CPython; a pair applyCmp does not // order (e.g. int vs str) leaves the fold stuck (unmodeled TypeError). // Strict > (resp. <) replacement keeps the FIRST maximal (minimal) element — // CPython's tie rule.
supplied	/reference/reference-semantics/semantics/builtins.k	105	syntax		caa9b362ef32b09d3427bf004bcd56f4341b45533cda0bc8a66797dae6e05be7	syntax KItem ::= #maxAccV(Iterable, Val) | #maxContV(Val)
supplied	/reference/reference-semantics/semantics/builtins.k	106	rule		dbc33f6b02259c84e5c2e4555c10358d37817c20405328ac60c23d78afd5b057	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAccV(R, V) ... </k> requires isBool(V) orBool isStr(V)
supplied	/reference/reference-semantics/semantics/builtins.k	108	rule		99f7280e0871c1d68bf133730050711cc1063a69f73af21e54ef684d33c86854	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #iterYield(V, R) ~> #maxContV(M) ... </k> requires isFloat(V) orBool isBool(V)
supplied	/reference/reference-semantics/semantics/builtins.k	111	rule		d7954ca6c6cca299e5e1f860cbea9b5391584ab28a1feee60082dd81956f178f	rule <k> #maxAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #maxContV(M) ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	112	rule		88186a3d70bcafebf9784a6836a1e8d2adfed6e53809f32b8eccad8e1b20e9a7	rule <k> #iterDone ~> #maxContV(M:Val) => M ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	113	rule		d9c04c5f3eecfd066d57de591a6b5168b65e7ac0826c6a31bfdc9953365bba0c	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, V) ... </k> requires applyCmp(">", V, M)
supplied	/reference/reference-semantics/semantics/builtins.k	115	rule		cbe6fdef42e486f6ee941f66da46be5f84bb8de61a97b253bafbd971ac6e6205	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, M) ... </k> requires notBool applyCmp(">", V, M)
supplied	/reference/reference-semantics/semantics/builtins.k	118	syntax		c8597ef1d044e2373d50ec88bea56dd41b580fad0cfc18ae5d980ca7f3b8f9f5	syntax KItem ::= #minAccV(Iterable, Val) | #minContV(Val)
supplied	/reference/reference-semantics/semantics/builtins.k	119	rule		aa17bc97d84f2a1616e3c51800a079e6d421334d8ff966585b0661e8dcfee99e	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAccV(R, V) ... </k> requires isBool(V) orBool isStr(V)
supplied	/reference/reference-semantics/semantics/builtins.k	121	rule		30aae1893a63a5adb6ec1113537fc651402a2c3fbf020d28305e61eaf65a43b8	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #iterYield(V, R) ~> #minContV(M) ... </k> requires isFloat(V) orBool isBool(V)
supplied	/reference/reference-semantics/semantics/builtins.k	124	rule		90502eded8515928ee62f4725470ccd2bbad70a81a73f764b6e973f9606a00bc	rule <k> #minAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #minContV(M) ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	125	rule		74cef2b0ef084cacb1bcb1e7927d5eb303ed07241ed0296255f39e7a96d74f4b	rule <k> #iterDone ~> #minContV(M:Val) => M ... </k>
supplied	/reference/reference-semantics/semantics/builtins.k	126	rule		fd00cd01fe7178bcc73ef10a13771089a9b4b53c4c02378afe062fdaf1c973b9	rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, V) ... </k> requires applyCmp("<", V, M)
supplied	/reference/reference-semantics/semantics/builtins.k	128	rule		103df8e4b4009c96021fa9bac38d66b2a00014c69f56bf2de36493c32bf2e290	rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, M) ... </k> requires notBool applyCmp("<", V, M) // ==== variadic max / min (a Vals fold) ==================================== // v3: Val operands (mixed int/float/bool, str) via the same applyCmp // dispatch; strict > / < keeps the FIRST maximal/minimal operand (CPython's // tie rule — and exactly the old maxInt/minInt fold on the all-Int domain).
supplied	/reference/reference-semantics/semantics/builtins.k	135	syntax	function	7808606d965de342c2be2ffe7c43ee06842a5e39059afeae656f0552472a3a41	syntax Val ::= maxVals(Val, Vals) [function]
supplied	/reference/reference-semantics/semantics/builtins.k	136	rule		16f482b70cca4e393239fcfc21ef383ea47184220924e70160efcc4f10351c27	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
supplied	/reference/reference-semantics/semantics/builtins.k	137	rule		9a66d56f0a467612c36f20b98579a83056898e871d60b31ae7c0796977e02516	rule applyBuiltin("max", V:Val, (V2:Val, REST:Vals)) => maxVals(V, (V2, REST)) requires isFloat(V) orBool isBool(V) orBool isStr(V)
supplied	/reference/reference-semantics/semantics/builtins.k	139	rule		42c380aa80b3ebc4893821f23cbfac2c710c04b13382a997a70fd4b0430cb6ec	rule maxVals(M:Val, .Vals) => M
supplied	/reference/reference-semantics/semantics/builtins.k	140	rule		23b2e5d8b38700d293142afb10ec3528bf77db38db9f6722d07ed6a4038b40c7	rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(V, R) requires applyCmp(">", V, M)
supplied	/reference/reference-semantics/semantics/builtins.k	141	rule		e96c93a132d5b96917864de9b58f1d70c07b43b6a856241947c339621e2ba6e1	rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(M, R) requires notBool applyCmp(">", V, M)
supplied	/reference/reference-semantics/semantics/builtins.k	143	syntax	function	7d90c77830b1ced68d639959283580dc174f034e7c0d774ef866cfec81de0dfa	syntax Val ::= minVals(Val, Vals) [function]
supplied	/reference/reference-semantics/semantics/builtins.k	144	rule		92b52ecacf4f7bcc94c1774bbf2f8c46491933333083bff18d1fba94099a53f7	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
supplied	/reference/reference-semantics/semantics/builtins.k	145	rule		efcfaeecffc66f4b395cb6f5ababddba62538c8e2c3422b898dba2d267ec5aba	rule applyBuiltin("min", V:Val, (V2:Val, REST:Vals)) => minVals(V, (V2, REST)) requires isFloat(V) orBool isBool(V) orBool isStr(V)
supplied	/reference/reference-semantics/semantics/builtins.k	147	rule		2278a71b0520e12618dfadaffecb34d0df033906727f03de42cf8a123aa67beb	rule minVals(M:Val, .Vals) => M
supplied	/reference/reference-semantics/semantics/builtins.k	148	rule		77c0d1a7e728860e86ec0b488364e5347bc6364c902ac73ee013e631d4e2a354	rule minVals(M:Val, (V:Val, R:Vals)) => minVals(V, R) requires applyCmp("<", V, M)
supplied	/reference/reference-semantics/semantics/builtins.k	149	rule		cfc2a521f38bb898bf3d01778574bac4ed23ca4d2f32b7a1ea80d790640a6a58	rule minVals(M:Val, (V:Val, R:Vals)) => minVals(M, R) requires notBool applyCmp("<", V, M) // ==== bin(n) — "0b" + binary digit codes (promoted from 103's defined fold) ==
supplied	/reference/reference-semantics/semantics/builtins.k	152	rule		75cdd7f2c5ddedc5d2d0eb29d46a57ac2c7b9e730d41d0a050087d8caca1471b	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0 // negative operand: the '-' sign prefixes the magnitude's digits
supplied	/reference/reference-semantics/semantics/builtins.k	155	rule		edb0bd1ec983404de3c2e8d866c12554270e0f9fc01dbc7307d5ba0ff1510fb4	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
supplied	/reference/reference-semantics/semantics/builtins.k	158	syntax	function,total	c616aba4766ff2aaf0704be23847369aa1831eaf4276066d724101d505f66734	syntax IntSeq ::= binCodes(Int) [function, total]
supplied	/reference/reference-semantics/semantics/builtins.k	159	rule		4e15dfee6cc651ddde7fae203da6c1cac63f9526f0a298a0e12298cece607136	rule binCodes(0) => iCons(48, .IntSeq)
