id	location	kind	attributes	function	total	functional	opaque_symbol	priority	simplification	relevance	decision	normalized_source
11	reference-semantics/semantics.k:44	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/list.k"""
12	reference-semantics/semantics.k:45	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/tuple.k"""
13	reference-semantics/semantics.k:46	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/subscript.k"""
14	reference-semantics/semantics.k:47	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/comprehension.k"""
15	reference-semantics/semantics.k:48	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/methods.k"""
16	reference-semantics/semantics.k:49	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/controls.k"""
17	reference-semantics/semantics.k:50	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/functions.k"""
18	reference-semantics/semantics.k:51	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/builtins.k"""
19	reference-semantics/semantics.k:52	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/call.k"""
20	reference-semantics/semantics.k:53	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/sort.k"""
21	reference-semantics/semantics.k:54	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/assert.k"""
22	reference-semantics/semantics.k:55	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/dict.k"""
23	reference-semantics/semantics.k:56	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/concrete.k"""
24	reference-semantics/semantics.k:58	module	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	module MPY
25	reference-semantics/semantics.k:59	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-CORE
26	reference-semantics/semantics.k:60	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-ITER
27	reference-semantics/semantics.k:61	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-RANGE
28	reference-semantics/semantics.k:62	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-OPERATORS
29	reference-semantics/semantics.k:63	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-INT
30	reference-semantics/semantics.k:64	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-BOOL
31	reference-semantics/semantics.k:65	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-FLOAT
32	reference-semantics/semantics.k:66	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-STR
33	reference-semantics/semantics.k:67	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-SET
34	reference-semantics/semantics.k:68	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-LIST
35	reference-semantics/semantics.k:69	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-TUPLE
36	reference-semantics/semantics.k:70	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-SUBSCRIPT
37	reference-semantics/semantics.k:71	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-COMPREHENSION
38	reference-semantics/semantics.k:72	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-METHODS
39	reference-semantics/semantics.k:73	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-CONTROLS
40	reference-semantics/semantics.k:74	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-FUNCTIONS
41	reference-semantics/semantics.k:75	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-BUILTINS
42	reference-semantics/semantics.k:76	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-CALL
43	reference-semantics/semantics.k:77	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-SORT
44	reference-semantics/semantics.k:78	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-ASSERT
45	reference-semantics/semantics.k:79	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-DICT
46	reference-semantics/semantics.k:80	endmodule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	endmodule
47	reference-semantics/semantics.k:87	module	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	module MPY-KRUN
48	reference-semantics/semantics.k:88	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY
49	reference-semantics/semantics.k:89	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-CONCRETE
50	reference-semantics/semantics.k:90	endmodule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	endmodule
51	reference-semantics/semantics/assert.k:3	module	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	module MPY-ASSERT
52	reference-semantics/semantics/assert.k:4	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-CORE
53	reference-semantics/semantics/assert.k:6	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
54	reference-semantics/semantics/assert.k:8	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
55	reference-semantics/semantics/assert.k:13	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
56	reference-semantics/semantics/assert.k:16	endmodule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	endmodule
57	reference-semantics/semantics/bool.k:5	module	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	module MPY-BOOL
58	reference-semantics/semantics/bool.k:6	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-CORE
59	reference-semantics/semantics/bool.k:8	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
60	reference-semantics/semantics/bool.k:10	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
61	reference-semantics/semantics/bool.k:11	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
62	reference-semantics/semantics/bool.k:16	context	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	context BoolOp(_, (HOLE:Expr, _:Exprs))
63	reference-semantics/semantics/bool.k:17	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
64	reference-semantics/semantics/bool.k:18	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
65	reference-semantics/semantics/bool.k:20	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
66	reference-semantics/semantics/bool.k:22	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
67	reference-semantics/semantics/bool.k:24	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
68	reference-semantics/semantics/bool.k:29	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
69	reference-semantics/semantics/bool.k:31	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
70	reference-semantics/semantics/bool.k:35	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
71	reference-semantics/semantics/bool.k:39	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
72	reference-semantics/semantics/bool.k:43	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
73	reference-semantics/semantics/bool.k:47	endmodule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	endmodule
74	reference-semantics/semantics/builtins.k:3	module	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	module MPY-BUILTINS
75	reference-semantics/semantics/builtins.k:4	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-CORE
76	reference-semantics/semantics/builtins.k:5	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-STR
77	reference-semantics/semantics/builtins.k:6	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-SET
78	reference-semantics/semantics/builtins.k:7	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-ITER
79	reference-semantics/semantics/builtins.k:8	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-RANGE
80	reference-semantics/semantics/builtins.k:9	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-INT
81	reference-semantics/semantics/builtins.k:10	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-METHODS
82	reference-semantics/semantics/builtins.k:17	syntax	function	yes	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Val ::= applyBuiltin(String, Vals) [function]
83	reference-semantics/semantics/builtins.k:20	syntax	function	yes	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Int ::= seqLen(Val) [function]
84	reference-semantics/semantics/builtins.k:21	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
85	reference-semantics/semantics/builtins.k:22	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
86	reference-semantics/semantics/builtins.k:23	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
87	reference-semantics/semantics/builtins.k:24	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
88	reference-semantics/semantics/builtins.k:25	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
89	reference-semantics/semantics/builtins.k:26	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
90	reference-semantics/semantics/builtins.k:32	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
91	reference-semantics/semantics/builtins.k:33	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
92	reference-semantics/semantics/builtins.k:34	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
93	reference-semantics/semantics/builtins.k:35	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
94	reference-semantics/semantics/builtins.k:36	syntax	function, total	yes	yes	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax ValSeq ::= charsOf(IntSeq) [function, total]
95	reference-semantics/semantics/builtins.k:37	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule charsOf(.IntSeq)                => .ValSeq
96	reference-semantics/semantics/builtins.k:38	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
97	reference-semantics/semantics/builtins.k:41	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
98	reference-semantics/semantics/builtins.k:44	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
99	reference-semantics/semantics/builtins.k:47	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
100	reference-semantics/semantics/builtins.k:48	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
101	reference-semantics/semantics/builtins.k:49	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
102	reference-semantics/semantics/builtins.k:50	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
103	reference-semantics/semantics/builtins.k:54	syntax	function	yes	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Int ::= intOf(Val) [function]
104	reference-semantics/semantics/builtins.k:55	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule intOf(I:Int)  => I
105	reference-semantics/semantics/builtins.k:56	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
106	reference-semantics/semantics/builtins.k:59	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
107	reference-semantics/semantics/builtins.k:60	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
108	reference-semantics/semantics/builtins.k:61	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #iterDone ~> #allCont => true ... </k>
109	reference-semantics/semantics/builtins.k:62	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
110	reference-semantics/semantics/builtins.k:64	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
111	reference-semantics/semantics/builtins.k:67	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
112	reference-semantics/semantics/builtins.k:68	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
113	reference-semantics/semantics/builtins.k:69	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #iterDone ~> #anyCont => false ... </k>
114	reference-semantics/semantics/builtins.k:70	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
115	reference-semantics/semantics/builtins.k:72	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
116	reference-semantics/semantics/builtins.k:76	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
117	reference-semantics/semantics/builtins.k:77	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
