file	line	entity	tags	program_path	disposition	declaration_or_rule
semantics/core.k	157	syntax	function,total	YES	FIXED_USED_PATH_ACCEPTED	syntax Scope ::= "builtinsScope" [function, total]
semantics/core.k	158	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule builtinsScope => scope(.Map [ "len"    <- builtinV("len")    ] [ "set"    <- builtinV("set")    ] [ "sum"    <- builtinV("sum")    ] [ "abs"    <- builtinV("abs")    ] [ "min"    <- builtinV("min")    ] [ "max"    <- builtinV("max")    ] [ "ord"    <- builtinV("ord")    ] [ "chr"    <- builtinV("chr")    ] [ "range"  <- builtinV("range")  ] [ "all"    <- builtinV("all")    ] [ "any"    <- builtinV("any")    ] [ "zip"    <- builtinV("zip")    ] [ "isinstance" <- builtinV("isinstance") ] [ "sorted" <- builtinV("sorted") ] [ "list"   <- builtinV("list")   ] [ "round"  <- builtinV("round")  ] [ "bin"    <- builtinV("bin")    ] [ "enumerate" <- builtinV("enumerate") ] [ "map"    <- builtinV("map")    ] [ "eval"   <- builtinV("eval")   ] [ "int"    <- typeV("int")       ] [ "str"    <- typeV("str")       ] [ "float"  <- typeV("float")     ], root)
semantics/core.k	185	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax ApplyK ::= toCall(Val)
semantics/core.k	186	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax KItem  ::= #evalArgs(Exprs, Vals, ApplyK) | #evalArgCont(Exprs, Vals, ApplyK) | #applyK(ApplyK, Vals)
semantics/core.k	189	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>
semantics/core.k	190	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>
semantics/core.k	191	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k>
semantics/core.k	194	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> Int(I:Int)   => I ... </k>
semantics/core.k	208	syntax	function	YES	FIXED_USED_PATH_ACCEPTED	syntax Val  ::= applyUn(String, Val) [function]
semantics/core.k	209	syntax	function	YES	FIXED_USED_PATH_ACCEPTED	syntax Val  ::= applyBin(String, Val, Val) [function]
semantics/core.k	213	syntax	function,total	YES	FIXED_USED_PATH_ACCEPTED	syntax Vals ::= appendVal(Vals, Val) [function, total]
semantics/core.k	214	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule appendVal(.Vals, V:Val)              => V , .Vals
semantics/functions.k	8	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax KItem ::= frame(continuation: K, callerEnv: Int, savedLoc: Int) | #bindP(ParamNames, Vals) | "#pop" | "#endcall"
semantics/functions.k	14	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> FuncDef(F:String, Params(PNS:ParamNames), BODY:Stmts) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ F <- closureVal(PNS, BODY, L) ], _) ... </scopes>
semantics/functions.k	63	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> #bindP(.ParamNames, .Vals) => .K ... </k>
semantics/functions.k	64	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> #bindP((P:String, PS:ParamNames), (V:Val, VS:Vals)) => #bindP(PS, VS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ P <- V ], _) ... </scopes>
semantics/functions.k	78	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> Return(V:Val) ~> _ => #pop </k> <ret> noRet => retV(V) </ret>
semantics/functions.k	85	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> #pop => V ~> CONT </k> <ret>   retV(V) => noRet </ret> <stack> ListItem(frame(CONT:K, CALLERL:Int, SAVEDL:Int)) => .List ... </stack> <env>   L:Int => CALLERL </env> <scopes> SC:Map => SC [ L <- undef ] </scopes> <scopeLoc> _ => SAVEDL </scopeLoc>
semantics/int.k	14	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule applyBin("*",  I1:Int, I2:Int) => I1 *Int I2
semantics/operators.k	12	rule	-	YES	FIXED_USED_PATH_ACCEPTED	rule <k> BinOp(OP:String, L:Val, R:Val) => applyBin(OP, L, R) ... </k>
semantics/syntax.k	9	syntax	macro,strict,seqstrict	YES	FIXED_USED_PATH_ACCEPTED	syntax Expr ::= "Int"      "(" Int ")" | "Float"    "(" Float ")" | "Bool"     "(" Bool ")" | "Name"     "(" String ")" | "Str"      "(" String ")" | "UnaryOp"  "(" String "," Expr ")" [strict(2)] | "BinOp"    "(" String "," Expr "," Expr ")" [seqstrict(2, 3)] | "BoolOp"    "(" String "," Exprs ")" | "ListExpr"  "(" Exprs ")" | "DictExpr"  "(" Entries ")" | "ListComp"  "(" Expr "," CompFors ")" [macro] | "GenExp"    "(" Expr "," CompFors ")" [macro] | "TupleExpr" "(" Exprs ")" | "Subscript" "(" Expr "," Index ")" | "IfExp"     "(" Expr "," Expr "," Expr ")" [strict(1)] | "Lambda"    "(" Params "," Expr ")" | "KwArg"     "(" String "," Expr ")" | "Lambda"    "(" Params "," CellVars "," FreeVars "," Expr ")" | "NoneVal" | "Call"      "(" Expr "," Exprs ")" | "Attribute" "(" Expr "," String ")" [strict(1)] | "Compare"   "(" Expr "," CmpOp ")"
semantics/syntax.k	32	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax CmpOp    ::= "CmpOp" "(" String "," Expr ")"
semantics/syntax.k	37	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax Exprs    ::= List{Expr, ","}
semantics/syntax.k	41	syntax	strict	YES	FIXED_USED_PATH_ACCEPTED	syntax Stmt ::= "Assign"    "(" Expr "," Expr ")" [strict(2)] | "Import"    "(" String ")" | "ImportFrom" "(" String "," ParamNames ")" | "AugAssign" "(" Expr "," String "," Expr ")" [strict(3)] | "For"       "(" Expr "," Expr "," Stmts ")" [strict(2)] | "While"     "(" Expr "," Stmts ")" | "Break" | "Continue" | "If"        "(" Expr "," Stmts "," Stmts ")" [strict(1)] | "Return"    "(" Expr ")" [strict] | "Assert"    "(" Expr ")" [strict] | "Expr"      "(" Expr ")" [strict] | "FuncDef"   "(" String "," Params "," Stmts ")" | "FuncDef"   "(" String "," Params "," CellVars "," FreeVars "," Stmts ")"
semantics/syntax.k	56	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax Stmts      ::= List{Stmt, ""}
semantics/syntax.k	57	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax Params     ::= "Params" "(" ParamNames ")"
semantics/syntax.k	60	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax ParamNames ::= List{String, ","}
semantics/syntax.k	61	syntax	-	YES	FIXED_USED_PATH_ACCEPTED	syntax Module     ::= "Module" "(" Stmts ")"
verification.k	7	syntax	macro	YES	PROOF_LOCAL_USED_EXACT	syntax Module ::= "solutionModule" [macro]
verification.k	8	rule	-	YES	PROOF_LOCAL_USED_EXACT	rule solutionModule => Module( FuncDef("car_race_collision", Params("n"), Return(BinOp("*", Name("n"), Name("n")))))
verification.k	14	syntax	-	YES	PROOF_LOCAL_USED_EXACT	syntax KItem ::= "#runCarRaceCollision" "(" Int ")"
verification.k	15	rule	-	YES	PROOF_LOCAL_USED_EXACT	rule #runCarRaceCollision(N:Int) => #loadAll(solutionModule) ~> Call(Name("car_race_collision"), Int(N))
spec.k	6	claim	-	YES	TARGET_CLAIM_REVIEWED	claim <k> #runCarRaceCollision(N:Int) => N *Int N </k> <env> 0 </env> <scopes> 0  |-> scope(.Map, parent(-1)) -1 |-> builtinsScope => 0  |-> scope( "car_race_collision" |-> closureVal( "n", Return(BinOp("*", Name("n"), Name("n"))), 0), parent(-1)) -1 |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> <exit-code> 0 </exit-code>
