id	path	line	scope	kind	subtype	attributes	decision	text
K0027	reference-semantics/semantics/builtins.k	33	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
K0028	reference-semantics/semantics/builtins.k	34	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
K0029	reference-semantics/semantics/builtins.k	35	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
K0030	reference-semantics/semantics/builtins.k	36	supplied-semantics	syntax	function-declaration	function,total	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0031	reference-semantics/semantics/builtins.k	37	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule charsOf(.IntSeq)                => .ValSeq
K0032	reference-semantics/semantics/builtins.k	38	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K0033	reference-semantics/semantics/builtins.k	41	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
K0034	reference-semantics/semantics/builtins.k	44	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
K0035	reference-semantics/semantics/builtins.k	47	supplied-semantics	syntax	syntax-declaration	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0036	reference-semantics/semantics/builtins.k	48	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0037	reference-semantics/semantics/builtins.k	49	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0038	reference-semantics/semantics/builtins.k	50	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K0039	reference-semantics/semantics/builtins.k	54	supplied-semantics	syntax	function-declaration	function	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= intOf(Val) [function]
K0040	reference-semantics/semantics/builtins.k	55	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule intOf(I:Int)  => I
K0041	reference-semantics/semantics/builtins.k	56	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K0042	reference-semantics/semantics/builtins.k	59	supplied-semantics	syntax	syntax-declaration	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
K0043	reference-semantics/semantics/builtins.k	60	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0044	reference-semantics/semantics/builtins.k	61	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #allCont => true ... </k>
K0045	reference-semantics/semantics/builtins.k	62	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K0046	reference-semantics/semantics/builtins.k	64	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K0047	reference-semantics/semantics/builtins.k	67	supplied-semantics	syntax	syntax-declaration	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
K0048	reference-semantics/semantics/builtins.k	68	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0049	reference-semantics/semantics/builtins.k	69	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #anyCont => false ... </k>
K0050	reference-semantics/semantics/builtins.k	70	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
K0051	reference-semantics/semantics/builtins.k	72	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
K0052	reference-semantics/semantics/builtins.k	76	supplied-semantics	syntax	syntax-declaration	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
K0053	reference-semantics/semantics/builtins.k	77	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0054	reference-semantics/semantics/builtins.k	78	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0055	reference-semantics/semantics/builtins.k	80	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0056	reference-semantics/semantics/builtins.k	81	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K0057	reference-semantics/semantics/builtins.k	82	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0058	reference-semantics/semantics/builtins.k	86	supplied-semantics	syntax	syntax-declaration	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
K0059	reference-semantics/semantics/builtins.k	87	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K0060	reference-semantics/semantics/builtins.k	88	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0061	reference-semantics/semantics/builtins.k	90	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K0062	reference-semantics/semantics/builtins.k	91	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K0063	reference-semantics/semantics/builtins.k	92	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0064	reference-semantics/semantics/builtins.k	97	supplied-semantics	syntax	function-declaration	function	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= maxVals(Int, Vals) [function]
K0065	reference-semantics/semantics/builtins.k	98	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
K0066	reference-semantics/semantics/builtins.k	99	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule maxVals(M:Int, .Vals)           => M
K0067	reference-semantics/semantics/builtins.k	100	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K0068	reference-semantics/semantics/builtins.k	102	supplied-semantics	syntax	function-declaration	function	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= minVals(Int, Vals) [function]
K0069	reference-semantics/semantics/builtins.k	103	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
K0070	reference-semantics/semantics/builtins.k	104	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule minVals(M:Int, .Vals)           => M
K0071	reference-semantics/semantics/builtins.k	105	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
K0072	reference-semantics/semantics/builtins.k	108	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
K0073	reference-semantics/semantics/builtins.k	111	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
K0074	reference-semantics/semantics/builtins.k	114	supplied-semantics	syntax	function-declaration	function,total	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax IntSeq ::= binCodes(Int) [function, total]
K0075	reference-semantics/semantics/builtins.k	115	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule binCodes(0) => iCons(48, .IntSeq)
K0076	reference-semantics/semantics/builtins.k	116	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K0077	reference-semantics/semantics/builtins.k	117	supplied-semantics	syntax	function-declaration	function,total	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K0078	reference-semantics/semantics/builtins.k	118	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule binAcc(0, ACC:IntSeq) => ACC
K0079	reference-semantics/semantics/builtins.k	119	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
K0080	reference-semantics/semantics/builtins.k	124	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
K0081	reference-semantics/semantics/builtins.k	126	supplied-semantics	syntax	function-declaration	function,total	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K0082	reference-semantics/semantics/builtins.k	127	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule enumVS(.ValSeq, _:Int) => .ValSeq
K0083	reference-semantics/semantics/builtins.k	128	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
K0084	reference-semantics/semantics/builtins.k	132	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
K0085	reference-semantics/semantics/builtins.k	134	supplied-semantics	syntax	function-declaration	function,total	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K0086	reference-semantics/semantics/builtins.k	135	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule mapStrVS(.ValSeq) => .ValSeq
K0087	reference-semantics/semantics/builtins.k	136	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K0088	reference-semantics/semantics/builtins.k	137	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
K0089	reference-semantics/semantics/builtins.k	140	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""int"", I:Int, .Vals) => I"
K0090	reference-semantics/semantics/builtins.k	143	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
K0091	reference-semantics/semantics/builtins.k	144	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128"
K0092	reference-semantics/semantics/builtins.k	148	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
K0093	reference-semantics/semantics/builtins.k	149	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
K0094	reference-semantics/semantics/builtins.k	152	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57"
K0095	reference-semantics/semantics/builtins.k	156	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
K0096	reference-semantics/semantics/builtins.k	158	supplied-semantics	syntax	function-declaration	function,total	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
K0097	reference-semantics/semantics/builtins.k	159	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
K0098	reference-semantics/semantics/builtins.k	160	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
K0099	reference-semantics/semantics/builtins.k	163	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
K0100	reference-semantics/semantics/builtins.k	164	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)"
K0101	reference-semantics/semantics/builtins.k	167	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
K0102	reference-semantics/semantics/builtins.k	169	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
K0103	reference-semantics/semantics/builtins.k	170	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
K0104	reference-semantics/semantics/builtins.k	171	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
K0105	reference-semantics/semantics/builtins.k	173	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
K0106	reference-semantics/semantics/builtins.k	174	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
K0107	reference-semantics/semantics/builtins.k	177	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""range"", I:Int, .Vals)               => rangeObj(0, I, 1)"
K0108	reference-semantics/semantics/builtins.k	178	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""range"", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)"
K0109	reference-semantics/semantics/builtins.k	179	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0"
K0110	reference-semantics/semantics/builtins.k	187	supplied-semantics	rule	ordinary-semantic-rule	-	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
K0111	reference-semantics/semantics/builtins.k	188	supplied-semantics	syntax	function-declaration	function	FOLLOWS_SELECTED_SUPPLIED_SEMANTICS	syntax Int ::= evalArith(IntSeq) [function]
