id	file	line	kind	attributes	audit_decision	declaration_or_rule
K0020	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	21	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
K0021	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	22	rule	-	ACCEPT-NO-FALSE-WITNESS	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
K0022	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	23	rule	-	ACCEPT-NO-FALSE-WITNESS	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
K0023	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	24	rule	-	ACCEPT-NO-FALSE-WITNESS	rule seqLen(str(IS:IntSeq)) => isLen(IS)
K0024	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	25	rule	-	ACCEPT-NO-FALSE-WITNESS	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
K0025	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	26	rule	-	ACCEPT-NO-FALSE-WITNESS	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K0026	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	32	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0027	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	33	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0028	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	34	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
K0029	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	35	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
K0030	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	36	syntax	function,total	ACCEPT-NO-FALSE-WITNESS	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0031	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	37	rule	-	ACCEPT-NO-FALSE-WITNESS	rule charsOf(.IntSeq) => .ValSeq
K0032	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	38	rule	-	ACCEPT-NO-FALSE-WITNESS	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K0033	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	41	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
K0034	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	44	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
K0035	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	47	syntax	-	ACCEPT-NO-FALSE-WITNESS	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0036	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	48	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0037	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	49	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0038	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	50	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K0039	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	54	syntax	function	ACCEPT-NO-FALSE-WITNESS	syntax Int ::= intOf(Val) [function]
K0040	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	55	rule	-	ACCEPT-NO-FALSE-WITNESS	rule intOf(I:Int) => I
K0041	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	56	rule	-	ACCEPT-NO-FALSE-WITNESS	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K0042	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	59	syntax	-	ACCEPT-NO-FALSE-WITNESS	syntax KItem ::= #allAcc(Iterable) | "#allCont"
K0043	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	60	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0044	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	61	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterDone ~> #allCont => true ... </k>
K0045	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	62	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K0046	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	64	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K0047	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	67	syntax	-	ACCEPT-NO-FALSE-WITNESS	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
K0048	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	68	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0049	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	69	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterDone ~> #anyCont => false ... </k>
K0050	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	70	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
K0051	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	72	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
K0052	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	76	syntax	-	ACCEPT-NO-FALSE-WITNESS	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
K0053	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	77	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0054	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	78	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0055	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	80	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0056	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	81	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K0057	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	82	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0058	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	86	syntax	-	ACCEPT-NO-FALSE-WITNESS	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
K0059	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	87	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K0060	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	88	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0061	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	90	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K0062	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	91	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K0063	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	92	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0064	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	97	syntax	function	ACCEPT-NO-FALSE-WITNESS	syntax Int ::= maxVals(Int, Vals) [function]
K0065	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	98	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
K0066	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	99	rule	-	ACCEPT-NO-FALSE-WITNESS	rule maxVals(M:Int, .Vals) => M
K0067	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	100	rule	-	ACCEPT-NO-FALSE-WITNESS	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K0068	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	102	syntax	function	ACCEPT-NO-FALSE-WITNESS	syntax Int ::= minVals(Int, Vals) [function]
K0069	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	103	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
K0070	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	104	rule	-	ACCEPT-NO-FALSE-WITNESS	rule minVals(M:Int, .Vals) => M
K0071	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	105	rule	-	ACCEPT-NO-FALSE-WITNESS	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
K0072	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	108	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
K0073	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	111	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
K0074	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	114	syntax	function,total	ACCEPT-NO-FALSE-WITNESS	syntax IntSeq ::= binCodes(Int) [function, total]
K0075	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	115	rule	-	ACCEPT-NO-FALSE-WITNESS	rule binCodes(0) => iCons(48, .IntSeq)
K0076	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	116	rule	-	ACCEPT-NO-FALSE-WITNESS	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K0077	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	117	syntax	function,total	ACCEPT-NO-FALSE-WITNESS	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K0078	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	118	rule	-	ACCEPT-NO-FALSE-WITNESS	rule binAcc(0, ACC:IntSeq) => ACC
K0079	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	119	rule	-	ACCEPT-NO-FALSE-WITNESS	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
K0080	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	124	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
K0081	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	126	syntax	function,total	ACCEPT-NO-FALSE-WITNESS	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K0082	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	127	rule	-	ACCEPT-NO-FALSE-WITNESS	rule enumVS(.ValSeq, _:Int) => .ValSeq
K0083	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	128	rule	-	ACCEPT-NO-FALSE-WITNESS	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
K0084	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	132	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
K0085	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	134	syntax	function,total	ACCEPT-NO-FALSE-WITNESS	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K0086	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	135	rule	-	ACCEPT-NO-FALSE-WITNESS	rule mapStrVS(.ValSeq) => .ValSeq
K0087	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	136	rule	-	ACCEPT-NO-FALSE-WITNESS	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K0088	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	137	rule	-	ACCEPT-NO-FALSE-WITNESS	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
K0089	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	140	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("int", I:Int, .Vals) => I
K0090	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	143	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
K0091	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	144	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
K0092	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	148	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
K0093	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	149	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
K0094	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	152	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
K0095	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	156	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
K0096	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	158	syntax	function,total	ACCEPT-NO-FALSE-WITNESS	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
K0097	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	159	rule	-	ACCEPT-NO-FALSE-WITNESS	rule intDigAcc(.IntSeq, ACC:Int) => ACC
K0098	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	160	rule	-	ACCEPT-NO-FALSE-WITNESS	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
K0099	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	163	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
K0100	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	164	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)
K0101	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	167	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
K0102	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	169	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
K0103	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	170	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
K0104	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	171	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
K0105	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	173	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
K0106	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	174	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
K0107	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	177	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
K0108	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	178	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
K0109	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	179	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0
K0110	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	187	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
K0111	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	188	syntax	function	ACCEPT-NO-FALSE-WITNESS	syntax Int ::= evalArith(IntSeq) [function]
K0112	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	189	rule	-	ACCEPT-NO-FALSE-WITNESS	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
K0113	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	192	syntax	-	ACCEPT-NO-FALSE-WITNESS	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
K0114	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	194	syntax	function,total	ACCEPT-NO-FALSE-WITNESS	syntax Bool ::= evDigit(Int) [function, total]
K0115	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	195	rule	-	ACCEPT-NO-FALSE-WITNESS	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
K0116	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	196	syntax	function,total	ACCEPT-NO-FALSE-WITNESS	syntax Bool ::= evHead42(IntSeq) [function, total]
K0117	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	197	rule	-	ACCEPT-NO-FALSE-WITNESS	rule evHead42(iCons(42, _:IntSeq)) => true
K0118	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	198	rule	owise	ACCEPT-NO-FALSE-WITNESS	rule evHead42(_:IntSeq) => false [owise]
K0119	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	199	syntax	function,total	ACCEPT-NO-FALSE-WITNESS	syntax Bool ::= evHead47(IntSeq) [function, total]
K0120	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	200	rule	-	ACCEPT-NO-FALSE-WITNESS	rule evHead47(iCons(47, _:IntSeq)) => true
K0121	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	201	rule	owise	ACCEPT-NO-FALSE-WITNESS	rule evHead47(_:IntSeq) => false [owise]
K0122	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	203	syntax	function,total	ACCEPT-NO-FALSE-WITNESS	syntax OpSeq ::= tokOps(IntSeq) [function, total]
