file,line,kind,assessment,basis,source_head
reference-semantics/semantics/builtins.k,69,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k,70,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>"
reference-semantics/semantics/builtins.k,72,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>"
reference-semantics/semantics/builtins.k,76,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
reference-semantics/semantics/builtins.k,77,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k,78,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>"
reference-semantics/semantics/builtins.k,80,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>"
reference-semantics/semantics/builtins.k,81,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k,82,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)"
reference-semantics/semantics/builtins.k,86,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
reference-semantics/semantics/builtins.k,87,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k,88,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>"
reference-semantics/semantics/builtins.k,90,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>"
reference-semantics/semantics/builtins.k,91,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k,92,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)"
reference-semantics/semantics/builtins.k,97,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax Int ::= maxVals(Int, Vals) [function]"
reference-semantics/semantics/builtins.k,98,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
reference-semantics/semantics/builtins.k,99,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule maxVals(M:Int, .Vals)           => M"
reference-semantics/semantics/builtins.k,100,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)"
reference-semantics/semantics/builtins.k,102,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax Int ::= minVals(Int, Vals) [function]"
reference-semantics/semantics/builtins.k,103,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
reference-semantics/semantics/builtins.k,104,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule minVals(M:Int, .Vals)           => M"
reference-semantics/semantics/builtins.k,105,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)"
reference-semantics/semantics/builtins.k,108,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))"
reference-semantics/semantics/builtins.k,111,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""bin"", N:Int, .Vals)"
reference-semantics/semantics/builtins.k,114,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax IntSeq ::= binCodes(Int) [function, total]"
reference-semantics/semantics/builtins.k,115,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule binCodes(0) => iCons(48, .IntSeq)"
reference-semantics/semantics/builtins.k,116,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0"
reference-semantics/semantics/builtins.k,117,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]"
reference-semantics/semantics/builtins.k,118,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule binAcc(0, ACC:IntSeq) => ACC"
reference-semantics/semantics/builtins.k,119,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule binAcc(N:Int, ACC:IntSeq)"
reference-semantics/semantics/builtins.k,124,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals))"
reference-semantics/semantics/builtins.k,126,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]"
reference-semantics/semantics/builtins.k,127,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule enumVS(.ValSeq, _:Int) => .ValSeq"
reference-semantics/semantics/builtins.k,128,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule enumVS(vCons(V:Val, R:ValSeq), I:Int)"
reference-semantics/semantics/builtins.k,132,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals))"
reference-semantics/semantics/builtins.k,134,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax ValSeq ::= mapStrVS(ValSeq) [function, total]"
reference-semantics/semantics/builtins.k,135,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k,136,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))"
reference-semantics/semantics/builtins.k,137,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))"
reference-semantics/semantics/builtins.k,140,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""int"", I:Int, .Vals) => I"
reference-semantics/semantics/builtins.k,143,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
reference-semantics/semantics/builtins.k,144,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq))"
reference-semantics/semantics/builtins.k,148,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
reference-semantics/semantics/builtins.k,149,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
reference-semantics/semantics/builtins.k,152,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48"
reference-semantics/semantics/builtins.k,156,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)"
reference-semantics/semantics/builtins.k,158,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax Int ::= intDigAcc(IntSeq, Int) [function, total]"
reference-semantics/semantics/builtins.k,159,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule intDigAcc(.IntSeq, ACC:Int)             => ACC"
reference-semantics/semantics/builtins.k,160,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))"
reference-semantics/semantics/builtins.k,163,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
reference-semantics/semantics/builtins.k,164,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)"
reference-semantics/semantics/builtins.k,167,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq)))"
reference-semantics/semantics/builtins.k,169,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>"
reference-semantics/semantics/builtins.k,170,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>"
reference-semantics/semantics/builtins.k,171,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq)))"
reference-semantics/semantics/builtins.k,173,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>"
reference-semantics/semantics/builtins.k,174,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>"
reference-semantics/semantics/builtins.k,177,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""range"", I:Int, .Vals)               => rangeObj(0, I, 1)"
reference-semantics/semantics/builtins.k,178,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""range"", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)"
reference-semantics/semantics/builtins.k,179,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)"
reference-semantics/semantics/builtins.k,187,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
reference-semantics/semantics/builtins.k,188,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,syntax Int ::= evalArith(IntSeq) [function]
reference-semantics/semantics/builtins.k,189,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule evalArith(CS:IntSeq)
reference-semantics/semantics/builtins.k,192,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
reference-semantics/semantics/builtins.k,194,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax Bool ::= evDigit(Int) [function, total]"
reference-semantics/semantics/builtins.k,195,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
reference-semantics/semantics/builtins.k,196,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax Bool ::= evHead42(IntSeq) [function, total]"
reference-semantics/semantics/builtins.k,197,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule evHead42(iCons(42, _:IntSeq)) => true"
reference-semantics/semantics/builtins.k,198,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule evHead42(_:IntSeq)            => false [owise]
reference-semantics/semantics/builtins.k,199,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax Bool ::= evHead47(IntSeq) [function, total]"
reference-semantics/semantics/builtins.k,200,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule evHead47(iCons(47, _:IntSeq)) => true"
reference-semantics/semantics/builtins.k,201,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule evHead47(_:IntSeq)            => false [owise]
reference-semantics/semantics/builtins.k,203,syntax,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"syntax OpSeq ::= tokOps(IntSeq) [function, total]"
reference-semantics/semantics/builtins.k,204,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,rule tokOps(.IntSeq)                 => .OpSeq
reference-semantics/semantics/builtins.k,205,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)"
reference-semantics/semantics/builtins.k,206,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)"
reference-semantics/semantics/builtins.k,207,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons(""**"", tokOps(R))"
reference-semantics/semantics/builtins.k,208,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule tokOps(iCons(42, R:IntSeq))     => oCons(""*"", tokOps(R)) requires notBool evHead42(R)"
reference-semantics/semantics/builtins.k,209,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons(""//"", tokOps(R))"
reference-semantics/semantics/builtins.k,210,rule,F-UNREACHED,Part of the selected fixed semantics but unreachable from this program AST and entry state; no target claim depends on it.,"rule tokOps(iCons(47, R:IntSeq))     => oCons(""/"", tokOps(R)) requires notBool evHead47(R)"
