origin	file	line	kind	materiality	attributes	disposition	compact_declaration	full_block_escaped
trusted_supplied_semantics	semantics/bool.k	11	rule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue	  rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2\n\n  // ==== BoolOp: short-circuit, value-returning and / or =====================\n  // the node is its own accumulator: heat the HEAD element only, then either return it\n  // (short-circuit) or drop it and continue
trusted_supplied_semantics	semantics/bool.k	16	context	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	context BoolOp(_, (HOLE:Expr, _:Exprs))	  context BoolOp(_, (HOLE:Expr, _:Exprs))
trusted_supplied_semantics	semantics/bool.k	17	rule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	  rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
trusted_supplied_semantics	semantics/bool.k	18	rule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)	  rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>\n       requires truthy(V)
trusted_supplied_semantics	semantics/bool.k	20	rule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)	  rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires notBool truthy(V)
trusted_supplied_semantics	semantics/bool.k	22	rule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)	  rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires truthy(V)
trusted_supplied_semantics	semantics/bool.k	24	rule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure	  rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>\n       requires notBool truthy(V)\n\n  // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the\n  // operand — and/or return the OBJECT itself (Python identity), not its structure
trusted_supplied_semantics	semantics/bool.k	29	rule	baseline_unused_by_submitted_program	priority	FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	  rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>\n       [priority(40)]
trusted_supplied_semantics	semantics/bool.k	31	rule	baseline_unused_by_submitted_program	priority	FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]	  rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires truthy(V)\n       [priority(40)]
trusted_supplied_semantics	semantics/bool.k	35	rule	baseline_unused_by_submitted_program	priority	FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]	  rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool truthy(V)\n       [priority(40)]
trusted_supplied_semantics	semantics/bool.k	39	rule	baseline_unused_by_submitted_program	priority	FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]	  rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires truthy(V)\n       [priority(40)]
trusted_supplied_semantics	semantics/bool.k	43	rule	baseline_unused_by_submitted_program	priority	FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]	  rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool truthy(V)\n       [priority(40)]
trusted_supplied_semantics	semantics/bool.k	47	endmodule	baseline_unused_by_submitted_program		FIXED_BASELINE; candidate-unaltered; construct unused by submitted program	endmodule	endmodule
trusted_supplied_semantics	semantics/builtins.k	3	module	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	module MPY-BUILTINS	module MPY-BUILTINS
trusted_supplied_semantics	semantics/builtins.k	4	imports	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	imports MPY-CORE	  imports MPY-CORE
trusted_supplied_semantics	semantics/builtins.k	5	imports	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	imports MPY-STR	  imports MPY-STR
trusted_supplied_semantics	semantics/builtins.k	6	imports	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	imports MPY-SET	  imports MPY-SET
trusted_supplied_semantics	semantics/builtins.k	7	imports	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	imports MPY-ITER	  imports MPY-ITER
trusted_supplied_semantics	semantics/builtins.k	8	imports	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	imports MPY-RANGE	  imports MPY-RANGE
trusted_supplied_semantics	semantics/builtins.k	9	imports	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	imports MPY-INT	  imports MPY-INT
trusted_supplied_semantics	semantics/builtins.k	10	imports	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	imports MPY-METHODS // the builtins REGISTRY is core.k's builtinsScope (the -1 frame); names resolve by lookup // Call routing + argument evaluation live in call.k, which also routes the fold // builtins (sum/all/any/max/min) to the #_Acc folds below and everything else to // applyBuiltin. This module owns applyBuiltin + the fold implementations.	  imports MPY-METHODS\n\n  // the builtins REGISTRY is core.k's builtinsScope (the -1 frame); names resolve by lookup\n\n  // Call routing + argument evaluation live in call.k, which also routes the fold\n  // builtins (sum/all/any/max/min) to the #_Acc folds below and everything else to\n  // applyBuiltin. This module owns applyBuiltin + the fold implementations.
trusted_supplied_semantics	semantics/builtins.k	17	syntax	baseline_material	function	FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================	  syntax Val ::= applyBuiltin(String, Vals) [function]\n\n  // ==== len(obj) — O(1) per kind ============================================
trusted_supplied_semantics	semantics/builtins.k	20	syntax	baseline_material	function	FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax Int ::= seqLen(Val) [function]	  syntax Int ::= seqLen(Val) [function]
trusted_supplied_semantics	semantics/builtins.k	21	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)	  rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
trusted_supplied_semantics	semantics/builtins.k	22	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule seqLen(list(VS:ValSeq)) => vsLen(VS)	  rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
trusted_supplied_semantics	semantics/builtins.k	23	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)	  rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
trusted_supplied_semantics	semantics/builtins.k	24	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule seqLen(str(IS:IntSeq)) => isLen(IS)	  rule seqLen(str(IS:IntSeq))                   => isLen(IS)
trusted_supplied_semantics	semantics/builtins.k	25	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule seqLen(setV(DS:IntSeq)) => isLen(DS)	  rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
trusted_supplied_semantics	semantics/builtins.k	26	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)	  rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)\n\n  // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) ==\n  // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order).\n  // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed.\n  // (k-cell — list() constructs a NEW object)
trusted_supplied_semantics	semantics/builtins.k	32	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>	  rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
trusted_supplied_semantics	semantics/builtins.k	33	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>	  rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
trusted_supplied_semantics	semantics/builtins.k	34	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>	  rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
trusted_supplied_semantics	semantics/builtins.k	35	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>	  rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
trusted_supplied_semantics	semantics/builtins.k	36	syntax	baseline_material	function,total	FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax ValSeq ::= charsOf(IntSeq) [function, total]	  syntax ValSeq ::= charsOf(IntSeq) [function, total]
trusted_supplied_semantics	semantics/builtins.k	37	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule charsOf(.IntSeq) => .ValSeq	  rule charsOf(.IntSeq)                => .ValSeq
trusted_supplied_semantics	semantics/builtins.k	38	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================	  rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))\n\n  // ==== set(str) — distinct character codes =================================
trusted_supplied_semantics	semantics/builtins.k	41	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================	  rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))\n\n  // ==== abs(int) ============================================================
trusted_supplied_semantics	semantics/builtins.k	44	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==	  rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)\n\n  // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
trusted_supplied_semantics	semantics/builtins.k	47	syntax	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	  syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
trusted_supplied_semantics	semantics/builtins.k	48	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	  rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
trusted_supplied_semantics	semantics/builtins.k	49	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	  rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
trusted_supplied_semantics	semantics/builtins.k	50	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)	  rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)\n        => #sumAcc(R, ACC +Int intOf(V)) ... </k>\n       requires isInt(V) orBool isBool(V)
trusted_supplied_semantics	semantics/builtins.k	54	syntax	baseline_material	function	FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax Int ::= intOf(Val) [function]	  syntax Int ::= intOf(Val) [function]
trusted_supplied_semantics	semantics/builtins.k	55	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule intOf(I:Int) => I	  rule intOf(I:Int)  => I
trusted_supplied_semantics	semantics/builtins.k	56	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================	  rule intOf(B:Bool) => #if B #then 1 #else 0 #fi\n\n  // ==== all / any (short-circuiting #iterNext folds) ========================
trusted_supplied_semantics	semantics/builtins.k	59	syntax	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax KItem ::= #allAcc(Iterable) | "#allCont"	  syntax KItem ::= #allAcc(Iterable) | "#allCont"
trusted_supplied_semantics	semantics/builtins.k	60	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	  rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
trusted_supplied_semantics	semantics/builtins.k	61	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterDone ~> #allCont => true ... </k>	  rule <k> #iterDone ~> #allCont => true ... </k>
trusted_supplied_semantics	semantics/builtins.k	62	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)	  rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>\n       requires truthy(V)
trusted_supplied_semantics	semantics/builtins.k	64	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)	  rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>\n       requires notBool truthy(V)
trusted_supplied_semantics	semantics/builtins.k	67	syntax	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"	  syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
trusted_supplied_semantics	semantics/builtins.k	68	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	  rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
trusted_supplied_semantics	semantics/builtins.k	69	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterDone ~> #anyCont => false ... </k>	  rule <k> #iterDone ~> #anyCont => false ... </k>
trusted_supplied_semantics	semantics/builtins.k	70	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)	  rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>\n       requires truthy(V)
trusted_supplied_semantics	semantics/builtins.k	72	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V) // ==== max / min over an iterable (#iterNext folds; first element seeds) ====	  rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>\n       requires notBool truthy(V)\n\n  // ==== max / min over an iterable (#iterNext folds; first element seeds) ====
trusted_supplied_semantics	semantics/builtins.k	76	syntax	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)	  syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
trusted_supplied_semantics	semantics/builtins.k	77	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	  rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
trusted_supplied_semantics	semantics/builtins.k	78	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>\n       requires isInt(V)
trusted_supplied_semantics	semantics/builtins.k	80	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	  rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
trusted_supplied_semantics	semantics/builtins.k	81	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	  rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
trusted_supplied_semantics	semantics/builtins.k	82	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)\n        => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>\n       requires isInt(V)
trusted_supplied_semantics	semantics/builtins.k	86	syntax	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)	  syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
trusted_supplied_semantics	semantics/builtins.k	87	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	  rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
trusted_supplied_semantics	semantics/builtins.k	88	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>\n       requires isInt(V)
trusted_supplied_semantics	semantics/builtins.k	90	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	  rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
trusted_supplied_semantics	semantics/builtins.k	91	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	  rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
trusted_supplied_semantics	semantics/builtins.k	92	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V) // ==== variadic max / min (a Vals fold) ====================================	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)\n        => #minAcc(R, minInt(M, {V}:>Int)) ... </k>\n       requires isInt(V)\n\n  // ==== variadic max / min (a Vals fold) ====================================
trusted_supplied_semantics	semantics/builtins.k	97	syntax	baseline_material	function	FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax Int ::= maxVals(Int, Vals) [function]	  syntax Int ::= maxVals(Int, Vals) [function]
trusted_supplied_semantics	semantics/builtins.k	98	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)	  rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
trusted_supplied_semantics	semantics/builtins.k	99	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule maxVals(M:Int, .Vals) => M	  rule maxVals(M:Int, .Vals)           => M
trusted_supplied_semantics	semantics/builtins.k	100	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	  rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
trusted_supplied_semantics	semantics/builtins.k	102	syntax	baseline_material	function	FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	syntax Int ::= minVals(Int, Vals) [function]	  syntax Int ::= minVals(Int, Vals) [function]
trusted_supplied_semantics	semantics/builtins.k	103	rule	baseline_material		FIXED_BASELINE; candidate-unaltered; material subset mapped and reviewed in REVIEW.md	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)	  rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
