id	file	line	kind	subtype	attributes	directly_exercised	review
32	semantics/builtins.k	38	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
33	semantics/builtins.k	41	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
34	semantics/builtins.k	44	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
35	semantics/builtins.k	47	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
36	semantics/builtins.k	48	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
37	semantics/builtins.k	49	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
38	semantics/builtins.k	50	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
39	semantics/builtins.k	54	syntax	function-declaration	function	no	inert-for-submitted-program-reviewed-for-overlap
40	semantics/builtins.k	55	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
41	semantics/builtins.k	56	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
42	semantics/builtins.k	59	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
43	semantics/builtins.k	60	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
44	semantics/builtins.k	61	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
45	semantics/builtins.k	62	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
46	semantics/builtins.k	64	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
47	semantics/builtins.k	67	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
48	semantics/builtins.k	68	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
49	semantics/builtins.k	69	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
50	semantics/builtins.k	70	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
51	semantics/builtins.k	72	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
52	semantics/builtins.k	76	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
53	semantics/builtins.k	77	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
54	semantics/builtins.k	78	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
55	semantics/builtins.k	80	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
56	semantics/builtins.k	81	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
57	semantics/builtins.k	82	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
58	semantics/builtins.k	86	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
59	semantics/builtins.k	87	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
60	semantics/builtins.k	88	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
61	semantics/builtins.k	90	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
62	semantics/builtins.k	91	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
63	semantics/builtins.k	92	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
64	semantics/builtins.k	97	syntax	function-declaration	function	no	inert-for-submitted-program-reviewed-for-overlap
65	semantics/builtins.k	98	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
66	semantics/builtins.k	99	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
67	semantics/builtins.k	100	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
68	semantics/builtins.k	102	syntax	function-declaration	function	no	inert-for-submitted-program-reviewed-for-overlap
69	semantics/builtins.k	103	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
70	semantics/builtins.k	104	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
71	semantics/builtins.k	105	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
72	semantics/builtins.k	108	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
73	semantics/builtins.k	111	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
74	semantics/builtins.k	114	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
75	semantics/builtins.k	115	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
76	semantics/builtins.k	116	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
77	semantics/builtins.k	117	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
78	semantics/builtins.k	118	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
79	semantics/builtins.k	119	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
80	semantics/builtins.k	124	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
81	semantics/builtins.k	126	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
82	semantics/builtins.k	127	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
83	semantics/builtins.k	128	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
84	semantics/builtins.k	132	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
85	semantics/builtins.k	134	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
86	semantics/builtins.k	135	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
87	semantics/builtins.k	136	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
88	semantics/builtins.k	137	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
89	semantics/builtins.k	140	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
90	semantics/builtins.k	143	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
91	semantics/builtins.k	144	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
92	semantics/builtins.k	148	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
93	semantics/builtins.k	149	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
94	semantics/builtins.k	152	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
95	semantics/builtins.k	156	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
96	semantics/builtins.k	158	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
97	semantics/builtins.k	159	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
98	semantics/builtins.k	160	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
99	semantics/builtins.k	163	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
100	semantics/builtins.k	164	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
101	semantics/builtins.k	167	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
102	semantics/builtins.k	169	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
103	semantics/builtins.k	170	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
104	semantics/builtins.k	171	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
105	semantics/builtins.k	173	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
106	semantics/builtins.k	174	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
107	semantics/builtins.k	177	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
108	semantics/builtins.k	178	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
109	semantics/builtins.k	179	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
110	semantics/builtins.k	187	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
111	semantics/builtins.k	188	syntax	function-declaration	function	no	inert-for-submitted-program-reviewed-for-overlap
112	semantics/builtins.k	189	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
113	semantics/builtins.k	192	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
114	semantics/builtins.k	194	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
115	semantics/builtins.k	195	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
116	semantics/builtins.k	196	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
117	semantics/builtins.k	197	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
118	semantics/builtins.k	198	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
119	semantics/builtins.k	199	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
120	semantics/builtins.k	200	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
121	semantics/builtins.k	201	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
122	semantics/builtins.k	203	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
123	semantics/builtins.k	204	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
124	semantics/builtins.k	205	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
125	semantics/builtins.k	206	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
126	semantics/builtins.k	207	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
127	semantics/builtins.k	208	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
128	semantics/builtins.k	209	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
129	semantics/builtins.k	210	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
130	semantics/builtins.k	211	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
131	semantics/builtins.k	212	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
132	semantics/builtins.k	214	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
133	semantics/builtins.k	216	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
134	semantics/builtins.k	217	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
135	semantics/builtins.k	218	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
136	semantics/builtins.k	219	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
137	semantics/builtins.k	221	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
138	semantics/builtins.k	223	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
139	semantics/builtins.k	225	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
140	semantics/builtins.k	226	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
141	semantics/builtins.k	227	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
142	semantics/builtins.k	228	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
143	semantics/builtins.k	230	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
144	semantics/builtins.k	231	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
145	semantics/builtins.k	232	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
146	semantics/builtins.k	233	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
147	semantics/builtins.k	234	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
148	semantics/builtins.k	235	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
149	semantics/builtins.k	236	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
150	semantics/builtins.k	238	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
151	semantics/builtins.k	239	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
152	semantics/builtins.k	240	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
153	semantics/builtins.k	241	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
154	semantics/builtins.k	243	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
155	semantics/builtins.k	244	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
156	semantics/builtins.k	245	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
157	semantics/builtins.k	246	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
158	semantics/builtins.k	247	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
159	semantics/builtins.k	248	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
160	semantics/builtins.k	250	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
161	semantics/builtins.k	251	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
162	semantics/builtins.k	252	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
163	semantics/builtins.k	253	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
164	semantics/builtins.k	254	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
165	semantics/builtins.k	255	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
166	semantics/builtins.k	256	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
167	semantics/builtins.k	257	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
168	semantics/builtins.k	260	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
169	semantics/builtins.k	263	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
170	semantics/builtins.k	265	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
171	semantics/builtins.k	266	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
172	semantics/builtins.k	267	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
173	semantics/builtins.k	268	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
174	semantics/builtins.k	269	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
175	semantics/builtins.k	270	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
176	semantics/builtins.k	271	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
177	semantics/builtins.k	272	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
178	semantics/builtins.k	273	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
179	semantics/builtins.k	274	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
180	semantics/builtins.k	279	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
181	semantics/builtins.k	280	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
182	semantics/builtins.k	282	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
183	semantics/builtins.k	283	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
184	semantics/builtins.k	284	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
185	semantics/builtins.k	285	syntax	function-declaration	function;no-evaluators;symbol(md5hexCodes);total	no	inert-for-submitted-program-reviewed-for-overlap
186	semantics/builtins.k	291	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
187	semantics/builtins.k	292	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
188	semantics/builtins.k	293	syntax	function-declaration	function	no	inert-for-submitted-program-reviewed-for-overlap
189	semantics/builtins.k	294	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
190	semantics/builtins.k	295	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
191	semantics/builtins.k	296	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
192	semantics/builtins.k	297	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
193	semantics/call.k	16	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
194	semantics/call.k	19	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
195	semantics/call.k	20	rule	operational-rule	owise	yes	directly-used-reviewed
196	semantics/call.k	21	rule	operational-rule	-	yes	directly-used-reviewed
197	semantics/call.k	24	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
198	semantics/call.k	26	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
199	semantics/call.k	27	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
200	semantics/call.k	28	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
201	semantics/call.k	29	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
202	semantics/call.k	30	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
203	semantics/call.k	31	rule	operational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
204	semantics/call.k	32	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
205	semantics/call.k	38	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
206	semantics/call.k	42	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
207	semantics/call.k	47	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
208	semantics/call.k	52	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
209	semantics/call.k	53	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
210	semantics/call.k	56	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
211	semantics/call.k	63	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
212	semantics/call.k	69	rule	operational-rule	-	yes	directly-used-reviewed
213	semantics/call.k	80	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
214	semantics/call.k	87	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
215	semantics/call.k	88	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
216	semantics/call.k	89	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
217	semantics/comprehension.k	11	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
218	semantics/comprehension.k	12	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
219	semantics/comprehension.k	14	syntax	syntax	macro	no	inert-for-submitted-program-reviewed-for-overlap
220	semantics/comprehension.k	15	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
221	semantics/comprehension.k	18	syntax	syntax	macro-rec	no	inert-for-submitted-program-reviewed-for-overlap
222	semantics/comprehension.k	19	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
223	semantics/comprehension.k	21	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
224	semantics/comprehension.k	24	syntax	syntax	macro	no	inert-for-submitted-program-reviewed-for-overlap
225	semantics/comprehension.k	25	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
226	semantics/comprehension.k	26	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
227	semantics/concrete.k	13	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
228	semantics/concrete.k	16	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
229	semantics/concrete.k	25	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
230	semantics/concrete.k	26	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
231	semantics/concrete.k	28	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
232	semantics/concrete.k	31	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
233	semantics/concrete.k	34	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
234	semantics/concrete.k	36	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
235	semantics/concrete.k	38	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
236	semantics/concrete.k	42	syntax	function-declaration	function	no	inert-for-submitted-program-reviewed-for-overlap
237	semantics/concrete.k	43	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
238	semantics/concrete.k	44	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
239	semantics/concrete.k	47	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
240	semantics/concrete.k	51	syntax	function-declaration	function	no	inert-for-submitted-program-reviewed-for-overlap
241	semantics/concrete.k	52	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
242	semantics/concrete.k	53	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
243	semantics/concrete.k	54	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
244	semantics/concrete.k	56	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
245	semantics/concrete.k	57	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
246	semantics/concrete.k	58	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
247	semantics/concrete.k	59	rule	equational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
248	semantics/controls.k	9	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
249	semantics/controls.k	12	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
250	semantics/controls.k	20	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
251	semantics/controls.k	27	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
252	semantics/controls.k	35	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
253	semantics/controls.k	36	rule	operational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
254	semantics/controls.k	37	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
255	semantics/controls.k	38	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
256	semantics/controls.k	39	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
257	semantics/controls.k	43	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
258	semantics/controls.k	48	rule	operational-rule	-	yes	directly-used-reviewed
259	semantics/controls.k	51	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
260	semantics/controls.k	52	rule	operational-rule	-	yes	directly-used-reviewed
261	semantics/controls.k	53	rule	operational-rule	-	yes	directly-used-reviewed
262	semantics/controls.k	54	rule	operational-rule	-	yes	directly-used-reviewed
263	semantics/controls.k	57	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
264	semantics/controls.k	59	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
265	semantics/controls.k	65	syntax	syntax	-	no	inert-for-submitted-program-reviewed-for-overlap
266	semantics/controls.k	69	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
267	semantics/controls.k	71	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
268	semantics/controls.k	72	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
269	semantics/controls.k	73	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
270	semantics/controls.k	77	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
271	semantics/controls.k	78	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
272	semantics/controls.k	79	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
273	semantics/controls.k	81	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
274	semantics/controls.k	85	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
275	semantics/controls.k	86	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
276	semantics/controls.k	87	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
277	semantics/controls.k	88	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
278	semantics/controls.k	89	rule	operational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
279	semantics/controls.k	90	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
280	semantics/controls.k	91	rule	operational-rule	owise	no	inert-for-submitted-program-reviewed-for-overlap
281	semantics/controls.k	95	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
282	semantics/controls.k	98	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
283	semantics/controls.k	101	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
284	semantics/controls.k	106	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
