WORKDIR: /tmp/audit-work/112-reverse-delete
COMMAND: /audit-output/evidence/k_rule_inventory.py
# Exhaustive K declaration and rule inventory

Files: 26
Inventory rows: 942
Kinds: {'claim': 2, 'configuration': 1, 'context': 5, 'rule': 704, 'syntax': 230}
Decision classes: {'ACCEPT': 142, 'TARGET': 2, 'UNREACHED': 776, 'UNUSED OPAQUE': 22}
Attributes: {'concrete': 35, 'function': 149, 'macro': 3, 'macro-rec': 1, 'no-evaluators': 22, 'owise': 26, 'priority(39)': 1, 'priority(40)': 42, 'priority(45)': 3, 'seqstrict(2, 3)': 1, 'simplification': 4, 'strict(1)': 2, 'strict(2)': 2, 'strict(3)': 1, 'symbol(absF)': 1, 'symbol(addF)': 1, 'symbol(ceilF)': 1, 'symbol(decStrToF)': 1, 'symbol(divF)': 1, 'symbol(divFloatIntV)': 1, 'symbol(divII)': 1, 'symbol(eqF)': 1, 'symbol(floatLt)': 1, 'symbol(floatMod)': 1, 'symbol(floorFI)': 1, 'symbol(gtF)': 1, 'symbol(intFloatDiv)': 1, 'symbol(intToF)': 1, 'symbol(md5hexCodes)': 1, 'symbol(mulF)': 1, 'symbol(powF)': 1, 'symbol(roundF)': 1, 'symbol(roundFN)': 1, 'symbol(sortKeyVS)': 1, 'symbol(sortVS)': 1, 'symbol(sqrtF)': 1, 'symbol(subF)': 1, 'symbol(toF)': 1, 'symbol(truncF)': 1, 'total': 110}

| Source | Line | Kind | Attributes | Decision | Normalized declaration/rule |
|---|---:|---|---|---|---|
| `semantics/assert.k` | 6 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)` |
| `semantics/bool.k` | 24 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)` |
| `semantics/bool.k` | 29 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]` |
| `semantics/bool.k` | 31 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H \|-> V:Val ... </heap> requires truthy(V) [priority(40)]` |
| `semantics/bool.k` | 35 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H \|-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]` |
| `semantics/bool.k` | 39 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H \|-> V:Val ... </heap> requires truthy(V) [priority(40)]` |
| `semantics/bool.k` | 43 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H \|-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]` |
| `semantics/builtins.k` | 17 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Val ::= applyBuiltin(String, Vals) [function]` |
| `semantics/builtins.k` | 20 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= seqLen(Val) [function]` |
| `semantics/builtins.k` | 21 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)` |
| `semantics/builtins.k` | 22 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule seqLen(list(VS:ValSeq)) => vsLen(VS)` |
| `semantics/builtins.k` | 23 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)` |
| `semantics/builtins.k` | 24 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule seqLen(str(IS:IntSeq)) => isLen(IS)` |
| `semantics/builtins.k` | 25 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule seqLen(setV(DS:IntSeq)) => isLen(DS)` |
| `semantics/builtins.k` | 26 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)` |
| `semantics/builtins.k` | 32 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>` |
| `semantics/builtins.k` | 33 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>` |
| `semantics/builtins.k` | 34 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>` |
| `semantics/builtins.k` | 35 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>` |
| `semantics/builtins.k` | 36 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax ValSeq ::= charsOf(IntSeq) [function, total]` |
| `semantics/builtins.k` | 37 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule charsOf(.IntSeq) => .ValSeq` |
| `semantics/builtins.k` | 38 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))` |
| `semantics/builtins.k` | 41 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))` |
| `semantics/builtins.k` | 44 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)` |
| `semantics/builtins.k` | 47 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #sumAcc(Iterable, Int) \| #sumCont(Int)` |
| `semantics/builtins.k` | 48 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>` |
| `semantics/builtins.k` | 49 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>` |
| `semantics/builtins.k` | 50 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)` |
| `semantics/builtins.k` | 54 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= intOf(Val) [function]` |
| `semantics/builtins.k` | 55 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule intOf(I:Int) => I` |
| `semantics/builtins.k` | 56 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule intOf(B:Bool) => #if B #then 1 #else 0 #fi` |
| `semantics/builtins.k` | 59 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #allAcc(Iterable) \| "#allCont"` |
| `semantics/builtins.k` | 60 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>` |
| `semantics/builtins.k` | 61 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterDone ~> #allCont => true ... </k>` |
| `semantics/builtins.k` | 62 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)` |
| `semantics/builtins.k` | 64 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)` |
| `semantics/builtins.k` | 67 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #anyAcc(Iterable) \| "#anyCont"` |
| `semantics/builtins.k` | 68 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>` |
| `semantics/builtins.k` | 69 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterDone ~> #anyCont => false ... </k>` |
| `semantics/builtins.k` | 70 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)` |
| `semantics/builtins.k` | 72 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)` |
| `semantics/builtins.k` | 76 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #maxAcc0(Iterable) \| "#maxCont0" \| #maxAcc(Iterable, Int) \| #maxCont(Int)` |
| `semantics/builtins.k` | 77 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>` |
| `semantics/builtins.k` | 78 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)` |
| `semantics/builtins.k` | 80 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>` |
| `semantics/builtins.k` | 81 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>` |
| `semantics/builtins.k` | 82 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)` |
| `semantics/builtins.k` | 86 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #minAcc0(Iterable) \| "#minCont0" \| #minAcc(Iterable, Int) \| #minCont(Int)` |
| `semantics/builtins.k` | 87 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>` |
| `semantics/builtins.k` | 88 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)` |
| `semantics/builtins.k` | 90 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>` |
| `semantics/builtins.k` | 91 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>` |
| `semantics/builtins.k` | 92 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)` |
| `semantics/builtins.k` | 97 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= maxVals(Int, Vals) [function]` |
| `semantics/builtins.k` | 98 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)` |
| `semantics/builtins.k` | 99 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule maxVals(M:Int, .Vals) => M` |
| `semantics/builtins.k` | 100 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)` |
| `semantics/builtins.k` | 102 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= minVals(Int, Vals) [function]` |
| `semantics/builtins.k` | 103 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)` |
| `semantics/builtins.k` | 104 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule minVals(M:Int, .Vals) => M` |
| `semantics/builtins.k` | 105 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)` |
| `semantics/builtins.k` | 108 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0` |
| `semantics/builtins.k` | 111 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0` |
| `semantics/builtins.k` | 114 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax IntSeq ::= binCodes(Int) [function, total]` |
| `semantics/builtins.k` | 115 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule binCodes(0) => iCons(48, .IntSeq)` |
| `semantics/builtins.k` | 116 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0` |
| `semantics/builtins.k` | 117 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]` |
| `semantics/builtins.k` | 118 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule binAcc(0, ACC:IntSeq) => ACC` |
| `semantics/builtins.k` | 119 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0` |
| `semantics/builtins.k` | 124 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>` |
| `semantics/builtins.k` | 126 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]` |
| `semantics/builtins.k` | 127 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule enumVS(.ValSeq, _:Int) => .ValSeq` |
| `semantics/builtins.k` | 128 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))` |
| `semantics/builtins.k` | 132 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>` |
| `semantics/builtins.k` | 134 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax ValSeq ::= mapStrVS(ValSeq) [function, total]` |
| `semantics/builtins.k` | 135 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule mapStrVS(.ValSeq) => .ValSeq` |
| `semantics/builtins.k` | 136 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))` |
| `semantics/builtins.k` | 137 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))` |
| `semantics/builtins.k` | 140 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("int", I:Int, .Vals) => I` |
| `semantics/builtins.k` | 143 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C` |
| `semantics/builtins.k` | 144 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128` |
| `semantics/builtins.k` | 148 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))` |
| `semantics/builtins.k` | 149 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)` |
| `semantics/builtins.k` | 152 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57` |
| `semantics/builtins.k` | 156 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2` |
| `semantics/builtins.k` | 158 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= intDigAcc(IntSeq, Int) [function, total]` |
| `semantics/builtins.k` | 159 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule intDigAcc(.IntSeq, ACC:Int) => ACC` |
| `semantics/builtins.k` | 160 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))` |
| `semantics/builtins.k` | 163 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)` |
| `semantics/builtins.k` | 164 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)` |
| `semantics/builtins.k` | 167 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>` |
| `semantics/builtins.k` | 169 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>` |
| `semantics/builtins.k` | 170 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>` |
| `semantics/builtins.k` | 171 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>` |
| `semantics/builtins.k` | 173 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>` |
| `semantics/builtins.k` | 174 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>` |
| `semantics/builtins.k` | 177 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)` |
| `semantics/builtins.k` | 178 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)` |
| `semantics/builtins.k` | 179 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0` |
| `semantics/builtins.k` | 187 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)` |
| `semantics/builtins.k` | 188 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= evalArith(IntSeq) [function]` |
| `semantics/builtins.k` | 189 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))` |
| `semantics/builtins.k` | 192 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax OpSeq ::= ".OpSeq" \| oCons(String, OpSeq)` |
| `semantics/builtins.k` | 194 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Bool ::= evDigit(Int) [function, total]` |
| `semantics/builtins.k` | 195 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57` |
| `semantics/builtins.k` | 196 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Bool ::= evHead42(IntSeq) [function, total]` |
| `semantics/builtins.k` | 197 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule evHead42(iCons(42, _:IntSeq)) => true` |
| `semantics/builtins.k` | 198 | rule | owise | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule evHead42(_:IntSeq) => false [owise]` |
| `semantics/builtins.k` | 199 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Bool ::= evHead47(IntSeq) [function, total]` |
| `semantics/builtins.k` | 200 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule evHead47(iCons(47, _:IntSeq)) => true` |
| `semantics/builtins.k` | 201 | rule | owise | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule evHead47(_:IntSeq) => false [owise]` |
| `semantics/builtins.k` | 203 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax OpSeq ::= tokOps(IntSeq) [function, total]` |
| `semantics/builtins.k` | 204 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule tokOps(.IntSeq) => .OpSeq` |
| `semantics/builtins.k` | 205 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)` |
| `semantics/builtins.k` | 206 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)` |
| `semantics/builtins.k` | 207 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))` |
| `semantics/builtins.k` | 208 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule tokOps(iCons(42, R:IntSeq)) => oCons("*", tokOps(R)) requires notBool evHead42(R)` |
| `semantics/builtins.k` | 209 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))` |
