file	line	kind	classification	attributes	declaration	audit_decision	audit_rationale
/candidate/reference-semantics/semantics/builtins.k	38	rule	function-or-equational-rule		rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	41	rule	function-or-equational-rule		"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	44	rule	function-or-equational-rule		"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	47	syntax	syntax-declaration		syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/builtins.k	48	rule	operational-rule		rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/builtins.k	49	rule	operational-rule		rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/builtins.k	50	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/builtins.k	54	syntax	syntax-declaration	function	syntax Int ::= intOf(Val) [function]	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/builtins.k	55	rule	function-or-equational-rule		rule intOf(I:Int)  => I	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/builtins.k	56	rule	function-or-equational-rule		rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	ACCEPTED_FIXED_USED	Unchanged supplied-semantics declaration on the submitted term's lookup/call/slice/list-equality/short-circuit/sum/compare/return path; the complete used path was also exercised concretely and through the bridge-free connection claims.
/candidate/reference-semantics/semantics/builtins.k	59	syntax	syntax-declaration		"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	60	rule	operational-rule		rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	61	rule	operational-rule		rule <k> #iterDone ~> #allCont => true ... </k>	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	62	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	64	rule	operational-rule		rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	67	syntax	syntax-declaration		"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	68	rule	operational-rule		rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	69	rule	operational-rule		rule <k> #iterDone ~> #anyCont => false ... </k>	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	70	rule	operational-rule		rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	72	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	76	syntax	syntax-declaration		"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	77	rule	operational-rule		rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	78	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	80	rule	operational-rule		rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	81	rule	operational-rule		rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	82	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	86	syntax	syntax-declaration		"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	87	rule	operational-rule		rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	88	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	90	rule	operational-rule		rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	91	rule	operational-rule		rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	92	rule	operational-rule		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	97	syntax	syntax-declaration	function	syntax Int ::= maxVals(Int, Vals) [function]	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	98	rule	function-or-equational-rule		"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	99	rule	function-or-equational-rule		rule maxVals(M:Int, .Vals)           => M	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	100	rule	function-or-equational-rule		rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	102	syntax	syntax-declaration	function	syntax Int ::= minVals(Int, Vals) [function]	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	103	rule	function-or-equational-rule		"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	104	rule	function-or-equational-rule		rule minVals(M:Int, .Vals)           => M	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	105	rule	function-or-equational-rule		rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	108	rule	function-or-equational-rule		"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	111	rule	function-or-equational-rule		"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	114	syntax	syntax-declaration	function,total	syntax IntSeq ::= binCodes(Int) [function, total]	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	115	rule	function-or-equational-rule		rule binCodes(0) => iCons(48, .IntSeq)	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	116	rule	function-or-equational-rule		rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	117	syntax	syntax-declaration	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	118	rule	function-or-equational-rule		rule binAcc(0, ACC:IntSeq) => ACC	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	119	rule	function-or-equational-rule		rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
/candidate/reference-semantics/semantics/builtins.k	124	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"	ACCEPTED_FIXED_INERT	Unchanged supplied-semantics declaration; inspection found no task-specific symbol, and this declaration is unreachable from the submitted term and entry configurations, so it cannot enable a task conclusion.
