file	line	kind	classification	attributes	declaration
/candidate/reference-semantics/semantics/builtins.k	114	syntax	syntax-declaration	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
/candidate/reference-semantics/semantics/builtins.k	115	rule	function-or-equational-rule		rule binCodes(0) => iCons(48, .IntSeq)
/candidate/reference-semantics/semantics/builtins.k	116	rule	function-or-equational-rule		rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
/candidate/reference-semantics/semantics/builtins.k	117	syntax	syntax-declaration	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
/candidate/reference-semantics/semantics/builtins.k	118	rule	function-or-equational-rule		rule binAcc(0, ACC:IntSeq) => ACC
/candidate/reference-semantics/semantics/builtins.k	119	rule	function-or-equational-rule		rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
/candidate/reference-semantics/semantics/builtins.k	124	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
/candidate/reference-semantics/semantics/builtins.k	126	syntax	syntax-declaration	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
/candidate/reference-semantics/semantics/builtins.k	127	rule	function-or-equational-rule		rule enumVS(.ValSeq, _:Int) => .ValSeq
/candidate/reference-semantics/semantics/builtins.k	128	rule	function-or-equational-rule		rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
/candidate/reference-semantics/semantics/builtins.k	132	rule	operational-rule		"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
/candidate/reference-semantics/semantics/builtins.k	134	syntax	syntax-declaration	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
/candidate/reference-semantics/semantics/builtins.k	135	rule	function-or-equational-rule		rule mapStrVS(.ValSeq) => .ValSeq
/candidate/reference-semantics/semantics/builtins.k	136	rule	function-or-equational-rule		rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
/candidate/reference-semantics/semantics/builtins.k	137	rule	function-or-equational-rule		rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
/candidate/reference-semantics/semantics/builtins.k	140	rule	function-or-equational-rule		"rule applyBuiltin(""int"", I:Int, .Vals) => I"
/candidate/reference-semantics/semantics/builtins.k	143	rule	function-or-equational-rule		"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
/candidate/reference-semantics/semantics/builtins.k	144	rule	function-or-equational-rule		"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128"
/candidate/reference-semantics/semantics/builtins.k	148	rule	function-or-equational-rule		"rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
/candidate/reference-semantics/semantics/builtins.k	149	rule	function-or-equational-rule		"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
/candidate/reference-semantics/semantics/builtins.k	152	rule	function-or-equational-rule		"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57"
/candidate/reference-semantics/semantics/builtins.k	156	rule	function-or-equational-rule		"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
/candidate/reference-semantics/semantics/builtins.k	158	syntax	syntax-declaration	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
/candidate/reference-semantics/semantics/builtins.k	159	rule	function-or-equational-rule		rule intDigAcc(.IntSeq, ACC:Int)             => ACC
/candidate/reference-semantics/semantics/builtins.k	160	rule	function-or-equational-rule		rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
/candidate/reference-semantics/semantics/builtins.k	163	rule	function-or-equational-rule		"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
/candidate/reference-semantics/semantics/builtins.k	164	rule	function-or-equational-rule		"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)"
/candidate/reference-semantics/semantics/builtins.k	167	rule	operational-rule		rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
/candidate/reference-semantics/semantics/builtins.k	169	rule	operational-rule		rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
/candidate/reference-semantics/semantics/builtins.k	170	rule	operational-rule		rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
/candidate/reference-semantics/semantics/builtins.k	171	rule	operational-rule		rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
/candidate/reference-semantics/semantics/builtins.k	173	rule	operational-rule		rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
/candidate/reference-semantics/semantics/builtins.k	174	rule	operational-rule		rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
/candidate/reference-semantics/semantics/builtins.k	177	rule	function-or-equational-rule		"rule applyBuiltin(""range"", I:Int, .Vals)               => rangeObj(0, I, 1)"
/candidate/reference-semantics/semantics/builtins.k	178	rule	function-or-equational-rule		"rule applyBuiltin(""range"", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)"
/candidate/reference-semantics/semantics/builtins.k	179	rule	function-or-equational-rule		"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0"
/candidate/reference-semantics/semantics/builtins.k	187	rule	function-or-equational-rule		"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
/candidate/reference-semantics/semantics/builtins.k	188	syntax	syntax-declaration	function	syntax Int ::= evalArith(IntSeq) [function]
/candidate/reference-semantics/semantics/builtins.k	189	rule	function-or-equational-rule		rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
/candidate/reference-semantics/semantics/builtins.k	192	syntax	syntax-declaration		"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
/candidate/reference-semantics/semantics/builtins.k	194	syntax	syntax-declaration	function,total	syntax Bool ::= evDigit(Int) [function, total]
/candidate/reference-semantics/semantics/builtins.k	195	rule	function-or-equational-rule		rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
/candidate/reference-semantics/semantics/builtins.k	196	syntax	syntax-declaration	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
/candidate/reference-semantics/semantics/builtins.k	197	rule	function-or-equational-rule		rule evHead42(iCons(42, _:IntSeq)) => true
/candidate/reference-semantics/semantics/builtins.k	198	rule	function-or-equational-rule	owise	rule evHead42(_:IntSeq)            => false [owise]
/candidate/reference-semantics/semantics/builtins.k	199	syntax	syntax-declaration	function,total	syntax Bool ::= evHead47(IntSeq) [function, total]
/candidate/reference-semantics/semantics/builtins.k	200	rule	function-or-equational-rule		rule evHead47(iCons(47, _:IntSeq)) => true
/candidate/reference-semantics/semantics/builtins.k	201	rule	function-or-equational-rule	owise	rule evHead47(_:IntSeq)            => false [owise]
/candidate/reference-semantics/semantics/builtins.k	203	syntax	syntax-declaration	function,total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
/candidate/reference-semantics/semantics/builtins.k	204	rule	function-or-equational-rule		rule tokOps(.IntSeq)                 => .OpSeq
/candidate/reference-semantics/semantics/builtins.k	205	rule	function-or-equational-rule		rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
/candidate/reference-semantics/semantics/builtins.k	206	rule	function-or-equational-rule		rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
/candidate/reference-semantics/semantics/builtins.k	207	rule	function-or-equational-rule		"rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons(""**"", tokOps(R))"
/candidate/reference-semantics/semantics/builtins.k	208	rule	function-or-equational-rule		"rule tokOps(iCons(42, R:IntSeq))     => oCons(""*"", tokOps(R)) requires notBool evHead42(R)"
/candidate/reference-semantics/semantics/builtins.k	209	rule	function-or-equational-rule		"rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("""
/candidate/reference-semantics/semantics/builtins.k	210	rule	function-or-equational-rule		"rule tokOps(iCons(47, R:IntSeq))     => oCons(""/"", tokOps(R)) requires notBool evHead47(R)"
/candidate/reference-semantics/semantics/builtins.k	211	rule	function-or-equational-rule		"rule tokOps(iCons(43, R:IntSeq))     => oCons(""+"", tokOps(R))"
/candidate/reference-semantics/semantics/builtins.k	212	rule	function-or-equational-rule		"rule tokOps(iCons(45, R:IntSeq))     => oCons(""-"", tokOps(R))"
/candidate/reference-semantics/semantics/builtins.k	214	syntax	syntax-declaration	function,total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
/candidate/reference-semantics/semantics/builtins.k	216	rule	function-or-equational-rule		rule tokNds(.IntSeq)                => .IntSeq
/candidate/reference-semantics/semantics/builtins.k	217	rule	function-or-equational-rule		rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)
/candidate/reference-semantics/semantics/builtins.k	218	rule	function-or-equational-rule		rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
/candidate/reference-semantics/semantics/builtins.k	219	rule	function-or-equational-rule		rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32
/candidate/reference-semantics/semantics/builtins.k	221	rule	function-or-equational-rule		rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)
/candidate/reference-semantics/semantics/builtins.k	223	rule	function-or-equational-rule	owise	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
/candidate/reference-semantics/semantics/builtins.k	225	syntax	syntax-declaration		syntax EvPair ::= evp(OpSeq, IntSeq)
/candidate/reference-semantics/semantics/builtins.k	226	syntax	syntax-declaration	function,total	syntax Int ::= firstNdE(EvPair) [function, total]
/candidate/reference-semantics/semantics/builtins.k	227	rule	function-or-equational-rule		rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
/candidate/reference-semantics/semantics/builtins.k	228	rule	function-or-equational-rule	owise	rule firstNdE(_:EvPair) => 0 [owise]
/candidate/reference-semantics/semantics/builtins.k	230	syntax	syntax-declaration	function,total	syntax Int ::= applyOpE(String, Int, Int) [function, total]
/candidate/reference-semantics/semantics/builtins.k	231	rule	function-or-equational-rule		"rule applyOpE(""+"",  A:Int, B:Int) => A +Int B"
/candidate/reference-semantics/semantics/builtins.k	232	rule	function-or-equational-rule		"rule applyOpE(""-"",  A:Int, B:Int) => A -Int B"
/candidate/reference-semantics/semantics/builtins.k	233	rule	function-or-equational-rule		"rule applyOpE(""*"",  A:Int, B:Int) => A *Int B"
/candidate/reference-semantics/semantics/builtins.k	234	rule	function-or-equational-rule		"rule applyOpE("""
/candidate/reference-semantics/semantics/builtins.k	235	rule	function-or-equational-rule		"rule applyOpE(""**"", A:Int, B:Int) => A ^Int B"
/candidate/reference-semantics/semantics/builtins.k	236	rule	function-or-equational-rule	owise	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
/candidate/reference-semantics/semantics/builtins.k	238	syntax	syntax-declaration	function,total	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
/candidate/reference-semantics/semantics/builtins.k	239	rule	function-or-equational-rule		rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
/candidate/reference-semantics/semantics/builtins.k	240	rule	function-or-equational-rule		"rule passPowE(oCons(""**"", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))"
/candidate/reference-semantics/semantics/builtins.k	241	rule	function-or-equational-rule		"rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS)) requires O =/=String ""**"""
/candidate/reference-semantics/semantics/builtins.k	243	rule	function-or-equational-rule	owise	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
/candidate/reference-semantics/semantics/builtins.k	244	syntax	syntax-declaration	function,total	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
/candidate/reference-semantics/semantics/builtins.k	245	rule	function-or-equational-rule		rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
/candidate/reference-semantics/semantics/builtins.k	246	rule	function-or-equational-rule		rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
/candidate/reference-semantics/semantics/builtins.k	247	syntax	syntax-declaration	function,total	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
/candidate/reference-semantics/semantics/builtins.k	248	rule	function-or-equational-rule		rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
/candidate/reference-semantics/semantics/builtins.k	250	syntax	syntax-declaration	function,total	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
/candidate/reference-semantics/semantics/builtins.k	251	rule	function-or-equational-rule		"rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE(""mul"", N0, OPS, NDS, .OpSeq, .IntSeq)"
/candidate/reference-semantics/semantics/builtins.k	252	rule	function-or-equational-rule		rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
/candidate/reference-semantics/semantics/builtins.k	253	rule	function-or-equational-rule		"rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE(""add"", N0, OPS, NDS, .OpSeq, .IntSeq)"
/candidate/reference-semantics/semantics/builtins.k	254	rule	function-or-equational-rule		rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
/candidate/reference-semantics/semantics/builtins.k	255	syntax	syntax-declaration	function,total	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
/candidate/reference-semantics/semantics/builtins.k	256	rule	function-or-equational-rule		rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
