file	line	kind	classification	attributes	relevance	decision	declaration
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	35	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	36	syntax	function-syntax	function,total	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax ValSeq ::= charsOf(IntSeq) [function, total]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	37	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule charsOf(.IntSeq)                => .ValSeq
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	38	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	41	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	44	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	47	syntax	syntax		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	48	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	49	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	50	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	54	syntax	function-syntax	function	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax Int ::= intOf(Val) [function]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	55	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule intOf(I:Int)  => I
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	56	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	59	syntax	syntax		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax KItem ::= #allAcc(Iterable) | "#allCont"
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	60	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	61	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterDone ~> #allCont => true ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	62	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	64	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	67	syntax	syntax		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	68	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	69	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterDone ~> #anyCont => false ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	70	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	72	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	76	syntax	syntax		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	77	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	78	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	80	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	81	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	82	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	86	syntax	syntax		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	87	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	88	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	90	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	91	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	92	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	97	syntax	function-syntax	function	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax Int ::= maxVals(Int, Vals) [function]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	98	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	99	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule maxVals(M:Int, .Vals)           => M
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	100	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	102	syntax	function-syntax	function	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax Int ::= minVals(Int, Vals) [function]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	103	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	104	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule minVals(M:Int, .Vals)           => M
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	105	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	108	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	111	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	114	syntax	function-syntax	function,total	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax IntSeq ::= binCodes(Int) [function, total]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	115	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule binCodes(0) => iCons(48, .IntSeq)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	116	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	117	syntax	function-syntax	function,total	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	118	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule binAcc(0, ACC:IntSeq) => ACC
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	119	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	124	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	126	syntax	function-syntax	function,total	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	127	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule enumVS(.ValSeq, _:Int) => .ValSeq
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	128	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	132	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	134	syntax	function-syntax	function,total	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	135	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule mapStrVS(.ValSeq) => .ValSeq
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	136	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	137	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	140	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule applyBuiltin("int", I:Int, .Vals) => I
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	143	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	144	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	148	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	149	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	152	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	156	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	158	syntax	function-syntax	function,total	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	159	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	160	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	163	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	164	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	167	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	169	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	170	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	171	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	173	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	174	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	177	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	178	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	179	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	187	rule	ordinary-rule		target	ACCEPT_FIXED_FAITHFUL_ON_TARGET_PATH	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	188	syntax	function-syntax	function	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax Int ::= evalArith(IntSeq) [function]
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	189	rule	ordinary-rule		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	192	syntax	syntax		unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
/tmp/audit-work/reconstruction-001/reference-semantics/semantics/builtins.k	194	syntax	function-syntax	function,total	unused	ACCEPT_FIXED_UNUSED_BY_TARGET	syntax Bool ::= evDigit(Int) [function, total]
