id	origin	path	line	kind	attributes	disposition	declaration_or_rule
11	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	28	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
12	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	29	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
13	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	31	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
14	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	33	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
15	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	35	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
16	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	40	rule	priority	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
17	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	42	rule	priority	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
18	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	46	rule	priority	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
19	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	50	rule	priority	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
20	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/bool.k	54	rule	priority	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
21	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	17	syntax	function	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax Val ::= applyBuiltin(String, Vals) [function]
22	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	20	syntax	function	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax Int ::= seqLen(Val) [function]
23	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	21	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
24	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	22	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
25	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	23	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
26	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	24	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule seqLen(str(IS:IntSeq)) => isLen(IS)
27	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	25	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
28	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	26	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
29	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	32	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
30	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	33	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
31	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	34	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
32	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	35	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
33	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	36	syntax	function,total	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax ValSeq ::= charsOf(IntSeq) [function, total]
34	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	37	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule charsOf(.IntSeq) => .ValSeq
35	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	38	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
36	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	41	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
37	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	44	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
38	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	47	syntax	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
39	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	48	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
40	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	49	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
41	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	50	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
42	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	54	syntax	function	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax Int ::= intOf(Val) [function]
43	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	55	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule intOf(I:Int) => I
44	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	56	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
45	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	59	syntax	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax KItem ::= #allAcc(Iterable) | "#allCont"
46	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	60	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
47	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	61	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterDone ~> #allCont => true ... </k>
48	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	62	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
49	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	64	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
50	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	67	syntax	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
51	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	68	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
52	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	69	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterDone ~> #anyCont => false ... </k>
53	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	70	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
54	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	72	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
55	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	76	syntax	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
56	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	77	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
57	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	78	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
58	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	80	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
59	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	81	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
60	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	82	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
61	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	86	syntax	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
62	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	87	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
63	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	88	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
64	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	90	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
65	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	91	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
66	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	92	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
67	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	105	syntax	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax KItem ::= #maxAccV(Iterable, Val) | #maxContV(Val)
68	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	106	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAccV(R, V) ... </k> requires isBool(V) orBool isStr(V)
69	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	108	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #iterYield(V, R) ~> #maxContV(M) ... </k> requires isFloat(V) orBool isBool(V)
70	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	111	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #maxAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #maxContV(M) ... </k>
71	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	112	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterDone ~> #maxContV(M:Val) => M ... </k>
72	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	113	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, V) ... </k> requires applyCmp(">", V, M)
73	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	115	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxContV(M:Val) => #maxAccV(R, M) ... </k> requires notBool applyCmp(">", V, M)
74	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	118	syntax	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax KItem ::= #minAccV(Iterable, Val) | #minContV(Val)
75	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	119	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAccV(R, V) ... </k> requires isBool(V) orBool isStr(V)
76	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	121	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #iterYield(V, R) ~> #minContV(M) ... </k> requires isFloat(V) orBool isBool(V)
77	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	124	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #minAccV(IT:Iterable, M:Val) => #iterNext(IT) ~> #minContV(M) ... </k>
78	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	125	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterDone ~> #minContV(M:Val) => M ... </k>
79	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	126	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, V) ... </k> requires applyCmp("<", V, M)
80	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	128	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule <k> #iterYield(V:Val, R:Iterable) ~> #minContV(M:Val) => #minAccV(R, M) ... </k> requires notBool applyCmp("<", V, M)
81	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	135	syntax	function	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax Val ::= maxVals(Val, Vals) [function]
82	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	136	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
83	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	137	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyBuiltin("max", V:Val, (V2:Val, REST:Vals)) => maxVals(V, (V2, REST)) requires isFloat(V) orBool isBool(V) orBool isStr(V)
84	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	139	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule maxVals(M:Val, .Vals) => M
85	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	140	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(V, R) requires applyCmp(">", V, M)
86	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	141	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule maxVals(M:Val, (V:Val, R:Vals)) => maxVals(M, R) requires notBool applyCmp(">", V, M)
87	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	143	syntax	function	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax Val ::= minVals(Val, Vals) [function]
88	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	144	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
89	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	145	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyBuiltin("min", V:Val, (V2:Val, REST:Vals)) => minVals(V, (V2, REST)) requires isFloat(V) orBool isBool(V) orBool isStr(V)
90	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	147	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule minVals(M:Val, .Vals) => M
91	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	148	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule minVals(M:Val, (V:Val, R:Vals)) => minVals(V, R) requires applyCmp("<", V, M)
92	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	149	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule minVals(M:Val, (V:Val, R:Vals)) => minVals(M, R) requires notBool applyCmp("<", V, M)
93	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	152	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
94	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	155	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
95	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	158	syntax	function,total	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax IntSeq ::= binCodes(Int) [function, total]
96	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	159	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule binCodes(0) => iCons(48, .IntSeq)
97	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	160	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
98	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	161	syntax	function,total	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
99	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	162	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule binAcc(0, ACC:IntSeq) => ACC
100	supplied-fixed-semantics	/tmp/audit-work/review-34-unique/reference-semantics/semantics/builtins.k	163	rule	-	ACCEPTED_FIXED_SUPPLIED_RULE_OR_DECLARATION	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
