origin	path	line	kind	attributes	decision	source_excerpt
supplied	reference-semantics/semantics/builtins.k	104	rule	-	SUPPLIED_FIXED_SEMANTICS	rule minVals(M:Int, .Vals) => M
supplied	reference-semantics/semantics/builtins.k	105	rule	-	SUPPLIED_FIXED_SEMANTICS	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
supplied	reference-semantics/semantics/builtins.k	108	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
supplied	reference-semantics/semantics/builtins.k	111	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
supplied	reference-semantics/semantics/builtins.k	114	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax IntSeq ::= binCodes(Int) [function, total]
supplied	reference-semantics/semantics/builtins.k	115	rule	-	SUPPLIED_FIXED_SEMANTICS	rule binCodes(0) => iCons(48, .IntSeq)
supplied	reference-semantics/semantics/builtins.k	116	rule	-	SUPPLIED_FIXED_SEMANTICS	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
supplied	reference-semantics/semantics/builtins.k	117	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
supplied	reference-semantics/semantics/builtins.k	118	rule	-	SUPPLIED_FIXED_SEMANTICS	rule binAcc(0, ACC:IntSeq) => ACC
supplied	reference-semantics/semantics/builtins.k	119	rule	-	SUPPLIED_FIXED_SEMANTICS	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
supplied	reference-semantics/semantics/builtins.k	124	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
supplied	reference-semantics/semantics/builtins.k	126	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
supplied	reference-semantics/semantics/builtins.k	127	rule	-	SUPPLIED_FIXED_SEMANTICS	rule enumVS(.ValSeq, _:Int) => .ValSeq
supplied	reference-semantics/semantics/builtins.k	128	rule	-	SUPPLIED_FIXED_SEMANTICS	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
supplied	reference-semantics/semantics/builtins.k	132	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
supplied	reference-semantics/semantics/builtins.k	134	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
supplied	reference-semantics/semantics/builtins.k	135	rule	-	SUPPLIED_FIXED_SEMANTICS	rule mapStrVS(.ValSeq) => .ValSeq
supplied	reference-semantics/semantics/builtins.k	136	rule	-	SUPPLIED_FIXED_SEMANTICS	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
supplied	reference-semantics/semantics/builtins.k	137	rule	-	SUPPLIED_FIXED_SEMANTICS	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
supplied	reference-semantics/semantics/builtins.k	140	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("int", I:Int, .Vals) => I
supplied	reference-semantics/semantics/builtins.k	143	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
supplied	reference-semantics/semantics/builtins.k	144	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
supplied	reference-semantics/semantics/builtins.k	148	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
supplied	reference-semantics/semantics/builtins.k	149	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
supplied	reference-semantics/semantics/builtins.k	152	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
supplied	reference-semantics/semantics/builtins.k	156	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
supplied	reference-semantics/semantics/builtins.k	158	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
supplied	reference-semantics/semantics/builtins.k	159	rule	-	SUPPLIED_FIXED_SEMANTICS	rule intDigAcc(.IntSeq, ACC:Int) => ACC
supplied	reference-semantics/semantics/builtins.k	160	rule	-	SUPPLIED_FIXED_SEMANTICS	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
supplied	reference-semantics/semantics/builtins.k	163	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
supplied	reference-semantics/semantics/builtins.k	164	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals) => zipObjS(A, B)
supplied	reference-semantics/semantics/builtins.k	167	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
supplied	reference-semantics/semantics/builtins.k	169	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq)) => #iterDone ... </k>
supplied	reference-semantics/semantics/builtins.k	170	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
supplied	reference-semantics/semantics/builtins.k	171	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
supplied	reference-semantics/semantics/builtins.k	173	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq)) => #iterDone ... </k>
supplied	reference-semantics/semantics/builtins.k	174	rule	-	SUPPLIED_FIXED_SEMANTICS	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
supplied	reference-semantics/semantics/builtins.k	177	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("range", I:Int, .Vals) => rangeObj(0, I, 1)
supplied	reference-semantics/semantics/builtins.k	178	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("range", A:Int, B:Int, .Vals) => rangeObj(A, B, 1)
supplied	reference-semantics/semantics/builtins.k	179	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0
supplied	reference-semantics/semantics/builtins.k	187	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
supplied	reference-semantics/semantics/builtins.k	188	syntax	function	SUPPLIED_FIXED_SEMANTICS	syntax Int ::= evalArith(IntSeq) [function]
supplied	reference-semantics/semantics/builtins.k	189	rule	-	SUPPLIED_FIXED_SEMANTICS	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
supplied	reference-semantics/semantics/builtins.k	192	syntax	-	SUPPLIED_FIXED_SEMANTICS	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
supplied	reference-semantics/semantics/builtins.k	194	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax Bool ::= evDigit(Int) [function, total]
supplied	reference-semantics/semantics/builtins.k	195	rule	-	SUPPLIED_FIXED_SEMANTICS	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
supplied	reference-semantics/semantics/builtins.k	196	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax Bool ::= evHead42(IntSeq) [function, total]
supplied	reference-semantics/semantics/builtins.k	197	rule	-	SUPPLIED_FIXED_SEMANTICS	rule evHead42(iCons(42, _:IntSeq)) => true
supplied	reference-semantics/semantics/builtins.k	198	rule	owise	SUPPLIED_FIXED_SEMANTICS	rule evHead42(_:IntSeq) => false [owise]
supplied	reference-semantics/semantics/builtins.k	199	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax Bool ::= evHead47(IntSeq) [function, total]
supplied	reference-semantics/semantics/builtins.k	200	rule	-	SUPPLIED_FIXED_SEMANTICS	rule evHead47(iCons(47, _:IntSeq)) => true
supplied	reference-semantics/semantics/builtins.k	201	rule	owise	SUPPLIED_FIXED_SEMANTICS	rule evHead47(_:IntSeq) => false [owise]
supplied	reference-semantics/semantics/builtins.k	203	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax OpSeq ::= tokOps(IntSeq) [function, total]
supplied	reference-semantics/semantics/builtins.k	204	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokOps(.IntSeq) => .OpSeq
supplied	reference-semantics/semantics/builtins.k	205	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokOps(iCons(32, R:IntSeq)) => tokOps(R)
supplied	reference-semantics/semantics/builtins.k	206	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokOps(iCons(C:Int, R:IntSeq)) => tokOps(R) requires evDigit(C)
supplied	reference-semantics/semantics/builtins.k	207	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
supplied	reference-semantics/semantics/builtins.k	208	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokOps(iCons(42, R:IntSeq)) => oCons("*", tokOps(R)) requires notBool evHead42(R)
supplied	reference-semantics/semantics/builtins.k	209	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
supplied	reference-semantics/semantics/builtins.k	210	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokOps(iCons(47, R:IntSeq)) => oCons("/", tokOps(R)) requires notBool evHead47(R)
supplied	reference-semantics/semantics/builtins.k	211	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokOps(iCons(43, R:IntSeq)) => oCons("+", tokOps(R))
supplied	reference-semantics/semantics/builtins.k	212	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokOps(iCons(45, R:IntSeq)) => oCons("-", tokOps(R))
supplied	reference-semantics/semantics/builtins.k	214	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
supplied	reference-semantics/semantics/builtins.k	216	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokNds(.IntSeq) => .IntSeq
supplied	reference-semantics/semantics/builtins.k	217	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)
supplied	reference-semantics/semantics/builtins.k	218	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
supplied	reference-semantics/semantics/builtins.k	219	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32
supplied	reference-semantics/semantics/builtins.k	221	rule	-	SUPPLIED_FIXED_SEMANTICS	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)
supplied	reference-semantics/semantics/builtins.k	223	rule	owise	SUPPLIED_FIXED_SEMANTICS	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
supplied	reference-semantics/semantics/builtins.k	225	syntax	-	SUPPLIED_FIXED_SEMANTICS	syntax EvPair ::= evp(OpSeq, IntSeq)
supplied	reference-semantics/semantics/builtins.k	226	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax Int ::= firstNdE(EvPair) [function, total]
supplied	reference-semantics/semantics/builtins.k	227	rule	-	SUPPLIED_FIXED_SEMANTICS	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
supplied	reference-semantics/semantics/builtins.k	228	rule	owise	SUPPLIED_FIXED_SEMANTICS	rule firstNdE(_:EvPair) => 0 [owise]
supplied	reference-semantics/semantics/builtins.k	230	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax Int ::= applyOpE(String, Int, Int) [function, total]
supplied	reference-semantics/semantics/builtins.k	231	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyOpE("+", A:Int, B:Int) => A +Int B
supplied	reference-semantics/semantics/builtins.k	232	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyOpE("-", A:Int, B:Int) => A -Int B
supplied	reference-semantics/semantics/builtins.k	233	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyOpE("*", A:Int, B:Int) => A *Int B
supplied	reference-semantics/semantics/builtins.k	234	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyOpE("//", A:Int, B:Int) => A divInt B
supplied	reference-semantics/semantics/builtins.k	235	rule	-	SUPPLIED_FIXED_SEMANTICS	rule applyOpE("**", A:Int, B:Int) => A ^Int B
supplied	reference-semantics/semantics/builtins.k	236	rule	owise	SUPPLIED_FIXED_SEMANTICS	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
supplied	reference-semantics/semantics/builtins.k	238	syntax	function,total	SUPPLIED_FIXED_SEMANTICS	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
