source	module	start_line	end_line	kind	decision	declaration
reference-semantics/semantics/bool.k	MPY-BOOL	22	23	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
reference-semantics/semantics/bool.k	MPY-BOOL	24	25	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
reference-semantics/semantics/bool.k	MPY-BOOL	29	30	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	MPY-BOOL	31	34	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k	MPY-BOOL	35	38	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k	MPY-BOOL	39	42	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k	MPY-BOOL	43	46	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
reference-semantics/semantics/bool.k	MPY-BOOL	47	47	endmodule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	endmodule
reference-semantics/semantics/builtins.k	<outside-module>	3	3	module	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	module MPY-BUILTINS
reference-semantics/semantics/builtins.k	MPY-BUILTINS	4	4	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-CORE
reference-semantics/semantics/builtins.k	MPY-BUILTINS	5	5	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-STR
reference-semantics/semantics/builtins.k	MPY-BUILTINS	6	6	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-SET
reference-semantics/semantics/builtins.k	MPY-BUILTINS	7	7	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-ITER
reference-semantics/semantics/builtins.k	MPY-BUILTINS	8	8	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-RANGE
reference-semantics/semantics/builtins.k	MPY-BUILTINS	9	9	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-INT
reference-semantics/semantics/builtins.k	MPY-BUILTINS	10	10	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-METHODS
reference-semantics/semantics/builtins.k	MPY-BUILTINS	17	17	syntax:function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	20	20	syntax:function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	21	21	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	22	22	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	23	23	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	24	24	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	25	25	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	26	26	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	32	32	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	33	33	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	34	34	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	35	35	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	36	36	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	37	37	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule charsOf(.IntSeq)                => .ValSeq
reference-semantics/semantics/builtins.k	MPY-BUILTINS	38	38	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k	MPY-BUILTINS	41	41	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	44	44	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	47	47	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	48	48	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	49	49	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	50	52	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	54	54	syntax:function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	55	55	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule intOf(I:Int)  => I
reference-semantics/semantics/builtins.k	MPY-BUILTINS	56	56	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k	MPY-BUILTINS	59	59	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
reference-semantics/semantics/builtins.k	MPY-BUILTINS	60	60	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	61	61	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	62	63	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	64	65	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	67	67	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
reference-semantics/semantics/builtins.k	MPY-BUILTINS	68	68	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	69	69	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	70	71	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	72	73	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	76	76	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	77	77	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	78	79	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	80	80	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	81	81	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	82	84	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	86	86	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	87	87	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	88	89	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	90	90	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	91	91	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	92	94	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	97	97	syntax:function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	98	98	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	99	99	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule maxVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	MPY-BUILTINS	100	100	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	102	102	syntax:function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	103	103	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	104	104	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule minVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	MPY-BUILTINS	105	105	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	108	109	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	111	113	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	114	114	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	115	115	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	116	116	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	MPY-BUILTINS	117	117	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	118	118	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	MPY-BUILTINS	119	121	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
reference-semantics/semantics/builtins.k	MPY-BUILTINS	124	125	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	126	126	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	127	127	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	MPY-BUILTINS	128	129	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
reference-semantics/semantics/builtins.k	MPY-BUILTINS	132	133	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	134	134	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	135	135	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	MPY-BUILTINS	136	136	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	MPY-BUILTINS	137	137	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
reference-semantics/semantics/builtins.k	MPY-BUILTINS	140	140	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""int"", I:Int, .Vals) => I"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	143	143	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	144	145	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	148	148	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	149	149	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	152	153	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	156	157	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	158	158	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	159	159	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
reference-semantics/semantics/builtins.k	MPY-BUILTINS	160	160	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
reference-semantics/semantics/builtins.k	MPY-BUILTINS	163	163	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	164	164	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	167	168	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	169	169	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	170	170	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	171	172	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	173	173	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	174	174	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	177	177	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""range"", I:Int, .Vals)               => rangeObj(0, I, 1)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	178	178	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""range"", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	179	180	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""range"", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	187	187	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule applyBuiltin(""eval"", str(CS:IntSeq), .Vals) => evalArith(CS)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	188	188	syntax:function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Int ::= evalArith(IntSeq) [function]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	189	190	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
reference-semantics/semantics/builtins.k	MPY-BUILTINS	192	192	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax OpSeq ::= "".OpSeq"" | oCons(String, OpSeq)"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	194	194	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Bool ::= evDigit(Int) [function, total]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	195	195	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
