origin	path	start	end	kind	flags	exact_source_block
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	72	73	rule	-	  rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>\n       requires notBool truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	76	76	syntax	-	  syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	77	77	rule	-	  rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	78	79	rule	-	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>\n       requires isInt(V)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	80	80	rule	-	  rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	81	81	rule	-	  rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	82	84	rule	-	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)\n        => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>\n       requires isInt(V)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	86	86	syntax	-	  syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	87	87	rule	-	  rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	88	89	rule	-	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>\n       requires isInt(V)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	90	90	rule	-	  rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	91	91	rule	-	  rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	92	94	rule	-	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)\n        => #minAcc(R, minInt(M, {V}:>Int)) ... </k>\n       requires isInt(V)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	97	97	syntax	function	  syntax Int ::= maxVals(Int, Vals) [function]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	98	98	rule	-	  rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	99	99	rule	-	  rule maxVals(M:Int, .Vals)           => M
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	100	100	rule	-	  rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	102	102	syntax	function	  syntax Int ::= minVals(Int, Vals) [function]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	103	103	rule	-	  rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	104	104	rule	-	  rule minVals(M:Int, .Vals)           => M
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	105	105	rule	-	  rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	108	109	rule	-	  rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))\n       requires N >=Int 0
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	111	113	rule	-	  rule applyBuiltin("bin", N:Int, .Vals)\n    => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))\n       requires N <Int 0
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	114	114	syntax	function,total	  syntax IntSeq ::= binCodes(Int) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	115	115	rule	-	  rule binCodes(0) => iCons(48, .IntSeq)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	116	116	rule	-	  rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	117	117	syntax	function,total	  syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	118	118	rule	-	  rule binAcc(0, ACC:IntSeq) => ACC
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	119	121	rule	-	  rule binAcc(N:Int, ACC:IntSeq)\n    => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))\n       requires N >Int 0
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	124	125	rule	-	  rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals))\n        => #alloc(list(enumVS(VS, 0))) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	126	126	syntax	function,total	  syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	127	127	rule	-	  rule enumVS(.ValSeq, _:Int) => .ValSeq
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	128	129	rule	-	  rule enumVS(vCons(V:Val, R:ValSeq), I:Int)\n    => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	132	133	rule	-	  rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals))\n        => #alloc(list(mapStrVS(VS))) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	134	134	syntax	function,total	  syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	135	135	rule	-	  rule mapStrVS(.ValSeq) => .ValSeq
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	136	136	rule	-	  rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	137	137	rule	-	  rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	140	140	rule	-	  rule applyBuiltin("int", I:Int, .Vals) => I
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	143	143	rule	-	  rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	144	145	rule	-	  rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))\n       requires 0 <=Int I andBool I <Int 128
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	148	148	rule	-	  rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	149	149	rule	-	  rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	152	153	rule	-	  rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48\n       requires 48 <=Int C andBool C <=Int 57
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	156	157	rule	-	  rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)\n       requires isLen(CS) >=Int 2
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	158	158	syntax	function,total	  syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	159	159	rule	-	  rule intDigAcc(.IntSeq, ACC:Int)             => ACC
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	160	160	rule	-	  rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	163	163	rule	-	  rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	164	164	rule	-	  rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	167	168	rule	-	  rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq)))\n        => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	169	169	rule	-	  rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	170	170	rule	-	  rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	171	172	rule	-	  rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq)))\n        => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	173	173	rule	-	  rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	174	174	rule	-	  rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	177	177	rule	-	  rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	178	178	rule	-	  rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	179	180	rule	-	  rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)\n       requires S =/=Int 0
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	187	187	rule	-	  rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	188	188	syntax	function	  syntax Int ::= evalArith(IntSeq) [function]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	189	190	rule	-	  rule evalArith(CS:IntSeq)\n    => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	192	192	syntax	-	  syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	194	194	syntax	function,total	  syntax Bool ::= evDigit(Int) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	195	195	rule	-	  rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	196	196	syntax	function,total	  syntax Bool ::= evHead42(IntSeq) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	197	197	rule	-	  rule evHead42(iCons(42, _:IntSeq)) => true
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	198	198	rule	owise	  rule evHead42(_:IntSeq)            => false [owise]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	199	199	syntax	function,total	  syntax Bool ::= evHead47(IntSeq) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	200	200	rule	-	  rule evHead47(iCons(47, _:IntSeq)) => true
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	201	201	rule	owise	  rule evHead47(_:IntSeq)            => false [owise]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	203	203	syntax	function,total	  syntax OpSeq ::= tokOps(IntSeq) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	204	204	rule	-	  rule tokOps(.IntSeq)                 => .OpSeq
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	205	205	rule	-	  rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	206	206	rule	-	  rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	207	207	rule	-	  rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	208	208	rule	-	  rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	209	209	rule	-	  rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	210	210	rule	-	  rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	211	211	rule	-	  rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	212	212	rule	-	  rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	214	215	syntax	function,total	  syntax IntSeq ::= tokNds(IntSeq) [function, total]\n                  | tokNdAcc(Int, IntSeq) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	216	216	rule	-	  rule tokNds(.IntSeq)                => .IntSeq
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	217	217	rule	-	  rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	218	218	rule	-	  rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	219	220	rule	-	  rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R)\n       requires notBool evDigit(C) andBool C =/=Int 32
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	221	222	rule	-	  rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R)\n       requires evDigit(C)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	223	223	rule	owise	  rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	225	225	syntax	-	  syntax EvPair ::= evp(OpSeq, IntSeq)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	226	226	syntax	function,total	  syntax Int ::= firstNdE(EvPair) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	227	227	rule	-	  rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	228	228	rule	owise	  rule firstNdE(_:EvPair) => 0 [owise]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	230	230	syntax	function,total	  syntax Int ::= applyOpE(String, Int, Int) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	231	231	rule	-	  rule applyOpE("+",  A:Int, B:Int) => A +Int B
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	232	232	rule	-	  rule applyOpE("-",  A:Int, B:Int) => A -Int B
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	233	233	rule	-	  rule applyOpE("*",  A:Int, B:Int) => A *Int B
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	234	234	rule	-	  rule applyOpE("//", A:Int, B:Int) => A divInt B
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	235	235	rule	-	  rule applyOpE("**", A:Int, B:Int) => A ^Int B
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	236	236	rule	owise	  rule applyOpE(_:String, A:Int, _:Int) => A [owise]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	238	238	syntax	function,total	  syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	239	239	rule	-	  rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	240	240	rule	-	  rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	241	242	rule	-	  rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS))\n       requires O =/=String "**"
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	243	243	rule	owise	  rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	244	244	syntax	function,total	  syntax EvPair ::= powCombE(Int, EvPair) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	245	245	rule	-	  rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	246	246	rule	-	  rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
