id	file	line	kind	attributes	source
K0087	/reference/reference-semantics/semantics/builtins.k	24	rule	-	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
K0088	/reference/reference-semantics/semantics/builtins.k	25	rule	-	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
K0089	/reference/reference-semantics/semantics/builtins.k	26	rule	-	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K0090	/reference/reference-semantics/semantics/builtins.k	32	rule	-	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
K0091	/reference/reference-semantics/semantics/builtins.k	33	rule	-	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0092	/reference/reference-semantics/semantics/builtins.k	34	rule	-	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
K0093	/reference/reference-semantics/semantics/builtins.k	35	rule	-	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
K0094	/reference/reference-semantics/semantics/builtins.k	36	syntax	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0095	/reference/reference-semantics/semantics/builtins.k	37	rule	-	rule charsOf(.IntSeq)                => .ValSeq
K0096	/reference/reference-semantics/semantics/builtins.k	38	rule	-	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K0097	/reference/reference-semantics/semantics/builtins.k	41	rule	-	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
K0098	/reference/reference-semantics/semantics/builtins.k	44	rule	-	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
K0099	/reference/reference-semantics/semantics/builtins.k	47	syntax	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0100	/reference/reference-semantics/semantics/builtins.k	48	rule	-	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0101	/reference/reference-semantics/semantics/builtins.k	49	rule	-	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0102	/reference/reference-semantics/semantics/builtins.k	50	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K0103	/reference/reference-semantics/semantics/builtins.k	54	syntax	function	syntax Int ::= intOf(Val) [function]
K0104	/reference/reference-semantics/semantics/builtins.k	55	rule	-	rule intOf(I:Int)  => I
K0105	/reference/reference-semantics/semantics/builtins.k	56	rule	-	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K0106	/reference/reference-semantics/semantics/builtins.k	59	syntax	-	syntax KItem ::= #allAcc(Iterable) | "#allCont"
K0107	/reference/reference-semantics/semantics/builtins.k	60	rule	-	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0108	/reference/reference-semantics/semantics/builtins.k	61	rule	-	rule <k> #iterDone ~> #allCont => true ... </k>
K0109	/reference/reference-semantics/semantics/builtins.k	62	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K0110	/reference/reference-semantics/semantics/builtins.k	64	rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K0111	/reference/reference-semantics/semantics/builtins.k	67	syntax	-	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
K0112	/reference/reference-semantics/semantics/builtins.k	68	rule	-	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0113	/reference/reference-semantics/semantics/builtins.k	69	rule	-	rule <k> #iterDone ~> #anyCont => false ... </k>
K0114	/reference/reference-semantics/semantics/builtins.k	70	rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
K0115	/reference/reference-semantics/semantics/builtins.k	72	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
K0116	/reference/reference-semantics/semantics/builtins.k	76	syntax	-	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
K0117	/reference/reference-semantics/semantics/builtins.k	77	rule	-	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0118	/reference/reference-semantics/semantics/builtins.k	78	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0119	/reference/reference-semantics/semantics/builtins.k	80	rule	-	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0120	/reference/reference-semantics/semantics/builtins.k	81	rule	-	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K0121	/reference/reference-semantics/semantics/builtins.k	82	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0122	/reference/reference-semantics/semantics/builtins.k	86	syntax	-	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
K0123	/reference/reference-semantics/semantics/builtins.k	87	rule	-	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K0124	/reference/reference-semantics/semantics/builtins.k	88	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0125	/reference/reference-semantics/semantics/builtins.k	90	rule	-	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K0126	/reference/reference-semantics/semantics/builtins.k	91	rule	-	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K0127	/reference/reference-semantics/semantics/builtins.k	92	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0128	/reference/reference-semantics/semantics/builtins.k	97	syntax	function	syntax Int ::= maxVals(Int, Vals) [function]
K0129	/reference/reference-semantics/semantics/builtins.k	98	rule	-	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
K0130	/reference/reference-semantics/semantics/builtins.k	99	rule	-	rule maxVals(M:Int, .Vals)           => M
K0131	/reference/reference-semantics/semantics/builtins.k	100	rule	-	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K0132	/reference/reference-semantics/semantics/builtins.k	102	syntax	function	syntax Int ::= minVals(Int, Vals) [function]
K0133	/reference/reference-semantics/semantics/builtins.k	103	rule	-	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
K0134	/reference/reference-semantics/semantics/builtins.k	104	rule	-	rule minVals(M:Int, .Vals)           => M
K0135	/reference/reference-semantics/semantics/builtins.k	105	rule	-	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
K0136	/reference/reference-semantics/semantics/builtins.k	108	rule	-	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
K0137	/reference/reference-semantics/semantics/builtins.k	111	rule	-	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
K0138	/reference/reference-semantics/semantics/builtins.k	114	syntax	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
K0139	/reference/reference-semantics/semantics/builtins.k	115	rule	-	rule binCodes(0) => iCons(48, .IntSeq)
K0140	/reference/reference-semantics/semantics/builtins.k	116	rule	-	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K0141	/reference/reference-semantics/semantics/builtins.k	117	syntax	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K0142	/reference/reference-semantics/semantics/builtins.k	118	rule	-	rule binAcc(0, ACC:IntSeq) => ACC
K0143	/reference/reference-semantics/semantics/builtins.k	119	rule	-	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
K0144	/reference/reference-semantics/semantics/builtins.k	124	rule	-	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
K0145	/reference/reference-semantics/semantics/builtins.k	126	syntax	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K0146	/reference/reference-semantics/semantics/builtins.k	127	rule	-	rule enumVS(.ValSeq, _:Int) => .ValSeq
K0147	/reference/reference-semantics/semantics/builtins.k	128	rule	-	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
K0148	/reference/reference-semantics/semantics/builtins.k	132	rule	-	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
K0149	/reference/reference-semantics/semantics/builtins.k	134	syntax	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K0150	/reference/reference-semantics/semantics/builtins.k	135	rule	-	rule mapStrVS(.ValSeq) => .ValSeq
K0151	/reference/reference-semantics/semantics/builtins.k	136	rule	-	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K0152	/reference/reference-semantics/semantics/builtins.k	137	rule	-	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
K0153	/reference/reference-semantics/semantics/builtins.k	140	rule	-	rule applyBuiltin("int", I:Int, .Vals) => I
K0154	/reference/reference-semantics/semantics/builtins.k	143	rule	-	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
K0155	/reference/reference-semantics/semantics/builtins.k	144	rule	-	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
K0156	/reference/reference-semantics/semantics/builtins.k	148	rule	-	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
K0157	/reference/reference-semantics/semantics/builtins.k	149	rule	-	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
K0158	/reference/reference-semantics/semantics/builtins.k	152	rule	-	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
K0159	/reference/reference-semantics/semantics/builtins.k	156	rule	-	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
K0160	/reference/reference-semantics/semantics/builtins.k	158	syntax	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
K0161	/reference/reference-semantics/semantics/builtins.k	159	rule	-	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
K0162	/reference/reference-semantics/semantics/builtins.k	160	rule	-	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
K0163	/reference/reference-semantics/semantics/builtins.k	163	rule	-	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
K0164	/reference/reference-semantics/semantics/builtins.k	164	rule	-	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
K0165	/reference/reference-semantics/semantics/builtins.k	167	rule	-	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
K0166	/reference/reference-semantics/semantics/builtins.k	169	rule	-	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
K0167	/reference/reference-semantics/semantics/builtins.k	170	rule	-	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
K0168	/reference/reference-semantics/semantics/builtins.k	171	rule	-	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
K0169	/reference/reference-semantics/semantics/builtins.k	173	rule	-	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
K0170	/reference/reference-semantics/semantics/builtins.k	174	rule	-	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
K0171	/reference/reference-semantics/semantics/builtins.k	177	rule	-	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
K0172	/reference/reference-semantics/semantics/builtins.k	178	rule	-	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
K0173	/reference/reference-semantics/semantics/builtins.k	179	rule	-	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0
K0174	/reference/reference-semantics/semantics/builtins.k	187	rule	-	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
K0175	/reference/reference-semantics/semantics/builtins.k	188	syntax	function	syntax Int ::= evalArith(IntSeq) [function]
K0176	/reference/reference-semantics/semantics/builtins.k	189	rule	-	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
K0177	/reference/reference-semantics/semantics/builtins.k	192	syntax	-	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
K0178	/reference/reference-semantics/semantics/builtins.k	194	syntax	function,total	syntax Bool ::= evDigit(Int) [function, total]
K0179	/reference/reference-semantics/semantics/builtins.k	195	rule	-	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
K0180	/reference/reference-semantics/semantics/builtins.k	196	syntax	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
K0181	/reference/reference-semantics/semantics/builtins.k	197	rule	-	rule evHead42(iCons(42, _:IntSeq)) => true
K0182	/reference/reference-semantics/semantics/builtins.k	198	rule	owise	rule evHead42(_:IntSeq)            => false [owise]
K0183	/reference/reference-semantics/semantics/builtins.k	199	syntax	function,total	syntax Bool ::= evHead47(IntSeq) [function, total]
K0184	/reference/reference-semantics/semantics/builtins.k	200	rule	-	rule evHead47(iCons(47, _:IntSeq)) => true
K0185	/reference/reference-semantics/semantics/builtins.k	201	rule	owise	rule evHead47(_:IntSeq)            => false [owise]
K0186	/reference/reference-semantics/semantics/builtins.k	203	syntax	function,total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
K0187	/reference/reference-semantics/semantics/builtins.k	204	rule	-	rule tokOps(.IntSeq)                 => .OpSeq
K0188	/reference/reference-semantics/semantics/builtins.k	205	rule	-	rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
K0189	/reference/reference-semantics/semantics/builtins.k	206	rule	-	rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
K0190	/reference/reference-semantics/semantics/builtins.k	207	rule	-	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
K0191	/reference/reference-semantics/semantics/builtins.k	208	rule	-	rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
K0192	/reference/reference-semantics/semantics/builtins.k	209	rule	-	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
K0193	/reference/reference-semantics/semantics/builtins.k	210	rule	-	rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)
K0194	/reference/reference-semantics/semantics/builtins.k	211	rule	-	rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))
K0195	/reference/reference-semantics/semantics/builtins.k	212	rule	-	rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))
K0196	/reference/reference-semantics/semantics/builtins.k	214	syntax	function,total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
K0197	/reference/reference-semantics/semantics/builtins.k	216	rule	-	rule tokNds(.IntSeq)                => .IntSeq
K0198	/reference/reference-semantics/semantics/builtins.k	217	rule	-	rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)
K0199	/reference/reference-semantics/semantics/builtins.k	218	rule	-	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
K0200	/reference/reference-semantics/semantics/builtins.k	219	rule	-	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32
K0201	/reference/reference-semantics/semantics/builtins.k	221	rule	-	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)
K0202	/reference/reference-semantics/semantics/builtins.k	223	rule	owise	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
K0203	/reference/reference-semantics/semantics/builtins.k	225	syntax	-	syntax EvPair ::= evp(OpSeq, IntSeq)
K0204	/reference/reference-semantics/semantics/builtins.k	226	syntax	function,total	syntax Int ::= firstNdE(EvPair) [function, total]
K0205	/reference/reference-semantics/semantics/builtins.k	227	rule	-	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
K0206	/reference/reference-semantics/semantics/builtins.k	228	rule	owise	rule firstNdE(_:EvPair) => 0 [owise]
K0207	/reference/reference-semantics/semantics/builtins.k	230	syntax	function,total	syntax Int ::= applyOpE(String, Int, Int) [function, total]
K0208	/reference/reference-semantics/semantics/builtins.k	231	rule	-	rule applyOpE("+",  A:Int, B:Int) => A +Int B
K0209	/reference/reference-semantics/semantics/builtins.k	232	rule	-	rule applyOpE("-",  A:Int, B:Int) => A -Int B
K0210	/reference/reference-semantics/semantics/builtins.k	233	rule	-	rule applyOpE("*",  A:Int, B:Int) => A *Int B
K0211	/reference/reference-semantics/semantics/builtins.k	234	rule	-	rule applyOpE("//", A:Int, B:Int) => A divInt B
K0212	/reference/reference-semantics/semantics/builtins.k	235	rule	-	rule applyOpE("**", A:Int, B:Int) => A ^Int B
K0213	/reference/reference-semantics/semantics/builtins.k	236	rule	owise	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
K0214	/reference/reference-semantics/semantics/builtins.k	238	syntax	function,total	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
