id	file	line	kind	attributes	disposition	reason
K0021	/reference/reference-semantics/semantics.k	54	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0022	/reference/reference-semantics/semantics.k	55	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0023	/reference/reference-semantics/semantics.k	56	requires	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0024	/reference/reference-semantics/semantics.k	58	module	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0025	/reference/reference-semantics/semantics.k	59	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0026	/reference/reference-semantics/semantics.k	60	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0027	/reference/reference-semantics/semantics.k	61	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0028	/reference/reference-semantics/semantics.k	62	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0029	/reference/reference-semantics/semantics.k	63	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0030	/reference/reference-semantics/semantics.k	64	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0031	/reference/reference-semantics/semantics.k	65	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0032	/reference/reference-semantics/semantics.k	66	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0033	/reference/reference-semantics/semantics.k	67	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0034	/reference/reference-semantics/semantics.k	68	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0035	/reference/reference-semantics/semantics.k	69	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0036	/reference/reference-semantics/semantics.k	70	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0037	/reference/reference-semantics/semantics.k	71	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0038	/reference/reference-semantics/semantics.k	72	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0039	/reference/reference-semantics/semantics.k	73	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0040	/reference/reference-semantics/semantics.k	74	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0041	/reference/reference-semantics/semantics.k	75	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0042	/reference/reference-semantics/semantics.k	76	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0043	/reference/reference-semantics/semantics.k	77	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0044	/reference/reference-semantics/semantics.k	78	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0045	/reference/reference-semantics/semantics.k	79	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0046	/reference/reference-semantics/semantics.k	80	endmodule	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0047	/reference/reference-semantics/semantics.k	87	module	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0048	/reference/reference-semantics/semantics.k	88	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0049	/reference/reference-semantics/semantics.k	89	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0050	/reference/reference-semantics/semantics.k	90	endmodule	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0051	/reference/reference-semantics/semantics/assert.k	3	module	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0052	/reference/reference-semantics/semantics/assert.k	4	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0053	/reference/reference-semantics/semantics/assert.k	6	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0054	/reference/reference-semantics/semantics/assert.k	8	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0055	/reference/reference-semantics/semantics/assert.k	13	rule	priority	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0056	/reference/reference-semantics/semantics/assert.k	16	endmodule	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0057	/reference/reference-semantics/semantics/bool.k	5	module	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0058	/reference/reference-semantics/semantics/bool.k	6	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0059	/reference/reference-semantics/semantics/bool.k	8	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0060	/reference/reference-semantics/semantics/bool.k	10	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0061	/reference/reference-semantics/semantics/bool.k	11	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0062	/reference/reference-semantics/semantics/bool.k	16	context	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0063	/reference/reference-semantics/semantics/bool.k	17	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0064	/reference/reference-semantics/semantics/bool.k	18	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0065	/reference/reference-semantics/semantics/bool.k	20	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0066	/reference/reference-semantics/semantics/bool.k	22	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0067	/reference/reference-semantics/semantics/bool.k	24	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0068	/reference/reference-semantics/semantics/bool.k	29	rule	priority	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0069	/reference/reference-semantics/semantics/bool.k	31	rule	priority	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0070	/reference/reference-semantics/semantics/bool.k	35	rule	priority	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0071	/reference/reference-semantics/semantics/bool.k	39	rule	priority	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0072	/reference/reference-semantics/semantics/bool.k	43	rule	priority	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0073	/reference/reference-semantics/semantics/bool.k	47	endmodule	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0074	/reference/reference-semantics/semantics/builtins.k	3	module	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0075	/reference/reference-semantics/semantics/builtins.k	4	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0076	/reference/reference-semantics/semantics/builtins.k	5	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0077	/reference/reference-semantics/semantics/builtins.k	6	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0078	/reference/reference-semantics/semantics/builtins.k	7	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0079	/reference/reference-semantics/semantics/builtins.k	8	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0080	/reference/reference-semantics/semantics/builtins.k	9	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0081	/reference/reference-semantics/semantics/builtins.k	10	imports	-	STRUCTURAL	Module/import/configuration/context sentence inventoried.
K0082	/reference/reference-semantics/semantics/builtins.k	17	syntax	function	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0083	/reference/reference-semantics/semantics/builtins.k	20	syntax	function	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0084	/reference/reference-semantics/semantics/builtins.k	21	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0085	/reference/reference-semantics/semantics/builtins.k	22	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0086	/reference/reference-semantics/semantics/builtins.k	23	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0087	/reference/reference-semantics/semantics/builtins.k	24	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0088	/reference/reference-semantics/semantics/builtins.k	25	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0089	/reference/reference-semantics/semantics/builtins.k	26	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0090	/reference/reference-semantics/semantics/builtins.k	32	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0091	/reference/reference-semantics/semantics/builtins.k	33	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0092	/reference/reference-semantics/semantics/builtins.k	34	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0093	/reference/reference-semantics/semantics/builtins.k	35	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0094	/reference/reference-semantics/semantics/builtins.k	36	syntax	function,total	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0095	/reference/reference-semantics/semantics/builtins.k	37	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0096	/reference/reference-semantics/semantics/builtins.k	38	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0097	/reference/reference-semantics/semantics/builtins.k	41	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0098	/reference/reference-semantics/semantics/builtins.k	44	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0099	/reference/reference-semantics/semantics/builtins.k	47	syntax	-	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0100	/reference/reference-semantics/semantics/builtins.k	48	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0101	/reference/reference-semantics/semantics/builtins.k	49	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0102	/reference/reference-semantics/semantics/builtins.k	50	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0103	/reference/reference-semantics/semantics/builtins.k	54	syntax	function	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0104	/reference/reference-semantics/semantics/builtins.k	55	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0105	/reference/reference-semantics/semantics/builtins.k	56	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0106	/reference/reference-semantics/semantics/builtins.k	59	syntax	-	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0107	/reference/reference-semantics/semantics/builtins.k	60	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0108	/reference/reference-semantics/semantics/builtins.k	61	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0109	/reference/reference-semantics/semantics/builtins.k	62	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0110	/reference/reference-semantics/semantics/builtins.k	64	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0111	/reference/reference-semantics/semantics/builtins.k	67	syntax	-	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0112	/reference/reference-semantics/semantics/builtins.k	68	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0113	/reference/reference-semantics/semantics/builtins.k	69	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0114	/reference/reference-semantics/semantics/builtins.k	70	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0115	/reference/reference-semantics/semantics/builtins.k	72	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0116	/reference/reference-semantics/semantics/builtins.k	76	syntax	-	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0117	/reference/reference-semantics/semantics/builtins.k	77	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0118	/reference/reference-semantics/semantics/builtins.k	78	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0119	/reference/reference-semantics/semantics/builtins.k	80	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0120	/reference/reference-semantics/semantics/builtins.k	81	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0121	/reference/reference-semantics/semantics/builtins.k	82	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0122	/reference/reference-semantics/semantics/builtins.k	86	syntax	-	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0123	/reference/reference-semantics/semantics/builtins.k	87	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0124	/reference/reference-semantics/semantics/builtins.k	88	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0125	/reference/reference-semantics/semantics/builtins.k	90	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0126	/reference/reference-semantics/semantics/builtins.k	91	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0127	/reference/reference-semantics/semantics/builtins.k	92	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0128	/reference/reference-semantics/semantics/builtins.k	97	syntax	function	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0129	/reference/reference-semantics/semantics/builtins.k	98	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0130	/reference/reference-semantics/semantics/builtins.k	99	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0131	/reference/reference-semantics/semantics/builtins.k	100	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0132	/reference/reference-semantics/semantics/builtins.k	102	syntax	function	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0133	/reference/reference-semantics/semantics/builtins.k	103	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0134	/reference/reference-semantics/semantics/builtins.k	104	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0135	/reference/reference-semantics/semantics/builtins.k	105	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0136	/reference/reference-semantics/semantics/builtins.k	108	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0137	/reference/reference-semantics/semantics/builtins.k	111	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0138	/reference/reference-semantics/semantics/builtins.k	114	syntax	function,total	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0139	/reference/reference-semantics/semantics/builtins.k	115	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0140	/reference/reference-semantics/semantics/builtins.k	116	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0141	/reference/reference-semantics/semantics/builtins.k	117	syntax	function,total	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0142	/reference/reference-semantics/semantics/builtins.k	118	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0143	/reference/reference-semantics/semantics/builtins.k	119	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0144	/reference/reference-semantics/semantics/builtins.k	124	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0145	/reference/reference-semantics/semantics/builtins.k	126	syntax	function,total	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0146	/reference/reference-semantics/semantics/builtins.k	127	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0147	/reference/reference-semantics/semantics/builtins.k	128	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0148	/reference/reference-semantics/semantics/builtins.k	132	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0149	/reference/reference-semantics/semantics/builtins.k	134	syntax	function,total	ACCEPT_DECLARATION	Syntax/function/attribute declaration inventoried; material used-path rules are mapped in construct-map.md.
K0150	/reference/reference-semantics/semantics/builtins.k	135	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0151	/reference/reference-semantics/semantics/builtins.k	136	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0152	/reference/reference-semantics/semantics/builtins.k	137	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0153	/reference/reference-semantics/semantics/builtins.k	140	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0154	/reference/reference-semantics/semantics/builtins.k	143	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0155	/reference/reference-semantics/semantics/builtins.k	144	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0156	/reference/reference-semantics/semantics/builtins.k	148	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
K0157	/reference/reference-semantics/semantics/builtins.k	149	rule	-	ACCEPT_FIXED_SUPPLIED_LEVEL	Individually inspected fixed-supplied rule. Used-path relevance and construct routing are recorded in construct-map.md; no false conclusion witness was found on the intended domain.
