id	file	line	kind	attributes	source_role	decision	sha256_16	normalized_declaration
K0011	reference-semantics/semantics/bool.k	22	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	90eb739f0ec4c931	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
K0012	reference-semantics/semantics/bool.k	24	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	2ee0f9076be54f60	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
K0013	reference-semantics/semantics/bool.k	29	RULE_PRIORITY	priority	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	570c438ed2f88db9	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0014	reference-semantics/semantics/bool.k	31	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	33e477bc7d8ac19c	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
K0015	reference-semantics/semantics/bool.k	35	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	a549233f103c3e1a	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
K0016	reference-semantics/semantics/bool.k	39	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	500f38f92ca6b49c	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
K0017	reference-semantics/semantics/bool.k	43	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	74ffb5ebfd0fc317	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
K0018	reference-semantics/semantics/builtins.k	17	SYNTAX_FUNCTION	function	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	8eb9b94daf324cbc	syntax Val ::= applyBuiltin(String, Vals) [function]
K0019	reference-semantics/semantics/builtins.k	20	SYNTAX_FUNCTION	function	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	f6cf3d1713c13dac	syntax Int ::= seqLen(Val) [function]
K0020	reference-semantics/semantics/builtins.k	21	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	4c33466e09a76b77	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
K0021	reference-semantics/semantics/builtins.k	22	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	0aaba3d3b63a1204	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
K0022	reference-semantics/semantics/builtins.k	23	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	f5cd3a9a635bc85b	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
K0023	reference-semantics/semantics/builtins.k	24	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	d643ec5ddd399eb7	rule seqLen(str(IS:IntSeq)) => isLen(IS)
K0024	reference-semantics/semantics/builtins.k	25	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	fe3adc7a7e150cfc	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
K0025	reference-semantics/semantics/builtins.k	26	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	b762a4c2dc2a978a	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K0026	reference-semantics/semantics/builtins.k	32	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	200f6d4892863041	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0027	reference-semantics/semantics/builtins.k	33	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	d4c8072f0224b436	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0028	reference-semantics/semantics/builtins.k	34	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	0b80f78f2b97822d	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
K0029	reference-semantics/semantics/builtins.k	35	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	8b7fa386647f39a3	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
K0030	reference-semantics/semantics/builtins.k	36	SYNTAX_FUNCTION_TOTAL	function,total	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	01aff6eecdd49ca2	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0031	reference-semantics/semantics/builtins.k	37	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	b46c475391e590ad	rule charsOf(.IntSeq) => .ValSeq
K0032	reference-semantics/semantics/builtins.k	38	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	a2c1d74e5b751f7b	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K0033	reference-semantics/semantics/builtins.k	41	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	9f9f03920225a3d3	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
K0034	reference-semantics/semantics/builtins.k	44	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	d43957f0423a89cd	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
K0035	reference-semantics/semantics/builtins.k	47	SYNTAX	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	8faa5250ed2b829b	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0036	reference-semantics/semantics/builtins.k	48	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	cd531bdb9afa464c	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0037	reference-semantics/semantics/builtins.k	49	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	74ff8e8be84218b8	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0038	reference-semantics/semantics/builtins.k	50	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	03fd13ab2f2b9ea4	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
K0039	reference-semantics/semantics/builtins.k	54	SYNTAX_FUNCTION	function	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	0355f95a50a66086	syntax Int ::= intOf(Val) [function]
K0040	reference-semantics/semantics/builtins.k	55	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	619051750e3b8e9f	rule intOf(I:Int) => I
K0041	reference-semantics/semantics/builtins.k	56	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	39b97d83aa9d3c94	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K0042	reference-semantics/semantics/builtins.k	59	SYNTAX	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	ed695fa0c4dbae8a	syntax KItem ::= #allAcc(Iterable) | "#allCont"
K0043	reference-semantics/semantics/builtins.k	60	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	e7fc3b9b3a843956	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0044	reference-semantics/semantics/builtins.k	61	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	b74e515d3e67d8a5	rule <k> #iterDone ~> #allCont => true ... </k>
K0045	reference-semantics/semantics/builtins.k	62	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	636ee4d8b8b14763	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
K0046	reference-semantics/semantics/builtins.k	64	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	1692cfb51988a0b9	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
K0047	reference-semantics/semantics/builtins.k	67	SYNTAX	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	fbd45cd7894ab031	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
K0048	reference-semantics/semantics/builtins.k	68	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	ca3f3bc3212a4bde	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0049	reference-semantics/semantics/builtins.k	69	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	c0ee3d29de0f5847	rule <k> #iterDone ~> #anyCont => false ... </k>
K0050	reference-semantics/semantics/builtins.k	70	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	6e6b5d9a2a11493a	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
K0051	reference-semantics/semantics/builtins.k	72	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	ac5f7ad1241785b4	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
K0052	reference-semantics/semantics/builtins.k	76	SYNTAX	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	e3461106d962a1af	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
K0053	reference-semantics/semantics/builtins.k	77	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	59848da8989bf293	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0054	reference-semantics/semantics/builtins.k	78	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	cca58281075abfb7	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
K0055	reference-semantics/semantics/builtins.k	80	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	66b9fabf71fa1c3c	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0056	reference-semantics/semantics/builtins.k	81	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	45675f8137ef759c	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K0057	reference-semantics/semantics/builtins.k	82	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	94ddacfe6f6ab4fc	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
K0058	reference-semantics/semantics/builtins.k	86	SYNTAX	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	612c7bdfd2d38320	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
K0059	reference-semantics/semantics/builtins.k	87	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	eb6389d2a176f8e9	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K0060	reference-semantics/semantics/builtins.k	88	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	c681ec013119b880	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
K0061	reference-semantics/semantics/builtins.k	90	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	20c0d7b936a1ae71	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K0062	reference-semantics/semantics/builtins.k	91	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	3f472924a83dcd92	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K0063	reference-semantics/semantics/builtins.k	92	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	e970b32e31df51ed	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
K0064	reference-semantics/semantics/builtins.k	97	SYNTAX_FUNCTION	function	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	4282c4747876bd11	syntax Int ::= maxVals(Int, Vals) [function]
K0065	reference-semantics/semantics/builtins.k	98	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	16f482b70cca4e39	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
K0066	reference-semantics/semantics/builtins.k	99	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	d3dcf3e3dfc110b7	rule maxVals(M:Int, .Vals) => M
K0067	reference-semantics/semantics/builtins.k	100	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	f1bf63869c2f8c3b	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K0068	reference-semantics/semantics/builtins.k	102	SYNTAX_FUNCTION	function	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	8b1e9d6e3b83d5fb	syntax Int ::= minVals(Int, Vals) [function]
K0069	reference-semantics/semantics/builtins.k	103	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	92b52ecacf4f7bcc	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
K0070	reference-semantics/semantics/builtins.k	104	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	a772c1fa6c19d7e2	rule minVals(M:Int, .Vals) => M
K0071	reference-semantics/semantics/builtins.k	105	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	e2ec20f0d229a3fd	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
K0072	reference-semantics/semantics/builtins.k	108	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	bc1d49b4973a83a9	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
K0073	reference-semantics/semantics/builtins.k	111	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	3945e9cf94b9f709	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
K0074	reference-semantics/semantics/builtins.k	114	SYNTAX_FUNCTION_TOTAL	function,total	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	c616aba4766ff2aa	syntax IntSeq ::= binCodes(Int) [function, total]
K0075	reference-semantics/semantics/builtins.k	115	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	4e15dfee6cc651dd	rule binCodes(0) => iCons(48, .IntSeq)
K0076	reference-semantics/semantics/builtins.k	116	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	7e1227c3ef645307	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K0077	reference-semantics/semantics/builtins.k	117	SYNTAX_FUNCTION_TOTAL	function,total	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	939453dbc7b8105a	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K0078	reference-semantics/semantics/builtins.k	118	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	7503c649eb67d40e	rule binAcc(0, ACC:IntSeq) => ACC
K0079	reference-semantics/semantics/builtins.k	119	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	4e84e5a06524d4b1	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
K0080	reference-semantics/semantics/builtins.k	124	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	e69569e78ca6c978	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
K0081	reference-semantics/semantics/builtins.k	126	SYNTAX_FUNCTION_TOTAL	function,total	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	aeb5f1496dff1950	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K0082	reference-semantics/semantics/builtins.k	127	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	4833a908272d7c48	rule enumVS(.ValSeq, _:Int) => .ValSeq
K0083	reference-semantics/semantics/builtins.k	128	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	0cee6f21712826f9	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
K0084	reference-semantics/semantics/builtins.k	132	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	67a2cd9a593398ac	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
K0085	reference-semantics/semantics/builtins.k	134	SYNTAX_FUNCTION_TOTAL	function,total	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	0513f86f41d97840	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K0086	reference-semantics/semantics/builtins.k	135	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	289c1f88138532f4	rule mapStrVS(.ValSeq) => .ValSeq
K0087	reference-semantics/semantics/builtins.k	136	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	74f471f298eebc64	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K0088	reference-semantics/semantics/builtins.k	137	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	8b0d47ce433fea65	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
K0089	reference-semantics/semantics/builtins.k	140	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	b502e27ccb7e70d3	rule applyBuiltin("int", I:Int, .Vals) => I
K0090	reference-semantics/semantics/builtins.k	143	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	c4bb6edca9516337	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
K0091	reference-semantics/semantics/builtins.k	144	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	12b35846fbd47c36	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
K0092	reference-semantics/semantics/builtins.k	148	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	514da827df957adc	rule applyBuiltin("str", I:Int, .Vals) => str(strToCodes(Int2String(I)))
K0093	reference-semantics/semantics/builtins.k	149	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	948b6cbe0695cfe9	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
K0094	reference-semantics/semantics/builtins.k	152	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	25b8374e7b008f7f	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
K0095	reference-semantics/semantics/builtins.k	156	RULE_ORDINARY	-	FIXED_SUPPLIED_SEMANTICS	DEFINES_SELECTED_BASELINE; integrity-verified; used-path rules separately audited	2062468c0df9e04d	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
