COMMAND: /audit-output/evidence/inventory_k.sh /tmp/audit-work/48-is-palindrome /audit-output/evidence/rule-inventory.tsv 
id	file	line	kind	declaration	decision
58	reference-semantics/semantics/builtins.k	86	syntax	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)	ACCEPT_FIXED_DECLARATION
59	reference-semantics/semantics/builtins.k	87	rule	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	ACCEPT_FIXED_RULE
60	reference-semantics/semantics/builtins.k	88	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>	ACCEPT_FIXED_RULE
61	reference-semantics/semantics/builtins.k	90	rule	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	ACCEPT_FIXED_RULE
62	reference-semantics/semantics/builtins.k	91	rule	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	ACCEPT_FIXED_RULE
63	reference-semantics/semantics/builtins.k	92	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)	ACCEPT_FIXED_RULE
64	reference-semantics/semantics/builtins.k	97	syntax	syntax Int ::= maxVals(Int, Vals) [function]	ACCEPT_FIXED_DECLARATION
65	reference-semantics/semantics/builtins.k	98	rule	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)	ACCEPT_FIXED_RULE
66	reference-semantics/semantics/builtins.k	99	rule	rule maxVals(M:Int, .Vals)           => M	ACCEPT_FIXED_RULE
67	reference-semantics/semantics/builtins.k	100	rule	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	ACCEPT_FIXED_RULE
68	reference-semantics/semantics/builtins.k	102	syntax	syntax Int ::= minVals(Int, Vals) [function]	ACCEPT_FIXED_DECLARATION
69	reference-semantics/semantics/builtins.k	103	rule	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)	ACCEPT_FIXED_RULE
70	reference-semantics/semantics/builtins.k	104	rule	rule minVals(M:Int, .Vals)           => M	ACCEPT_FIXED_RULE
71	reference-semantics/semantics/builtins.k	105	rule	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)	ACCEPT_FIXED_RULE
72	reference-semantics/semantics/builtins.k	108	rule	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))	ACCEPT_FIXED_RULE
73	reference-semantics/semantics/builtins.k	111	rule	rule applyBuiltin("bin", N:Int, .Vals)	ACCEPT_FIXED_RULE
74	reference-semantics/semantics/builtins.k	114	syntax	syntax IntSeq ::= binCodes(Int) [function, total]	ACCEPT_FIXED_DECLARATION
75	reference-semantics/semantics/builtins.k	115	rule	rule binCodes(0) => iCons(48, .IntSeq)	ACCEPT_FIXED_RULE
76	reference-semantics/semantics/builtins.k	116	rule	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0	ACCEPT_FIXED_RULE
77	reference-semantics/semantics/builtins.k	117	syntax	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	ACCEPT_FIXED_DECLARATION
78	reference-semantics/semantics/builtins.k	118	rule	rule binAcc(0, ACC:IntSeq) => ACC	ACCEPT_FIXED_RULE
79	reference-semantics/semantics/builtins.k	119	rule	rule binAcc(N:Int, ACC:IntSeq)	ACCEPT_FIXED_RULE
80	reference-semantics/semantics/builtins.k	124	rule	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals))	ACCEPT_FIXED_RULE
81	reference-semantics/semantics/builtins.k	126	syntax	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]	ACCEPT_FIXED_DECLARATION
82	reference-semantics/semantics/builtins.k	127	rule	rule enumVS(.ValSeq, _:Int) => .ValSeq	ACCEPT_FIXED_RULE
83	reference-semantics/semantics/builtins.k	128	rule	rule enumVS(vCons(V:Val, R:ValSeq), I:Int)	ACCEPT_FIXED_RULE
84	reference-semantics/semantics/builtins.k	132	rule	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals))	ACCEPT_FIXED_RULE
85	reference-semantics/semantics/builtins.k	134	syntax	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]	ACCEPT_FIXED_DECLARATION
86	reference-semantics/semantics/builtins.k	135	rule	rule mapStrVS(.ValSeq) => .ValSeq	ACCEPT_FIXED_RULE
87	reference-semantics/semantics/builtins.k	136	rule	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))	ACCEPT_FIXED_RULE
88	reference-semantics/semantics/builtins.k	137	rule	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))	ACCEPT_FIXED_RULE
89	reference-semantics/semantics/builtins.k	140	rule	rule applyBuiltin("int", I:Int, .Vals) => I	ACCEPT_FIXED_RULE
90	reference-semantics/semantics/builtins.k	143	rule	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C	ACCEPT_FIXED_RULE
91	reference-semantics/semantics/builtins.k	144	rule	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))	ACCEPT_FIXED_RULE
92	reference-semantics/semantics/builtins.k	148	rule	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))	ACCEPT_FIXED_RULE
93	reference-semantics/semantics/builtins.k	149	rule	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)	ACCEPT_FIXED_RULE
94	reference-semantics/semantics/builtins.k	152	rule	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48	ACCEPT_FIXED_RULE
95	reference-semantics/semantics/builtins.k	156	rule	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)	ACCEPT_FIXED_RULE
96	reference-semantics/semantics/builtins.k	158	syntax	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]	ACCEPT_FIXED_DECLARATION
97	reference-semantics/semantics/builtins.k	159	rule	rule intDigAcc(.IntSeq, ACC:Int)             => ACC	ACCEPT_FIXED_RULE
98	reference-semantics/semantics/builtins.k	160	rule	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))	ACCEPT_FIXED_RULE
99	reference-semantics/semantics/builtins.k	163	rule	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)	ACCEPT_FIXED_RULE
100	reference-semantics/semantics/builtins.k	164	rule	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)	ACCEPT_FIXED_RULE
101	reference-semantics/semantics/builtins.k	167	rule	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq)))	ACCEPT_FIXED_RULE
102	reference-semantics/semantics/builtins.k	169	rule	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>	ACCEPT_FIXED_RULE
103	reference-semantics/semantics/builtins.k	170	rule	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>	ACCEPT_FIXED_RULE
104	reference-semantics/semantics/builtins.k	171	rule	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq)))	ACCEPT_FIXED_RULE
105	reference-semantics/semantics/builtins.k	173	rule	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>	ACCEPT_FIXED_RULE
106	reference-semantics/semantics/builtins.k	174	rule	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>	ACCEPT_FIXED_RULE
107	reference-semantics/semantics/builtins.k	177	rule	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)	ACCEPT_FIXED_RULE
108	reference-semantics/semantics/builtins.k	178	rule	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)	ACCEPT_FIXED_RULE
109	reference-semantics/semantics/builtins.k	179	rule	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S)	ACCEPT_FIXED_RULE
110	reference-semantics/semantics/builtins.k	187	rule	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)	ACCEPT_FIXED_RULE
111	reference-semantics/semantics/builtins.k	188	syntax	syntax Int ::= evalArith(IntSeq) [function]	ACCEPT_FIXED_DECLARATION
112	reference-semantics/semantics/builtins.k	189	rule	rule evalArith(CS:IntSeq)	ACCEPT_FIXED_RULE
113	reference-semantics/semantics/builtins.k	192	syntax	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)	ACCEPT_FIXED_DECLARATION
114	reference-semantics/semantics/builtins.k	194	syntax	syntax Bool ::= evDigit(Int) [function, total]	ACCEPT_FIXED_DECLARATION
115	reference-semantics/semantics/builtins.k	195	rule	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57	ACCEPT_FIXED_RULE
116	reference-semantics/semantics/builtins.k	196	syntax	syntax Bool ::= evHead42(IntSeq) [function, total]	ACCEPT_FIXED_DECLARATION
117	reference-semantics/semantics/builtins.k	197	rule	rule evHead42(iCons(42, _:IntSeq)) => true	ACCEPT_FIXED_RULE
118	reference-semantics/semantics/builtins.k	198	rule	rule evHead42(_:IntSeq)            => false [owise]	ACCEPT_FIXED_RULE
119	reference-semantics/semantics/builtins.k	199	syntax	syntax Bool ::= evHead47(IntSeq) [function, total]	ACCEPT_FIXED_DECLARATION
120	reference-semantics/semantics/builtins.k	200	rule	rule evHead47(iCons(47, _:IntSeq)) => true	ACCEPT_FIXED_RULE
121	reference-semantics/semantics/builtins.k	201	rule	rule evHead47(_:IntSeq)            => false [owise]	ACCEPT_FIXED_RULE
122	reference-semantics/semantics/builtins.k	203	syntax	syntax OpSeq ::= tokOps(IntSeq) [function, total]	ACCEPT_FIXED_DECLARATION
123	reference-semantics/semantics/builtins.k	204	rule	rule tokOps(.IntSeq)                 => .OpSeq	ACCEPT_FIXED_RULE
124	reference-semantics/semantics/builtins.k	205	rule	rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)	ACCEPT_FIXED_RULE
125	reference-semantics/semantics/builtins.k	206	rule	rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)	ACCEPT_FIXED_RULE
126	reference-semantics/semantics/builtins.k	207	rule	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))	ACCEPT_FIXED_RULE
127	reference-semantics/semantics/builtins.k	208	rule	rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)	ACCEPT_FIXED_RULE
128	reference-semantics/semantics/builtins.k	209	rule	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))	ACCEPT_FIXED_RULE
129	reference-semantics/semantics/builtins.k	210	rule	rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)	ACCEPT_FIXED_RULE
130	reference-semantics/semantics/builtins.k	211	rule	rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))	ACCEPT_FIXED_RULE
131	reference-semantics/semantics/builtins.k	212	rule	rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))	ACCEPT_FIXED_RULE
132	reference-semantics/semantics/builtins.k	214	syntax	syntax IntSeq ::= tokNds(IntSeq) [function, total]	ACCEPT_FIXED_DECLARATION
133	reference-semantics/semantics/builtins.k	216	rule	rule tokNds(.IntSeq)                => .IntSeq	ACCEPT_FIXED_RULE
134	reference-semantics/semantics/builtins.k	217	rule	rule tokNds(iCons(32, R:IntSeq))    => tokNds(R)	ACCEPT_FIXED_RULE
135	reference-semantics/semantics/builtins.k	218	rule	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)	ACCEPT_FIXED_RULE
136	reference-semantics/semantics/builtins.k	219	rule	rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R)	ACCEPT_FIXED_RULE
137	reference-semantics/semantics/builtins.k	221	rule	rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R)	ACCEPT_FIXED_RULE
138	reference-semantics/semantics/builtins.k	223	rule	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]	ACCEPT_FIXED_RULE
139	reference-semantics/semantics/builtins.k	225	syntax	syntax EvPair ::= evp(OpSeq, IntSeq)	ACCEPT_FIXED_DECLARATION
140	reference-semantics/semantics/builtins.k	226	syntax	syntax Int ::= firstNdE(EvPair) [function, total]	ACCEPT_FIXED_DECLARATION
141	reference-semantics/semantics/builtins.k	227	rule	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N	ACCEPT_FIXED_RULE
142	reference-semantics/semantics/builtins.k	228	rule	rule firstNdE(_:EvPair) => 0 [owise]	ACCEPT_FIXED_RULE
143	reference-semantics/semantics/builtins.k	230	syntax	syntax Int ::= applyOpE(String, Int, Int) [function, total]	ACCEPT_FIXED_DECLARATION
144	reference-semantics/semantics/builtins.k	231	rule	rule applyOpE("+",  A:Int, B:Int) => A +Int B	ACCEPT_FIXED_RULE
145	reference-semantics/semantics/builtins.k	232	rule	rule applyOpE("-",  A:Int, B:Int) => A -Int B	ACCEPT_FIXED_RULE
146	reference-semantics/semantics/builtins.k	233	rule	rule applyOpE("*",  A:Int, B:Int) => A *Int B	ACCEPT_FIXED_RULE
147	reference-semantics/semantics/builtins.k	234	rule	rule applyOpE("//", A:Int, B:Int) => A divInt B	ACCEPT_FIXED_RULE
148	reference-semantics/semantics/builtins.k	235	rule	rule applyOpE("**", A:Int, B:Int) => A ^Int B	ACCEPT_FIXED_RULE
149	reference-semantics/semantics/builtins.k	236	rule	rule applyOpE(_:String, A:Int, _:Int) => A [owise]	ACCEPT_FIXED_RULE
150	reference-semantics/semantics/builtins.k	238	syntax	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]	ACCEPT_FIXED_DECLARATION
151	reference-semantics/semantics/builtins.k	239	rule	rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)	ACCEPT_FIXED_RULE
152	reference-semantics/semantics/builtins.k	240	rule	rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))	ACCEPT_FIXED_RULE
153	reference-semantics/semantics/builtins.k	241	rule	rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS))	ACCEPT_FIXED_RULE
154	reference-semantics/semantics/builtins.k	243	rule	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]	ACCEPT_FIXED_RULE
155	reference-semantics/semantics/builtins.k	244	syntax	syntax EvPair ::= powCombE(Int, EvPair) [function, total]	ACCEPT_FIXED_DECLARATION
156	reference-semantics/semantics/builtins.k	245	rule	rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))	ACCEPT_FIXED_RULE
157	reference-semantics/semantics/builtins.k	246	rule	rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))	ACCEPT_FIXED_RULE
158	reference-semantics/semantics/builtins.k	247	syntax	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]	ACCEPT_FIXED_DECLARATION
159	reference-semantics/semantics/builtins.k	248	rule	rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))	ACCEPT_FIXED_RULE
160	reference-semantics/semantics/builtins.k	250	syntax	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]	ACCEPT_FIXED_DECLARATION
161	reference-semantics/semantics/builtins.k	251	rule	rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)	ACCEPT_FIXED_RULE
162	reference-semantics/semantics/builtins.k	252	rule	rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)	ACCEPT_FIXED_RULE
163	reference-semantics/semantics/builtins.k	253	rule	rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)	ACCEPT_FIXED_RULE
164	reference-semantics/semantics/builtins.k	254	rule	rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)	ACCEPT_FIXED_RULE
165	reference-semantics/semantics/builtins.k	255	syntax	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]	ACCEPT_FIXED_DECLARATION
166	reference-semantics/semantics/builtins.k	256	rule	rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))	ACCEPT_FIXED_RULE
167	reference-semantics/semantics/builtins.k	257	rule	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)	ACCEPT_FIXED_RULE
168	reference-semantics/semantics/builtins.k	260	rule	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)	ACCEPT_FIXED_RULE
169	reference-semantics/semantics/builtins.k	263	rule	rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq)	ACCEPT_FIXED_RULE
170	reference-semantics/semantics/builtins.k	265	syntax	syntax Bool ::= inLevelE(String, String) [function, total]	ACCEPT_FIXED_DECLARATION
171	reference-semantics/semantics/builtins.k	266	rule	rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"	ACCEPT_FIXED_RULE
172	reference-semantics/semantics/builtins.k	267	rule	rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"	ACCEPT_FIXED_RULE
173	reference-semantics/semantics/builtins.k	268	rule	rule inLevelE(_:String, _:String) => false [owise]	ACCEPT_FIXED_RULE
