source,source_sha256,line_start,line_end,kind,flags,summary,decision,rationale
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,11,15,rule,ordinary-rule,"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2 ",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,16,16,context,,"context BoolOp(_, (HOLE:Expr, _:Exprs))",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,17,17,rule,ordinary-rule,"rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,18,19,rule,ordinary-rule,"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,20,21,rule,ordinary-rule,"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,22,23,rule,ordinary-rule,"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,24,28,rule,ordinary-rule,"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,29,30,rule,priority;ordinary-rule,"rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,31,34,rule,priority;ordinary-rule,"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,35,38,rule,priority;ordinary-rule,"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,39,42,rule,priority;ordinary-rule,"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,43,46,rule,priority;ordinary-rule,"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/bool.k,8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd,47,47,endmodule,,endmodule,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,3,3,module,,module MPY-BUILTINS,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,4,4,imports,,imports MPY-CORE,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,5,5,imports,,imports MPY-STR,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,6,6,imports,,imports MPY-SET,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,7,7,imports,,imports MPY-ITER,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,8,8,imports,,imports MPY-RANGE,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,9,9,imports,,imports MPY-INT,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,10,16,imports,,imports MPY-METHODS ,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,17,19,syntax,function,"syntax Val ::= applyBuiltin(String, Vals) [function] ",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,20,20,syntax,function,syntax Int ::= seqLen(Val) [function],ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,21,21,rule,ordinary-rule,"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,22,22,rule,ordinary-rule,rule seqLen(list(VS:ValSeq))                  => vsLen(VS),ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,23,23,rule,ordinary-rule,rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS),ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,24,24,rule,ordinary-rule,rule seqLen(str(IS:IntSeq))                   => isLen(IS),ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,25,25,rule,ordinary-rule,rule seqLen(setV(DS:IntSeq))                  => isLen(DS),ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,26,31,rule,ordinary-rule,"rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) ",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,32,32,rule,ordinary-rule,"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,33,33,rule,ordinary-rule,"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,34,34,rule,ordinary-rule,"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,35,35,rule,ordinary-rule,"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,36,36,syntax,function;total,"syntax ValSeq ::= charsOf(IntSeq) [function, total]",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,37,37,rule,ordinary-rule,rule charsOf(.IntSeq)                => .ValSeq,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,38,40,rule,ordinary-rule,"rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) ",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,41,43,rule,ordinary-rule,"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) ",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,44,46,rule,ordinary-rule,"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I) ",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,47,47,syntax,,"syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,48,48,rule,ordinary-rule,"rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,49,49,rule,ordinary-rule,rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,50,52,rule,ordinary-rule,"rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,54,54,syntax,function,syntax Int ::= intOf(Val) [function],ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,55,55,rule,ordinary-rule,rule intOf(I:Int)  => I,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,56,58,rule,ordinary-rule,rule intOf(B:Bool) => #if B #then 1 #else 0 #fi ,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,59,59,syntax,,"syntax KItem ::= #allAcc(Iterable) | ""#allCont""",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,60,60,rule,ordinary-rule,rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,61,61,rule,ordinary-rule,rule <k> #iterDone ~> #allCont => true ... </k>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,62,63,rule,ordinary-rule,"rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,64,65,rule,ordinary-rule,"rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,67,67,syntax,,"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont""",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,68,68,rule,ordinary-rule,rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,69,69,rule,ordinary-rule,rule <k> #iterDone ~> #anyCont => false ... </k>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,70,71,rule,ordinary-rule,"rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,72,75,rule,ordinary-rule,"rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,76,76,syntax,,"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,77,77,rule,ordinary-rule,rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,78,79,rule,ordinary-rule,"rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,80,80,rule,ordinary-rule,"rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,81,81,rule,ordinary-rule,rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,82,84,rule,ordinary-rule,"rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,86,86,syntax,,"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,87,87,rule,ordinary-rule,rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,88,89,rule,ordinary-rule,"rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,90,90,rule,ordinary-rule,"rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,91,91,rule,ordinary-rule,rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>,ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,92,96,rule,ordinary-rule,"rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
reference-semantics/semantics/builtins.k,fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd,97,97,syntax,function,"syntax Int ::= maxVals(Int, Vals) [function]",ACCEPTED_SELECTED_SUPPLIED_SEMANTICS,Byte-identical to /reference/reference-semantics; fixed selected semantics boundary.
