id	file	line	kind	attributes	classification	text	reachability	decision	audit_reason
35	reference-semantics/semantics/builtins.k	47	syntax		syntax-declaration	  syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
36	reference-semantics/semantics/builtins.k	48	rule		semantic-rule	  rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
37	reference-semantics/semantics/builtins.k	49	rule		semantic-rule	  rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
38	reference-semantics/semantics/builtins.k	50	rule		semantic-rule	  rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)\n        => #sumAcc(R, ACC +Int intOf(V)) ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
39	reference-semantics/semantics/builtins.k	54	syntax	function	syntax-declaration,function-declaration	  syntax Int ::= intOf(Val) [function]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
40	reference-semantics/semantics/builtins.k	55	rule		semantic-rule	  rule intOf(I:Int)  => I	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
41	reference-semantics/semantics/builtins.k	56	rule		semantic-rule	  rule intOf(B:Bool) => #if B #then 1 #else 0 #fi	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
42	reference-semantics/semantics/builtins.k	59	syntax		syntax-declaration	"  syntax KItem ::= #allAcc(Iterable) | ""#allCont"""	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
43	reference-semantics/semantics/builtins.k	60	rule		semantic-rule	  rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
44	reference-semantics/semantics/builtins.k	61	rule		semantic-rule	  rule <k> #iterDone ~> #allCont => true ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
45	reference-semantics/semantics/builtins.k	62	rule		semantic-rule	  rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
46	reference-semantics/semantics/builtins.k	64	rule		semantic-rule	  rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
47	reference-semantics/semantics/builtins.k	67	syntax		syntax-declaration	"  syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
48	reference-semantics/semantics/builtins.k	68	rule		semantic-rule	  rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
49	reference-semantics/semantics/builtins.k	69	rule		semantic-rule	  rule <k> #iterDone ~> #anyCont => false ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
50	reference-semantics/semantics/builtins.k	70	rule		semantic-rule	  rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
51	reference-semantics/semantics/builtins.k	72	rule		semantic-rule	  rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
52	reference-semantics/semantics/builtins.k	76	syntax		syntax-declaration	"  syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
53	reference-semantics/semantics/builtins.k	77	rule		semantic-rule	  rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
54	reference-semantics/semantics/builtins.k	78	rule		semantic-rule	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
55	reference-semantics/semantics/builtins.k	80	rule		semantic-rule	  rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
56	reference-semantics/semantics/builtins.k	81	rule		semantic-rule	  rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
57	reference-semantics/semantics/builtins.k	82	rule		semantic-rule	  rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)\n        => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
58	reference-semantics/semantics/builtins.k	86	syntax		syntax-declaration	"  syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
59	reference-semantics/semantics/builtins.k	87	rule		semantic-rule	  rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
60	reference-semantics/semantics/builtins.k	88	rule		semantic-rule	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
61	reference-semantics/semantics/builtins.k	90	rule		semantic-rule	  rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
62	reference-semantics/semantics/builtins.k	91	rule		semantic-rule	  rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
63	reference-semantics/semantics/builtins.k	92	rule		semantic-rule	  rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)\n        => #minAcc(R, minInt(M, {V}:>Int)) ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
64	reference-semantics/semantics/builtins.k	97	syntax	function	syntax-declaration,function-declaration	  syntax Int ::= maxVals(Int, Vals) [function]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
65	reference-semantics/semantics/builtins.k	98	rule		semantic-rule	"  rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
66	reference-semantics/semantics/builtins.k	99	rule		semantic-rule	  rule maxVals(M:Int, .Vals)           => M	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
67	reference-semantics/semantics/builtins.k	100	rule		semantic-rule	  rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
68	reference-semantics/semantics/builtins.k	102	syntax	function	syntax-declaration,function-declaration	  syntax Int ::= minVals(Int, Vals) [function]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
69	reference-semantics/semantics/builtins.k	103	rule		semantic-rule	"  rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
70	reference-semantics/semantics/builtins.k	104	rule		semantic-rule	  rule minVals(M:Int, .Vals)           => M	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
71	reference-semantics/semantics/builtins.k	105	rule		semantic-rule	  rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
72	reference-semantics/semantics/builtins.k	108	rule		semantic-rule	"  rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
73	reference-semantics/semantics/builtins.k	111	rule		semantic-rule	"  rule applyBuiltin(""bin"", N:Int, .Vals)\n    => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
74	reference-semantics/semantics/builtins.k	114	syntax	function, total	syntax-declaration,function-declaration,total-declaration	  syntax IntSeq ::= binCodes(Int) [function, total]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
75	reference-semantics/semantics/builtins.k	115	rule		semantic-rule	  rule binCodes(0) => iCons(48, .IntSeq)	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
76	reference-semantics/semantics/builtins.k	116	rule		semantic-rule	  rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
77	reference-semantics/semantics/builtins.k	117	syntax	function, total	syntax-declaration,function-declaration,total-declaration	  syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
78	reference-semantics/semantics/builtins.k	118	rule		semantic-rule	  rule binAcc(0, ACC:IntSeq) => ACC	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
79	reference-semantics/semantics/builtins.k	119	rule		semantic-rule	  rule binAcc(N:Int, ACC:IntSeq)\n    => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
80	reference-semantics/semantics/builtins.k	124	rule		semantic-rule	"  rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals))\n        => #alloc(list(enumVS(VS, 0))) ... </k>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
81	reference-semantics/semantics/builtins.k	126	syntax	function, total	syntax-declaration,function-declaration,total-declaration	  syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
82	reference-semantics/semantics/builtins.k	127	rule		semantic-rule	  rule enumVS(.ValSeq, _:Int) => .ValSeq	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
83	reference-semantics/semantics/builtins.k	128	rule		semantic-rule	  rule enumVS(vCons(V:Val, R:ValSeq), I:Int)\n    => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
84	reference-semantics/semantics/builtins.k	132	rule		semantic-rule	"  rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals))\n        => #alloc(list(mapStrVS(VS))) ... </k>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
85	reference-semantics/semantics/builtins.k	134	syntax	function, total	syntax-declaration,function-declaration,total-declaration	  syntax ValSeq ::= mapStrVS(ValSeq) [function, total]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
86	reference-semantics/semantics/builtins.k	135	rule		semantic-rule	  rule mapStrVS(.ValSeq) => .ValSeq	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
87	reference-semantics/semantics/builtins.k	136	rule		semantic-rule	  rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
88	reference-semantics/semantics/builtins.k	137	rule		semantic-rule	  rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
89	reference-semantics/semantics/builtins.k	140	rule		semantic-rule	"  rule applyBuiltin(""int"", I:Int, .Vals) => I"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
90	reference-semantics/semantics/builtins.k	143	rule		semantic-rule	"  rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
91	reference-semantics/semantics/builtins.k	144	rule		semantic-rule	"  rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq))"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
92	reference-semantics/semantics/builtins.k	148	rule		semantic-rule	"  rule applyBuiltin(""str"", I:Int, .Vals)       => str(strToCodes(Int2String(I)))"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
93	reference-semantics/semantics/builtins.k	149	rule		semantic-rule	"  rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
94	reference-semantics/semantics/builtins.k	152	rule		semantic-rule	"  rule applyBuiltin(""int"", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
95	reference-semantics/semantics/builtins.k	156	rule		semantic-rule	"  rule applyBuiltin(""int"", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
96	reference-semantics/semantics/builtins.k	158	syntax	function, total	syntax-declaration,function-declaration,total-declaration	  syntax Int ::= intDigAcc(IntSeq, Int) [function, total]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
97	reference-semantics/semantics/builtins.k	159	rule		semantic-rule	  rule intDigAcc(.IntSeq, ACC:Int)             => ACC	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
98	reference-semantics/semantics/builtins.k	160	rule		semantic-rule	  rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
99	reference-semantics/semantics/builtins.k	163	rule		semantic-rule	"  rule applyBuiltin(""zip"", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
100	reference-semantics/semantics/builtins.k	164	rule		semantic-rule	"  rule applyBuiltin(""zip"", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
