id	file	start	end	kind	attributes	scope	assessment	normalized
semantics/builtins.k:35:rule:d19a2af0b57612a4	semantics/builtins.k	35	35	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
semantics/builtins.k:36:syntax:01aff6eecdd49ca2	semantics/builtins.k	36	36	syntax	function,total	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax ValSeq ::= charsOf(IntSeq) [function, total]
semantics/builtins.k:37:rule:18e5f857c9437096	semantics/builtins.k	37	37	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule charsOf(.IntSeq)                => .ValSeq
semantics/builtins.k:38:rule:a2c1d74e5b751f7b	semantics/builtins.k	38	40	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
semantics/builtins.k:41:rule:9f9f03920225a3d3	semantics/builtins.k	41	43	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
semantics/builtins.k:44:rule:d43957f0423a89cd	semantics/builtins.k	44	46	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
semantics/builtins.k:47:syntax:8faa5250ed2b829b	semantics/builtins.k	47	47	syntax		fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
semantics/builtins.k:48:rule:cd531bdb9afa464c	semantics/builtins.k	48	48	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
semantics/builtins.k:49:rule:74ff8e8be84218b8	semantics/builtins.k	49	49	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
semantics/builtins.k:50:rule:03fd13ab2f2b9ea4	semantics/builtins.k	50	51	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
semantics/builtins.k:54:syntax:0355f95a50a66086	semantics/builtins.k	54	54	syntax	function	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax Int ::= intOf(Val) [function]
semantics/builtins.k:55:rule:ec6a1865ddeceeb1	semantics/builtins.k	55	55	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule intOf(I:Int)  => I
semantics/builtins.k:56:rule:39b97d83aa9d3c94	semantics/builtins.k	56	58	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
semantics/builtins.k:59:syntax:ed695fa0c4dbae8a	semantics/builtins.k	59	59	syntax		fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax KItem ::= #allAcc(Iterable) | "#allCont"
semantics/builtins.k:60:rule:e7fc3b9b3a843956	semantics/builtins.k	60	60	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
semantics/builtins.k:61:rule:b74e515d3e67d8a5	semantics/builtins.k	61	61	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterDone ~> #allCont => true ... </k>
semantics/builtins.k:62:rule:636ee4d8b8b14763	semantics/builtins.k	62	62	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
semantics/builtins.k:64:rule:1692cfb51988a0b9	semantics/builtins.k	64	64	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
semantics/builtins.k:67:syntax:fbd45cd7894ab031	semantics/builtins.k	67	67	syntax		fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
semantics/builtins.k:68:rule:ca3f3bc3212a4bde	semantics/builtins.k	68	68	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
semantics/builtins.k:69:rule:c0ee3d29de0f5847	semantics/builtins.k	69	69	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterDone ~> #anyCont => false ... </k>
semantics/builtins.k:70:rule:6e6b5d9a2a11493a	semantics/builtins.k	70	70	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
semantics/builtins.k:72:rule:ac5f7ad1241785b4	semantics/builtins.k	72	72	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
semantics/builtins.k:76:syntax:e3461106d962a1af	semantics/builtins.k	76	76	syntax		fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
semantics/builtins.k:77:rule:59848da8989bf293	semantics/builtins.k	77	77	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
semantics/builtins.k:78:rule:cca58281075abfb7	semantics/builtins.k	78	78	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
semantics/builtins.k:80:rule:66b9fabf71fa1c3c	semantics/builtins.k	80	80	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
semantics/builtins.k:81:rule:45675f8137ef759c	semantics/builtins.k	81	81	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
semantics/builtins.k:82:rule:94ddacfe6f6ab4fc	semantics/builtins.k	82	83	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
semantics/builtins.k:86:syntax:612c7bdfd2d38320	semantics/builtins.k	86	86	syntax		fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
semantics/builtins.k:87:rule:eb6389d2a176f8e9	semantics/builtins.k	87	87	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
semantics/builtins.k:88:rule:c681ec013119b880	semantics/builtins.k	88	88	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
semantics/builtins.k:90:rule:20c0d7b936a1ae71	semantics/builtins.k	90	90	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
semantics/builtins.k:91:rule:3f472924a83dcd92	semantics/builtins.k	91	91	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
semantics/builtins.k:92:rule:e970b32e31df51ed	semantics/builtins.k	92	93	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
semantics/builtins.k:97:syntax:4282c4747876bd11	semantics/builtins.k	97	97	syntax	function	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax Int ::= maxVals(Int, Vals) [function]
semantics/builtins.k:98:rule:16f482b70cca4e39	semantics/builtins.k	98	98	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
semantics/builtins.k:99:rule:fb21a7851f56f7d9	semantics/builtins.k	99	99	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule maxVals(M:Int, .Vals)           => M
semantics/builtins.k:100:rule:f1bf63869c2f8c3b	semantics/builtins.k	100	101	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
semantics/builtins.k:102:syntax:8b1e9d6e3b83d5fb	semantics/builtins.k	102	102	syntax	function	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax Int ::= minVals(Int, Vals) [function]
semantics/builtins.k:103:rule:92b52ecacf4f7bcc	semantics/builtins.k	103	103	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
semantics/builtins.k:104:rule:4daf802c8ea1f71c	semantics/builtins.k	104	104	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule minVals(M:Int, .Vals)           => M
semantics/builtins.k:105:rule:e2ec20f0d229a3fd	semantics/builtins.k	105	107	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
semantics/builtins.k:108:rule:bc1d49b4973a83a9	semantics/builtins.k	108	108	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
semantics/builtins.k:111:rule:3945e9cf94b9f709	semantics/builtins.k	111	112	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))
semantics/builtins.k:114:syntax:c616aba4766ff2aa	semantics/builtins.k	114	114	syntax	function,total	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax IntSeq ::= binCodes(Int) [function, total]
semantics/builtins.k:115:rule:4e15dfee6cc651dd	semantics/builtins.k	115	115	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule binCodes(0) => iCons(48, .IntSeq)
semantics/builtins.k:116:rule:7e1227c3ef645307	semantics/builtins.k	116	116	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
semantics/builtins.k:117:syntax:939453dbc7b8105a	semantics/builtins.k	117	117	syntax	function,total	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
semantics/builtins.k:118:rule:7503c649eb67d40e	semantics/builtins.k	118	118	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule binAcc(0, ACC:IntSeq) => ACC
semantics/builtins.k:119:rule:4e84e5a06524d4b1	semantics/builtins.k	119	120	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
semantics/builtins.k:124:rule:e69569e78ca6c978	semantics/builtins.k	124	125	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
semantics/builtins.k:126:syntax:aeb5f1496dff1950	semantics/builtins.k	126	126	syntax	function,total	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
semantics/builtins.k:127:rule:4833a908272d7c48	semantics/builtins.k	127	127	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule enumVS(.ValSeq, _:Int) => .ValSeq
semantics/builtins.k:128:rule:0cee6f21712826f9	semantics/builtins.k	128	131	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
semantics/builtins.k:132:rule:67a2cd9a593398ac	semantics/builtins.k	132	133	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
semantics/builtins.k:134:syntax:0513f86f41d97840	semantics/builtins.k	134	134	syntax	function,total	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
semantics/builtins.k:135:rule:289c1f88138532f4	semantics/builtins.k	135	135	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule mapStrVS(.ValSeq) => .ValSeq
semantics/builtins.k:136:rule:74f471f298eebc64	semantics/builtins.k	136	136	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
semantics/builtins.k:137:rule:8b0d47ce433fea65	semantics/builtins.k	137	139	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
semantics/builtins.k:140:rule:b502e27ccb7e70d3	semantics/builtins.k	140	142	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("int", I:Int, .Vals) => I
semantics/builtins.k:143:rule:c4bb6edca9516337	semantics/builtins.k	143	143	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
semantics/builtins.k:144:rule:12b35846fbd47c36	semantics/builtins.k	144	144	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq))
semantics/builtins.k:148:rule:8e899362692d9ad0	semantics/builtins.k	148	148	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
semantics/builtins.k:149:rule:948b6cbe0695cfe9	semantics/builtins.k	149	151	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
semantics/builtins.k:152:rule:25b8374e7b008f7f	semantics/builtins.k	152	152	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48
semantics/builtins.k:156:rule:2062468c0df9e04d	semantics/builtins.k	156	156	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0)
semantics/builtins.k:158:syntax:5400597dd0d27beb	semantics/builtins.k	158	158	syntax	function,total	fixed-material-slice	FIXED_DECLARATION_OR_EVALUATION_ORDER_REVIEWED	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
semantics/builtins.k:159:rule:0d7d7afcdff4458c	semantics/builtins.k	159	159	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
semantics/builtins.k:160:rule:dedabaa457bf3591	semantics/builtins.k	160	162	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
semantics/builtins.k:163:rule:d3b8ae0c04fe1c9c	semantics/builtins.k	163	163	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
semantics/builtins.k:164:rule:278ac52bcbfcd0e4	semantics/builtins.k	164	166	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
semantics/builtins.k:167:rule:8cb29bfb42109534	semantics/builtins.k	167	168	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
semantics/builtins.k:169:rule:db7593d35aaf34fb	semantics/builtins.k	169	169	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
semantics/builtins.k:170:rule:84cabfd28956dc3a	semantics/builtins.k	170	170	rule		fixed-material-slice	FIXED_RULE_REVIEWED_ON_SOLUTION_EXECUTION_SLICE	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
