id	source_class	file	start_line	end_line	kind	attributes	reachability_scope	review_disposition	text
21	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	22	22	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
22	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	23	23	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
23	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	24	24	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule seqLen(str(IS:IntSeq)) => isLen(IS)
24	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	25	25	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
25	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	26	26	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
26	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	32	32	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
27	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	33	33	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
28	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	34	34	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals) => #alloc(list(.ValSeq)) ... </k>"
29	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	35	35	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>"
30	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	36	36	syntax-function	function,total	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	syntax ValSeq ::= charsOf(IntSeq) [function, total]
31	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	37	37	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule charsOf(.IntSeq) => .ValSeq
32	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	38	38	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
33	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	41	41	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
34	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	44	44	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
35	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	47	47	syntax		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
36	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	48	48	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
37	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	49	49	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
38	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	50	51	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k>
39	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	54	54	syntax-function	function	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	syntax Int ::= intOf(Val) [function]
40	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	55	55	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule intOf(I:Int) => I
41	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	56	56	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
42	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	59	59	syntax		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
43	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	60	60	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
44	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	61	61	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterDone ~> #allCont => true ... </k>
45	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	62	62	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
46	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	64	64	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
47	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	67	67	syntax		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
48	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	68	68	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
49	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	69	69	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterDone ~> #anyCont => false ... </k>
50	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	70	70	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
51	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	72	72	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
52	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	76	76	syntax		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"
53	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	77	77	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
54	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	78	78	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
55	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	80	80	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
56	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	81	81	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
57	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	82	83	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k>
58	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	86	86	syntax		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"
59	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	87	87	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
60	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	88	88	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
61	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	90	90	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
62	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	91	91	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
63	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	92	93	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k>
64	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	97	97	syntax-function	function	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	syntax Int ::= maxVals(Int, Vals) [function]
65	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	98	98	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""max"", I:Int, REST:Vals) => maxVals(I, REST)"
66	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	99	99	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule maxVals(M:Int, .Vals) => M
67	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	100	100	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
68	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	102	102	syntax-function	function	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	syntax Int ::= minVals(Int, Vals) [function]
69	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	103	103	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""min"", I:Int, REST:Vals) => minVals(I, REST)"
70	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	104	104	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule minVals(M:Int, .Vals) => M
71	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	105	105	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
72	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	108	108	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))"
73	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	111	112	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""bin"", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N)))))"
74	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	114	114	syntax-function	function,total	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	syntax IntSeq ::= binCodes(Int) [function, total]
75	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	115	115	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule binCodes(0) => iCons(48, .IntSeq)
76	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	116	116	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
77	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	117	117	syntax-function	function,total	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
78	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	118	118	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule binAcc(0, ACC:IntSeq) => ACC
79	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	119	120	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC))
80	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	124	125	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> #applyK(toCall(builtinV(""enumerate"")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>"
81	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	126	126	syntax-function	function,total	supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
82	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	127	127	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule enumVS(.ValSeq, _:Int) => .ValSeq
83	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	128	129	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
84	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	132	133	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule <k> #applyK(toCall(builtinV(""map"")), (typeV(""str""), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>"
85	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	134	134	syntax-function	function,total	supplied semantics, unreachable from submitted program	EVIDENCE_GAP_UNUSED: mapStrVS compiler non-exhaustiveness warning; cannot influence either claim.	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
86	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	135	135	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule mapStrVS(.ValSeq) => .ValSeq
87	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	136	136	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
88	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	137	137	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
89	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	140	140	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""int"", I:Int, .Vals) => I"
90	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	143	143	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""ord"", str(iCons(C:Int, .IntSeq)), .Vals) => C"
91	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	144	144	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""chr"", I:Int, .Vals) => str(iCons(I, .IntSeq))"
92	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	148	148	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""str"", I:Int, .Vals) => str(strToCodes(Int2String(I)))"
93	trusted-supplied-semantics	/reference/reference-semantics/semantics/builtins.k	149	149	rule-ordinary		supplied semantics for an unused construct	ACCEPTED_NONCONTRIBUTING: exact trusted baseline and no submitted/proof term can invoke this entry.	"rule applyBuiltin(""str"", str(CS:IntSeq), .Vals) => str(CS)"
