id,file,source_line,symbol,production,attributes,total,functional,opaque_no_evaluators,explicit_direct_equations,used_by_solution,decision
semantics/builtins.k:265#function-1,semantics/builtins.k,265,inLevelE,"syntax Bool ::= inLevelE(String, String)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:269#function-1,semantics/builtins.k,269,appendOpE,"syntax OpSeq ::= appendOpE(OpSeq, String)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:272#function-1,semantics/builtins.k,272,appendIE,"syntax IntSeq ::= appendIE(IntSeq, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:285#function-1,semantics/builtins.k,285,md5hexCodes,syntax IntSeq ::= md5hexCodes(IntSeq),function;total;symbol(md5hexCodes);no-evaluators,True,False,True,0,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:293#function-1,semantics/builtins.k,293,isIntV,syntax Bool ::= isIntV(Val),function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:293#function-2,semantics/builtins.k,293,isStrV,isStrV(Val),function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/call.k:52#function-1,semantics/call.k,52,isMutMethod,syntax Bool ::= isMutMethod(String),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/concrete.k:42#function-1,semantics/concrete.k,42,insPair,"syntax ValSeq ::= insPair(ValSeq, Val, Val)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/concrete.k:51#function-1,semantics/concrete.k,51,kLt,"syntax Bool ::= kLt(Val, Val)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/concrete.k:56#function-1,semantics/concrete.k,56,unpairVS,syntax ValSeq ::= unpairVS(ValSeq),function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/core.k:68#function-1,semantics/core.k,68,isRefV,syntax Bool ::= isRefV(Val),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/core.k:76#function-1,semantics/core.k,76,isCellRef,syntax Bool ::= isCellRef(Val),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/core.k:100#function-1,semantics/core.k,100,isKwV,syntax Bool ::= isKwV(Val),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/core.k:107#function-1,semantics/core.k,107,cellsOf,syntax ParamNames ::= cellsOf(Val),function,False,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/core.k:109#function-1,semantics/core.k,109,pnMember,"syntax Bool ::= pnMember(String, ParamNames)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/core.k:157#function-1,semantics/core.k,157,builtinsScope,"syntax Scope ::= ""builtinsScope""",function;total,True,False,False,0,True,VALID_ON_COMPLETE_INTENDED_EXECUTION_SLICE
semantics/core.k:199#function-1,semantics/core.k,199,truthy,syntax Bool ::= truthy(Val),function,False,False,False,6,True,VALID_ON_COMPLETE_INTENDED_EXECUTION_SLICE
semantics/core.k:208#function-1,semantics/core.k,208,applyUn,"syntax Val ::= applyUn(String, Val)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/core.k:209#function-1,semantics/core.k,209,applyBin,"syntax Val ::= applyBin(String, Val, Val)",function,False,False,False,32,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/core.k:210#function-1,semantics/core.k,210,applyCmp,"syntax Bool ::= applyCmp(String, Val, Val)",function,False,False,False,44,True,VALID_ON_COMPLETE_INTENDED_EXECUTION_SLICE
semantics/core.k:213#function-1,semantics/core.k,213,appendVal,"syntax Vals ::= appendVal(Vals, Val)",function;total,True,False,False,2,True,VALID_ON_COMPLETE_INTENDED_EXECUTION_SLICE
semantics/core.k:217#function-1,semantics/core.k,217,vals2valSeq,syntax ValSeq ::= vals2valSeq(Vals),function;total,True,False,False,2,True,VALID_ON_COMPLETE_INTENDED_EXECUTION_SLICE
semantics/core.k:223#function-1,semantics/core.k,223,vsLen,syntax Int ::= vsLen(ValSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/core.k:227#function-1,semantics/core.k,227,isLen,syntax Int ::= isLen(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/core.k:233#function-1,semantics/core.k,233,setVSAt,"syntax ValSeq ::= setVSAt(ValSeq, Int, Val)",function;total,True,False,False,4,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/dict.k:37#function-1,semantics/dict.k,37,dHasKey,"syntax Bool ::= dHasKey(ValSeq, Val)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/dict.k:43#function-1,semantics/dict.k,43,dPutK,"syntax ValSeq ::= dPutK(ValSeq, Val)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/dict.k:49#function-1,semantics/dict.k,49,dPutV,"syntax ValSeq ::= dPutV(ValSeq, ValSeq, Val, Val)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/dict.k:64#function-1,semantics/dict.k,64,applyIndexD,"syntax Val ::= applyIndexD(Val, Val)",function,False,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/dict.k:70#function-1,semantics/dict.k,70,dictSet,"syntax Val ::= dictSet(Val, Val, Val)",function,False,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/dict.k:90#function-1,semantics/dict.k,90,normIdxD,"syntax Int ::= normIdxD(Int, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/dict.k:97#function-1,semantics/dict.k,97,dSubset,"syntax Bool ::= dSubset(ValSeq, ValSeq, ValSeq, ValSeq)",function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/dict.k:101#function-1,semantics/dict.k,101,dGet,"syntax Val ::= dGet(ValSeq, ValSeq, Val)",function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:24#function-1,semantics/float.k,24,intFloatDiv,"syntax Float ::= intFloatDiv(Int, Float)",function;total;symbol(intFloatDiv);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:30#function-1,semantics/float.k,30,divII,"syntax Float ::= divII(Int, Int)",function;total;symbol(divII);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:37#function-1,semantics/float.k,37,floatMod,"syntax Float ::= floatMod(Float, Float)",function;total;symbol(floatMod);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:50#function-1,semantics/float.k,50,floatLt,"syntax Bool ::= floatLt(Float, Float)",function;total;symbol(floatLt);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:54#function-1,semantics/float.k,54,absF,syntax Float ::= absF(Float),function;total;symbol(absF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:73#function-1,semantics/float.k,73,floorFI,syntax Int ::= floorFI(Val),function;total;symbol(floorFI),True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:86#function-1,semantics/float.k,86,toF,syntax Float ::= toF(Val),function;total;symbol(toF),True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:93#function-1,semantics/float.k,93,ceilF,syntax Int ::= ceilF(Val),function;total;symbol(ceilF),True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:103#function-1,semantics/float.k,103,subF,"syntax Float ::= subF(Float, Float)",function;total;symbol(subF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:107#function-1,semantics/float.k,107,divF,"syntax Float ::= divF(Float, Float)",function;total;symbol(divF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:111#function-1,semantics/float.k,111,addF,"syntax Float ::= addF(Float, Float)",function;total;symbol(addF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:115#function-1,semantics/float.k,115,mulF,"syntax Float ::= mulF(Float, Float)",function;total;symbol(mulF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:119#function-1,semantics/float.k,119,powF,"syntax Float ::= powF(Float, Float)",function;total;symbol(powF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:125#function-1,semantics/float.k,125,gtF,"syntax Bool ::= gtF(Float, Float)",function;total;symbol(gtF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:142#function-1,semantics/float.k,142,eqF,"syntax Bool ::= eqF(Float, Float)",function;total;symbol(eqF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:160#function-1,semantics/float.k,160,decStrToF,syntax Float ::= decStrToF(IntSeq),function;total;symbol(decStrToF);no-evaluators,True,False,True,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:165#function-1,semantics/float.k,165,headIS,syntax Int ::= headIS(IntSeq),function,False,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:167#function-1,semantics/float.k,167,intPart,syntax Int ::= intPart(IntSeq),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:167#function-2,semantics/float.k,167,intPartAcc,"intPartAcc(IntSeq, Int)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:173#function-1,semantics/float.k,173,fracPart,syntax Int ::= fracPart(IntSeq),function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:173#function-2,semantics/float.k,173,fracAcc,"fracAcc(IntSeq, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:179#function-1,semantics/float.k,179,fracScale,syntax Int ::= fracScale(IntSeq),function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:179#function-2,semantics/float.k,179,fscAcc,"fscAcc(IntSeq, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:190#function-1,semantics/float.k,190,divFloatIntV,"syntax Float ::= divFloatIntV(Float, Int)",function;total;symbol(divFloatIntV);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:195#function-1,semantics/float.k,195,intToF,syntax Float ::= intToF(Int),function;total;symbol(intToF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:209#function-1,semantics/float.k,209,truncF,syntax Int ::= truncF(Float),function;total;symbol(truncF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:217#function-1,semantics/float.k,217,roundF,syntax Int ::= roundF(Float),function;total;symbol(roundF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:223#function-1,semantics/float.k,223,roundFN,"syntax Float ::= roundFN(Float, Int)",function;total;symbol(roundFN);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/float.k:230#function-1,semantics/float.k,230,sqrtF,syntax Float ::= sqrtF(Float),function;total;symbol(sqrtF);no-evaluators,True,False,True,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/int.k:19#function-1,semantics/int.k,19,pyMod,"syntax Int ::= pyMod(Int, Int)",function,False,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/list.k:18#function-1,semantics/list.k,18,valSeqConcat,"syntax ValSeq ::= valSeqConcat(ValSeq, ValSeq)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/list.k:33#function-1,semantics/list.k,33,hasRefVS,syntax Bool ::= hasRefVS(ValSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/list.k:37#function-1,semantics/list.k,37,deepEqVS,"syntax Bool ::= deepEqVS(ValSeq, ValSeq, Map)",function,False,False,False,4,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/list.k:37#function-2,semantics/list.k,37,deepEqV,"deepEqV(Val, Val, Map)",function,False,False,False,4,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:10#function-1,semantics/methods.k,10,applyMethod,"syntax Val ::= applyMethod(Val, String, Vals)",function,False,False,False,16,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:27#function-1,semantics/methods.k,27,joinCodes,"syntax IntSeq ::= joinCodes(IntSeq, ValSeq)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:35#function-1,semantics/methods.k,35,cntSub,"syntax Int ::= cntSub(IntSeq, IntSeq)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:41#function-1,semantics/methods.k,41,dropIS,"syntax IntSeq ::= dropIS(IntSeq, Int)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:48#function-1,semantics/methods.k,48,trimWS,syntax IntSeq ::= trimWS(IntSeq),function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:52#function-1,semantics/methods.k,52,revIS,syntax IntSeq ::= revIS(IntSeq),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:52#function-2,semantics/methods.k,52,revISAcc,"revISAcc(IntSeq, IntSeq)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:65#function-1,semantics/methods.k,65,cntOccVS,"syntax Int ::= cntOccVS(ValSeq, Val)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:75#function-1,semantics/methods.k,75,splitWS,"syntax ValSeq ::= splitWS(IntSeq, IntSeq, ValSeq)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:82#function-1,semantics/methods.k,82,flushTok,"syntax ValSeq ::= flushTok(ValSeq, IntSeq)",function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:85#function-1,semantics/methods.k,85,isWSC,syntax Bool ::= isWSC(Int),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:97#function-1,semantics/methods.k,97,splitSep,"syntax ValSeq ::= splitSep(IntSeq, Int, IntSeq)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:106#function-1,semantics/methods.k,106,replaceC,"syntax IntSeq ::= replaceC(IntSeq, Int, Int)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:112#function-1,semantics/methods.k,112,isUpperC,syntax Bool ::= isUpperC(Int),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:115#function-1,semantics/methods.k,115,isLowerC,syntax Bool ::= isLowerC(Int),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:118#function-1,semantics/methods.k,118,isAlphaC,syntax Bool ::= isAlphaC(Int),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:121#function-1,semantics/methods.k,121,isDigitC,syntax Bool ::= isDigitC(Int),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:124#function-1,semantics/methods.k,124,hasUpper,syntax Bool ::= hasUpper(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:128#function-1,semantics/methods.k,128,hasLower,syntax Bool ::= hasLower(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:132#function-1,semantics/methods.k,132,allAlpha,syntax Bool ::= allAlpha(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:136#function-1,semantics/methods.k,136,allDigit,syntax Bool ::= allDigit(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:140#function-1,semantics/methods.k,140,lowerC,syntax Int ::= lowerC(Int),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:145#function-1,semantics/methods.k,145,upperC,syntax Int ::= upperC(Int),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:149#function-1,semantics/methods.k,149,swapC,syntax Int ::= swapC(Int),function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:154#function-1,semantics/methods.k,154,mapLower,syntax IntSeq ::= mapLower(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:158#function-1,semantics/methods.k,158,mapUpper,syntax IntSeq ::= mapUpper(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:162#function-1,semantics/methods.k,162,mapSwap,syntax IntSeq ::= mapSwap(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/methods.k:166#function-1,semantics/methods.k,166,startsWith,"syntax Bool ::= startsWith(IntSeq, IntSeq)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/range.k:9#function-1,semantics/range.k,9,inRange,"syntax Bool ::= inRange(Int, Int, Int)",function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/range.k:12#function-1,semantics/range.k,12,rangeLen,"syntax Int ::= rangeLen(Int, Int, Int)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/set.k:11#function-1,semantics/set.k,11,codeIn,"syntax Bool ::= codeIn(Int, IntSeq)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/set.k:16#function-1,semantics/set.k,16,dedupCodes,syntax IntSeq ::= dedupCodes(IntSeq),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/set.k:16#function-2,semantics/set.k,16,dedupFrom,"dedupFrom(IntSeq, IntSeq)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/set.k:25#function-1,semantics/set.k,25,snocCode,"syntax IntSeq ::= snocCode(IntSeq, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/set.k:31#function-1,semantics/set.k,31,subsetCodes,"syntax Bool ::= subsetCodes(IntSeq, IntSeq)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/set.k:35#function-1,semantics/set.k,35,sameSet,"syntax Bool ::= sameSet(IntSeq, IntSeq)",function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/sort.k:18#function-1,semantics/sort.k,18,sortVS,syntax ValSeq ::= sortVS(ValSeq),function;total;symbol(sortVS);no-evaluators,True,False,True,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/sort.k:19#function-1,semantics/sort.k,19,insVS,"syntax ValSeq ::= insVS(Int, ValSeq)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/sort.k:26#function-1,semantics/sort.k,26,insVSs,"syntax ValSeq ::= insVSs(IntSeq, ValSeq)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/sort.k:49#function-1,semantics/sort.k,49,sortKeyVS,"syntax ValSeq ::= sortKeyVS(ValSeq, Val)",function;total;symbol(sortKeyVS);no-evaluators,True,False,True,0,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/sort.k:51#function-1,semantics/sort.k,51,revVS,syntax ValSeq ::= revVS(ValSeq),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/sort.k:51#function-2,semantics/sort.k,51,revVSAcc,"revVSAcc(ValSeq, ValSeq)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
