record_id	file	line	kind	subtype	attributes	statement
K0027	/reference/reference-semantics/semantics.k	61	imports	imports	-	imports MPY-RANGE
K0028	/reference/reference-semantics/semantics.k	62	imports	imports	-	imports MPY-OPERATORS
K0029	/reference/reference-semantics/semantics.k	63	imports	imports	-	imports MPY-INT
K0030	/reference/reference-semantics/semantics.k	64	imports	imports	-	imports MPY-BOOL
K0031	/reference/reference-semantics/semantics.k	65	imports	imports	-	imports MPY-FLOAT
K0032	/reference/reference-semantics/semantics.k	66	imports	imports	-	imports MPY-STR
K0033	/reference/reference-semantics/semantics.k	67	imports	imports	-	imports MPY-SET
K0034	/reference/reference-semantics/semantics.k	68	imports	imports	-	imports MPY-LIST
K0035	/reference/reference-semantics/semantics.k	69	imports	imports	-	imports MPY-TUPLE
K0036	/reference/reference-semantics/semantics.k	70	imports	imports	-	imports MPY-SUBSCRIPT
K0037	/reference/reference-semantics/semantics.k	71	imports	imports	-	imports MPY-COMPREHENSION
K0038	/reference/reference-semantics/semantics.k	72	imports	imports	-	imports MPY-METHODS
K0039	/reference/reference-semantics/semantics.k	73	imports	imports	-	imports MPY-CONTROLS
K0040	/reference/reference-semantics/semantics.k	74	imports	imports	-	imports MPY-FUNCTIONS
K0041	/reference/reference-semantics/semantics.k	75	imports	imports	-	imports MPY-BUILTINS
K0042	/reference/reference-semantics/semantics.k	76	imports	imports	-	imports MPY-CALL
K0043	/reference/reference-semantics/semantics.k	77	imports	imports	-	imports MPY-SORT
K0044	/reference/reference-semantics/semantics.k	78	imports	imports	-	imports MPY-ASSERT
K0045	/reference/reference-semantics/semantics.k	79	imports	imports	-	imports MPY-DICT
K0046	/reference/reference-semantics/semantics.k	80	endmodule	endmodule	-	endmodule
K0047	/reference/reference-semantics/semantics.k	87	module	module	-	module MPY-KRUN
K0048	/reference/reference-semantics/semantics.k	88	imports	imports	-	imports MPY
K0049	/reference/reference-semantics/semantics.k	89	imports	imports	-	imports MPY-CONCRETE
K0050	/reference/reference-semantics/semantics.k	90	endmodule	endmodule	-	endmodule
K0051	/reference/reference-semantics/semantics/assert.k	3	module	module	-	module MPY-ASSERT
K0052	/reference/reference-semantics/semantics/assert.k	4	imports	imports	-	imports MPY-CORE
K0053	/reference/reference-semantics/semantics/assert.k	6	rule	ordinary-rule	-	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0054	/reference/reference-semantics/semantics/assert.k	8	rule	ordinary-rule	-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0055	/reference/reference-semantics/semantics/assert.k	13	rule	priority-rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0056	/reference/reference-semantics/semantics/assert.k	16	endmodule	endmodule	-	endmodule
K0057	/reference/reference-semantics/semantics/bool.k	5	module	module	-	module MPY-BOOL
K0058	/reference/reference-semantics/semantics/bool.k	6	imports	imports	-	imports MPY-CORE
K0059	/reference/reference-semantics/semantics/bool.k	8	rule	ordinary-rule	-	rule applyUn("not", V:Val) => notBool truthy(V)
K0060	/reference/reference-semantics/semantics/bool.k	10	rule	ordinary-rule	-	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0061	/reference/reference-semantics/semantics/bool.k	11	rule	ordinary-rule	-	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K0062	/reference/reference-semantics/semantics/bool.k	16	context	context	-	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0063	/reference/reference-semantics/semantics/bool.k	17	rule	ordinary-rule	-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0064	/reference/reference-semantics/semantics/bool.k	18	rule	ordinary-rule	-	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
K0065	/reference/reference-semantics/semantics/bool.k	20	rule	ordinary-rule	-	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
K0066	/reference/reference-semantics/semantics/bool.k	22	rule	ordinary-rule	-	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
K0067	/reference/reference-semantics/semantics/bool.k	24	rule	ordinary-rule	-	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
K0068	/reference/reference-semantics/semantics/bool.k	29	rule	priority-rule	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0069	/reference/reference-semantics/semantics/bool.k	31	rule	priority-rule	priority	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0070	/reference/reference-semantics/semantics/bool.k	35	rule	priority-rule	priority	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0071	/reference/reference-semantics/semantics/bool.k	39	rule	priority-rule	priority	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0072	/reference/reference-semantics/semantics/bool.k	43	rule	priority-rule	priority	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0073	/reference/reference-semantics/semantics/bool.k	47	endmodule	endmodule	-	endmodule
K0074	/reference/reference-semantics/semantics/builtins.k	3	module	module	-	module MPY-BUILTINS
K0075	/reference/reference-semantics/semantics/builtins.k	4	imports	imports	-	imports MPY-CORE
K0076	/reference/reference-semantics/semantics/builtins.k	5	imports	imports	-	imports MPY-STR
K0077	/reference/reference-semantics/semantics/builtins.k	6	imports	imports	-	imports MPY-SET
K0078	/reference/reference-semantics/semantics/builtins.k	7	imports	imports	-	imports MPY-ITER
K0079	/reference/reference-semantics/semantics/builtins.k	8	imports	imports	-	imports MPY-RANGE
K0080	/reference/reference-semantics/semantics/builtins.k	9	imports	imports	-	imports MPY-INT
K0081	/reference/reference-semantics/semantics/builtins.k	10	imports	imports	-	imports MPY-METHODS
K0082	/reference/reference-semantics/semantics/builtins.k	17	syntax	function-declaration	function	syntax Val ::= applyBuiltin(String, Vals) [function]
K0083	/reference/reference-semantics/semantics/builtins.k	20	syntax	function-declaration	function	syntax Int ::= seqLen(Val) [function]
K0084	/reference/reference-semantics/semantics/builtins.k	21	rule	ordinary-rule	-	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
K0085	/reference/reference-semantics/semantics/builtins.k	22	rule	ordinary-rule	-	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
K0086	/reference/reference-semantics/semantics/builtins.k	23	rule	ordinary-rule	-	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
K0087	/reference/reference-semantics/semantics/builtins.k	24	rule	ordinary-rule	-	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
K0088	/reference/reference-semantics/semantics/builtins.k	25	rule	ordinary-rule	-	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
K0089	/reference/reference-semantics/semantics/builtins.k	26	rule	ordinary-rule	-	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
K0090	/reference/reference-semantics/semantics/builtins.k	32	rule	ordinary-rule	-	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
K0091	/reference/reference-semantics/semantics/builtins.k	33	rule	ordinary-rule	-	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
K0092	/reference/reference-semantics/semantics/builtins.k	34	rule	ordinary-rule	-	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
K0093	/reference/reference-semantics/semantics/builtins.k	35	rule	ordinary-rule	-	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
K0094	/reference/reference-semantics/semantics/builtins.k	36	syntax	function-declaration	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
K0095	/reference/reference-semantics/semantics/builtins.k	37	rule	ordinary-rule	-	rule charsOf(.IntSeq)                => .ValSeq
K0096	/reference/reference-semantics/semantics/builtins.k	38	rule	ordinary-rule	-	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
K0097	/reference/reference-semantics/semantics/builtins.k	41	rule	ordinary-rule	-	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
K0098	/reference/reference-semantics/semantics/builtins.k	44	rule	ordinary-rule	-	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
K0099	/reference/reference-semantics/semantics/builtins.k	47	syntax	syntax	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
K0100	/reference/reference-semantics/semantics/builtins.k	48	rule	ordinary-rule	-	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
K0101	/reference/reference-semantics/semantics/builtins.k	49	rule	ordinary-rule	-	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
K0102	/reference/reference-semantics/semantics/builtins.k	50	rule	ordinary-rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
K0103	/reference/reference-semantics/semantics/builtins.k	54	syntax	function-declaration	function	syntax Int ::= intOf(Val) [function]
K0104	/reference/reference-semantics/semantics/builtins.k	55	rule	ordinary-rule	-	rule intOf(I:Int)  => I
K0105	/reference/reference-semantics/semantics/builtins.k	56	rule	ordinary-rule	-	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
K0106	/reference/reference-semantics/semantics/builtins.k	59	syntax	syntax	-	syntax KItem ::= #allAcc(Iterable) | "#allCont"
K0107	/reference/reference-semantics/semantics/builtins.k	60	rule	ordinary-rule	-	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
K0108	/reference/reference-semantics/semantics/builtins.k	61	rule	ordinary-rule	-	rule <k> #iterDone ~> #allCont => true ... </k>
K0109	/reference/reference-semantics/semantics/builtins.k	62	rule	ordinary-rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
K0110	/reference/reference-semantics/semantics/builtins.k	64	rule	ordinary-rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
K0111	/reference/reference-semantics/semantics/builtins.k	67	syntax	syntax	-	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
K0112	/reference/reference-semantics/semantics/builtins.k	68	rule	ordinary-rule	-	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
K0113	/reference/reference-semantics/semantics/builtins.k	69	rule	ordinary-rule	-	rule <k> #iterDone ~> #anyCont => false ... </k>
K0114	/reference/reference-semantics/semantics/builtins.k	70	rule	ordinary-rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
K0115	/reference/reference-semantics/semantics/builtins.k	72	rule	ordinary-rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
K0116	/reference/reference-semantics/semantics/builtins.k	76	syntax	syntax	-	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
K0117	/reference/reference-semantics/semantics/builtins.k	77	rule	ordinary-rule	-	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
K0118	/reference/reference-semantics/semantics/builtins.k	78	rule	ordinary-rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0119	/reference/reference-semantics/semantics/builtins.k	80	rule	ordinary-rule	-	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
K0120	/reference/reference-semantics/semantics/builtins.k	81	rule	ordinary-rule	-	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
K0121	/reference/reference-semantics/semantics/builtins.k	82	rule	ordinary-rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0122	/reference/reference-semantics/semantics/builtins.k	86	syntax	syntax	-	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
K0123	/reference/reference-semantics/semantics/builtins.k	87	rule	ordinary-rule	-	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
K0124	/reference/reference-semantics/semantics/builtins.k	88	rule	ordinary-rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
K0125	/reference/reference-semantics/semantics/builtins.k	90	rule	ordinary-rule	-	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
K0126	/reference/reference-semantics/semantics/builtins.k	91	rule	ordinary-rule	-	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
K0127	/reference/reference-semantics/semantics/builtins.k	92	rule	ordinary-rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
K0128	/reference/reference-semantics/semantics/builtins.k	97	syntax	function-declaration	function	syntax Int ::= maxVals(Int, Vals) [function]
K0129	/reference/reference-semantics/semantics/builtins.k	98	rule	ordinary-rule	-	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
K0130	/reference/reference-semantics/semantics/builtins.k	99	rule	ordinary-rule	-	rule maxVals(M:Int, .Vals)           => M
K0131	/reference/reference-semantics/semantics/builtins.k	100	rule	ordinary-rule	-	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
K0132	/reference/reference-semantics/semantics/builtins.k	102	syntax	function-declaration	function	syntax Int ::= minVals(Int, Vals) [function]
K0133	/reference/reference-semantics/semantics/builtins.k	103	rule	ordinary-rule	-	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
K0134	/reference/reference-semantics/semantics/builtins.k	104	rule	ordinary-rule	-	rule minVals(M:Int, .Vals)           => M
K0135	/reference/reference-semantics/semantics/builtins.k	105	rule	ordinary-rule	-	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
K0136	/reference/reference-semantics/semantics/builtins.k	108	rule	ordinary-rule	-	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
K0137	/reference/reference-semantics/semantics/builtins.k	111	rule	ordinary-rule	-	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
K0138	/reference/reference-semantics/semantics/builtins.k	114	syntax	function-declaration	function,total	syntax IntSeq ::= binCodes(Int) [function, total]
K0139	/reference/reference-semantics/semantics/builtins.k	115	rule	ordinary-rule	-	rule binCodes(0) => iCons(48, .IntSeq)
K0140	/reference/reference-semantics/semantics/builtins.k	116	rule	ordinary-rule	-	rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
K0141	/reference/reference-semantics/semantics/builtins.k	117	syntax	function-declaration	function,total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
K0142	/reference/reference-semantics/semantics/builtins.k	118	rule	ordinary-rule	-	rule binAcc(0, ACC:IntSeq) => ACC
K0143	/reference/reference-semantics/semantics/builtins.k	119	rule	ordinary-rule	-	rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
K0144	/reference/reference-semantics/semantics/builtins.k	124	rule	ordinary-rule	-	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
K0145	/reference/reference-semantics/semantics/builtins.k	126	syntax	function-declaration	function,total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
K0146	/reference/reference-semantics/semantics/builtins.k	127	rule	ordinary-rule	-	rule enumVS(.ValSeq, _:Int) => .ValSeq
K0147	/reference/reference-semantics/semantics/builtins.k	128	rule	ordinary-rule	-	rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
K0148	/reference/reference-semantics/semantics/builtins.k	132	rule	ordinary-rule	-	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
K0149	/reference/reference-semantics/semantics/builtins.k	134	syntax	function-declaration	function,total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
K0150	/reference/reference-semantics/semantics/builtins.k	135	rule	ordinary-rule	-	rule mapStrVS(.ValSeq) => .ValSeq
K0151	/reference/reference-semantics/semantics/builtins.k	136	rule	ordinary-rule	-	rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
K0152	/reference/reference-semantics/semantics/builtins.k	137	rule	ordinary-rule	-	rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
K0153	/reference/reference-semantics/semantics/builtins.k	140	rule	ordinary-rule	-	rule applyBuiltin("int", I:Int, .Vals) => I
K0154	/reference/reference-semantics/semantics/builtins.k	143	rule	ordinary-rule	-	rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
K0155	/reference/reference-semantics/semantics/builtins.k	144	rule	ordinary-rule	-	rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
K0156	/reference/reference-semantics/semantics/builtins.k	148	rule	ordinary-rule	-	rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
K0157	/reference/reference-semantics/semantics/builtins.k	149	rule	ordinary-rule	-	rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
K0158	/reference/reference-semantics/semantics/builtins.k	152	rule	ordinary-rule	-	rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
K0159	/reference/reference-semantics/semantics/builtins.k	156	rule	ordinary-rule	-	rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
K0160	/reference/reference-semantics/semantics/builtins.k	158	syntax	function-declaration	function,total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
K0161	/reference/reference-semantics/semantics/builtins.k	159	rule	ordinary-rule	-	rule intDigAcc(.IntSeq, ACC:Int)             => ACC
K0162	/reference/reference-semantics/semantics/builtins.k	160	rule	ordinary-rule	-	rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
K0163	/reference/reference-semantics/semantics/builtins.k	163	rule	ordinary-rule	-	rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
K0164	/reference/reference-semantics/semantics/builtins.k	164	rule	ordinary-rule	-	rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
K0165	/reference/reference-semantics/semantics/builtins.k	167	rule	ordinary-rule	-	rule <k> #iterNext(zipObj(vCons(A:Val, As:ValSeq), vCons(B:Val, Bs:ValSeq))) => #iterYield(tuple(vCons(A, vCons(B, .ValSeq))), zipObj(As, Bs)) ... </k>
K0166	/reference/reference-semantics/semantics/builtins.k	169	rule	ordinary-rule	-	rule <k> #iterNext(zipObj(.ValSeq, _:ValSeq))               => #iterDone ... </k>
K0167	/reference/reference-semantics/semantics/builtins.k	170	rule	ordinary-rule	-	rule <k> #iterNext(zipObj(vCons(_:Val, _:ValSeq), .ValSeq)) => #iterDone ... </k>
K0168	/reference/reference-semantics/semantics/builtins.k	171	rule	ordinary-rule	-	rule <k> #iterNext(zipObjS(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq))) => #iterYield(tuple(vCons(str(iCons(A, .IntSeq)), vCons(str(iCons(B, .IntSeq)), .ValSeq))), zipObjS(As, Bs)) ... </k>
K0169	/reference/reference-semantics/semantics/builtins.k	173	rule	ordinary-rule	-	rule <k> #iterNext(zipObjS(.IntSeq, _:IntSeq))              => #iterDone ... </k>
K0170	/reference/reference-semantics/semantics/builtins.k	174	rule	ordinary-rule	-	rule <k> #iterNext(zipObjS(iCons(_:Int, _:IntSeq), .IntSeq)) => #iterDone ... </k>
K0171	/reference/reference-semantics/semantics/builtins.k	177	rule	ordinary-rule	-	rule applyBuiltin("range", I:Int, .Vals)               => rangeObj(0, I, 1)
K0172	/reference/reference-semantics/semantics/builtins.k	178	rule	ordinary-rule	-	rule applyBuiltin("range", A:Int, B:Int, .Vals)        => rangeObj(A, B, 1)
K0173	/reference/reference-semantics/semantics/builtins.k	179	rule	ordinary-rule	-	rule applyBuiltin("range", A:Int, B:Int, S:Int, .Vals) => rangeObj(A, B, S) requires S =/=Int 0
K0174	/reference/reference-semantics/semantics/builtins.k	187	rule	ordinary-rule	-	rule applyBuiltin("eval", str(CS:IntSeq), .Vals) => evalArith(CS)
K0175	/reference/reference-semantics/semantics/builtins.k	188	syntax	function-declaration	function	syntax Int ::= evalArith(IntSeq) [function]
K0176	/reference/reference-semantics/semantics/builtins.k	189	rule	ordinary-rule	-	rule evalArith(CS:IntSeq) => firstNdE(passAddE(passMulE(passPowE(tokOps(CS), tokNds(CS)))))
K0177	/reference/reference-semantics/semantics/builtins.k	192	syntax	syntax	-	syntax OpSeq ::= ".OpSeq" | oCons(String, OpSeq)
K0178	/reference/reference-semantics/semantics/builtins.k	194	syntax	function-declaration	function,total	syntax Bool ::= evDigit(Int) [function, total]
K0179	/reference/reference-semantics/semantics/builtins.k	195	rule	ordinary-rule	-	rule evDigit(C:Int) => C >=Int 48 andBool C <=Int 57
K0180	/reference/reference-semantics/semantics/builtins.k	196	syntax	function-declaration	function,total	syntax Bool ::= evHead42(IntSeq) [function, total]
K0181	/reference/reference-semantics/semantics/builtins.k	197	rule	ordinary-rule	-	rule evHead42(iCons(42, _:IntSeq)) => true
K0182	/reference/reference-semantics/semantics/builtins.k	198	rule	owise-rule	owise	rule evHead42(_:IntSeq)            => false [owise]
K0183	/reference/reference-semantics/semantics/builtins.k	199	syntax	function-declaration	function,total	syntax Bool ::= evHead47(IntSeq) [function, total]
K0184	/reference/reference-semantics/semantics/builtins.k	200	rule	ordinary-rule	-	rule evHead47(iCons(47, _:IntSeq)) => true
K0185	/reference/reference-semantics/semantics/builtins.k	201	rule	owise-rule	owise	rule evHead47(_:IntSeq)            => false [owise]
K0186	/reference/reference-semantics/semantics/builtins.k	203	syntax	function-declaration	function,total	syntax OpSeq ::= tokOps(IntSeq) [function, total]
K0187	/reference/reference-semantics/semantics/builtins.k	204	rule	ordinary-rule	-	rule tokOps(.IntSeq)                 => .OpSeq
K0188	/reference/reference-semantics/semantics/builtins.k	205	rule	ordinary-rule	-	rule tokOps(iCons(32, R:IntSeq))     => tokOps(R)
K0189	/reference/reference-semantics/semantics/builtins.k	206	rule	ordinary-rule	-	rule tokOps(iCons(C:Int, R:IntSeq))  => tokOps(R) requires evDigit(C)
K0190	/reference/reference-semantics/semantics/builtins.k	207	rule	ordinary-rule	-	rule tokOps(iCons(42, iCons(42, R:IntSeq))) => oCons("**", tokOps(R))
K0191	/reference/reference-semantics/semantics/builtins.k	208	rule	ordinary-rule	-	rule tokOps(iCons(42, R:IntSeq))     => oCons("*", tokOps(R)) requires notBool evHead42(R)
K0192	/reference/reference-semantics/semantics/builtins.k	209	rule	ordinary-rule	-	rule tokOps(iCons(47, iCons(47, R:IntSeq))) => oCons("//", tokOps(R))
K0193	/reference/reference-semantics/semantics/builtins.k	210	rule	ordinary-rule	-	rule tokOps(iCons(47, R:IntSeq))     => oCons("/", tokOps(R)) requires notBool evHead47(R)
K0194	/reference/reference-semantics/semantics/builtins.k	211	rule	ordinary-rule	-	rule tokOps(iCons(43, R:IntSeq))     => oCons("+", tokOps(R))
K0195	/reference/reference-semantics/semantics/builtins.k	212	rule	ordinary-rule	-	rule tokOps(iCons(45, R:IntSeq))     => oCons("-", tokOps(R))
K0196	/reference/reference-semantics/semantics/builtins.k	214	syntax	function-declaration	function,total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
K0197	/reference/reference-semantics/semantics/builtins.k	216	rule	ordinary-rule	-	rule tokNds(.IntSeq)                => .IntSeq
